{'descr': '房间虽小,但床垫很舒服软硬适中,就是房间详情图片与实际有小小出入,总的来讲算满意了,还会再次入住', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '价格是最大的优势，就是有点偏远。室内环境还行，就是室外，有点荒凉。呵呵，总体而言，不错。。。', 'star': 5}
{'descr': '位置有点偏，不太好找，下了公交车要走十多分钟。但是总体感觉还不错，卫生、服务、都挺好的~舒适度也不错~', 'star': 5}
{'descr': '在杭州那个地段，这酒店的性价比算是不错了。值得推荐。\r\n', 'star': 5}
{'descr': '+好', 'star': 5}
{'descr': '地点有点偏，但卫生和设施较好，性价比较好。对于到302就医的人比较合适，走路到302医院15-20分钟左右。', 'star': 5}
{'descr': '再补充一点，由于带老人带北京，走的时候急，两个老人都没有带身份证，开始酒店坚持无身份证不能入住，让我们很是郁闷和无奈，最后酒店表示，他们可以免费开车送到派出所，由派出所查询两个老人的身份证即可证明，一个酒店帅哥开车把我们送到了不远处的派出所，很快联网查询，通过了。也入住了，还算快捷。开车小伙子说，自从北京新换一个公安局长从治理天上人间开始，所有酒店必须按身份证登记入住了，他们也嫌麻烦的。以前不是这', 'star': 3}
{'descr': '总体不错，离景点和车站距离都很适中，从酒店到长城与颐和园很容易的就上了G6，到天安门和北京西站也不远。唯一的一点就是酒店标示的“靛厂路801号”不对，让出租车司机都很难找，酒店实际是在水衙沟路，在丰台长风医院后面。再给酒店提个建议，就是外面的招牌不够大与醒目，可能与酒店的租期将到期是否要搬迁有关（有个内部服务人员说的）', 'star': 5}
{'descr': '位置还算好找，就是本来我预定了三间，结果到后工作人员却说只有两间的订单，由于到的时候已经是凌晨3点，5个人只好凑合睡，可是第二天网站工作人员又打电话说没入住预约的第三间房要扣首日房费，最后又是电话联系又是确认的，折腾了很多个电话，才解决问题，给我增添了很多麻烦！而且最后问题解决了，网站工作人员也没有给我回个确认电话，我打回去问负责我订单的那位服务人员，本来承诺当天要给我个答复的，却又下班了。。。最', 'star': 3}
{'descr': '酒店周围很安静，服务员很热情，房间干净，硬件配置一般', 'star': 5}
{'descr': '不错 挺好的  地点也可以 环境还不错  以后还会选择的', 'star': 5}
{'descr': '还不错,但大白天还让来访客人登记,感觉多此一举', 'star': 5}
{'descr': '酒店四周环境安静，床铺整洁，舒适。离302医院和西站较近，交通便利。是个不错的选择。', 'star': 5}
{'descr': '酒店服务还不错，挺热情周到，房间里布置的简洁大方，卫生打扫的很好，住的还比较满意。', 'star': 5}
{'descr': '酒店还不错，房间挺干净，设施挺齐全，周边有公交，出行也比较方便。', 'star': 5}
{'descr': '酒店的性价比还不错，服务也很达标，配置硬件设施比较一般，位置因为去那边办事交通比较方便，但距离市中心有点远。还是可以推荐入住的酒店。', 'star': 5}
{'descr': '这家酒店还一般，设施方面有些陈旧了，卫生打扫还可以，位置也还行，出行比较便利，整体感觉性价比还可以。', 'star': 5}
{'descr': '房间挺宽敞，住着不挤，一些必备的生活用品都有，卫生也可以，唯一欠缺的是没有网络，建议增加。', 'star': 5}
{'descr': '服务员看起来很专业，着装统一，言语规范，服务质量很高。', 'star': 5}
{'descr': '性价比很高，服务态度也不错，有车接车送到公交和地铁站口。就是位置比较徧，出租车司机都不知道在哪里，周围一片空旷，门前的月亮人KTV倒是知名度比较高。离公交车站比较近，离地铁站口很远。中转短住的可以考虑。', 'star': 5}
{'descr': '不错的酒店，卫生很好，服务态度很好，可以订餐到房间，就是卫生间的肥皂不好用没有泡沫，房间隔音太差，晚上隔壁房间普通声音的说话都听得很清楚，一大早门口二个服务员和保洁员没完没了的说话影响客人睡觉，也缺乏职业素质。酒店位置不太好找。', 'star': 5}
{'descr': '酒店位置非常偏僻，周围环境脏乱差，没有停车位。房间设施一般，尤其是卫生间的淋浴器不好用，房间隔音也不好.', 'star': 1}
