{'短评内容': '房间安静。', '短评打分': 5}
{'短评内容': '酒店很安静，环境也比较舒适，周围的购物和吃饭都很方便，下次出差还会来住的', '短评打分': 5}
{'短评内容': '位置很不错.算是中心位置了.价格也比较合理.', '短评打分': 5}
{'短评内容': '酒店比较新，服务也还不错。也很好找，可以推荐', '短评打分': 5}
{'短评内容': '环境不错，服务也很好。就是隔音效果不是很好。', '短评打分': 5}
{'短评内容': '空调声音很大。\napril', '短评打分': 3}
{'短评内容': '还不错,旁边吃的也方便，房间也干净，只是楼顶有个信号（可能是移动通信）发射塔，有辐射，但还是可以推荐住几晚不碍事。', '短评打分': 5}
{'短评内容': '挺卫生的，就是电视太小了，隔音效果不是很好，走廊有人说话能直接影响睡眠质量', '短评打分': 5}
{'短评内容': '硬件设施不错，考虑的很周到，服务也不错~~~~~~~~', '短评打分': 5}
{'短评内容': '环境还不错，设施也很新，房间也很大，位置也不错。电视太小了吧！还有一个致命的缺点！！！对面那个文化馆吵死了！半夜11点过还在放音乐，很响很响！', '短评打分': 5}
{'短评内容': '挺好的，就是不能点播电视了，其他都还好。', '短评打分': 5}
{'短评内容': '第一次锦江之星，我们入住的青不年宫店，房间很大，也很干净。', '短评打分': 5}
{'短评内容': '房间布局非常合理，卫生很整洁，服务态度很好，就是餐饮有点高，总体不错！', '短评打分': 5}
{'短评内容': '这家锦江之星酒店不错，交通很是方便，离商业街也近。总体上卫生不错，服务态度也不错，就是早餐的花样少了点儿，', '短评打分': 5}
{'短评内容': '酒店位置在市中心，出行比较方便，整体来说还是比较干净。就是昨晚被洗手间地漏发出的臭味臭醒了睡不着。希望能有改进。消除异味。', '短评打分': 5}
{'短评内容': '地处市中心，但初次来很难找，在小弄里头，吃饭逛街很好，到晚上睡觉时很安静。房间干净整洁，出差办事很好的选择。', '短评打分': 5}
{'短评内容': '位置不错闹中取静，干净整洁一如既往。早餐品种，数量略有不足。服务很好，特别是前台彭先生，将我遗忘的充电器快递给了我，借宝地道谢一下！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间还不错，地方也是闹中取静，只是只提供一次性的纸杯，这对要泡茶喝的游客非常不爽，希望能改进。哦，房间不小，电视机小了点，，，', '短评打分': 5}
{'短评内容': '干净！舒服！方便！第一次住不过感觉很好~~~', '短评打分': 5}
{'短评内容': '服务态度很好，位置非常安静，价格合适，推荐', '短评打分': 5}
{'短评内容': '房间很干净', '短评打分': 3}
{'短评内容': '很干净，房间也大', '短评打分': 3}
{'短评内容': '酒店很好,下次还会住', '短评打分': 3}
{'短评内容': '酒点不错。卫生、干净。如果配有早餐的话性价就很具优势。目前价格有一点点偏高.', '短评打分': 5}
{'短评内容': '酒店還是不錯的，像其它錦江店一樣乾乾淨淨，簡簡單單的。但是藝龍發的地址不精確，應該是：文化館路！青少年宫文化館路是不存在的！', '短评打分': 3}
{'短评内容': '一如既往的好。\n当我们奔波一天，老远看到JJ的字样时，我朋友大呼：终于到家了。', '短评打分': 5}
{'短评内容': '全新的宾馆，很干净，房间很大，服务和设施都还不错，下次还会入住', '短评打分': 5}
