{'短评内容': '老板人很热情，房间还不错，给我们免费升级了放假。', '短评打分': 5}
{'短评内容': '主人很热情，随和，非常好相处。房间也不错。虽然客栈位置没有在古城主干道上，但是很好找，环境也安静。晚上客栈主人还会邀请大家一起品茶，玩游戏。这里洗衣服比较方便，露台上有很多晾衣服的架子和绳子，还有一个棚子，即使下雨也不用担心衣服被淋到。如果不是对硬件设施特别挑剔的话，建议入住。', '短评打分': 5}
{'短评内容': '离洋人街和步行街大概10分钟，装修比较简单，因为订的房间比较多所以老板帮我升级了。隔音差了点，其它房间开门关门，晚上有人在巷子里走过都听得见。', '短评打分': 5}
{'短评内容': '老板人很好,房间简单干净', '短评打分': 3}
{'短评内容': '环境不错,很热情,老板的朋友到火车站接的我，我到的时间可惜老板不在.下次来时再见见吧!', '短评打分': 5}
{'短评内容': '环境很不错，老板很热情。', '短评打分': 3}
{'短评内容': '房间干净卫生，比较有特色，很温馨的感觉，老板特爽，有机会再去', '短评打分': 5}
{'短评内容': '不错 干净 热情 下次还来 。。。。。。。', '短评打分': 5}
{'短评内容': '服务很好，很喜欢这里，在这里有家的感觉，客栈的小巧姑娘很好，让人感到很贴心，时时为我们游客着想，下次来大理还会来，而且会推荐给朋友。', '短评打分': 5}
{'短评内容': '酒店的整体环境不错，可以一觉睡到下午。老板人不错，善谈、热心！', '短评打分': 5}
{'短评内容': '很好的客栈，老板曹哥人很热心，下次有机会再去一定要和曹老板好好喝顿酒。', '短评打分': 5}
{'短评内容': '酒店还是很新，位置倒不是很好找是一个在胡同里面，服务态度还可以的，价格还算比较合理。', '短评打分': 1}
{'短评内容': '在这里虽然只待一天，但是感觉超好的。来之前客栈的老板就主动联系并安排司机接站。为初次到大理的我，方便很多。，老板曹哥，还主动借自行车给我们，洗衣机也免费提供，甚至可以用它的私人笔记本电脑，呵呵，真的是感觉到家了。温馨而惬意的房间，别致的小院，体贴周到的服务，热情洋溢的笑容，真的是很喜欢这个地方，希望大家有机会来看看。', '短评打分': 5}
{'短评内容': '很好住，我们住的是大床房古香古色，环境和照片一样，洗澡水也很热，老板曹哥态度很好还养着一只可爱的猫猫叫噹噹，爱死了，推荐★★★。', '短评打分': 5}
{'短评内容': '己成功入住。', '短评打分': 3}
