{'descr': '基本都还可以，就是网上预定没有早餐就不合适了', 'star': 5}
{'descr': '房间有点小，马桶下水道有味道，不过一个人凑合，但是床挺大的。', 'star': 5}
{'descr': '酒店很干净，就是房间有点小，4月份的时候屋里有点冷。', 'star': 5}
{'descr': '价格对得起这个宾馆！没有早餐，位置还算可以，隔音效果也还行！', 'star': 5}
{'descr': '房间小,卫生差,边装修边营业,太脏太乱!', 'star': 1}
{'descr': '就是小了一点！其他的都还不错！位置也还可以！', 'star': 5}
{'descr': '还算不错的酒店啊！已经住过几次了！就是房间面积小！', 'star': 5}
{'descr': '在这个城市找个这样的酒店不容易。。。最起码安全。。。经济', 'star': 5}
{'descr': '格居不错,就是洗澡间和卫生间有点小.......', 'star': 5}
{'descr': '房间卫生清洁，服务态度也不错，交通便利。很好！\n', 'star': 5}
{'descr': '第二次住这里了，酒店很干净，床很舒服，就是房间刚进去时有味道。', 'star': 5}
{'descr': '住的一般，早上比较吵，交通还可以，就是早餐比较差，最基本的鸡蛋和牛奶都没有！', 'star': 3}
{'descr': '不错的啊!特别满意`房间很好,位置也方便,环境也好!!!', 'star': 5}
{'descr': '除了卫生服务员动作慢了些，其他还好。性价比还行', 'star': 5}
{'descr': '处于商务中心，地理位置交通都不错，服务很好，推荐\n', 'star': 5}
{'descr': '酒店不错，很干净，住起来也很舒适，下次来还会住这里的。', 'star': 3}
{'descr': '这次的房间有点吵，是因为窗户大了，光线好了，就声音吵人了，哈哈，下次还来住。', 'star': 5}
{'descr': '卫生一般，服务员只是把被子叠了，并没有换洗，枕头有点发黑。。。。。', 'star': 5}
{'descr': '离沃尔玛很近，而且可以在大堂免费上网一小时，还有免费咖啡喝。', 'star': 3}
{'descr': '不错，离沃尔玛很近，而且顾客可以在大堂免费上网一个小时，还有免费的咖啡喝。', 'star': 5}
{'descr': '被罩不是很干净，有很多灰尘！其它的都很不错，性价比比较高！', 'star': 5}
{'descr': '住的地方吃饭交通都很便利，服务人员的态度也很好，房间也很整洁卫生，尤其是房间都有窗户，阳光明媚，有跟在家里一样的温馨和舒适感。', 'star': 5}
{'descr': '房间还可以，就是毛巾什么的太旧了，枕头不舒服。', 'star': 5}
{'descr': '房间比较小~但是很温馨~离沃尔玛也近~对面是儿童公园~整体来说还是不错的~！', 'star': 5}
{'descr': '网速慢 环境不错 窗帘不好拉 服务态度也不错 安静 房间干净', 'star': 3}
{'descr': '位置不错,挺安静的,房间环境也挺好,干净卫生.', 'star': 5}
{'descr': '地理位置还行，对面有个小花园，旁边就是工商银行。房间一般吧，快捷酒店都一样。。。一楼的空气不好，最好住上面。。。', 'star': 3}
{'descr': '+房间较新,有点小,还不错', 'star': 5}
{'descr': '房间有点小，但是五脏俱全，不过性价比不高', 'star': 1}
{'descr': '每次到廊坊都住这里，相当不错,比较卫生，入住很安静', 'star': 5}
{'descr': '酒店很不错，如家的餐厅出乎意料的好吃啊，清炒芥蓝简直太难得了', 'star': 5}
{'descr': '\n卫具表面没有清洁干净 服务热情 隔音差 不过性价比还可以 以后还会住', 'star': 5}
{'descr': '不错的酒店，各方面都还不错。位置好，值得一注', 'star': 5}
{'descr': '+房间很大，注意床板！', 'star': 5}
{'descr': '因为这个店就在亲戚的小区院内，所以订了这家，其他的都不说，就是隔音简直太差了，旁边房间看电视到半夜，我也一直跟着听到半夜。', 'star': 1}
{'descr': '床单是脏的，入住太晚了，我忍了，铺上浴巾睡得。房间超级小，屋子只能放下一张大床。', 'star': 5}
{'descr': '方便 、 干净、  离我办事的地方很近。服务也不错。。。', 'star': 3}
{'descr': '第一次住汉庭 隔音差些 屋小设计不错 服务热情 性价比合理  但离大学城很远 有八九公里  ', 'star': 5}
{'descr': '一般般，位置不是太好，出门吃饭不是很方便，必须打车', 'star': 3}
{'descr': '以廊坊的消费水平来说，有点贵。屋子有点小，但装修的很巧妙，看起来很舒服。总的来说不错。', 'star': 5}
{'descr': '就是定房时你们的接线小姐搞错了我是要的一个大床房和一个标准间，你们给我两间大床房', 'star': 5}
{'descr': '一般般真一般般', 'star': 1}
{'descr': '很好 服务员态度也不错～', 'star': 3}
{'descr': '设施比较完备，就是阳光不太充足。\r\n洗了衣服也没地方晾晒。', 'star': 3}
{'descr': '房间有些小 但是感觉不错 厕所和浴室设计的很独特 前台刷卡免费领的咖啡挺好喝的 服务很好 老大爷总是很热情的招待我们 ', 'star': 5}
{'descr': '地方不太好找，酒店很安静，因为是在小区里面', 'star': 5}
{'descr': '没有晚餐提供，遗憾。有免费书籍，不错。', 'star': 3}
{'descr': '员工非常有礼貌，也很热情。', 'star': 5}
{'descr': '价格很贵，环境还可以酒店也很新，设施不错，服务态度挺客气的。就是感觉价格没有什么优势。', 'star': 5}
{'descr': '还好，就是吃晚饭不太方便', 'star': 5}
{'descr': '性价比不错，离高速很近。', 'star': 5}
{'descr': '位置不太好找，如果不是自驾车就别选择了。', 'star': 3}
{'descr': '服务周到 交通便捷 环境优美 房间宽敞舒适 室外景色伊人 很人性化的服务 房间清扫即使 不过对面学校很吵 早上有广播 望解决', 'star': 5}
{'descr': '干净整洁价格适中', 'star': 5}
{'descr': '很干净，是所有经济型酒店里服务最到位的一家。如果价格能再低点就更好了。', 'star': 5}
{'descr': '很方便', 'star': 5}
{'descr': '离我办事的地方很近，很方便', 'star': 5}
{'descr': '一大早的下火车很不容易找到酒店后，很想尽快休息，前台服务员却很纠结~其他就还好啦，如家的一贯风格。', 'star': 5}
{'descr': '卫生：卫生间的手纸只剩最后一点，但是没有备用的新卷纸，所以只能给“很好”。\r\n\r\n服务：总台接听速度很快，用语规范有礼貌，且每次提供的东西都很及时。\r\n\r\n设施：卫生间没有暖气也没空调，墙上的说明中提到的“浴帘”也不见踪影，零下十几度的情况洗澡，结果可想而知。水龙头上冷热水标记和实际方向相反，害得本人白挨了半天的冻。\r\n\r\n位置：位于某小区内部，安静是挺安静的（貌似旁边就是所学校，不知道白天会不会', 'star': 1}
{'descr': '还可以，卫生较差', 'star': 5}
{'descr': '态度比较好。', 'star': 5}
{'descr': '在网上自己订的，当时没提一些特殊要求，去住时房间的烟叶很重，很不舒服，其它都还好！', 'star': 3}
{'descr': '价格偏高，房间角落破旧，15元早餐没什么好吃的，最重要的是房间烟味太重！！！', 'star': 1}
{'descr': '提高硬件建设', 'star': 1}
{'descr': '服务还是比较好的，但是酒店隔音效果很不好，而且，居然会在早上7点左右听到店内装修的声音！！！！！！！这点很不像一家专业酒店人的做法，会影响客人的正常休息，装修可以理解，但开工时间最少要安排上午10点以后。。。酒店固然是为客人的休息着想，如果连最基本的休息都没有享受好，那还要提什么优质的服务理念呢！？希望可以对所有的店面经理进行培训。。。达到统一的效果！', 'star': 5}
{'descr': '如家酒店的服务没地说，虽然设施稍显简陋，但服务质量和态度值得这个房价。管理很好，唯一美中不足就是设施舒适度不够。我入住的第一天房间的花洒喷头坏了，第二天提出后很快来修。房间不太暖和，而且床垫很硬，我多垫了一床被子才能睡。服务五星级，设施二星级。', 'star': 5}
{'descr': '在市中心却又很安静.交通也便利.', 'star': 5}
{'descr': '被子很暖和啊 呵呵 就是隔音不太好', 'star': 5}
{'descr': '位置有点偏，在胡同里面，不是很好找，交通还是很便利的，靠近地铁，房间的卫生和设施一般，服务还可以', 'star': 3}
{'descr': '位置有点难找，在安德路的一个院子里，不过很安静，环境还不错。如家的统一装修，很温馨也很素雅，房间十多个平方，不算大但一个人够住了。', 'star': 5}
{'descr': '房间的隔音效果比较差,有些影响休息,地理位置也有些偏,离后海也比较远,其他方面也比较一般.', 'star': 3}
{'descr': '小区很安静，酒店隔音稍微有点不好，饮水机让我很开心，哈哈~~~床很大很舒服，睡得很好，交通也比较方便，总的来说不错', 'star': 5}
{'descr': '设施有些旧，价格还可以。', 'star': 5}
{'descr': '位置不错但交通不方便也比较难找 跟价格比起来性价比有点低 早餐不好一个人还要收20元 服务态度还是不错的', 'star': 5}
{'descr': '北京如家和其他地方的比条件差很多，价格却很高，没办法，谁叫这是首都呢', 'star': 1}
{'descr': '酒店在居民区里,找了1个多小时才找到,而且隔音效果不好,其他倒没什么', 'star': 1}
{'descr': '房间有点小，设施有点太简单了，房间里没有放衣服的柜子，位置还不错，挺方便的，就是价格有点高', 'star': 5}
{'descr': '酒店位于一个小区里,感觉挺安静的,房间里的卫生弄的挺干净的,设施也比较齐全,价格也不算贵.', 'star': 5}
{'descr': '服务很好，很干净的酒店。位置很好出行交通，价格在北京也是比较合理适中的价格，不算贵，酒店的环境硬件设施舒适度都很好，值得推荐的商务连锁型酒店。', 'star': 5}
{'descr': '服务还不错，当时住的还比较舒适，出行也方便', 'star': 5}
{'descr': '酒店位置很好,出行十分方便,就是离学校近有点吵,其它卫生服务还都是不错的,性价比比较高.', 'star': 5}
{'descr': '感覺上還好,比附近那家漢庭快捷酒店房間大很多,浴室也強多了些.\n美中不足是房門隔音太差,加上酒店對員工未加以管理在走道大呼小叫,聊天聲音吵了一整天,\n是打掃房的清理工.', 'star': 5}
{'descr': '酒店比较安静，地理位置也挺好，到哪都挺方便，卫生条件也挺好，房间安逸舒适，因为我在网上订的208的房间到的时候没有，该酒店按208元的价格给我换的商务房间，性价比挺高。', 'star': 5}
{'descr': '隔音不太好，其余方面都不错，如果去八达岭长城在附近走几分钟就到德胜门可乘坐919路，地铁站稍远', 'star': 5}
{'descr': '我们当时挑选了这家酒店就是觉得酒店比较幽静,环境设施都很不错,位置出行交通很方便.', 'star': 5}
{'descr': '酒店位置位于巷子里面但是在地铁站附近,出行比较方便.环境设施都比较一般,就是比较典型的连锁商务型酒店,价格合适.', 'star': 5}
{'descr': '早餐的问题和网上不一样，还需要打电话核实，第二天吃早餐的时候前一天的情况也没有沟通；房间也分的都是次房，服务态度也不好', 'star': 3}
{'descr': '特价的房子没窗户，只在一层，其他层没有，不要只看介绍', 'star': 3}
{'descr': '说好的积分呢？？说好的积分呢？？说好的积分呢？？说好的积分呢？？说好的积分呢？？说好的积分呢？？', 'star': 3}
