{'短评内容': '你追牛股挺牛公', '短评打分': 5}
{'短评内容': ' 设施一般 服务不错', '短评打分': 5}
{'短评内容': '   1、要到现代职业学院办事的，可以选择住宿在这里，走路只有5分钟。\r\n2、交通比较方便，坐915、918到老年公寓站下车。3、三天送一天房费活动好，这样性价比比较合理，单住一天略显贵。4、可免费上网。', '短评打分': 5}
{'短评内容': '卫生间不是很干净，早餐简单。交通比较方便，停车厂比较大&#183;基本可以', '短评打分': 3}
{'短评内容': '房间卫生不是很干净，墙角有脏物，物品比较陈旧。性价比尚可。', '短评打分': 5}
{'短评内容': '卫生比较差 服务水平不高哦', '短评打分': 3}
{'短评内容': '当次价格比较实惠', '短评打分': 5}
{'短评内容': '一般按啊', '短评打分': 3}
{'短评内容': '性价比还好的宾馆', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都很一般，配置硬件也不太好，卫生间的设施看上去就像是小旅馆不像是宾馆，价格也没有太大优势，位置还是比较好找的，和市区的酒店有些差距，不太值得推荐入住！', '短评打分': 1}
{'短评内容': '我想选距离新国展最近的，可是给我选的这家挺远的.而且不知道是不是因为在郊区的原因条件也不好.硬件设施和卫生条件都欠佳.而且周边打车也不方便.', '短评打分': 1}
{'短评内容': '早餐提供的太单调.其它各方面都不错，价位也比较适中.停车位挺充足的比较方便.总得来讲酒店还不错.', '短评打分': 5}
{'短评内容': '早餐提供的太单调.其它各方面都不错，价位也比较适中.停车位挺充足的比较方便.总得来讲酒店还不错.', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 1}
{'短评内容': '位置太偏，设施相当陈旧，应该是20年前建的宾馆。热水要放15分钟才有。连一般的快捷酒店都比不上。肯定不会再来了。', '短评打分': 1}
{'短评内容': '酒店很一般了,房间里的设施方面有些陈旧了,就是位置还是比较符合我.我觉得住的不是很好.', '短评打分': 3}
{'短评内容': '还算比较好找的一家，就是地方太小，没什么感觉', '短评打分': 5}
{'短评内容': '在当地算是 不错的  酒店了~~~~卫生 整洁~布置还算舒服~', '短评打分': 3}
{'短评内容': '主要是为了考试才去这个酒店的，地理位置很好。但是我们分了一个房子竟然连窗户都没有，屋里昏昏暗暗的，尤其是卫生间，极其简陋，根本没办法洗澡，冷的要死，空调遥控还是固定在墙上的，大冬天的，竟然设置是20度！而且餐厅也很不好，上菜慢，菜的性价比不高，总之，住了两天很不舒服呀~~~', '短评打分': 1}
{'短评内容': '24小时热水基本就是吹牛B的，温水倒是有&#183;&#183;&#183;&#183;&#183;&#183;', '短评打分': 1}
{'短评内容': '就性价比而言是不错的。就是标准大床间的灯光太暗，另外热水不热。', '短评打分': 5}
{'短评内容': '在周边   性价比还算不错', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很一般，不够三星级的标准，酒店的位置不错的，交通很方便的，酒店的价格有点高了。', '短评打分': 3}
