{'短评内容': '位置好，有车场', '短评打分': 5}
{'短评内容': '酒店位置不错 交通方便 房间也很干净 但是有点异味 电视频道太少', '短评打分': 3}
{'短评内容': 'Pretty nice hotel. Great location, nice facility, good service. Price is a bit too high, will come again.', '短评打分': 5}
{'短评内容': '就四星级酒店来说，设施旧了点，不过基本到位。定了一晚家庭套房，老人们很欣喜，909的价格也算值得了，但不带早餐很不好，变相涨价，都好抠门啊！网速不错，游泳池小了点，但水温舒服，健身房也不错。可以免费停车，就是车库和酒店很不相称，位置方便 ，附近的西新饭店和吃早餐的芦超王也不错。', '短评打分': 5}
{'短评内容': '在无锡的位置非常好，附近吃饭，购物都很方便。就是大路在修地铁，现在交通不是很方便', '短评打分': 5}
{'短评内容': '住得很舒服，枕头很正点！\n就是廊灯怎么关没搞明白！', '短评打分': 5}
{'短评内容': '房间小、装潢旧,大堂是新的，地理位置不错。', '短评打分': 1}
{'短评内容': '总体感受不错, 没什么大的毛病.连着一个商场, 感觉购物,饮料很方便.', '短评打分': 5}
{'短评内容': '硬件稍差、软件也差。达不到房价的规格.....', '短评打分': 1}
{'短评内容': '环境较好，设施齐全，早餐丰富，推荐', '短评打分': 3}
{'短评内容': '毕竟是国际集团管理,服务,卫生,设施都是一流的! 同样星级,比起国内管理集团的酒店号太多了', '短评打分': 5}
{'短评内容': '酒店服务很好，设施也很新，在市中心，周围很热闹', '短评打分': 5}
{'短评内容': '酒店实在太一班啦！早饭不错！', '短评打分': 3}
{'短评内容': '房间设施稍微陈旧，但是服务良好。酒店地段不错，逛街购物都很方便。', '短评打分': 5}
{'短评内容': '家庭房面积很大，住着很舒适，但是作为五星街酒店，装修过时了。', '短评打分': 5}
{'短评内容': '绝对的市中心地段,斜对面就是很热闹的步行街,酒店外观很气派,底楼有家英武百货.内部装修就感觉一般,略显老气,部分有液晶电视的房间据说是较新的,但陈设和装修还是走的朴素路线,卫生间无淋浴,马桶什么的设施实在和酒店不搭.早餐品种还可以,口味一般,也就是一些常见的中西点了,不能算精致和丰富.酒店车库较暗和陈旧,但每个路由点都有保安指引.该酒店适合逛中山路的朋友', '短评打分': 5}
{'短评内容': '地理位置不错,房间不大,但蛮精致的.泳池水温好冷,早餐一米二以上小孩就是全价了,98元,真贵!!过道里漫延着烤蛋糕的味道.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '这个价格居然没有早餐，有点贵啊，是四星的标准吧', '短评打分': 5}
{'短评内容': '位置真的不错的，闹市中心，不过设施真的有点太旧了啊', '短评打分': 5}
{'短评内容': '地理位置很好，硬件也很满意。房间配有熨衣板很方便，另外值得一提的是吹风筒是我见过功率最大最好的在酒店配置中，餐厅的饭菜也做的很用心，可口。下次我还会来。', '短评打分': 5}
{'短评内容': '环境非常好.在闹市区.交通也方便,下次来还会选这里', '短评打分': 3}
{'短评内容': '地點便利  早餐不錯  家庭房夠大  雙衛浴', '短评打分': 5}
{'短评内容': '总体来说位置还是不错的。下次可以继续考虑入住。出行比较方便。', '短评打分': 5}
{'短评内容': '地理位置好，环境服务也很到位,可以值得向朋友们推荐。', '短评打分': 5}
{'短评内容': ' 酒店陈旧性价比不高！', '短评打分': 3}
{'短评内容': '位置比较好，住过几次了。。。。。。。。。。。。。。。。。。。。。。。点评内容为何要50字啊。。。。。', '短评打分': 5}
{'短评内容': '很赞的酒店式早餐很丰富 房间设施也很不错 该有的都有了\n位置还不错 离步行街很近 方便 就是打车不太方便 可能无锡都这样', '短评打分': 5}
{'短评内容': '一次愉快的入住体验！还在温水游泳池泡会儿，人少环境好，且顶部阳光玻璃，下午还有阳光照射，嗲各！就是单人床稍窄些。', '短评打分': 3}
{'短评内容': '各方面都很好，性价比很高，很满意！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '一如即往地好', '短评打分': 3}
{'短评内容': '地理位置好，价格偏贵，出差到附近找人首选。。。', '短评打分': 5}
{'短评内容': '地理位置还行，出行比较方便，但酒店设施比较陈旧，性价比不高', '短评打分': 1}
{'短评内容': '地段很好，还有游泳池，酒店也不错，有机会还回去', '短评打分': 5}
{'短评内容': '好................................', '短评打分': 5}
{'短评内容': '以前的喜来登，位置好，重新装修过，楼上的自助餐厅味道是不错啊', '短评打分': 5}
{'短评内容': '家庭房107平方，又大又实用，服务态度好，交通方便。', '短评打分': 5}
{'短评内容': '我住的时间是11年7月，当时预订的时候就奇怪市中心的五星级酒店怎么才四百多。位置极佳，逛街吃饭都很方便。房间也颇大，大堂服务也周到。不过睡到第二天早晨才知道便宜的原因，哈哈5点钟就开始地铁施工了，那个破碎机还不知道什么的就是看着像吊车但是前面是个锤子的机器，5点就开始一刻不停的“当当当当当”的敲个没完没了。真是没办法睡。到了7、8点，反而不吵了，真是会挑时间施工啊！\n如果大家不介意这个时间早起的话', '短评打分': 5}
{'短评内容': '地理位置不错，前台服务也好。但是早上5点就被施工的噪音吵醒。不知酒店为什么不安排我住吵不到的另一侧房间；或者应该与施工方交涉至少8点以后再开动高噪音的机械，事实上8点以后又没有噪音了。', '短评打分': 5}
{'短评内容': '地点很方便，离崇安寺步行街很近，门口附近也有公交站88路可以直接到灵山大佛（要1个小时20分）。\n大堂装修很有五星级感觉，但是房间里就比较过时了。\n走廊是在太长了，好像走不完。\n', '短评打分': 5}
{'短评内容': '家庭房屋超所值，度假很好，已经订了3次了。', '短评打分': 5}
{'短评内容': '因为离开出差目的地比较近所以听别人推荐预订的，出行方便。', '短评打分': 5}
{'短评内容': '实在太旧，房间隔音太差，走廊里异味严重。根本称不上准五星。跟三星差不多。', '短评打分': 1}
{'短评内容': '非常好的酒店，舒适，交通方便，多次来无锡都住这里，只是有时间价格太高超标准就不能住了。', '短评打分': 5}
{'短评内容': '服务应该跟细心点。入住几天，往往中间的某天门卡就刷不进去了', '短评打分': 5}
{'短评内容': '不错的，听说是喜来登改建的，房间不新，很安静。', '短评打分': 3}
{'短评内容': '房间很舒适，交通方便。服务员服务也不错。以后还会入住。', '短评打分': 5}
{'短评内容': '酒店性价比较高，设施和管理都不错，以后还会住', '短评打分': 5}
{'短评内容': '个人觉得是不错的酒店，有机会还会再去入住', '短评打分': 5}
{'短评内容': '不错哦，就在市中心，交通方便，附近大商场，崇安寺小吃，一应俱全', '短评打分': 5}
{'短评内容': '虽然房间有点旧，感觉还是不错，位置很好，下次还会入住！', '短评打分': 5}
{'短评内容': '酒店设施不是很新，但较为整洁，早餐还不错', '短评打分': 5}
{'短评内容': '还不错，挺好的，服务也不错，临时升了房。距离市中心也很近', '短评打分': 5}
{'短评内容': '地理位置坐落于市中心，购物中心楼上，出行购物都比较方便。', '短评打分': 5}
{'短评内容': '是个有点气势的酒店，可惜躲在一个叫武士百货的楼上，第一次不好找。设施还行，给3.5分，地理位置不错，去哪里都方便。酒店房间一般，给3分。服务人员还是够热情主动地，不错给4.5分。其他就是价格偏高一点点，有贵宾卡折让一点就不错了。', '短评打分': 5}
{'短评内容': '酒店设施较好，距市中心区较近，特别是去饮食文化区方便，有机会还住这。', '短评打分': 5}
{'短评内容': '以前的喜来登酒店。酒店位置不错，但装修比较旧。旁边的商场好像叫英武的，挺好，方便。早餐挺好。', '短评打分': 5}
{'短评内容': '上次刚住过，只是离我公司很近！整体评价还是四星标准！', '短评打分': 1}
{'短评内容': '地下车库环境太差，和星级标准差太远！主楼正体评价最多准四星，服务态度倒还不错，\n\n！', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '前台服务太差，服务员对你根本视而不见。。。。。。。', '短评打分': 1}
{'短评内容': '很方便，地点很好，市中心，值得！下次还会入住.', '短评打分': 5}
{'短评内容': '大厅比较简陋，关键是楼层走廊给人的感觉很压抑。', '短评打分': 1}
{'短评内容': '停车场停车有点绕，其他各方面还不错。距离市中心比较近，交通便利.', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '无锡君乐酒店性价比不错，房间很满意，下次还会入住。', '短评打分': 5}
{'短评内容': '无锡君乐大酒店给我们的客人留下了比较深刻的印象。', '短评打分': 5}
{'短评内容': '无锡君乐酒店档次很高，我很喜欢。下次还会入住。', '短评打分': 5}
{'短评内容': '这段时间一直有客人到工厂做客，因此要让客人食住的比较满意，君乐酒店确实是不错的选择。', '短评打分': 5}
{'短评内容': '一直住君乐，君乐也在慢慢改善，不错！值得一赞', '短评打分': 5}
{'短评内容': '气派的大堂，温馨的房间，一池碧水，千样美味，天上人间。', '短评打分': 5}
{'短评内容': '地段好，含晚餐，冲着这个去的，外面虽然翻新了，里面还是很旧的，但是下次还是会住的', '短评打分': 5}
{'短评内容': '房間不錯  離市區百貨很近  自助餐廳159 值的消費', '短评打分': 5}
{'短评内容': '电视机换成液晶的了，晚上的自助餐也不错，很好，下次还会住这里', '短评打分': 5}
{'短评内容': '无锡君乐大酒店，对于我的客人来讲确实留下了许多美好的印象。因此为了提供最好的服务给我们的客人，我都会选择地理位置好、服务好的君乐大酒店，不过就是相对的设施设备有些老了，但愿下次再来有所新意哦。', '短评打分': 5}
{'短评内容': '酒店位置不错，但是房间是早期装修的，很一般', '短评打分': 1}
{'短评内容': '酒店虽然地理位置优越，但是房间装修和设施没有达到五星级标准，想要住真正五星标准的酒店，建议别选这家。', '短评打分': 1}
{'短评内容': '虽然是个老酒店，但是地理条件和性价还可以。早餐也很丰富。一楼柜台也装修了，所以很新。房间设施是有点陈旧，但是还可以接受。', '短评打分': 5}
{'短评内容': '一直都订你们这家酒店，因为都比较喜欢的，我们的客人都反应好，愿一直合作下去。', '短评打分': 5}
{'短评内容': '还不错，交通、购物都比较方便。服务很好，因为是老酒店了，所以设施设备有点小麻烦喽', '短评打分': 5}
{'短评内容': '挺好的酒店，出差无锡一直都住这里,就是房间里的电视机可以换换了，什么年代了还是老式的电视机，而且放的比较下面，看起来很不方便', '短评打分': 5}
{'短评内容': '由于酒店比较老了，所以感觉更符合四星的标准。\n房间和走廊地毯是深绿的，感觉有点压抑，换成米色或棕色的会更好些。\n大床比较舒服。\n酒店服务人员的态度还是可以的，手续办理的等候时间也不长。\n房间空调很给力，太热的话也可以开开窗。\n早餐一般般，虽然也有不少面包和粥，但看起来感觉不怎么诱人，配菜少了点，中式的点心只看到奶黄包和刀切馒头，少了点当地的特色小吃。\n房间的水的确有泛黄的现象，仅限热水。晚上放出来', '短评打分': 5}
{'短评内容': '这个酒店和其它五星级的比，只是一般吧，没什么特别好，没什么特别不好。让我困惑的是为什么电视机的位置这么低。此外大堂吧的青岛扎啤让德国客人实在难以下咽－－那根本不是啤酒。', '短评打分': 5}
{'短评内容': '房间设备一般，不像5星级装潢，估计也就三星，勉强四星，但餐饮很不错的，餐饮服务人员态度也好', '短评打分': 5}
{'短评内容': '家庭房性价比好，就是本次入住的大房间空调有问题，但酒店及时给换了一个。冬天有游泳池29.5的水温不错。', '短评打分': 5}
{'短评内容': '很好 很方便 吃喝很方便的 周围也还好 风景也是很好', '短评打分': 5}
{'短评内容': '还不错，一直都是订君乐，这个价性价比还不错！', '短评打分': 5}
{'短评内容': '给朋友订的，据说很不错，很舒适；没亲自看到房间内部。', '短评打分': 5}
{'短评内容': '市中心地点佳，但设备不足四星级！价格在400以内性价比就高了！', '短评打分': 5}
{'短评内容': '就地理位置来说，酒店还是非常方便的，内部设施的话可能稍微差点，特别是电视放的位置比较下面，看起来很不习惯。早餐还不错，晚餐的话就不可恭维了，填饱肚子吧', '短评打分': 5}
{'短评内容': '性价比不是很高，外观看着挺新，实际内部设施较老，房卡打不开门，说马上让服务员来开门，等半天不来，还得自己跑前台去整，洗漱用品用掉了第二天也不给补，还得自己打电话要 ', '短评打分': 1}
{'短评内容': '硬件还不错', '短评打分': 3}
{'短评内容': '我认为这家酒店环境很好，繁华的地段和内部设施很华丽。服务也是一流的。', '短评打分': 5}
{'短评内容': '服务很好，环境也很好，就是觉得电视频道太少了，希望改进一下。', '短评打分': 5}
{'短评内容': '酒店在市中心位置，周围也有百货公司，买东西相当方便，服务良好', '短评打分': 5}
{'短评内容': '＋非常好！', '短评打分': 3}
{'短评内容': '房价附早晚岁是可以的了', '短评打分': 3}
{'短评内容': '比较气派的酒店\n  \n位置好交通便利\n\n早餐也不错 在无锡价格相对偏高了', '短评打分': 5}
{'短评内容': '酒店感觉不错，住起来很舒服。步行道商业街非常方便。', '短评打分': 5}
{'短评内容': '位置好，服务好，就是房间稍小了点。前台很有礼貌，大堂很干净，提供的自助早餐品种比较多,下次出差还会选择入住。 ', '短评打分': 5}
{'短评内容': '不是我入住的,但是听说是电视机很厚,跟想象的不一样.', '短评打分': 5}
{'短评内容': '无锡君乐酒店位置非常好，交通很方便，早餐不错，服务不错，就是设施旧了点。\n', '短评打分': 5}
{'短评内容': '很不錯的酒店，地理位置很好很方便，附近有步行街和購物商場... 前台很有禮貌，大堂很乾淨，提供的自助早餐很好選擇多... 房間有點outdated，綠色地毯不太好看，是時候翻新房間設施了', '短评打分': 5}
{'短评内容': 'This is not the best hotel that I`ve been in China, but it`s Ok.', '短评打分': 5}
{'短评内容': '地处市中心中山路，但是比较安静。房间装潢虽然比较旧，但保养得不错，还算整洁。订的家庭房推荐之，很大。早餐还不错，但没有鱼等海鲜，遗憾。', '短评打分': 5}
{'短评内容': '地理位置很好，附近很繁华，吃喝娱乐应有尽有，酒店服务业很好。', '短评打分': 5}
{'短评内容': '位置非常好，服务一流，就是房间稍小了点，设施旧了点。', '短评打分': 3}
{'短评内容': '交通便利，安静干净，服务好，环境好，不错。', '短评打分': 5}
{'短评内容': '上次住的是第10层，设施很旧，房间一股烟味，卫生间过小，房间没有阳光。和实际五星级相差甚远。', '短评打分': 1}
{'短评内容': '价格真的不贵 ，还可以吧。  但是有个问题 中途我离店就餐，按了房间内打扫卫生的按钮，为何回来还是未打扫，这点我很不理解！  另外设施太一般了。   表扬一下 酒店自助餐还不错的，服务态度都蛮好！！  总之还可以吧，就是卫生服务希望改善下！！', '短评打分': 5}
{'短评内容': '全盘利用原来喜来登时期的设施硬件，虽稍有陈旧，但保养不错，这个价格的家庭房2房2厅2全卫厨房大冰箱，是原来设计给常住客人的酒店式公寓，面积大，家庭出游的话性价比没得说。\n新装修的大堂过于简陋，大概是国庆期间，抵达的时候从门口到大堂居然只有一个人在前台，只好自己搬行李，搬了一半出来一个行李生，对小孩态度很不友善，小孩子好奇爬到行李车上，那个行李员很不客气的连声说：下来下来下来。\n早餐丰富，质量也高，', '短评打分': 3}
{'短评内容': '全盘利用原来喜来登时期的设施硬件，虽稍有陈旧，但保养不错，这个价格的家庭房2房2厅2全卫厨房大冰箱，是原来设计给常住客人的酒店式公寓，面积大，家庭出游的话性价比没得说。\n新装修的大堂过于简陋，大概是国庆期间，抵达的时候从门口到大堂居然只有一个人在前台，只好自己搬行李，搬了一半出来一个行李生，对小孩态度很不友善，小孩子好奇爬到行李车上，那个行李员很不客气的连声说：下来下来下来。\n早餐丰富，质量也高，', '短评打分': 5}
{'短评内容': '+推荐入住', '短评打分': 5}
{'短评内容': '早饭和晚上的自助餐很好就是游泳池的水比较脏，地面清洁必须要。\r\n游泳时，很多地面的尘都看得到。有一点失望。', '短评打分': 5}
{'短评内容': '地理位置很好,酒家很新,也很干净', '短评打分': 5}
{'短评内容': '+感觉不太值那个价格', '短评打分': 5}
{'短评内容': '给朋友定的，没有亲自住过，但是听说还可以。', '短评打分': 5}
{'短评内容': '位置不错，早餐丰富。设施旧了点，房间略小。', '短评打分': 3}
{'短评内容': '不错的酒点,价格便宜些就好,交通位置很好,方便,服务也行,值得入住,', '短评打分': 5}
{'短评内容': '位置很好，早餐很丰富。房间不大，设施比较老。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通很方便。但房间里面的设施有点配不上五星 特别是床实在是有点小哦 ', '短评打分': 1}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '此酒店就是位置好，交通便利，早餐不错。其他一般。', '短评打分': 5}
{'短评内容': '位置很好的酒店，大厅及公用部位新装修的，房间的设施稍显过时，但保养得很不错。服务也可以！', '短评打分': 5}
{'短评内容': '比较一般 不是很舒适 如果为方便在中心 还可以', '短评打分': 5}
{'短评内容': '位置不错,早餐超出期望，品种比以前多，游泳池很舒服！', '短评打分': 3}
{'短评内容': '相当的不错～～一家三口来的话非常合适！设施稍显旧～不过很大气～', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '住的是家庭房，107面积，两间卧室，两个客厅，客厅走廊，酒吧台，两个卫生间，三个电视机。三份免费早餐，八百多的价格有这样的房间感觉性价比非常好。推荐一家三口无锡市中心旅游。地理位置非常好，可以见地图。', '短评打分': 5}
{'短评内容': '单人入住的话还有含有一份晚餐，这个不错', '短评打分': 3}
{'短评内容': '酒店位置比较好，离崇安寺比较近。早餐不错，服务也很好。客房家具较旧，电视机不是液晶的，而且电视频道不多。', '短评打分': 5}
{'短评内容': '位置好，服务也很到位，就是房间内设施比较陈旧', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 3}
{'短评内容': '不错，住好几次了', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店还不错就是感觉设施有点旧。', '短评打分': 3}
{'短评内容': '可以和三星级的比比。', '短评打分': 1}
{'短评内容': '有点旧', '短评打分': 5}
{'短评内容': '内部环境非常好.\r\n只是酒店外面从去年我去住到现在都在搞建修，不知道为什么这么长时间都没完成建修.', '短评打分': 3}
{'短评内容': '酒店不错，服务也挺好。就是房间设施不是很新了。', '短评打分': 5}
{'短评内容': '各方面都好，就是酒店周边在搞建修，而且我09年住了一次，现在是10年5月了，外面的建修似乎一点没有进展。\r\n地下停车场简直就是垃圾。\r\n大堂比较气派，但是就是太简单了点，没有给等候的人太多坐的地方。\r\n内部设施很好，就是周边的环境差。', '短评打分': 5}
{'短评内容': '第一次入住,据说以前不叫这个名字\r\n餐厅很一般,西餐只有自助餐', '短评打分': 5}
{'短评内容': '酒店环境卫生等各方面均不错，床很舒服，性价比极高的酒店，值得推荐！', '短评打分': 3}
{'短评内容': '基本上不错,交通便利,海鲜自助也不错', '短评打分': 3}
{'短评内容': '三个人住酒店的家庭房真的很不错，酒店位置也很好，吃东西买东西都很近，就是早餐很一般，品种太少了。', '短评打分': 5}
{'短评内容': '酒店服务细致周到。', '短评打分': 5}
{'短评内容': '一般 不是很好的   房间有点旧', '短评打分': 3}
{'短评内容': '原来的喜来登,干净,就是老的点', '短评打分': 5}
{'短评内容': '消费卷好象由60减到了40, 性价比不如以前了', '短评打分': 5}
{'短评内容': '性价比不错，床很舒服，早餐也不错', '短评打分': 5}
{'短评内容': '位于市中心，比较方便。房间卫生较好，早餐还可以。可能是入住的人较多，早餐时比较拥挤。', '短评打分': 5}
{'短评内容': ' 性价比不好，但健身房很不错，可惜正在装修！', '短评打分': 5}
{'短评内容': '房间一般，不过送小玩具，不错。餐饮一般，没有星际水准', '短评打分': 5}
{'短评内容': '以前的喜来登，现在价格便宜了，但是服务一般，设施也是一般，门缝非常大。可能是和许多公司有协议价格，貌似很多公司回忆都在这里开，每天早晨很多人吃早餐，有点挤。如果你的咖啡杯边没有小勺而你找服务员要一个的话，要注意了，她可能会给你拿别人咖啡杯上没用过的勺子－虽然并不是不卫生，但感觉不好。', '短评打分': 1}
{'短评内容': '卫生情况一般，位置不错', '短评打分': 1}
{'短评内容': '入住该酒店主要是冲着家庭房和地理位置，虽然该酒店挂牌五星但是酒店的服务实在是有待很好的提高。。。例如：白天房间整理不是很到位  晚间做夜房的阿姨就一个 每次很晚到酒店都要电话打到服务台才过来帮你整理。由于所住楼层过高 房间非常干燥 要求提供加湿器 明明有这项服务 可几次酒店都是种种理由说无法提供  入住两天还停了两次电。。。真是无语', '短评打分': 1}
{'短评内容': '比较旧，一般', '短评打分': 3}
{'短评内容': '不错的酒店 早餐有些退步 下次还是会考虑入住', '短评打分': 5}
{'短评内容': '比较旧', '短评打分': 1}
{'短评内容': '特别是性价比比较好。', '短评打分': 5}
{'短评内容': '酒店地段不错，但房间设施旧了。服务也一般，', '短评打分': 1}
{'短评内容': ' 服务一般，与五星级有一定距离。', '短评打分': 1}
{'短评内容': '位置很好。设施有点旧', '短评打分': 1}
{'短评内容': '位置很好，交通方便', '短评打分': 3}
{'短评内容': '酒店处于闹市区，吃饭、娱乐蛮方便的。', '短评打分': 5}
{'短评内容': '总体来说不错的酒店，卫生干净，设施完善，地理位置交通方便，服务热情周到，性价比不错', '短评打分': 3}
{'短评内容': '我住的还是行政房，确认让人很失望，大堂装修的倒是不错，但是房间实在是太小了，地毯也是脏兮兮的，除了床单和窗帘感觉比别的酒店档次好点之外，其他都不如一些准五星的酒店；连电视机都是很差的，而且摆的位置也不好，太低了，躺下来连电视机的上端都看不到。君乐好歹还是个国际连锁的酒店，但是无锡的这个君乐，我这辈子都不会再去住了。', '短评打分': 1}
{'短评内容': '位置挺好，设施也可以，有免费小猪玩具可以带走，只是电脑有限制不能上网。', '短评打分': 5}
{'短评内容': '服务很好，位置在商业区中心，很方便。但上次住碰到宽带断线，几个小时也没修好。', '短评打分': 5}
{'短评内容': '酒店位于市中心,交通挺方便的,内部的住宿条件也都还可以,房间也蛮干净的,可以推荐的.', '短评打分': 3}
{'短评内容': '如果没有60返现, 性价比就差了一些', '短评打分': 5}
{'短评内容': '总体上不错，只是部分在装修，人气也不是太足。电视机有点小，频道有点少。其他就都很不错。特别是早餐不错，地理位置好。', '短评打分': 5}
{'短评内容': '还不错，中规中矩', '短评打分': 5}
{'短评内容': '三阳广场附近总体还可以的酒店', '短评打分': 5}
{'短评内容': '基础设施有点陈旧了，其他还好。', '短评打分': 5}
{'短评内容': '当个别楼层字装修，整个楼道里弥漫着橡胶的气味， 电视也很老旧', '短评打分': 3}
{'短评内容': '整体的住宿环境陈旧，而且在当时装修，有很大气味，价格与房间装修和摆设不是匹配，地段到很便利', '短评打分': 3}
{'短评内容': '三阳广场附近性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店的卫生服务都很好，房间的配置硬件设施舒适度比较一般，房间面积小，地理位置很好出行比较方便，价格合理适中，还是推荐入住》', '短评打分': 3}
{'短评内容': '酒店还可以吧,可能就是年限比较久了,感觉有些陈旧,不过软件方面还是不错,价钱也还算合理.', '短评打分': 3}
{'短评内容': '各方面都不错，只是门口的路面需要整修一下。', '短评打分': 3}
{'短评内容': '非常干净，位置很好。 价格还凑合。 硬件没得说，只门口的路比较脏，不知道是不是刚建好的原因', '短评打分': 5}
{'短评内容': '酒店位置、硬件是很好的，不过细节上还有很多需要完善的地方，比如：房间内牙刷质量就很差，简直连一半三星级的都不如。还有，早餐质量也不咋样，品种是少的可怜！！！', '短评打分': 5}
{'短评内容': '酒店地理位置很好，交通极为方便，附近有很多的商场，卫生很好，就是酒店目前正在装修，房间里空气不是太好。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '入住的是行政房，房间小的比一般3星的差不多，房间小加上卫生间更小，房间设施陈旧，而且还算行政房！么住过这么差的行政间，性价比极差。不过服务还是可以的，早餐还算丰富，加上退房时间可以延迟。。。总算心里还平衡点。', '短评打分': 1}
{'短评内容': '设施不错！', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施舒适度都还不错，卫生服务都很达标，价格合理适中。出行交通也很方便，位置也很好，值得推荐入住。', '短评打分': 3}
{'短评内容': '入住21楼行政楼层,服务非常好,可以在21楼早餐,而且被提醒可以在21楼快速check-out (后来知道check-in也可以),随口跟21楼说需要出租车,结果到一楼一看,出租车已经在等待,所以非常高兴.这种服务值得表扬.\r\n以后到无锡,还会选择无锡君乐酒店', '短评打分': 5}
{'短评内容': '酒店房间内味道很重,其它还都挺好,交通方便,服务也不错,设施也齐全', '短评打分': 5}
