{'descr': '还不错，算是周边有档次的了。', 'star': 5}
{'descr': 'P酒店有很大停车场，就是床上用品太差', 'star': 3}
{'descr': '停车方便，场地很大，酒店比较新，房间很大，设施新，干净，很好。\n\n', 'star': 5}
{'descr': '相当的不错，唯一能找出点不足的就是毛巾该换了。', 'star': 5}
{'descr': '环境不错,停车方便.因为新开的,地段不错,价格有点偏贵', 'star': 5}
{'descr': '很好的地方。挺干净。', 'star': 3}
{'descr': '很棒的酒店 房间很大很干净 位置也不错', 'star': 3}
{'descr': '  物美价廉', 'star': 3}
{'descr': '去开封游玩探亲的第一选择，交通极为便利，去郑州，去火车站，新郑机场开车都方便。房间也卫生，只是空调不是全年开放的，空气差的时候没法通风换气，这点不好。', 'star': 5}
{'descr': '房间挺大、干净安静、洗澡水也大、就是被子不太舒服，总体不错。', 'star': 3}
{'descr': '房间干净，交通方便，停车场大，只是房内设施简陋一些，总的还是不错的。', 'star': 5}
{'descr': '房间很新，住的家庭房，一张大床一张小床，感觉大床小点。停车场很大，离高速近，适合自驾。', 'star': 3}
{'descr': '很大很舒服', 'star': 3}
{'descr': '房间干净，交通方便，停车场大，很好。', 'star': 3}
{'descr': '房间挺大，设施偏少一些，早餐15元，品种有些少，停车方便，停车场超大，和开封市商业银行楼，出去对面30路车直达清明上河园，5.7KM，斜对面开封市发改委北黄家老店，东100米左右也是百年老店邢家锅贴，个人感觉邢家锅贴比黄家老店干净些，性价比较好。', 'star': 5}
{'descr': '环境位置都挺不错的，要是去河大新校的话，住在那里是个不错的选择哦', 'star': 5}
{'descr': '酒店开业不久，设施比较新，电梯刷房卡才能使用，管理不错、酒店座落于开封的高楼上城市景色尽收眼底，不过我住的房子墙面有裂缝，让人心理有些少些不安。', 'star': 5}
{'descr': '干净，卫生，不错。', 'star': 3}
{'descr': '方便 卫生 好', 'star': 3}
{'descr': '很好很干净', 'star': 3}
{'descr': '酒店很好,整洁', 'star': 3}
{'descr': '停车方便，酒店服务也还可以，房间很大，就是家具少了点，放行李不的地方很局促。\n网上传说酒店旁边的地锅城去尝试了一下，不咋地，其实就是煎饺。\n倒是距离酒店两站路的黄家小笼包挺有特色，个人以为香菜肉馅的做好吃，去哪里吃小笼包做好自己带点好茶，饭店里提供的茶不好喝。还有红薯泥虽说是他家特色，可是太甜了！', 'star': 5}
{'descr': '停车方便，房间也很大，就是酒店内的设施少了些，都没地方放行李了。\n如果自己开车的话还是不错的选择，可是如果自己坐车的话，酒店的位置还是远了点。\n', 'star': 5}
{'descr': '经过无数次对比,最终选择了汉庭。房间干净、卫生，就是距离市中心有点远，停车场较大，比较适应自驾游。周边环境不错,有开封第一笼、邢家锅贴、黄家包子，吃饭非常方便，强烈推荐邢家锅贴', 'star': 5}
{'descr': '还行吧，可能因为开封这家是新开的，服务不是特别周到。\n房间挺大，挺宽敞\n', 'star': 5}
{'descr': '酒店设施不错 上电梯还要刷卡 让人感到很安全 早餐15个人觉得还行 离中心还是有点远 会推荐给朋友', 'star': 5}
{'descr': '属于正常的连锁 房间设置不错 比一般的汉庭要稍微大点 ……', 'star': 5}
{'descr': '宾馆还干净,但房间设施太简陋,没个沙发,还有就是洗手间透明玻璃,没有锁,还是有些不习惯,总体来说还算可以,但这个价格不实惠!!', 'star': 5}
{'descr': '很好，能尽全力满足顾客的需求，虽然是加盟店，但传承了汉庭的规范，楼下大堂有很大片的上网区域，房间设施也好，特别是洗手间，楼面上还设洗衣房，和茶水间，提供冷热净水，比较方便，宽带无线与有线都有，很好满足上网需要，很爽，下次还会入住或介绍，旁边的公交线路也非常发达，到哪都方便，赞一个，希望保持品质。', 'star': 5}
{'descr': '设施比较新，安全。位置在开封财政局旁边。', 'star': 5}
{'descr': '酒店的外部环境很好，停车方便，一大片绿地和一个广场，晚上很多孩子轮滑，看着很过瘾。房间内能看见金明池。附近有开封“第一楼”灌汤包，邢家锅贴，吃饭很方便。酒店内部就是标准汉庭方式，没啥好说的。', 'star': 5}
{'descr': '还不错， 挺干净的 空间也比较大 就是有点吵 隔音效果不好 。', 'star': 5}
{'descr': '酒店很适合自驾游的旅客，有大型停车场，房间环境好，比较新，中央空调很给力。', 'star': 5}
{'descr': '酒店很好，可能是汉庭最好的店了，门口停车场很大，就是晚上有骚扰电话，', 'star': 5}
