{'短评内容': '适合出差旅游住宿', '短评打分': 5}
{'短评内容': '酒店周边环境比较安静，设施也较齐全，周边有小吃一条街。总体来说性价比不错', '短评打分': 5}
{'短评内容': '每次入住如家都有家的感觉，很好，很温馨。', '短评打分': 5}
{'短评内容': '还不错的酒店，卫生很好，就是房间的隔音不好，隔壁的声音很清楚', '短评打分': 5}
{'短评内容': '真的很不错，价位很适中，环境也不错，卫生也挺好的，下次还要去他家！', '短评打分': 5}
{'短评内容': '1。交通便利，离火车站大概只有一公里左右，公交车一元就能到达，走路大概15分钟吧。\n2。购特便利，旁边有个世纪联华超市\n不足之处\n1。晚上太迟了没有公交车不过打的方便，房间提供的毛巾不是很干净，还是自己带吧。洗发水之类如果没有特殊的要求，就不用自己买了，隔音效果不错，就是窗户打不开，有点郁闷！\n总体来说还是不错的，', '短评打分': 5}
{'短评内容': '环境不错，就是周围吃的地方少了点，出租车也比较少经过', '短评打分': 5}
{'短评内容': '环境幽静，不错', '短评打分': 3}
{'短评内容': '干净，整洁，交通还算方便，还是不错的，毕竟是如家品牌\n', '短评打分': 5}
{'短评内容': '周围环境较清静，离闹市区又不远，房间也比较宽敞干净，', '短评打分': 5}
{'短评内容': '环境干净，就是房间隔音太差，靠马路的网上比较吵', '短评打分': 5}
{'短评内容': '太偏僻啦，起步价范围内就很热闹了，但是步行过去太麻烦了，楼下的饭店也巨贵，没什么东西好吃的。整体说来房间还是可以的，干净又便宜。但是附近的设置也太不方便了，打的都要走一里地。', '短评打分': 1}
{'短评内容': '安静，卫生，服务态度好，房间数量应该很多。。走廊好长啊。。好远。。\n周围环境也不错啊，不过没来得及四处逛逛。。\n离火车站比较近，但出租车不好打到', '短评打分': 5}
{'短评内容': '服务和环境都还好…就是走廊太长了…只有一头有电梯…', '短评打分': 3}
{'短评内容': '＋还是如家好，床宽房间大，服务也很好。周围很便利，吃宵夜，买东西，还有美发。', '短评打分': 3}
{'短评内容': '交通还算方便，晚上店门口都是夜宵太给力了，我跟我朋友12点多出来出夜宵，吃到撑···嘻嘻···香味也有人啊！！！！！', '短评打分': 5}
{'短评内容': '很舒服，窗户都是差不多落地窗那种，很大，拉开窗帘视野很好。性价比不错。唯一的就是前台服务员的态度还不够耐心', '短评打分': 5}
{'短评内容': '房间很干净，很实惠，服务也很不错，很值得推荐', '短评打分': 5}
{'短评内容': '的确很安静，房间也还可以，就是走在楼道中间地板有种不稳当的感觉，一如既往如家的风格。', '短评打分': 5}
{'短评内容': '还不错 交通挺方便的 离市中心挺近的 房间感觉很温馨 给个好评', '短评打分': 5}
{'短评内容': '周边环境有点差，夜排档就在边上。房间一般。', '短评打分': 1}
{'短评内容': '这个价位还是不错的，晚上比较安静！如果能提供早餐就更好了', '短评打分': 5}
{'短评内容': '第二次入住，发现大床房比标间小，其它还行', '短评打分': 5}
{'短评内容': '地点很幽静，小桥流水深处，豁然开朗一家，这家只有4层，比较小，房间不算很大，但是比较安静，开车的话，停车地方很多的，打车可能不是很方便。', '短评打分': 5}
{'短评内容': '房间不错，干净舒适，位置也蛮好，就是打车要走点路有点麻烦，还有房间插座太少了。', '短评打分': 5}
{'短评内容': '很好~性价比很高~以后还会来这里的~很推荐 \n\n', '短评打分': 5}
{'短评内容': '还是不错，就是有几个房间插座不够，很不方便，建议加几个插班', '短评打分': 5}
{'短评内容': '很熟悉的一家店，我来绍兴住这里已经有三四次了，楼下大排档不错，比较方便', '短评打分': 5}
{'短评内容': '一直住的，很好的酒店，晚上很安静，除了出租车少一点。但是走到路口即可', '短评打分': 5}
{'短评内容': '还是比较安静的，当然，对面的客户有点吵。另外就是房间不能开窗户。', '短评打分': 5}
{'短评内容': '酒店还是新的，东西都很好，房间很干净，布置的也很温馨，不错，下次来还住这个', '短评打分': 5}
{'短评内容': '环境不错，就是小了点……', '短评打分': 3}
{'短评内容': '环境比较安静。空气也比较好！卫生条件也不错啊。', '短评打分': 5}
{'短评内容': '＋很温馨就是比较难找', '短评打分': 3}
{'短评内容': '绍兴摩尔如家温馨,安静,地处交通便利之处,让人有宾至如归之感.很喜欢.', '短评打分': 3}
{'短评内容': '感觉好不错，干净整洁，位置距车站不是很远，但是位置稍微有点不太好找。', '短评打分': 5}
{'短评内容': '交通不是挺方便  但是酒店环境还是很不错 很安静 ', '短评打分': 5}
{'短评内容': '下次还会过来，还不错的一家酒店。希望下次能有机会去迎恩门看看。', '短评打分': 5}
{'短评内容': '酒店相对而言性价比还是很不错的，对面就是迎恩门，情侣过来晚上去逛逛也是不错的。唯一不足的地方是隔音实在太差了，隔壁说话的声音不是从门缝里传过来，而是直接透墙传过来的。', '短评打分': 5}
{'短评内容': '大床房带阳台，很安静，还不错~就是电视老了点', '短评打分': 5}
{'短评内容': 'facility过得去。卫生条件不行, 窗户积灰尤其严重。 还有一个问题, 预定的时候, 显示大床/双床房型, 到店只能按照房态被强制安排, 不怎么有sense吧。', '短评打分': 1}
{'短评内容': '很吵，只是因为价格便宜点菜去住！！！！！！', '短评打分': 5}
{'短评内容': '飘过', '短评打分': 3}
{'短评内容': '酒店环境不错，就是电脑差劲了点能听到隔壁声音', '短评打分': 5}
{'短评内容': '总体管理感觉良好,服务态度还行,卫生条件不错,前台接待还有提高空间.比如接待人员应对酒店周边交通熟知通晓.', '短评打分': 5}
{'短评内容': '有点小遗憾，离工作地点有点远，内饰还是比较温馨的', '短评打分': 5}
{'短评内容': '房间比想象中的好太多，服务也非常好…下次一定再来预定…', '短评打分': 3}
{'短评内容': '干净，物超所值。下次再来住，交通方便，只是停车场不是很好。', '短评打分': 5}
{'短评内容': '服务态度很好，房间很干净，而且价格还比较优惠', '短评打分': 5}
{'短评内容': '环境挺好 干净 设施也完善 交通也方便', '短评打分': 3}
{'短评内容': '性价比还好啊性价比还好啊性价比还好啊性价比还好啊', '短评打分': 5}
{'短评内容': '大床间蛮舒服，桌台设计蛮合理很方便，下次来绍兴还会住', '短评打分': 5}
{'短评内容': '周围比较安静，不过空调的制冷效果确实有待提高，竟然是个不知名牌子的空调，价格比较合适，出门不大好打车', '短评打分': 5}
{'短评内容': '环境不错，但是隔音效果不佳，楼下的大排档吵到很晚', '短评打分': 5}
{'短评内容': '不错，有阳台！很好', '短评打分': 3}
{'短评内容': '很不错！！', '短评打分': 3}
{'短评内容': '总体上很赞，值得推荐，电梯口有绍兴市主要旅游景点的公交信息，很有价值。唯一的不足是隔音欠佳。 ', '短评打分': 3}
{'短评内容': '条件蛮好的，服务态度不错，但是毛巾很旧了', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '总体感觉还可以，只是隔音效果不是特别好，而且我住的那个房间的马桶有点问题，需要修一下。这些工作应该平时检查到位才对。', '短评打分': 5}
{'短评内容': '房间小，连吹风机也没，不如168的好，下次不会先择', '短评打分': 3}
{'短评内容': '虽然房间小点，但是外面有个阳台挺好的，就是位置里市中心有点远', '短评打分': 5}
{'短评内容': '酒店还不错,性价比可以,就是位置偏僻了些,交通不是太方便.房间还是安静的,窗外风景宜人.', '短评打分': 5}
{'短评内容': '性价比很高，前台非常热心，给了很多出行建议', '短评打分': 3}
{'短评内容': '酒店管理混乱，确定好了的房间到了硬说没有。硬件不错，房间虽小但温馨，床很舒服，电视信号不好。', '短评打分': 3}
{'短评内容': ' 如家不错，下次还来!', '短评打分': 3}
{'短评内容': '很温馨的大床房.被子很喜欢.吊灯紫色最爱.', '短评打分': 3}
{'短评内容': '非常满意！虽然所有的如家风格都保持一致，但只是风格，细节上还是有很多差异的。这家应该是我住过如家里最“如家”的，无论布局，大小，地段都是很好的。', '短评打分': 5}
{'短评内容': '蛮不错的卫生，交通同样蛮好，只是会有一点吵，对睡眠质量不好的朋友不推荐。', '短评打分': 5}
{'短评内容': '环境很好 干净整洁 周边比较安静 出门就有大排档', '短评打分': 5}
{'短评内容': '其实真的住过很多次了，该点评也点评完了，两个字：不错。', '短评打分': 5}
{'短评内容': '酒店不错的...交通什么都是方便,酒店比较干净,比较安静..', '短评打分': 5}
{'短评内容': '每次来绍兴都住在如家，，价格实惠，，而且酒店位置也比较好。。。', '短评打分': 5}
{'短评内容': '酒店位置还可以，旁边吃饭的地方挺方便，就是设施有点旧了', '短评打分': 5}
{'短评内容': '喜欢这家的安静,但是有旅行团包了.出来打车下大雨,等了好久', '短评打分': 3}
{'短评内容': '酒店挺安静的，楼下公路对面夜里还有排挡，哈哈，不错', '短评打分': 3}
{'短评内容': '还不错，蛮安静的，离市区也不远，毕竟绍兴还是比较小的', '短评打分': 5}
{'短评内容': '不错的地方，地理位置还是可以的，挺方便的，附近还有夜宵摊，挺方便的', '短评打分': 5}
{'短评内容': '干净舒服离火车站近', '短评打分': 5}
{'短评内容': '很安静，多次来住了，就是打车不便。雨中等了二十分钟', '短评打分': 5}
{'短评内容': '环境比较好，晚上还有大排挡可以吃，是比较经济的酒店', '短评打分': 5}
{'短评内容': '这间东向的还不错，有个露天阳台，也很安静。其他还好，早餐吗就很是一般般', '短评打分': 5}
{'短评内容': '翻来覆去折腾了一夜，都没几个小时是睡着的，按理说我5个小时车程，夜里才到应该很累很快睡着了，结果，老是有各种声音，搞的我迷迷糊糊，一会做梦有人进来了，睁眼一看，啥都没有，一会做梦有人从窗户伸进来偷东西了，睁眼一看还是啥都没有，估计刚好那时有人入住，丁玲桄榔的，搞的我似梦非梦的，另外，旁边那家广东粥店，黑店一枚，估计跟周围夜总会小姐勾结的，我们夜宵时，不断有小姐带客人拿去吃，我们一小砂锅排骨粥结账7', '短评打分': 1}
{'短评内容': ' 很好～', '短评打分': 5}
{'短评内容': '不知什么原因，我住的那晚外面比较吵，象是什么工程车的操作声。如果只是偶尔，而不是经常性的吵也没什么。其他方面都还不错。', '短评打分': 3}
{'短评内容': '挺安静的，也干净，夜里没人打扰，而且酒店外公路对面还有排挡，夜里不会饿着，总体不错', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '太小了房间，简直是上当了，下次如果入住一定要住标间。', '短评打分': 3}
{'短评内容': '房间太小，属于市区还可以了，建议所有入住的人住标间', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错大床房有点小如果一个人的话最好也预定标准房，服务还不错', '短评打分': 5}
{'短评内容': '还是不错的选择，很安静，交通也算方便的。门口还有宵夜哦', '短评打分': 3}
{'短评内容': '房间和服务都还不错 就是位置离市中心还是有点远了', '短评打分': 5}
{'短评内容': '不错，安静，环境又好。门口还有夜市，不错。下次去还是这家', '短评打分': 5}
{'短评内容': '如家快捷酒店（绍兴摩尔城店）4楼的房间还是不错的，其他比较一般，小房间太小了 \r\n', '短评打分': 5}
{'短评内容': '如果能免费提供早餐那就最好不过的，那么就更合理一些了。', '短评打分': 5}
{'短评内容': '酒店干净，房间比较小，如果早点能免费就最好的。早点还要12元钱，很不合理。', '短评打分': 3}
{'短评内容': '如果早餐 能免费提供就最好的,这个早餐还要12元 很不好.', '短评打分': 5}
{'短评内容': '交通方便，服务也挺好，挺干净，性价比高，如果要做实惠的就可以选择这家！', '短评打分': 5}
{'短评内容': '4楼的房间还是不错的，其他比较一般，小房间太小了', '短评打分': 5}
{'短评内容': '+离市区景点近，房间干净，除了境外频道看不到，其他都和不错', '短评打分': 5}
{'短评内容': '一共住了2天。本来刚入住的时候觉得各个方面都不错，无论是环境还是设施都很满意。但是住的第一天睡醒来，发现腿上叮了三四十个包，不知道是虫子咬的还是跳蚤咬的，非常的痒，弄的第二天出去玩都没心情了，4,5天后才消肿。', '短评打分': 5}
{'短评内容': '啥都不错，就是打车不是特别好打。。。不过绍兴也不大，一般十元钱之内就可以大想去的地方了', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '如果能提供晾衣的地方就更好了', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设施不错 就是房间太小。位置离繁华地段有点远。', '短评打分': 1}
{'短评内容': '这家如家是我住过的如家中较干净的一家，设施也相对较新。位置也不错，只有一点不好就是网络太慢了，发个小邮件也要半天，有时跟本就发不了。希望改进。', '短评打分': 5}
{'短评内容': '觉得很好，再续住一晚吧', '短评打分': 5}
{'短评内容': '位置有点偏~~~~~~额 价格挺好合理~~~~  外边环境很好 很有水乡的韵味~~~~房间干净还大~~~~~', '短评打分': 5}
{'短评内容': '可以说这家店实在绍兴市区闹中取静的位置，交通应该可以，去火车站和客运中心都不算远，去市区城市广场也方便。主要的不足是房间有点小，不过，4楼的露天大凉台充分让我惊喜了一把。吃饭的话可以去国际大酒店对面有家老汤面疙瘩，味道不错的。', '短评打分': 5}
{'短评内容': '住了两晚，没有吹风机很懊恼，不知道是因为吹风机少还是没有，每次问前台借都说要第二天才有，为什么不每个房间配备一个呢', '短评打分': 5}
{'短评内容': '酒店所在地很安静，房间设施跟其他的如家没什么区别，就是附近吃饭的地方比较少', '短评打分': 5}
{'短评内容': 'yiban', '短评打分': 5}
{'短评内容': '地理位置不错，周边环境挺好，去景点也不远，虽然只能打车。\r\n一贯的如家服务，很舒服很放心。', '短评打分': 5}
{'短评内容': '因为是为外出的长辈订房，以入住人登记的，他们没清楚订房联系人，前台收记身份证也不为他们查找，结果前台只给了一个预订的双标房，其他配了其他房型，也没按预订价，服务欠周。', '短评打分': 1}
{'短评内容': '房间一般', '短评打分': 3}
{'短评内容': '不错不错', '短评打分': 3}
{'短评内容': '很静的地段。晚上逛了对面的古城墙，很有感觉。刚发现了摩尔城的易初莲花，买吃的很方便', '短评打分': 5}
{'短评内容': '很好，新开的，很不错', '短评打分': 3}
{'短评内容': '很好很强大', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'yiban', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '临街较吵！', '短评打分': 3}
{'短评内容': '还行！就是靠街的夜市很吵！', '短评打分': 5}
{'短评内容': '好像房间小了点', '短评打分': 5}
{'短评内容': '因为是连锁酒店，硬件按照如家标准标配的，服务也是统一的：干净、清爽，服务让人如沐春风，保持了如家各地酒店一贯的优点；但是有两个缺点：绍兴当地的公共交通不是很方便，因为路程比较近，出了火车站居然没有出租车愿意把我们载过去，以至于来回都是步行，嗯，步行需要20分钟左右的时间；酒店下面的公建有一家洗车行，每天很早、很晚都在放音乐吸引顾客，蛮吵的。', '短评打分': 5}
{'短评内容': '对面有个古城墙，晚上很静', '短评打分': 5}
{'短评内容': '就是位置有些偏僻', '短评打分': 5}
{'短评内容': '很不错的自驾游的住宿选择,提供免费停车,且周边交通出入都很方便.房间保持如家一贯的干净整洁,性价比不错.', '短评打分': 5}
{'短评内容': '酒店靠火车站很近，我是走过去的，不远，周边环境不错，对面是个古色古香的城门，边上是条河，前台接待和我说步行距离可以到达的地方有个易初莲花的超市~算是很方便，唯一有些特别的地方是晚上在酒店对面晚上有夜排档，临街的房子可能会有点噪音，不过都是2层窗子，4层玻璃，不是太吵，排档的夜宵也比较有特色。总体来说这家酒店很不错~', '短评打分': 5}
{'短评内容': '总体感觉不错，边上也有可以感受绍兴风景和文化的景点，适合散步式地游玩，就是饮食有些不便', '短评打分': 5}
{'短评内容': '相当不错啊，很爽！', '短评打分': 3}
{'短评内容': '不错的酒店，值得推荐', '短评打分': 5}
{'短评内容': '不错还可以、、', '短评打分': 5}
{'短评内容': '酒店房间布置整洁温馨，周围环境也比较安静，离市中心也不远！下次去还会入住。', '短评打分': 5}
{'短评内容': '周边交通环境比较方便，房间较小，但是设施齐全，隔音效果要加强，还算干净', '短评打分': 3}
{'短评内容': '除了隔音不好，其他都还不错。走廊很长，有种在船舱的感觉。', '短评打分': 5}
{'短评内容': '还不比较干净，方便的，服务也可以', '短评打分': 5}
{'短评内容': '空调再暖一点就好了', '短评打分': 5}
{'短评内容': '酒店整体环境不错，卫生干净，设施完善，地理位置交通方便，服务不错', '短评打分': 3}
{'短评内容': '位置虽然不是在太中心 但是离市中心也不远  环境也不错\r\n就是check&#183;in的时候前台弄错了 原来是留到9点的房说是只留到6点\r\n后来查实了一下马上就给安排了一间 \r\n服务员还是比较热情礼貌的\r\n空调制热有点慢 其他都不错', '短评打分': 5}
{'短评内容': '觉得有时打的不是太方便，要去到摩尔城那边打的！总体来讲还不错！', '短评打分': 5}
{'短评内容': '比较干净整洁，不错', '短评打分': 5}
{'短评内容': '酒店的硬件设施我觉得还是不错的，环境方面感觉挺舒服的，价格适中，位置交通挺方便。', '短评打分': 3}
{'短评内容': '住了3个晚上,感觉不错.就是节日期间价格高了点.宾馆的周边环境非常的美丽、清幽。在这一点上比网友们力荐的胜利路锦江之星强。锦江之星交通比较方便，但夜晚比较嘈杂，马路有汽车声。也很不错。', '短评打分': 3}
{'短评内容': '这个宾馆环境很清幽,安静,周围环境很好.单人房子小了点.不错', '短评打分': 5}
{'短评内容': '我要求就住过这家酒店,整体来讲都是很不错的,位置稍微有点偏,不过离我办事的地方还很近,就是房间有小了点.', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以吧，顶楼阁楼房不错', '短评打分': 5}
{'短评内容': '房间有些小，硬件设施还不错，地理位置不太好，有些偏', '短评打分': 1}
{'短评内容': '大床房面积太小。不过自助餐性价比还可以。', '短评打分': 1}
{'短评内容': '酒店还不错，卫生服务都很好，价格也比较合理，就是位置有点偏，交通不是太方便', '短评打分': 5}
{'短评内容': '吵的一塌糊涂，第一次真切感受到江湖传说的如家的不隔音效果！', '短评打分': 1}
{'短评内容': '酒店的整体环境不错，服务有待提高，我办理退房时人比较多，酒店把押金退给我。也开了发票，我是用信用卡刷卡结帐，结果酒店忘记刷的卡了，我都离开了发现没有信用卡签单，给酒店打电话问情况，前台经理说话很委婉让我去酒店从新签（等于我在刷卡付费），我觉得服务有点马虎，我是完全可以濑帐的，想想做人不能这样，既然给酒店打电话，就是要回去给钱的，呵呵', '短评打分': 3}
{'短评内容': '酒店的环境卫生都挺好的,在绍兴的位置出行也很方便,价格也很优惠,还是会考虑入住的酒店类型.', '短评打分': 5}
{'短评内容': '感觉酒店挺好的，干净整洁，服务也很周到，而且绍兴汽车站边上，出行也方便', '短评打分': 5}
{'短评内容': '除了距离城市中心稍远，这个价位说不出缺点了。还有就是别住4层，房顶稍矮有点压抑', '短评打分': 5}
{'短评内容': '酒店的设施还是比较齐全,但是隔音效果不太好,人员服务也比较热情,价格也很便宜', '短评打分': 5}
{'短评内容': '酒店都挺好的,服务很热情,价格也比较合理', '短评打分': 5}
{'短评内容': '经济实惠，性价比可以，值得推荐', '短评打分': 5}
{'短评内容': '这家酒店的环境确实不错，下次我还是会选择如家，要是能像7天一样，把毛巾用封口封起来，可能还会放心点，还有就是可以把洗发精和沐浴露的质量提高点么？？', '短评打分': 5}
{'短评内容': '环境总体是很不错的，东侧是高档住宅小区，很安静。房间之间的走廊不知道用什么板铺的，走的时候声音很响，有时候外面走路，房间里听上去很清楚。\r\n双人床房间不错。房间内的书桌式设计很适合临时看书、读报等，床的颜色搭配也不错。', '短评打分': 5}
{'短评内容': '很好很干净，就是隔音效果不大好', '短评打分': 5}
{'短评内容': '干净卫生，服务也周到', '短评打分': 5}
{'短评内容': '服务卫生挺好的.地理位置不错靠近好多景点,交通挺方便的,价格稍微偏高了.', '短评打分': 5}
{'短评内容': '服务卫生挺好的.地理位置不错靠近好多景点,交通挺方便的,价格稍微偏高了.', '短评打分': 5}
{'短评内容': '酒店隔音太差，旁边的房间看电视什么的都可以听见，太吵了', '短评打分': 1}
{'短评内容': '&amp;lt;P&amp;gt;房间挺干净的,我觉得性价比挺好的,还是如家好,到底是连锁的.至少房间质量有保证!&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;入住时感觉环境还不错. 但是客人最后一天打电话给我说下次不要定这家酒店. 原因是服务态度不好. 还是锦江之星好, 房间大, 而且态度好, 餐厅格局也好, 菜也不错!!!&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;这家酒店非常好&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;1、环境好 坐落在新的小区靠外面马路的3层公寓内 因为还没有人住所以非常安静 而且小区一转弯就是主马路、车站 真是闹中有静 酒店对面就是古城墙 早上起来可以穿过城门 看见护城河、绍兴民居人们悠闲的生活&amp;lt;/P&amp;gt;&lt;br /&g', '短评打分': 5}
