{'短评内容': '不错的酒店！', '短评打分': 5}
{'短评内容': '在普济寺旁边，环境很好，交通方便，整洁，安静。', '短评打分': 5}
{'短评内容': '酒店管理还是比较负责的，提前确认房间，干净的，热水洗澡，还有吹风筒，就是岛上有点潮，有蚊子，不过酒店准备了电蚊香', '短评打分': 5}
{'短评内容': '位置比较好，去各个景区都还蛮近的，旅行团比较多，不算贵啦', '短评打分': 5}
{'短评内容': '在那样的环境中，也算是还可以的酒店了，服务过得去，当然，也别指望硬件有多好，毕竟去的目的不是旅游的', '短评打分': 5}
{'短评内容': '酒店卫生间好像重新装修过了,电视也更新成液晶电视了,感觉比往年住时好。', '短评打分': 3}
{'短评内容': '因为我们想定的都满员了就定了这家。。。这家酒店不太好，空调噪音也大。一晚上都没睡好。真不明白那么大的普陀山就没个好酒店，以后不会去住了', '短评打分': 1}
{'短评内容': '环境还行，就是早上没有热水，喜欢早上洗澡的朋友不建议住这家', '短评打分': 5}
{'短评内容': '不错 近 静 净 交通也方便     食堂也不错', '短评打分': 5}
{'短评内容': '不好。太差。只是在普陀山没有办法做好。只难睁只眼，闭只眼', '短评打分': 1}
{'短评内容': '在普陀山只能忍气吞声了，不是菩萨加持那有今日景象，但好象酒店都没有感恩菩萨的行为。一句话太差。', '短评打分': 1}
{'短评内容': '交通便利  饭店内餐厅很家常很下饭  离普济寺步行最多5分钟', '短评打分': 5}
{'短评内容': '位置是真的不错，进门之后，感觉酒店也不错，貌似没有网上说的那么差，几分钟后就知道原因了，楼板很薄，走起路来，地板会响，担心楼会塌掉，隔音极其差，晚上隔壁打呼噜声，一清二楚。也许还是隔壁的隔壁。赶上香会，800大元，住在这里，感觉说不出来。哈哈。毕竟是来礼佛的。还是不要计较这些东西。说实话，如果再来普陀，三圣堂价格合理的话还是会选的毕竟位置真的不错，到普济寺三分钟路程。真的不错', '短评打分': 5}
{'短评内容': '位置好很方便。。但是硬件软件都跟不上。\r\n服务也不算好，也许是普陀山的酒店太火爆了。', '短评打分': 5}
{'短评内容': '房间有味道.位置还行卫生不够价位有些高,', '短评打分': 1}
{'短评内容': '+还行吧', '短评打分': 5}
{'短评内容': '地毯太脏了，有很重的霉味，其他的还算过得去。', '短评打分': 1}
{'短评内容': '+发错了，这是评价其他酒店的，三圣堂特潮湿，有股霉味，但很安静！周围没卖东西的，不太方便，离普济寺算近', '短评打分': 3}
{'短评内容': '+酒店还不错，离普济寺还算近，周围买东西吃饭挺方便', '短评打分': 5}
{'短评内容': '白天到有公交，晚上去就很难找了.位置是还好的，离普济寺比较近', '短评打分': 5}
{'短评内容': '房间霉味很重，但是地角很好，离普济寺很近，旁边的路就是以前香客朝圣的路，既然来拜佛，就不想那么多了。', '短评打分': 1}
{'短评内容': '酒店设施很旧且伴有蚊子，蟑螂加上前台服务员的冷淡，三圣堂饭店饭店软硬件展现在面前。失望之极。更失望的是对宾客最基本的迎来送往竟然只有迎来有车接，送往自己拿着大包小包坐公交车。很狼狈。', '短评打分': 3}
{'短评内容': '一进入房间，一股霉味扑鼻而来，再看被套上还有霉斑，服务人员的工作很不规范，房间门口明明亮着“请勿打扰”的灯，服务员只当未看见，在未征求得我同意的情况下，擅自开门进入房间，第一次跟他们说过了，第二次仍然这样，使人非常恼火，以后再也不会住这家酒店了。', '短评打分': 1}
{'短评内容': '前台不够热情，蚊子较多，价钱低点就好了', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '还可以，酒店设施一般，环境挺幽静的，离普济寺约5分钟路程，性价比高，价钱适中，估计下次去还能住这。普陀山好的好宾馆实在是太贵了。毕竟是拜佛，算修行了。', '短评打分': 5}
{'短评内容': '酒店没有提供接待服务.在普陀山里其它酒店都有提供，不过硬件条件确实不错，而且服务人员也很周到．总得来说还不错.', '短评打分': 5}
{'短评内容': '很近普济寺', '短评打分': 5}
{'短评内容': '酒店的位置很好，在普济寺对面，卫生服务都很一般。配置硬件设施感觉也没有三星级标准，性价比比较一般，还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '性价比挺高的，就是早饭有点牵强~~', '短评打分': 3}
{'短评内容': '晚上餐贴没海鲜，想吃海鲜要跑到码头的大排档，一点不方便', '短评打分': 5}
{'短评内容': '居然不能刷信用卡！还说和ELONG有签合同的，就是不接受信用卡，预授权是属于ELONG的，房间太小，虽然热水比想象中好，至少洗澡的时候是有的，但五一600多的价格真是太贵了！', '短评打分': 3}
{'短评内容': '位置很好，在普济寺对面，普陀山植物园内，古木参天。周末这个价钱，这个酒店基本情况也还算可以。吃饭不太方便，餐厅主要是供应团队餐，菜量和质量都不太适合一两个人零点。', '短评打分': 5}
{'短评内容': '位置优越，环境一流！平日价格还可以，旺季稍显贵点。早上门前的游客大声交流，影响休息！', '短评打分': 5}
{'短评内容': 'ELONG的信用卡担保不灵，网上提交资料后当场就做预授了，人家CTRIP哪有这么快，直到到酒店没去才会来收预授，急吼吼的，酒店还算好，就是五一价格太贵了，房间有点小，热水8-9点最热，其他时间可能差些，不过影响不大，最不好的是这家酒店不能刷信用卡，都要付现金，这个太差的！', '短评打分': 5}
{'短评内容': '很干净,这是我觉得最舒服的地方,房间不大,但是我不是个介意房间大小的人,性价比还可以,唯一觉得不好的地方就是每次我去餐厅的时候都发现餐厅没东西吃了.我可是在规定的用餐时间去的哦', '短评打分': 5}
{'短评内容': '位置不错，空气好。', '短评打分': 5}
