{'短评内容': '保安态度极差', '短评打分': 2}
{'短评内容': '德翔还是一如既往的好啊，已经来了好多次了', '短评打分': 3}
{'短评内容': '环境很好，很干净，服务态度不错', '短评打分': 3}
{'短评内容': '环境非常不错，离着大连理工大学很近，价格也合适', '短评打分': 5}
{'短评内容': '环境温馨，交通方便！很满意，下次还会来呢！', '短评打分': 5}
{'短评内容': '还可以，但冷', '短评打分': 3}
{'短评内容': '房间很大,很适合一家三口旅游居住，好打车，周边很多小吃店，吃饭不用愁', '短评打分': 5}
{'短评内容': '房间色彩很好，也很干净。洗手台干净，水流也大。就是小贵。', '短评打分': 3}
{'短评内容': '房间不错，水不热', '短评打分': 3}
{'短评内容': '距离学校比较近，去大连理工大学办事很方便。房间没有窗户，这是缺点。', '短评打分': 5}
{'短评内容': '前台服务态度还有待提升！客房卫生条件尚可，但如果不提出要求，浴巾床单等不给换。如果价格能在下调一些会更好。总体还算可以。', '短评打分': 5}
{'短评内容': '除了酒店后面的一楼养狗之外，其他方面在大连理工西门和北门附近来说还是很不错的。', '短评打分': 5}
{'短评内容': '整体感觉还不错，选择这家的主要原因是地点。\n前台的服务态度还有待提高，有时给客人感觉会很冷漠。\n房间还算干净，但打扫的时候如果不说换床单和被罩是不会给换的。另外浴巾和毛巾也是，只是给叠好，并没有更换。', '短评打分': 5}
{'短评内容': '还是挺干净的，服务态度也不错，电脑包差点丢柜台，是她们查了录像给打电话的，非常感谢。就是走廊里总有一股紫菜味，呵呵。我是去海事大学的，住这里相对还是有点远。', '短评打分': 5}
{'短评内容': '很不错，学生家长的最佳选择，交通方便，吃饭地方多。', '短评打分': 5}
{'短评内容': '位置在几个大学附近，吃行很方便，特别推荐适合家庭三人住的一大床+一小床的房', '短评打分': 5}
{'短评内容': '干净 不错 好 干净 不错 好 干净 不错 好 干净 不错 好 干净 不错 好 干净 不错 好 干净 不错 好 干净 不错 好 干净 不错 好 干净 不错 好 ', '短评打分': 5}
{'短评内容': '宾馆还可以，但房间较小，没有付费早餐，想吃得自己找外面的小店，但附近基本没有供应早餐的地方。', '短评打分': 5}
{'短评内容': '凑合吧~大连理工大学国际会议中心没有位置的话，这是最近的酒店。', '短评打分': 5}
{'短评内容': '入住顺利，房间还挺合心意的。对于去大连理工旅游学习考试等需求的人们很是推荐~~~最赞的是沐浴，热水和喷头都很爽啊~', '短评打分': 5}
{'短评内容': '酒店的性价比不错，只是房间里的空调噪音有点大。', '短评打分': 5}
{'短评内容': '距离理工和海事都很近\n隔音不太好 不过好像哪里都这样啊\n总体还是不错的', '短评打分': 5}
{'短评内容': '价格合适，去理工大学、海事学院办事很方便。房间干净。隔音不好。', '短评打分': 5}
{'短评内容': '正常情况下，服务员态度还可以，但是一有问题找服务员，会显得不耐烦。', '短评打分': 1}
{'短评内容': '服务员态度一般。\n双人间有一张大床和一张小床，可以住3个人，很方便。\n隔音效果不是特别好。\n整体来说，还算满意。', '短评打分': 5}
{'短评内容': '住宿环境很好 很干净舒适', '短评打分': 3}
{'短评内容': '因酒店启用时间不长，硬件条件不错，卫生条件不错。总台服务不错，各楼层服务员态度一般。旁边有不同价位的餐馆。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '去大连理工很近，很方便！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '大床房有些小，用的东西都挺干净的，总的来说还可以', '短评打分': 3}
{'短评内容': '房间很干净，但床比较硬。餐饮交通也还比较方便。', '短评打分': 3}
{'短评内容': '酒店的环境和服务都不错，设施也比较完备，感觉挺温馨的，不过相较于它所处的地理位置来说还是性价比稍微低了一些', '短评打分': 5}
{'短评内容': '房间宽敞，卫生干净，酒店环境挺不错！在大连理工大学附近，吃饭方便也便宜，如果去大连理工出差是不错的选择！', '短评打分': 5}
{'短评内容': '很不错。酒店环境比较好，比较卫生，服务员的服务态度一般。房间里面的设施很干净,给人一种温馨到家的感觉!', '短评打分': 5}
{'短评内容': '单人间超级小～但是床很大很舒服，超级干净，被子床单都是干净的味道～淋浴很好～网速很快～整体来说很满意，就是房间太小了。推荐哦～！', '短评打分': 5}
{'短评内容': '条件很好， 每次都住这里，好像涨价了啊！', '短评打分': 5}
{'短评内容': '还不错啦，比较安静，跟以前网友说的一样，中央空提声音很大，住了两天，所以第二天的毛巾很明显是没有换，但还是整理了，总的来说还是不错的！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '前台服务态度一般，房间稍有潮湿，但卫生条件尚可', '短评打分': 5}
{'短评内容': '环境还好，离着大连理工大学很近，就是周围施工，白天有点吵,隔音效果一般', '短评打分': 5}
{'短评内容': '卫生上最不满意的可能就是烧水的水壶了！不干净，从来没用过！', '短评打分': 5}
{'短评内容': '门口的道路有点窄，容易堵车，超东的房子有点吵，大早上的总有人在忙活', '短评打分': 5}
{'短评内容': '服务态度还是可以的，只是效率有点慢，现在可以吃早餐了', '短评打分': 5}
{'短评内容': '每次去大连都在这里住，同样的价格但房间大小都不太一样', '短评打分': 5}
{'短评内容': '离学校很近，吃饭很方便，便宜，环境也还可以', '短评打分': 5}
{'短评内容': '环境不错，很干净，标准间有点小，总得来说还是非常好的，值得推荐，就是离火车站什么的有点儿远', '短评打分': 5}
{'短评内容': '5层居住的时候，噪音特别大，不知道是空调还是排风系统，总之基本上全天24小时嗡嗡的声音，另外墙壁都是隔断，不隔音', '短评打分': 1}
{'短评内容': '这家酒店不错，交通方便，环境优雅，临靠大学，周边临近超市和饭店。', '短评打分': 5}
{'短评内容': '大连德翔宾馆，仅管只住了一个晚上，感觉还是不错的，宾馆设施，交通出行，服务态度均可打85分。', '短评打分': 5}
{'短评内容': '干净，整洁。\n位置在学校附近，适合在校学生出游住宿。', '短评打分': 5}
{'短评内容': '酒店设施新，非常干净，服务也不错，有回家的感觉。', '短评打分': 5}
{'短评内容': '还不错！临近大连理工大学和海事大学，晚上到校园转转海事不错的。', '短评打分': 5}
{'短评内容': '入住几次了，此酒店交通方便，价格便宜。但隔音效果一般', '短评打分': 5}
{'短评内容': '住的大床房，环境还行，就是房间小了一点。上网比较方便，临街有窗，不是很吵。', '短评打分': 5}
{'短评内容': '干净，性价比高', '短评打分': 3}
{'短评内容': '房间不大，没有衣柜，但性价比还不错。。。', '短评打分': 5}
{'短评内容': '酒店位置在大连理工大学附近。就餐很方便。距离火车站30-40分钟车程，机场30分钟左右。\n酒店让人不舒服的地方在于卫生打扫不彻底，几次都是通过垃圾桶空了，判断出已经打扫过。一次性用品经常短缺，用不用是客人的选择，但是这家酒店经常不补充，连卫生纸也要向前台要。虽然每次提出都能及时供应，但一次可以，次数多了终归让人觉得很不舒服。\n\n', '短评打分': 1}
{'短评内容': '酒店离理工大学很近。。也很干净 设施什么的也很好。。。比理工宾馆便宜而且好', '短评打分': 5}
{'短评内容': '酒店房间比一般的标间要大很多，而且很干净，设施齐全，住起来比较舒服，只是网到晚上有点慢，空调有中央空调，还有挂机，双保险！下次我还会到这来的！', '短评打分': 5}
{'短评内容': '酒店还不错，就是房间小了点，地板差了点！', '短评打分': 5}
{'短评内容': '酒店比我想象的干净 只是最后查房结账的时候太慢 等了十多分钟。。。其他还算不错。', '短评打分': 5}
{'短评内容': '＋网络质量不好，别的都还可以', '短评打分': 3}
{'短评内容': '房间比较小，标准间的两张床大小不一样，和同事一起住感觉不爽', '短评打分': 5}
{'短评内容': '整体感觉还行吧，就是房间小，196元有点贵！', '短评打分': 5}
{'短评内容': '地理位置离开市区较偏，房间比较普通，打车不是很方便', '短评打分': 1}
{'短评内容': '热水时热时冷....', '短评打分': 3}
{'短评内容': '环境不错 很干净', '短评打分': 3}
{'短评内容': '清洁人员很热心！', '短评打分': 3}
{'短评内容': '酒店很干净，服务挺好的，打扫很及时，隔音一般，到是没啥影响，推荐', '短评打分': 3}
{'短评内容': '酒店较干净，中央空调没开的情况下也存在噪声较大且不规律，床头柜尽然是三条腿，卫生间仅安装了两喷水头，网络终端可能是移动网，确实不快！', '短评打分': 1}
{'短评内容': '这家酒店具有经济型特点，性价比可以，吃饭也方便，对到理工大学或开发区办事比较方便。不足之处是房间没有凳子，或许是忘了放吧。', '短评打分': 5}
{'短评内容': '环境不错，洗浴水量大，住得挺舒适。附近有挺多吃的地方，离大连理工大学100米左右。', '短评打分': 5}
{'短评内容': '条件好，地理位置很不错，距离大连理工大学很近，晚上睡觉还是比较安静的，房间也比较干净！', '短评打分': 5}
{'短评内容': '就在大连理工西门附近，房间干净简洁明亮，就是没有早餐提供，不太方便', '短评打分': 5}
{'短评内容': '离大连理工西门很近，如果是去学校办事情的话入住还是很方便的', '短评打分': 5}
{'短评内容': '我一共订了4晚，3个房间。标准间一张大床，一张小床，3个人住完全合适。', '短评打分': 5}
{'短评内容': '房间干净，装修简洁、清爽，位置挨着大连理工西门，很方便，值得推荐。', '短评打分': 5}
{'短评内容': '房间很干净，服务不错。\n离学校较近，很方便。', '短评打分': 5}
{'短评内容': '装修很简洁大方，新、干净，大连理工最具有性价比的酒店，推荐。', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '房间比较舒适 但是房间隔音不好 下回还会选择入住', '短评打分': 5}
{'短评内容': '挺舒适的 就是房间隔音不好 下次还会选择入住', '短评打分': 5}
{'短评内容': '挺好。要是房间开通市话就更好了。', '短评打分': 3}
{'短评内容': '挺好的。', '短评打分': 3}
{'短评内容': '房间卫生可以，就是有点吵。但是 距离学校比较的近，如果去学校办事，就比较的方便。', '短评打分': 5}
{'短评内容': '＋挺不错的', '短评打分': 3}
{'短评内容': '房间很舒适也很干净 隔音提高一些就更好了', '短评打分': 5}
{'短评内容': '酒店很干净，附近吃的地方很多，设备比较齐全，很不错。', '短评打分': 5}
{'短评内容': '环境好，干净，周边的吃的饭馆比较多，不足是离着公交车站比较远，总体说很不错', '短评打分': 5}
{'短评内容': '环境相当不错，最主要的是离着大连理工大学很近，办事方便！', '短评打分': 5}
{'短评内容': '环境还好,经常去,只是晚上外面太吵了,睡不着', '短评打分': 3}
{'短评内容': '酒店卫生还是很不错的，唯一不足之处就是隔音不是很好。。', '短评打分': 5}
{'短评内容': '不错，物美价廉，热水很冲很好，下次来大连理工大学还要入住此酒店', '短评打分': 5}
{'短评内容': '位置很好，去大工或海事很方便，设施也不错，价位偏高。', '短评打分': 5}
{'短评内容': '酒店环境跟服务都很好 所处的地理位置也很好 房间很静 和舒服 有种到家的感觉', '短评打分': 5}
{'短评内容': '距离理工大学较近，交通方便；\n房间条件还算不错，采光好；\n价位相比于市内的某些特价酒店，可能稍微有些贵，\n不过靠近学校，也可能是贵的主要原因', '短评打分': 5}
{'短评内容': '酒店还是非常干净的，虽然空间小，还是非常舒适，睡眠不熟的游客千万别来，隔音效果差，用八个字“此起彼伏、此消彼长”来形容，感觉我是那栋楼唯一晚上没动静的旅客，可能周围都是学生的关系吧，欲望较为强烈。。。无语，为此我天天9点半睡眠，也算早睡早起了！', '短评打分': 1}
{'短评内容': '酒店环境不错。住着感觉让人感觉很舒服。以后希望酒店继续努力提高用户体验。', '短评打分': 5}
{'短评内容': '酒店很干净，设备很齐全。尤其喜欢的是床很舒服。整体感觉简洁大方。唯一的缺点是隔音效果不怎么好。', '短评打分': 5}
{'短评内容': '己入住条件不错', '短评打分': 3}
{'短评内容': '酒店B区需出大门，不方便。房间小，但较温馨。下次不会考虑入住。', '短评打分': 3}
{'短评内容': ' 酒店总的位置性价比尚可，服务态度也好。缺点是细节差些，可以以后继续入住', '短评打分': 3}
{'短评内容': '感觉还不错，性价比比较高，到扫卫生的服务员服务意识还需提高，已经快一个上午了，早上从房间里撤下的东西还放在门口，不知道宾馆安排的人少还是什么原因。', '短评打分': 5}
{'短评内容': '服务可以，房间干净但212房间比较吵，夜里还有狗叫声音！', '短评打分': 5}
{'短评内容': '看起来挺干净但经不起推敲，茶盘下有烟灰，床头柜也不干净，俩抽屉本想放东西但一看就是经年未擦了，厕所有五根以上人体毛发', '短评打分': 3}
{'短评内容': '保证顺利入住，条件也挺满意，如果价格能打折就更好了。', '短评打分': 5}
{'短评内容': '前台的服务态度不错。住宿环境也很好。该处距离大学较近，因此平时学生会多一些', '短评打分': 5}
{'短评内容': '  非常满意', '短评打分': 3}
{'短评内容': '很不错的一家酒店，干净，整洁，热水充足，服务员很有礼貌，还有个院子可以停车。以后还会去的', '短评打分': 5}
{'短评内容': '好评！', '短评打分': 3}
{'短评内容': '不是中央空调很温暖， 热水也很好，环境卫生都不错，就是地段不是很方便', '短评打分': 5}
{'短评内容': '这个酒店说实在的真不咋地啊~~完全对不起这个价钱~行了不说啥了~~做生意不容易~', '短评打分': 1}
{'短评内容': '环境不错,就是没早餐!', '短评打分': 3}
{'短评内容': '房间很干净，地理位置也不错，周边有很多小饭馆。就是服务一般，', '短评打分': 5}
{'短评内容': '总体还可以，比较干净。对得起这个价格。就是毛巾有点发黑，被子不太舒服。', '短评打分': 5}
{'短评内容': ' 房间很好 很干净 就是不太暖和', '短评打分': 3}
{'短评内容': '＋房间很干净，总体感觉不错。', '短评打分': 3}
{'短评内容': '房间的设施很新也很干净，性价比也很高，我比较满意。', '短评打分': 5}
{'短评内容': '房间宽敞,干净暖和,很满意,下次还会来.', '短评打分': 3}
{'短评内容': '还可以,环境可以,也还不错./...推荐入住.', '短评打分': 5}
{'短评内容': '网速慢~床单换的不勤~就是位置离大工很近~还满方便的~', '短评打分': 5}
{'短评内容': '离大工很近~方便~没有暖气~只有空调~晚上睡觉就有点冷~', '短评打分': 5}
{'短评内容': '洗澡水温度时冷时热，很难控制！可能是因为人多，所谓的宽带连网页都打不开！空调开到20度，可是屋里一直都是不到20度的样子！', '短评打分': 1}
{'短评内容': '入住成功', '短评打分': 3}
{'短评内容': '还不错，就是房间小了点，不过性价比还可以', '短评打分': 5}
{'短评内容': '房间比较干净 也挺好 就是价格有点高 总体还不错的 ', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '刚刚装修完，味道太大，而且，服务态度真的真的真的。。。。。', '短评打分': 1}
{'短评内容': '昨天入住，离工大非常近。房间装修很温馨也很很干净，房间温度很好，水很热很足，还有吹风机。很满意', '短评打分': 3}
{'短评内容': '距离学校很近，以后还会经常去的 非常好 顶顶顶', '短评打分': 5}
{'短评内容': '还可以，附近吃饭方便，交通不方便,附近没有吃海鲜的地方', '短评打分': 5}
{'短评内容': '前台的服务很好，附近为学生提供的小吃店不好，味道很好！', '短评打分': 5}
{'短评内容': '酒店挺干净的，周围吃的也不少，还是价廉物美的那种。', '短评打分': 5}
{'短评内容': '大床房的房间很干净，很明亮，唯一不足的就是房间有点小。', '短评打分': 5}
{'短评内容': '方便方便方便方便方便方便方便方便方便方便', '短评打分': 5}
{'短评内容': '房间比较大，就是没有早餐。整体感觉还可以', '短评打分': 5}
{'短评内容': '很新，很干净，周围是学校，很热闹，推荐大家去，个人感觉不错', '短评打分': 5}
{'短评内容': '大连德翔宾馆很不错，房间比较大，也比较新，就是离市里有些远，打车大概25元左右', '短评打分': 5}
{'短评内容': '环境不错！物超所值！', '短评打分': 3}
{'短评内容': '靠近大工海事，位置还算不错，回母校办事比较方便。\r\n不过服务很差，就这样发展下去，以后很难长久，现在就靠着新装修的算干净，能吸引客人！', '短评打分': 1}
{'短评内容': '  环境及服务还行 ，中央空调貌似没什么用', '短评打分': 5}
{'短评内容': '+大连德翔宾馆装修较新、价格较高、前台服务教差、周边餐饮较多。', '短评打分': 5}
{'短评内容': '服务态度很好，卫生条件也很不错！推荐下！~~', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '大连德翔宾馆 干净舒适，设施较新。离理工、海事、东财等学校很近', '短评打分': 5}
{'短评内容': '很好，离星海公园很近，坐车很方便，下次还会光临', '短评打分': 5}
{'短评内容': '酒店的条件还不错,综合水平挺高的,性价比还是挺高的.', '短评打分': 5}
{'短评内容': '   干净舒适，设施较新。离理工、海事、东财等学校很近，周围商店饭馆也挺方便的。', '短评打分': 5}
{'短评内容': '+酒店设施很新，住得很舒服，位置也不错', '短评打分': 5}
{'短评内容': '地理位置很好，性价比比较高，去各景点都很方便', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '酒店不错，卫生状况很好。工作人员也很热情。周边还有不少好吃的店。', '短评打分': 3}
{'短评内容': '酒店很干净，性价比还是很不错的，周围有不少吃的地方，买东西也比较方便，附近还有KFC。里面付10元能吃早餐，但早餐实在不怎么样，基本都在KFC解决早餐。', '短评打分': 5}
{'短评内容': '主要是卫生和性价比很高,周边超市等设施挺多的,买东西方便,晚上还有路边小吃,稍晚些也不会饿肚子.', '短评打分': 5}
{'短评内容': '酒店很新,设施也不错,和七天差不多的快捷酒店,前台的姑娘很有耐心,客房的大姐也很朴实.', '短评打分': 5}
{'短评内容': '总体来说还不错，虽然房间不是很大，不过很整洁 ，光线也很好，窗户够大。而且不吵，临近理工，吃饭很方便。', '短评打分': 5}
{'短评内容': '除了离市中心远点 没什么了  挺好的  ', '短评打分': 5}
{'短评内容': '我感觉在这里住没有一点好的感觉啊！', '短评打分': 1}
{'短评内容': '房间不大但是很干净，尤其是卫生间，非常不错。下次还会去住', '短评打分': 5}
{'短评内容': '我去的时候还挺新的，地理位置很方便。去星海比较近，周围是学校，我很喜欢。', '短评打分': 5}
{'短评内容': '房间卫生整洁，服务热情，只是离市区太远，其他方面都不错。', '短评打分': 5}
{'短评内容': '大床房设施有点少', '短评打分': 5}
{'短评内容': '7月26日入住，大堂有好多学生，好像在开会，问过前台，当天值班的前台非常不耐烦，答曰好像天天如此，过饭点人就走了，像一个据点，非常吵闹。好在客房里还比较安静，设施也比较新，卫生较好。', '短评打分': 5}
{'短评内容': '还不错，安静', '短评打分': 3}
{'短评内容': '卫生间很大~~不过很遗憾没有窗户....', '短评打分': 5}
{'短评内容': '感觉面积有此小,性价比还行,虽说硬件和软件条件一般,不过住起来还可以..', '短评打分': 5}
{'短评内容': '很好，很干净', '短评打分': 3}
{'短评内容': '总的来讲，设施还算新，但是总觉得一个没星也不知名的酒店不值这个价钱，何况那个总也关不好打不开的破门！！', '短评打分': 5}
{'短评内容': '第二次入住了，很不错~~', '短评打分': 5}
{'短评内容': '感觉很不错', '短评打分': 5}
{'短评内容': '房间稍微有点小，但是住着比较舒服，周边吃饭的地方挺多的。总的来说，比周围理工大学的宾馆强很多，整体不错。', '短评打分': 5}
{'短评内容': '挺好的，安静，舒适', '短评打分': 5}
{'短评内容': '地理位置不适合本人', '短评打分': 1}
{'短评内容': '酒店房间虽小，但是设施都很新，很干净。靠近理工、海事大学，虽然有点偏西，有406、10路公交车，交通也是很方便的。美中略微不足的是，因为房间比较小，所以没有衣柜，只有一个立式的小衣架。两房的隔音稍稍有点欠佳，但并不影响舒适的居住。要是价位再能优惠点就更好了。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '很喜欢，在旺季里性价比非常高', '短评打分': 5}
{'短评内容': '环境不错，房间比较小但很舒适，价钱再便宜点就好了', '短评打分': 5}
