{'短评内容': '老板娘服务态度很好', '短评打分': 4}
{'短评内容': ' 酒店水准和价格基本成正比 陈设很简单', '短评打分': 3}
{'短评内容': '房内灯具都是坏的，洗澡水温很低，服务人员水平很差，一大早就在楼道内长时间吵闹！', '短评打分': 1}
{'短评内容': '挺不错的~物美价廉！下次去合肥还可以考虑！', '短评打分': 5}
{'短评内容': '酒店很好 房间很宽敞 服务很好', '短评打分': 3}
{'短评内容': '优点:便宜，退房迟。\n缺点：空间小，街边吵。', '短评打分': 5}
{'短评内容': '隔音效果太差,其他倒是还好，蚊子比较多，有点影响睡眠', '短评打分': 1}
{'短评内容': '房间空间很好，也很干净。', '短评打分': 3}
{'短评内容': '还行，性价比较高还行，性价比较高还行，性价比较高还行，性价比较高', '短评打分': 5}
{'短评内容': '住了两晚，设施还不错，卫生也很好，因为忙也没来及拍几张照片。附近有间贾不假包子店可以自己去那吃早餐。', '短评打分': 5}
{'短评内容': '环境不错，离学校比较近。。小吃比较多。。房间环境很好。。床很舒服。。。就是电视稍微小了点。。。。总之很喜欢~', '短评打分': 5}
{'短评内容': '酒店非常干净安静，就是附近逛街购物吃饭都不方便。如果只是路过一晚，还是不错的选择。', '短评打分': 5}
{'短评内容': '酒店非常干净安静，就是附近逛街购物吃饭都不方便。如果只是路过一晚，还是不错的选择。', '短评打分': 5}
