{'短评内容': '地铁直达非常便利，出行首选。早餐还有庆丰包子', '短评打分': 5}
{'短评内容': '，太贵了，价钱太高，商品太贵太贵了，价钱太高，商品太贵', '短评打分': 1}
{'短评内容': '你就可了劲涨价吧！住这里就是冲着交通方便点。看看你们前台服务那个拖拖拉拉、三心二意，再涨价就不住了！', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度很好~酒店环境不错，服务态度很好~', '短评打分': 5}
{'短评内容': '很好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': ':已经多次入住了，交通非常方便。这次订的夫妻房很温馨，很舒适。1千多的房费只含1份早，还要再收100元／人，不太人性化。其他还好！', '短评打分': 3}
{'短评内容': 'lobby在二层，登记入住和退房都处理很快。需要用房卡刷电梯才可运行。房间舒服，虽临街也不吵。可惜不含早。', '短评打分': 5}
{'短评内容': '交通比较方便，房间设施不错，服务也周到。手机信号差，房间窗户打不开不利于通风', '短评打分': 5}
{'短评内容': '交通方便，环境较好，房间设施不错，早餐太贵。', '短评打分': 5}
{'短评内容': '酒店硬件设施很好，交通非常便利，但是房间送的水果盘里边的纸巾皱巴巴的，谁敢用纸巾！', '短评打分': 5}
{'短评内容': '江维杰屠龙胜金志锡江维杰屠龙胜金志锡江维杰屠龙胜金志锡江维杰屠龙胜金志锡江维杰屠龙胜金志锡', '短评打分': 5}
{'短评内容': '马路上的声音有点吵，一晚上没怎么睡，房间较旧，床单什么的感觉有点发黄，不会再住', '短评打分': 3}
{'短评内容': '酒店很安静，交通很方便，下楼就是地铁2号线.', '短评打分': 5}
{'短评内容': '经常住，也点评一下吧，最大优势是位置，早餐尚可，80分吧。', '短评打分': 5}
{'短评内容': '设施齐全，硬件不错的酒店，前台工作效率有待提高', '短评打分': 5}
{'短评内容': '上次预定留言反映说如果有早餐就好了，结果心想事成，这次预定就有了订酒店送早餐的活动，真是太好了！这样的活动应该多多举办。', '短评打分': 5}
{'短评内容': '酒店最大的优势就在于交通方便，位于地铁环线车公庄站楼上，去机场、火车站和主要景点都很方便。但价格也涨得太快了。', '短评打分': 5}
{'短评内容': '帮朋友订的，他反映很不错，如果能提供免费早餐就更好了', '短评打分': 5}
{'短评内容': '酒店不错，交通方便，价格也还算实惠，性价比很高的。', '短评打分': 5}
{'短评内容': '酒店交通方便，位置非常适宜办事需要，房间早餐尚可。', '短评打分': 5}
{'短评内容': '酒店设施、服务都挺好，价格稍贵，但考虑到在这个位置也算合适了。', '短评打分': 3}
{'短评内容': '环境好，地理位置优越，设施服务一流。价格不菲，不易预订。', '短评打分': 5}
{'短评内容': '环境优美，交通方便，服务周全，设施周全，态度热情。', '短评打分': 5}
{'短评内容': '再次入住，可惜的人 虽然紧靠梅兰芳大剧场，也很喜欢艺术，但还是没时间去看一场，希望下一次能看场京剧。', '短评打分': 5}
{'短评内容': '很好的酒店，紧靠梅兰芳大剧场，喜欢艺术的朋友可以选择这里。', '短评打分': 5}
{'短评内容': '很喜欢这家酒店，如果酒店前台的服务态度能再改善一下，就更好了！', '短评打分': 5}
{'短评内容': '闹中取静 交通方便 床好预服', '短评打分': 3}
{'短评内容': '环境好，设备新，只是前台接待人员的服务态度一般。', '短评打分': 3}
{'短评内容': '房间的设施比较新，使用方便。但是房间的隔音不好，无线网络不能覆盖，由于紧靠二环，晚上噪音较大。', '短评打分': 5}
{'短评内容': '交通方便，房间中规中矩，就是装修什么有些陈旧了', '短评打分': 5}
{'短评内容': ' 酒店很好，住着舒适！', '短评打分': 3}
{'短评内容': '恒温水很方便。不过刚好今天入住时，北京非常冷。-2度。所以想泡个热乎乎的盆浴。结果你知道了。。。', '短评打分': 5}
{'短评内容': '交通方便！就在地铁口旁边。不过作为五星级酒店，气度略显不足。', '短评打分': 5}
{'短评内容': '就是没无线，其他都挺好。电视大一点，服务热情点儿。', '短评打分': 5}
{'短评内容': '干净，舒服', '短评打分': 3}
{'短评内容': '现在属于北京性价比比较高的宾馆。地理位置不错。', '短评打分': 5}
{'短评内容': '酒店整体环境不错，装修较新，听说是08年建成的。不过行程安排问题，订了三天，只住了一天。', '短评打分': 5}
{'短评内容': '交通很是便利，就在二环边上，离地铁非常近，就是有点吵，房间很大，略显陈旧 ', '短评打分': 5}
{'短评内容': '帮朋友一家人定的，反映不错，交通方便，设施也比较新。总体上来看这家酒店性价比不错。', '短评打分': 5}
{'短评内容': '位置挺方便的，房间也干净，床很舒服，停车场以前住宿不收费，不知道现在收费吗，也没人提醒，只好交了。', '短评打分': 5}
{'短评内容': '北京远通维景国际大酒店在北京西区办事方便，性价比不错', '短评打分': 5}
{'短评内容': '交通很是便利，就在二环边上，离地铁非常近，就是有点吵，房间很大，略显陈旧', '短评打分': 5}
{'短评内容': '房间好，地段交通方便', '短评打分': 3}
{'短评内容': '今年4次北京，3次住这家，还是因为交通方便，门口就是2号环线车公庄。吃的地方以前觉得周边不怎样，这次朋友介绍却发现了不错的京味儿馆，更加好了。推荐。', '短评打分': 5}
{'短评内容': '感觉酒店设施和服务条件确实不错，只是价格不低。', '短评打分': 5}
{'短评内容': '价格稍微贵了一点，房间也稍微有一点味道，不过总体还不错', '短评打分': 5}
{'短评内容': '周围交通还是很方便，就是感觉性价比稍微差了一点点', '短评打分': 5}
{'短评内容': '一直住女士房，前台客服很好，大浴缸泡澡很舒服，很喜欢。就是早餐种类太少', '短评打分': 5}
{'短评内容': '位置有點偏，附近餐館也不好找。但酒店總體還是可以', '短评打分': 5}
{'短评内容': '房间很大，略显沉闷，环境尚可，卫生也还可以，服务态度也不错，大堂在二楼', '短评打分': 5}
{'短评内容': '有點偏, 附近吃的地方不多, 但房間不錯', '短评打分': 5}
{'短评内容': '多次入住了，非常好，地铁旁的酒店，可以避开北京的拥堵交通，很好。', '短评打分': 5}
{'短评内容': '不多说了，住过很多次了，很新的酒店，位置好，房间合理，睡觉舒服，服务也不赖，就是临街的窗户晚上有大车路过噪音。', '短评打分': 5}
{'短评内容': '到北京如果客户的位置不是太偏的的话 基本都住这家酒店，就是位置号', '短评打分': 5}
{'短评内容': '出差常驻的酒店，位置比较好，出行方便。饭店中午没有自主餐', '短评打分': 5}
{'短评内容': '酒店设施很新，佳通比较方便，早上出门比较容易打车。', '短评打分': 5}
{'短评内容': '位置尚可，内部装修还行，就是前台的位置设置有点怪异', '短评打分': 5}
{'短评内容': '酒店位置非常好，门口就是地铁站，出行非常方便。大床也很舒服。不足的是洗澡放水居然是一会黄，一会透明的。奇怪~~~~', '短评打分': 5}
{'短评内容': '酒店设施还行,就是出入口太不方便了.早餐比较好,品种较丰富', '短评打分': 5}
{'短评内容': '酒店环境和地理位置很不错！地铁站紧邻，出行相当方便！', '短评打分': 5}
{'短评内容': '很好，价位有点高。', '短评打分': 3}
{'短评内容': '可以，下次再来。可以，下次再来。可以，下次再来。可以，下次再来。可以，下次再来。可以，下次再来。可以，下次再来。可以，下次再来。可以，下次再来。', '短评打分': 5}
{'短评内容': '环境不错，很适合办公居住，就是周围没有什么商业区，比较麻烦，不过下次还回去', '短评打分': 5}
{'短评内容': '交通非常方便，下来就是地铁站，出门就是西二环。', '短评打分': 5}
{'短评内容': '酒店很新，离地铁站很近，但是也太偏了点，周围啥都没有', '短评打分': 1}
{'短评内容': '酒店紧邻金融街，办事方便，交通便利，酒店三楼、四楼餐厅不错，下次还会入住！', '短评打分': 5}
{'短评内容': '位置不错，房间设施一般••••••••••••••••••••••••••••••。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还不错，很安静，交通也还方便', '短评打分': 3}
{'短评内容': '地点好，交通方便，出门就是车公庄地铁站，和梅兰芳剧院是一个楼。车可以免费停在地下停车场。去健身房跑跑步，特清净，就自己。没有游泳池～。。。', '短评打分': 5}
{'短评内容': '交通方便，楼下就是车公庄地铁，出门就是二环。但晚上睡觉对噪音敏感的人最好住离二环远的房间和楼层，要不晚上有大车通过。还有，前台接待人太少，只有两个，建议再加俩。', '短评打分': 5}
{'短评内容': '酒店设施比较好，比较新。地下停车免费。酒店在官园桥，紧邻地铁站，交通方便。给升级了房间，挺好的。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总体上不错，地理位置，酒店硬件等等都算好的。但是最近涨价了。性价比略有下降。不过与周边的酒店比较，优势还是明显的，希望价格能再降下来。', '短评打分': 5}
{'短评内容': 'henbucuoa,很不错啊，地理位置很适合办事，房间也很宽敞，服务态度也不错，局势不含早餐，建议以后加早餐。', '短评打分': 5}
{'短评内容': '总体来说不错，很满意！', '短评打分': 3}
{'短评内容': '强烈推荐，交通方便，下楼就是地铁和公交车站，开车就是西二环官园桥和平安大街。房间布置很好。就是大堂小些。还有前台太小，人就俩。前台在二楼，一楼却没指示牌，不应该啊。', '短评打分': 5}
{'短评内容': '酒店位置不错，早上打车好时机较容易的的，离地铁站也进。装修也比较新。这几次北京出差都住这里，不过没有游泳池是个遗憾。还有就是自助餐比较贵。', '短评打分': 5}
{'短评内容': '酒店位置不错，早上打车好时机较容易的的，离地铁站也进。装修也比较新。这几次北京出差都住这里，不过没有游泳池是个遗憾。', '短评打分': 5}
{'短评内容': '酒店很不错，床很舒服。而且给免费升级了套房，感觉很合适。\n早餐也很好，品种比较多，让客人有很多的选择。', '短评打分': 5}
{'短评内容': '酒店设施很好，而且干净，交通便利，紧邻地铁站，服务也是一流的，就是餐饮费用高，往下调整一下就更好了。', '短评打分': 5}
{'短评内容': '酒店位置方便紧邻地铁 内装舒适 条件不错\n 缺点是停车不便！', '短评打分': 3}
{'短评内容': '酒店位置很好，就在地铁站旁边，服务也不错。这次还免费升级到行政房，很满意。', '短评打分': 5}
{'短评内容': '地址不错，办事方便，设施也不错，就是早餐不含在房费，美中不足。', '短评打分': 5}
{'短评内容': '交通便利 非常好了 住的也挺好的舒服，下次也还会来的', '短评打分': 5}
{'短评内容': '靠近梅兰芳大剧院，交通还是比较方便，酒店内部条件设施尚可，可能跟其他一些五星还是略微有些差距吧，大门进来较麻烦。。。', '短评打分': 5}
{'短评内容': '有点贵，尤其是餐厅。要是有游泳池就好了。', '短评打分': 5}
{'短评内容': '地理位置很不错，价格公道，性价比较高，以后还住这里。', '短评打分': 5}
{'短评内容': '缺少大酒店的气度，不是按照酒店的要求设计的。停车指示也没有。', '短评打分': 1}
{'短评内容': '性价比很好 女士房有特点 交通便利  设施新  服务好', '短评打分': 5}
{'短评内容': '条件不错，不次于WESTIN等酒店。我以后还会住这里的。大家可以试试看。', '短评打分': 5}
{'短评内容': '酒店位置很理想，价格偏高。服务水平一般，结账速度太慢。', '短评打分': 5}
{'短评内容': '酒店位置理想，价格偏高。房间有特色，服务水平一般，结账时间太长!', '短评打分': 5}
{'短评内容': '酒店位置很理想，房间有特色。但价格偏高，服务一般。结账太慢。', '短评打分': 5}
{'短评内容': '房间有特色，员工服务水平一般，我的客人在做SPA时还发生投诉。结账时间太长。', '短评打分': 5}
{'短评内容': '交通很方便，出门就是地铁，打车其实还好啦。。就是周围没探索过较多的小饭店，嘿嘿~不太喜欢吃大餐。。\n酒店设施很好啊~就是因为干净舒服，特别舒服，所以才一直选择这家酒店的，性价比很高很高了~而且离金融街很近~~~太棒了~~~~哈哈~~~~', '短评打分': 5}
{'短评内容': '帮别人定的，总体还不错，但价格偏高，地理位置较好\n\n', '短评打分': 5}
{'短评内容': '帮别人定的，总体还不错，但价格偏高，地理位置较好', '短评打分': 5}
{'短评内容': '环境很好，交通便利，性价比高。我到北大医院看病也很便捷', '短评打分': 5}
{'短评内容': '不错，适合商务，内部时尚、颜色悦目，服务周到，餐饮味道佳', '短评打分': 5}
{'短评内容': '除了地理位置（靠近地铁），硬件设施机器卫生设施都一般，下次不予考虑。', '短评打分': 1}
{'短评内容': '价格就不说了，前台服务员工作太不像话了，竟然没有给我保留房间，也没提前通知我，到了竟然给我散客价格，真气人。你们总经理怎么教你的！', '短评打分': 1}
{'短评内容': '再次入住,还是免费升级房型,感觉还是非常好,只是这次少了前台迎宾,哈哈.', '短评打分': 5}
{'短评内容': '地铁边上，交通便利。设施还不错，早餐很贵似乎性价比不高', '短评打分': 5}
{'短评内容': '酒店前台的服务人员态度真的很好，给我调换了行政丽人房。房间很漂亮，性价比也不错。从酒店到地铁2号线步行也就2分钟吧！总体感觉还不错，以后还会考虑住这里的', '短评打分': 5}
{'短评内容': '坐地铁方便，旁边就是2号线，但打的在门口不太容易，需要到马路上拦，设施不错', '短评打分': 5}
{'短评内容': '到附近办事，交通很方便。设施也不错，就是网上预订了在前台CHECK IN时记得给前台说明需要早餐，否则结帐时早餐价格就根本不是网上的价格，这一点和别的酒店做法不一样觉得奇怪', '短评打分': 5}
{'短评内容': '很舒适，环境好，服务热情，设施齐全，所以会推荐', '短评打分': 5}
{'短评内容': '酒店服务和房间环境都很好,因为离办事的地方很近所以下次还会去', '短评打分': 3}
{'短评内容': '总体尚可,大约准五星水平,但性价比不高,980元的行政间收780元较为合理...', '短评打分': 3}
{'短评内容': '很满意，软件硬件都不错，虽然临马路，但双层玻璃隔音非常好！', '短评打分': 5}
{'短评内容': '性价比很高，员工很友善，离金融街太近了，以后建议大家入驻，比金融街酒店便宜多了。', '短评打分': 5}
{'短评内容': '酒店的服务和设施都很满意，然而在门口门口等待的德士就不敢恭维，他们选择去机场或更长途的客人，短途拒载酒店客人要自己到大路边去叫德士；我和太太6月23日带着两个行李箱退房后要了德士去火车站西站，司机把我们抛在西站对面要我们拉着沉重的行李过天桥而不肯让我们在西站下车，理由是怕对面堵车而我在路上打的没碰过这现象，我诚心希望一间好酒店不要被门口的几辆德士团队沾污（他们似乎和酒店保安有默契）。', '短评打分': 5}
{'短评内容': '地点方便、服务有礼、房间设施不错，只是房间偶尔手机信号不是很好。', '短评打分': 5}
{'短评内容': '服务很好，交通很方便。', '短评打分': 3}
{'短评内容': '酒店地理位置极佳，楼下就是地铁口。但是室内装修设计格调不高，显得简陋，其实硬件设施尚可，可惜......', '短评打分': 1}
{'短评内容': '酒店地段相当好，市区中心，临近地铁，出行方便。房间宽敞舒适安静。价格如果能稍优惠更值得选择。', '短评打分': 5}
{'短评内容': '帮同事订的，反映不错，性价比也很高，下次有需要，还会选择这个酒店', '短评打分': 5}
{'短评内容': '多次住了，不错', '短评打分': 3}
{'短评内容': '环境很好，服务很好，就是价格不好，太贵了！', '短评打分': 3}
{'短评内容': '地理位置不错，硬件条件也不错，缺点就是早餐价格有点高，100元', '短评打分': 5}
{'短评内容': '很不错啊，~停车还免费，干净整洁.非常好', '短评打分': 5}
{'短评内容': '2011年5月住，房间设施很好。交通方便', '短评打分': 5}
{'短评内容': '除了贵一些，没有早餐之外，其他无可挑剔。', '短评打分': 5}
{'短评内容': '服务态度很好，房间没有味道，网络免费非常好，比较安静。', '短评打分': 5}
{'短评内容': '想起来了，酒店前台确实态度冷漠，不含早餐的房价确实有点小高', '短评打分': 1}
{'短评内容': '总体感觉还不错，就是出租车不太好叫，酒店门口的出租车居然只跑机场或者其他长途，不拉路程短的客人，这点很不好，既然让这些出租车在你们酒店门口，就应该什么地方的客人都拉，这方面有待酒店提高----我个人认为这部分酒店完全可以做的更好。', '短评打分': 5}
{'短评内容': '酒店位置还不错， 出门就是地铁。 房间设施也挺好。  不过比较吵， 晚上不太安静， 还好我对这方面不算敏感。  还有前台接待的先生小姐态度很一般， 一点笑容都没有， 似乎需要改进。  ', '短评打分': 5}
{'短评内容': '这家酒店服务很好，酒店设施好，丽人房很漂亮，但价钱太贵了点', '短评打分': 5}
{'短评内容': '帮朋友定的，具体环境怎样，不得而知，但可以肯定这是西直门附近价位比较合理的一所五星级国际酒店，可以接待外宾。', '短评打分': 5}
{'短评内容': '地理位置很好.房间.床都很大很好.交通也很方便.酒店楼下就是地铁.', '短评打分': 5}
{'短评内容': '酒店位置非常好，地铁出来就是，房间环境也不错。就是房价不含早餐 。。。\n', '短评打分': 5}
{'短评内容': '酒店設施及服務都可接受, 唯一是地點不好, 附近連餐館都不多', '短评打分': 5}
{'短评内容': '经常入住贵酒店 以前入住的时候感觉很好 各个方面！但是随着时间的移动  可能是这酒店的客人多起来了？还是什么缘故？前台的服务超级不好了！但是客服中心的服务还是很棒的！因为入住就要跟前台的打交道 前台的服务挺让人失望的！', '短评打分': 1}
{'短评内容': '酒店位置很好，紧邻地铁站，就是价格稍高，且不含早餐。', '短评打分': 5}
{'短评内容': '帮老板预订的，他说还不错，只是没有早餐。', '短评打分': 5}
{'短评内容': '帮老板预订的酒店，他说还可以，下次去北京还会去这家酒店。', '短评打分': 5}
{'短评内容': '不错哦，还可以免费停车，交通便利.喜欢这里', '短评打分': 5}
{'短评内容': '服务、地理位置一切都好，稍有点贵，还不带早餐。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '好，常来。', '短评打分': 3}
{'短评内容': '很喜欢这里，尤其是大堂玫瑰金色的门和灯，感觉很高雅，很亲切', '短评打分': 5}
{'短评内容': '酒店位置非常好，地铁出来就是，房间环境也不错。唯有价格较高，且不含早餐', '短评打分': 5}
{'短评内容': '酒店各方面都不错，硬件设施和价格不成正比', '短评打分': 5}
{'短评内容': '酒店较新，服务质量好，价格偏高,房间也还可以，服务有些一般', '短评打分': 5}
{'短评内容': '服务员素质有待提高。', '短评打分': 3}
{'短评内容': '真的很不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '我们领导是比较挑剔的人，能直接让我预订本酒店，说明酒店本身不错。', '短评打分': 5}
{'短评内容': '帮领导预订的，领导直接要求订的酒店，说明应该不错。', '短评打分': 5}
{'短评内容': '帮领导预订的，是领导直接要求的，说明酒店不错。', '短评打分': 5}
{'短评内容': '环境不错 性价比很好 相对同等酒店服务也很好', '短评打分': 5}
{'短评内容': '硬件设施过关 很不错 环境也很好 下次来还会选择', '短评打分': 5}
{'短评内容': '该酒店物有所值，地理位置相当不错，价格也公道，员工很友善。', '短评打分': 5}
{'短评内容': '地理位置还可以，虽然附近吃的实在不多。。。房间设施什么的都很ok', '短评打分': 5}
{'短评内容': '酒店住过很多次！感觉整体服务各方面没什么变化！就是自助餐餐厅，种类和做法略微单调！', '短评打分': 5}
{'短评内容': '   酒店设施可以,早餐很好', '短评打分': 3}
{'短评内容': '环境舒适，床很舒服，而且酒店特别干净，能睡个好觉', '短评打分': 5}
{'短评内容': '性价比特别高，员工非常友善。房间硬件也很不错，以后还是要住', '短评打分': 5}
{'短评内容': '房间很不错，性价比挺高，但已经比以前提价不少。', '短评打分': 5}
{'短评内容': '酒店交通非常方便，就是大堂也太低调了。房间设施比较不错。', '短评打分': 5}
{'短评内容': '酒店各方面都不错，到北京基本住在这里。交通很方便。但现在的价格涨的过分了。', '短评打分': 5}
{'短评内容': '酒店前台只有一张沙发，客人都没地方休息。硬件设施和价格不成正比。', '短评打分': 1}
{'短评内容': '很好，多次入住', '短评打分': 3}
{'短评内容': '酒店较新，服务质量好，价格偏高，我们可以定为定点，是不是价格可以？', '短评打分': 5}
{'短评内容': '酒店的地点不错，房间也还可以，服务有些一般~', '短评打分': 5}
{'短评内容': '酒店的服务不错，行政楼层有茶水吧免费提供水果饮料和沙发座，适合商务会谈。', '短评打分': 5}
{'短评内容': '性价比较高，临近金融界，地铁公共交通就在酒店旁边，商务旅行首选', '短评打分': 5}
{'短评内容': '酒店位置非常好，地铁出来就是，房间环境也不错。', '短评打分': 5}
{'短评内容': '很好，很安静，酒店面积超大。床品也很好，住起来很舒适。', '短评打分': 5}
{'短评内容': '非常好，非常满意。门口是地铁。周围超市和餐厅太少了。', '短评打分': 5}
{'短评内容': '酒店比我去年住的时候涨了150元，不过地理位置不错，出门就是地铁，很方便，打车需要等，门口有的士，但是一般都不拉人，也不知道为什么。', '短评打分': 5}
{'短评内容': '酒店比我去年住的时候涨了150元，不过地理位置不错，出门就是地铁，很方便，这次入住没有给升级行政楼层，高级间很多设施都已陈旧！服务人员的态度也远不及从前，应该改进了！', '短评打分': 5}
{'短评内容': '酒店比我去年住的时候涨了150元，不过地理位置不错，出门就是地铁，很方便，这次入住就是不能上网，酒店人员给看了半天也没修好，还说再派人来，也没来，看来这方面人才太缺了！服务人员的态度也远不及从前了，应该改进了！', '短评打分': 5}
{'短评内容': '服务差点，性价比还行。', '短评打分': 3}
{'短评内容': '地理位置优越，紧邻地铁站，适合于利用公共交通出行人们的需要。酒店服务很好，装修很符合酒店的星级标准，值得表扬的是免费给我升到了行政间，很好。我会向大家推荐的，同时希望能把包早的房价降一点就更好了。祝你们的酒店明天更美好。', '短评打分': 5}
{'短评内容': '服务、卫生、房间、设备均好，交通便利，唯有价格较高，且不含早餐，不太理想。', '短评打分': 5}
{'短评内容': '不多啊，还给我升级到行政间..就是没有无线', '短评打分': 5}
{'短评内容': '酒店旁边就是地铁站，交通非常方便，到机场一个小时就行了。房间装修精致，干净、卫生，前台微笑服务到位。', '短评打分': 5}
{'短评内容': '酒店很新，交通方便，尤其是地铁很方便，我的同事都很满意，也会推荐给其他人。', '短评打分': 5}
{'短评内容': '地理位置优越，房间宽敞，配套和卫生佳。服务到位', '短评打分': 5}
{'短评内容': '位置不错，但装修味道，外部环境不是特别好', '短评打分': 5}
{'短评内容': '位置不错，但外部环境稍微差了点，有装修味道', '短评打分': 5}
{'短评内容': '又一次入住该酒店,感觉非常好,便利方便.价位适中.', '短评打分': 5}
{'短评内容': '不错的说，很干净，价格也合理。街景没得说', '短评打分': 5}
{'短评内容': '环境好，位置好，酒店的服务也不错！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '地理位置不错！环境还行！早餐可以，就是有点贵早餐！', '短评打分': 5}
{'短评内容': '酒店设施很好，比较舒适，虽然临近西二环但是夜里挺安静，唯一的遗憾是早餐不太合口味', '短评打分': 5}
{'短评内容': '在西二环商业中心位置附近，交通方便，酒店管理很好', '短评打分': 5}
{'短评内容': '清洁干净，服务也好，24小时的送餐服务真温馨……', '短评打分': 5}
{'短评内容': '非常好的酒店，值得推荐。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格合理，就是没有早餐。', '短评打分': 3}
{'短评内容': '北京远通维景国际大酒店环境好，地理位置好。门小点。停车也方便', '短评打分': 5}
{'短评内容': '领导推荐的住进去还很不错哦，主要是地理位置里办事很方便，建议早餐便宜一点', '短评打分': 5}
