{'短评内容': '交通方便、价格适中', '短评打分': 5}
{'短评内容': '交通位置靠近市中心，周边餐饮、购物方便。干净整洁', '短评打分': 5}
{'短评内容': '房间都还好，交通便捷，就是窗外的KTV吵的很', '短评打分': 5}
{'短评内容': '房间设计的挺时尚的，面积也挺大，收拾的也挺干净，住的挺舒适的。', '短评打分': 5}
{'短评内容': '酒店位于市中心，出行还是很方便的，服务方面也不错，住的挺满意的。', '短评打分': 5}
{'短评内容': '这的景观房挺不错，挺宽敞挺舒适的。', '短评打分': 5}
{'短评内容': '不错，很好，位置也好，干净，早餐台简单了点。边上就有特色小吃和土特产店', '短评打分': 3}
{'短评内容': '位置不错，蛮干净，也没骚扰，边上有家贵州特色小吃店，基本齐了', '短评打分': 5}
{'短评内容': '位置不错，出行挺方便的，卫生和服务也很达标，总体感觉性价比挺好。', '短评打分': 5}
{'短评内容': '酒店挺不错，房间布置挺温馨，出行也很方便，性价比也不错。', '短评打分': 5}
{'短评内容': '大堂一般环境还可以卫生设施还行，价格服务都差不多。交通比较便利但是不是太好找。', '短评打分': 1}
{'短评内容': '还好，下次继续住着.干净方便安静不错。哦哦哦哦', '短评打分': 5}
{'短评内容': '酒店卫生不错，收拾的蛮干净的，房间硬件设施很齐全，住宿环境还是不错的', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，房间很整洁，服务周到热情，住着还算舒服', '短评打分': 5}
{'短评内容': '酒店环境和早餐不是很好价格倒是挺便宜的但是性价比不是很高，位置还是很好找的，', '短评打分': 1}
{'短评内容': '酒店的外部环境很不错内部环境很一般化，性价比也不高，早餐提供也很差，位置也不好找，酒店看起来就跟快捷键酒店差不多完全就不是星级酒店。', '短评打分': 1}
{'短评内容': '房间的卫生设施都还行，价格也合适，早餐提供的就是比较差。', '短评打分': 1}
{'短评内容': '酒店的室内的条件不太好,软件设施不够齐备.窗户没有窗帘.而且窗户也很小. 楼上好像有KTV隔音效果也不是很好.', '短评打分': 1}
