{'descr': '离机场很近，总体可以。', 'star': 5}
{'descr': '环境恩浩  周围很方便 什么都有 买什么都很方便 ', 'star': 5}
{'descr': '床很软，很舒服，地理位置很好，坐飞机也很方便。', 'star': 5}
{'descr': '离机场近，周围配套好，有公园和超市，吃饭购物的地方也很多', 'star': 5}
{'descr': '酒店的环境很好,楼下很意外的有个超大的购物和吃饭的大商场,还有电影院,不错!唯一遗憾的时,虽然距离飞机场很近,就在眼前,可惜,走路是走不到的,只能借助出租车,如果酒店有车接送会更好!', 'star': 5}
{'descr': '机场对面很好找，周围设施方便，不过机场在修轻轨，打的虽然方便，不过8块的生意让重庆司机很郁闷，能安排接送就好了。\n\n酒店本身设施很好了，200多性价比超高的。', 'star': 5}
{'descr': '环境很好,很意外的是附近有个超大的购物商场,找吃的,很方便,性价比超值!', 'star': 5}
{'descr': '住了几次，感觉很好，早餐不是很丰富，不过可以了。', 'star': 5}
{'descr': '相当不错.房间很大,很上档次,附近就是沃尔马.', 'star': 5}
{'descr': '不错的酒店。值得推荐。\n建议：餐厅的服务质量亟待提高，特别是服务员的素质。', 'star': 5}
{'descr': '条件还行，就是房间稍微有点小，主要是离机场近，方便！', 'star': 5}
{'descr': '房间干净宽敞，挺满意。', 'star': 3}
{'descr': '很好,干净,安静.交通也方便,离机场很近,值得推荐.', 'star': 5}
{'descr': '性价比不错  离机场进 周边商业配套基本齐全   对转机者是不错的选择', 'star': 5}
{'descr': '酒店位置很好，就在机场对面，房间干净，档次较高，非常好，要是说不足的话 就是房间里没有睡衣，电视台里没有国际频道了，这些都是可以改进的。总之  很满意', 'star': 5}
{'descr': '酒店不错。', 'star': 3}
{'descr': '离机场近，周边餐饮方便。房间干净整洁，性价比高。', 'star': 5}
{'descr': '酒店离机场近,用餐也方便。性价比高', 'star': 3}
{'descr': '房间还可以，前台服务快捷，态度好；离机场很近，很方便。早餐一般，服务有待提高。', 'star': 5}
{'descr': '酒店周围环境不错，不过稍有点儿噪音。（住在酒店背面的房间会听到附近建筑物的空调噪音）', 'star': 5}
{'descr': '我住的普通单间 房间不是很大 但是很整洁。可以提前打电话给总台帮你找出租车，周围吃的也挺多的 后面走不了多远就有沃尔玛还有卖烧烤什么的 挺不错的', 'star': 5}
{'descr': '房间干净舒适。设施齐全。服务好。!', 'star': 3}
{'descr': '酒店不错，\n优点：装修比较新，服务人员态度很好，设备设施比较齐全\n缺点：插座不足，电视小了点', 'star': 5}
{'descr': '房间蛮大的，设施都很好，有点档次，去了不会后悔的，就是一开门一股味道，具体啥味道说不出来，很像是菜的味道，这个要注意。\n床很软，很大。毛巾很厚，浴室的热水不是很足。电视也该换了，颜色偏红。\n周边很多设施，在重庆机场就能看到瑞卡的招牌，后面是沃尔玛，M记，屈臣氏，富侨。两百多的价格性价比一般了。', 'star': 5}
{'descr': '打车到机场很近，大概三公里吧，除了离机场比较近一个优点，性价比实在一般！', 'star': 1}
{'descr': '就是房间窗台外面可以装饰一下，其他还可以，隔机场很近，有送机班车。', 'star': 5}
{'descr': '住的是豪华大床房,不错,特别是敞开式的阳台很好.早餐很一般.比较宾馆档次,价格也算高了.', 'star': 1}
{'descr': '酒店布置雅致，用品精致，服务细致。', 'star': 3}
{'descr': '已入住，条件不错！', 'star': 3}
{'descr': '环境不错，设施在区域里算是比较好的，就是价格比较贵', 'star': 3}
{'descr': '很好的一家酒店，就是设施有待加强！居然没有吹风', 'star': 5}
{'descr': '距离机场很近，设施较新，附近吃饭的地方，走路近！下次还会光临。。', 'star': 5}
{'descr': '酒店还可以，去机场比较方便，还有露天的阳台很好。', 'star': 5}
{'descr': '优点：装修比较好，比较干净，卫生间用的是科勒卫浴，有地下停车场\r\n缺点：房间严重不隔音，床上的席梦思太软。卫生间的下水接头不好，有点漏水', 'star': 5}
{'descr': '酒店卫生，位置，整体感觉都还不错，就是隔音效果太差。', 'star': 5}
{'descr': '虽然房间不大，但是布置得很温馨，很干净，落地玻璃，视野很开阔，卫具竟然还是科勒的，离机场很近，有人说有点吵，但我们没觉得，餐厅虽小也很精致，周围吃饭的足浴的商场都有，很方便，价格也不贵，推荐！', 'star': 5}
{'descr': '房间不错,隔音差些,估计是离路边近...', 'star': 5}
{'descr': '酒店没有浴袍，房间很小，没有电吹风。也不借刀叉，不过很干净，其他服务都挺好的', 'star': 5}
{'descr': '位置不错的', 'star': 3}
{'descr': '酒店的位置好，价格呢也不高，只是隔音效果太差！', 'star': 5}
{'descr': '宾馆离机场不远不近，出租不好打，步行还较远，不便。房间适中，卫生不错，性价比高，早餐尚可，转机入住还是不错的。', 'star': 5}
{'descr': '离机场挺近的，赶飞机还是蛮方便的。', 'star': 5}
{'descr': '环境挺舒适的，价格也比较实惠，住的很满意。', 'star': 5}
{'descr': '酒店服务真是很人性化，很细心，服务很周到，值得赞扬。', 'star': 5}
{'descr': '附近环境不错，交通挺便利的，内部环境打扫的也挺干净，价格也挺公道的，住的挺好。', 'star': 5}
{'descr': '酒店很好，服务很周到，住的很舒适，出行也很方便，价格也不贵。', 'star': 5}
{'descr': '酒店还不错，设施挺齐全的，该有都有，住起来挺方便的。', 'star': 5}
{'descr': '我觉得还不错，干净舒适，赶飞机很方便，下次有机会还去入住。', 'star': 5}
{'descr': '房间里感觉不是很压抑，打扫的很干净，设施也齐全，有种家的感觉。', 'star': 5}
{'descr': '服务很好，房间里电视、空调、宽带都有，感觉住的挺舒适的。', 'star': 5}
{'descr': '在瑞卡酒店住了三天，感觉挺舒服的，酒店的设施很齐全，房间里面布置的很大气，而且周围的交通很方便，购物什么的都很方便，服务员的态度也可以！', 'star': 5}
