{'短评内容': 'CCCCCCCCCCCCCCCCCCCC', '短评打分': 3}
{'短评内容': '床很软很舒服，也挺整洁的。到火车站要步行15分钟，再做坐19路到汽车站。才能到乌镇。五芳斋的枣泥粽子配豆浆很有味', '短评打分': 3}
{'短评内容': '宾馆条件一般，距离南湖是在是比较远，对于其宣传的开窗望南湖表示质疑，请商家据实宣传', '短评打分': 1}
{'短评内容': '吃喝交通方便，其他的没什么特色，床特别舒服。', '短评打分': 5}
{'短评内容': '房间挺干净！就是有点陈旧！位置还好！如果习惯安静的朋友就不建议了！', '短评打分': 3}
{'短评内容': '交通方便，不得不说我非常喜欢这个酒店的床。躺下就睡着了。', '短评打分': 5}
{'短评内容': '酒店位置很好，离火车站较近，很方便。', '短评打分': 3}
{'短评内容': '宾馆不错值得推荐', '短评打分': 3}
{'短评内容': '房间挺干净的。隔音也还行。市中心交通便捷', '短评打分': 3}
{'短评内容': '我是4月8号下午两点多预定的标间保留到晚上六点钟，到了这个宾馆是三点多，到了前台办理手续，前台说这个房间已经开给别的客人当钟点房，让我等，等了一个小时后，我让办理好手续进去，居然给我的搞错了，我的房间还有服务员在洗澡，，，真是郁闷，，，住了这么多这么长时间的宾馆还是第一次宾馆这样搞的，，我要投诉', '短评打分': 1}
{'短评内容': '建议入住,价格适中,位置较好, 离餐饮一条街很近.', '短评打分': 5}
{'短评内容': '真垃圾！9楼竟然有蟑螂和小飞虫，说是能望湖，但望了一夜也没看见湖在哪。', '短评打分': 1}
{'短评内容': '整体感觉还行，就是床太软了。性价比还行，可以去住住', '短评打分': 5}
{'短评内容': '环境不错，窗外景色不错，电视，空调都比较给力，靠近火车站，旁边还有一条夜宵街，性价不错', '短评打分': 5}
{'短评内容': '环境好，服务态度不错，性价比高。', '短评打分': 3}
{'短评内容': '环境还行，就是简陋了点', '短评打分': 3}
{'短评内容': '总体不错，就是隔音不咋样，但交通方便，支持', '短评打分': 3}
{'短评内容': '感觉还是不错的。。挺干净  就是热水不给力啊', '短评打分': 5}
{'短评内容': '风景很好，不错，干净清爽，价格实惠！下次去一定还会选择这家酒店的！！\n', '短评打分': 5}
{'短评内容': '已经住过三次了，蛮不错的，到嘉兴会一直选这酒店', '短评打分': 5}
{'短评内容': '能直接看到南湖，挺舒适的，很不错，下次还要订这个酒店', '短评打分': 5}
{'短评内容': '昨天入住了金城望湖宾馆，干净，卫生，安全，开窗就是风景！非常满意。下次一定会再来入住。张', '短评打分': 3}
{'短评内容': '还可以吧，对得起这个价格了，交通便利，在市中心，就是房间地方不算大，一进房间有股抽大烟的味道', '短评打分': 5}
{'短评内容': '装修比较简单，新装修的房型缺少沙发，感觉比较空荡', '短评打分': 3}
{'短评内容': '嘉兴金城望湖宾馆价格优惠，环境也不错，但这个价格算这个档次可以说值得。', '短评打分': 5}
{'短评内容': '地理位置还可以，很方便', '短评打分': 3}
{'短评内容': '经济实惠，出行方便。房间干净、整洁。其他的都还好', '短评打分': 5}
{'短评内容': ' 服务好', '短评打分': 3}
{'短评内容': '晚上可以看见嘉兴的夜景。很漂亮。就是隔音不好。很吵。可能在市中心的缘故。地理位置很不错，。下次可能还会去。', '短评打分': 5}
{'短评内容': '不错，离火车站还挺近的，旁边有逛街的地方，吃饭的地方，挺方便的。', '短评打分': 5}
{'短评内容': '嘉兴金城望湖宾馆位于中山东路与建国南路交汇的闹市区，距华庭商业区及南湖风景区较近，交通及饮食，购物非常方便。虽处闹市但房间里却清静，可以安然入梦。宾馆配置齐全，干净卫生，居住舒适。服务人员态度热情，使人有宾至如归的感觉。如果再有机会来嘉兴，我仍然会选择金城望湖宾馆。', '短评打分': 5}
{'短评内容': '服务还不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置好，靠近南湖，可以看到南湖美景,性价比不錯,下次到嘉兴出差还住.', '短评打分': 5}
{'短评内容': '环境很好，地理位置优越，能看到湖景，设施也不错！', '短评打分': 5}
{'短评内容': '环境还可以，可以看见湖，服务周到', '短评打分': 3}
{'短评内容': '＋整体还可以，就是水不太热，电视都是雪花，床也过软了。不过服务员都还不错', '短评打分': 3}
{'短评内容': '酒店很不错，位置较繁华，且闹中取静，房间很干净，可以看见南湖。', '短评打分': 5}
{'短评内容': '位置较好，靠近南湖，寂静中不乏方便，下次过来，还会继续入住。', '短评打分': 5}
{'短评内容': '服务还不错。就是空间小了些。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，下次到嘉兴出差还住，只是房间床较软，水也不是很大，', '短评打分': 5}
{'短评内容': '服务很好，有数字电视和局域网，可以没有无线网', '短评打分': 5}
{'短评内容': '服务态度不够好，房间还可以，咨询是答应的事情，最终不能够对现\n', '短评打分': 1}
{'短评内容': '性价比不錯,床很舒服,風景也很好,可以看到南湖美景', '短评打分': 5}
{'短评内容': '不错，很干净，只是进去地方不干净，下次岀差再订', '短评打分': 5}
{'短评内容': '要看清\n商务单间和大床房是一个价钱，但商务单间可以看南湖，且不临街，安静，所以订房时一定要看清，不能定大床房，要定商务单间或单间并且是可以看南湖的房间。我就吃亏了', '短评打分': 5}
{'短评内容': '服务态度不好，不会再去！', '短评打分': 3}
{'短评内容': '酒店的房假高出正常房假卫生间透明度太大就象没有什么东西当一下是的。', '短评打分': 3}
{'短评内容': '酒店比较干净，价格也较便宜，适合大多数出差人员暂住', '短评打分': 5}
{'短评内容': '酒店比较难找。房间装修比较陈旧，热水比较小，网速较慢。吃饭还是比较方便，市中心闹事地段。', '短评打分': 1}
{'短评内容': 'kqj满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意', '短评打分': 5}
{'短评内容': '还可以，就是房间挺小的，隔音效果很差，隔壁稍有动静，在房间里，会感觉很嘈杂', '短评打分': 5}
{'短评内容': '视野比较好，可以看到南湖，只是住宿环境稍有不足！', '短评打分': 5}
{'短评内容': '一般般吧，价格摆在那。住的不算太差，也不能算很好、', '短评打分': 5}
