{'短评内容': '好好好的的', '短评打分': 5}
{'短评内容': '值得推荐的酒店,房间大，干净，设施齐全，很不错，地理位置也好。', '短评打分': 5}
{'短评内容': '非常不错，性价比很高的酒店，下次入驻还会选择', '短评打分': 5}
{'短评内容': '物超所值的酒店。位置很方便，离火车站汽车站都很近，楼下就是乐天玛特超市，周边吃饭的地方也非常的多。房间很大，设施很好，床也很舒服，洁具是TOTO的，备品的质量也不错。不足的是，海景房有点名不副实了，只有侧面的一扇小窗能看到远远的一点海，所以不建议海景房，其实海景房就是每个楼层最里头有侧窗的房间。和其他的房间是一样的。酒店早餐很简单，但是味道很好，服务人员也很亲切，还不错。门前有停车位，停车很方便。', '短评打分': 5}
{'短评内容': '十好', '短评打分': 3}
{'短评内容': '新装修的酒店，客房条件不错。周边也比较方便。', '短评打分': 5}
{'短评内容': '交通方便，附近有大卖场，房间大，设施新，价格合理。', '短评打分': 5}
{'短评内容': '特价房还免费升级行政房，爽啊', '短评打分': 3}
{'短评内容': '房间很大，家具都是新的。海景房的确能看到海。缺点：隔音太差，在走廊里能听到房间里的说话声音。', '短评打分': 5}
{'短评内容': '房间里很不错，简洁卫生，地理位置也很好。', '短评打分': 5}
{'短评内容': '远超预期，强烈推荐，房间大，十分干净，床、枕头十分舒服。九天胶东半岛游中唯一愿意使用酒店毛巾。', '短评打分': 5}
{'短评内容': '酒店很新 里面的东西也很新 很干净 感觉很不错', '短评打分': 5}
{'短评内容': '环境非常好，档次很高，这个价位超值，下次还是会住这家酒店！', '短评打分': 5}
{'短评内容': '服务特别好，check in-out的时候都递上一杯茶水，服务员很亲切，服务很周到，亲自送到房间，观察还很仔细，非常贴心。男友准备了一束花，服务员看到还写了纸条祝福，送上一朵小纸花，非常温馨。\n房间也不错，比较宽敞，虽然海景看到的不算多，但是还不错，地段也很好，离烟台山和海都很近。', '短评打分': 5}
{'短评内容': '此酒店性价比极高，干净，舒适，装修豪华，房间面积大，附近餐饮方便，且便宜。强烈推荐。', '短评打分': 5}
{'短评内容': '满怀期望定了两个房间，兴冲冲飞到威海，入住才发现杯具了！信用卡预授权无权限，只能直接结账，如果提前退房房钱不退。\n进到房间才知道所谓的龙萃专享海景房只是能在楼群缝隙里遥望一下海岸线。\n酒店工作人员对于周边环境一问三不知，口口声声说步行十分钟即可到海滨，结果••••••呜呜，根本就是望山跑死马啊！\n绝对是上当了。只能赶紧换酒店了！', '短评打分': 1}
{'短评内容': '挺好挺干净的酒店，四星的享受。', '短评打分': 3}
{'短评内容': '酒店的确非常好，卫生、新颖、舒适，特别是预定也不要押金和银行保证，这点让人比较感动。到达后，你都不好意思不住，哈哈。再来威海还会去这家酒店的，也推荐大家去这家酒店。离汽车站、火车站真的只有三分钟的路程哦。', '短评打分': 5}
{'短评内容': '   总体还可以，但双人间单早不合理，需要调整。', '短评打分': 3}
{'短评内容': '新开业的，硬件自然不差。周边购物餐饮都很方便，离海上公园不远，自驾车更方便，酒后门口有停车位。门童业务不熟练但态度极认真。', '短评打分': 5}
{'短评内容': '“物美价廉”，在威海算是超值了，强力推荐', '短评打分': 5}
{'短评内容': '酒店不错，环境很好。', '短评打分': 3}
{'短评内容': '这个酒店很新，各方面条件都很好，下次还住！', '短评打分': 3}
{'短评内容': '很新的酒店。入住的房间可以看到海，房间很不错。周围很多商场餐厅，很方便。', '短评打分': 5}
{'短评内容': '酒店很新  干净  ~设备齐全 空调也好用   服务员也很不错', '短评打分': 5}
{'短评内容': '真是非常不错的酒店，环境很好，性价比高。下次还会选择维也纳住。', '短评打分': 3}
{'短评内容': '新开的一家酒店，之前有在其它地方住过维也纳这个品牌的酒店，房间很干净，所有东西都是新的，价格不贵，性价比很高，交通很方便，步行至汽车站、火车站就10-15分钟，酒店楼下就有大型商场，非常不错的选择', '短评打分': 5}
{'短评内容': '环境不错交通便利超值享受', '短评打分': 3}
