{'短评内容': '位置较偏', '短评打分': 5}
{'短评内容': '非常好，很干净！服务也很好，地毯像波浪一样，房间设置非常浪漫！', '短评打分': 5}
{'短评内容': '酒店服务态度很好，办事也很周到，卫生打扫也不错，整体感觉挺不错。 \n我入住时预定的标间没有了，免费升到了套房，赞一个！', '短评打分': 5}
{'短评内容': '这个酒店的院子比较大，停车方便，也比较安静，房间卫生也可以。缺点就是游泳池太小了，简直就是一个比较大的澡堂子。', '短评打分': 5}
{'短评内容': '不错的酒店，房间干净卫生，下次还会入住，希望商家加强软性服务，比如说早餐质量。', '短评打分': 5}
{'短评内容': '住宿条件还可以,但早餐不好', '短评打分': 3}
{'短评内容': '较好', '短评打分': 5}
{'短评内容': '交通位置不错，由于客人航班到点很晚，酒店的服务不错。会向朋友们推荐，下次还会订这里。', '短评打分': 5}
{'短评内容': '酒店很好，很干净。', '短评打分': 5}
{'短评内容': '环境很好，地理位置也很好，很容易找到，非常不错', '短评打分': 5}
{'短评内容': '不错，很干净的酒店，最近糖酒会，快捷酒店都3，4百块钱了，他家标间还是300多，很值', '短评打分': 5}
{'短评内容': '酒店不错，环境幽静，卫生、服务都好，酒店工作人员很有礼貌', '短评打分': 3}
{'短评内容': '   非常舒适', '短评打分': 5}
{'短评内容': '酒店服务态度很好，办事也很周到，卫生打扫也不错，整体感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店不错，挺干净的，服务员服务很到位。下次来还会入住。', '短评打分': 5}
{'短评内容': '该酒店环境非常优雅，居住非常舒适，价格也很合理，餐厅的服务员非常热情周到，菜品也很可口，领班还主动给我优惠，我每次居住都是在酒店内用餐，我已多次到该酒店，以后我还会选择到该酒店。', '短评打分': 5}
{'短评内容': '服务态度挺好的，价格稍微高了一些和酒店不是太符合，房间还不错卫生设施都还行吧，就是酒店价格还是高了一些要是再能便宜的话那应该会更好。', '短评打分': 1}
{'短评内容': '当时是去附近办事位置还不错，出行交通方便，价格也比较合理适中，就是配置硬件设施比较陈旧了，建成比较早的酒店了，其它都还好，可以考虑入住。', '短评打分': 5}
{'短评内容': '如果是初次入住，酒店位置不是很好找，在英雄山路上的一个胡同内，房间宽敞干净，就是价位有点高。离我办事的地方比较近，所以选择。', '短评打分': 5}
{'短评内容': '房子设施老了点，服务尚可，位置不在路边，不太好找。与四星级有点差距', '短评打分': 5}
{'短评内容': '酒店服务人员的态度不是很好.去的晚了一些没有行李员帮助推行李.设施陈旧空间也不是很大.主要是因为位置比较方便出行办事,所以才选择了这家不然就不选择了.', '短评打分': 3}
{'短评内容': '酒店的房间面积小了点，但设施方面还是比较齐全的，卫生弄的也挺干净的，整体感觉价格还是比较合适的。', '短评打分': 5}
{'短评内容': '酒店的位置一般,出行交通不是很方便,环境硬件设施还不错,价格适中.', '短评打分': 5}
{'短评内容': '太偏僻。', '短评打分': 1}
