{'短评内容': '位置一般，但是酒店服务人员态度都很好', '短评打分': 4}
{'短评内容': '酒店温泉就一个能泡5个人的池子，就是一个噱头骗人的，房间设施陈旧1，烂酒店', '短评打分': 1}
{'短评内容': '挺不错的，除了晚上八九点钟有唱歌的。其他的都太赞????了', '短评打分': 5}
{'短评内容': '环境优雅，风格独特，居家旅行首选', '短评打分': 5}
{'短评内容': '该酒店环境一般，设备有点陈旧，房间相对来说有点小，但是服务态度挺好的，我本人觉得该酒店其实也挺不错的。', '短评打分': 5}
{'短评内容': '整体还不错。下次可以考虑再来。', '短评打分': 3}
{'短评内容': '酒店位置还是可以，只是设施老了点，大堂热得吓人，蚊子巨多。价格不算太贵，楼下很多小超市和烧烤摊。', '短评打分': 5}
{'短评内容': '第二天是早班机所以最后一天住的这个酒店，离机场只要10分钟。地段不错，穿过花园过马路就是海边，前台服务员告诉我是新装修的房间，木质地板，感觉不错，坐在床上都可以看到海，只可惜发现这个酒店太晚了，不过下次来三亚会首先选择这里的。', '短评打分': 5}
{'短评内容': '我入住的是5樓海景房，海景景觀很好，但室內裝修已稍為變舊，建議安排番新。', '短评打分': 5}
{'短评内容': '酒店很好，离海边比较近，就是价格贵了些，不过还可以接受', '短评打分': 5}
{'短评内容': '三亚华源温泉酒店环境非常好，我已入住。', '短评打分': 3}
{'短评内容': '酒店环境不错，只是', '短评打分': 3}
{'短评内容': '生活很方便.', '短评打分': 3}
{'短评内容': '酒店在海边，比较方便。周边有较多大排档。出行方便。', '短评打分': 5}
{'短评内容': '富翔宾馆干净卫生,服务热情, 价格适中。离亚龙湾很近。', '短评打分': 3}
{'短评内容': '酒店房间比较大，也比较干净，尤其是海景房不仅可以看海，更能看酒店外地游泳池。出酒店南门过条马路就是海滩，的确不错。不过喜欢静的人不宜住，因为酒店东侧一到晚上都是烧烤摊位，比较嘈杂。再有就是早餐太差，而且必须足够三个晚上才能提供免费早餐。', '短评打分': 5}
{'短评内容': '还行，住的比较舒适，离海近，园内景观不错，还有温泉，就是温泉太小', '短评打分': 5}
{'短评内容': '酒店环境不错， 房间很干净， 卫生间小了些， 下次有机会还会入住', '短评打分': 3}
{'短评内容': '酒店离海很近，服务员态度很不错，这个价格算物美价廉啦。', '短评打分': 3}
{'短评内容': '房间除了地毯其他的都还算干净！服务态度也不错！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店性价比比较高', '短评打分': 3}
{'短评内容': '＋内容', '短评打分': 3}
{'短评内容': '多续了一天的房，觉得真的不错。。。。。。。', '短评打分': 5}
{'短评内容': '本来只给朋友入住两晚，结果又加了一晚，看来这个酒店不错。', '短评打分': 5}
{'短评内容': '再加强一下房间卫生，就更好，下次我还会光临。', '短评打分': 5}
{'短评内容': '服务还可以，早餐种类丰富\n就是卫生间稍显小了一点儿', '短评打分': 5}
{'短评内容': ' 服务态度很好。房间硬件差点。游泳池、温泉池住宿客人免费用。我住328元的房。三晚还送一晚。物有所值。', '短评打分': 3}
{'短评内容': '酒店距离海很近，晚上1点到酒店，啥都看不见，但是早上一拉开窗帘很震撼！周边小吃也多，海鲜排档多！晚上周围夜市很热闹！温泉和泳池都还不错。交通方便！老婆住了都不想走！\n酒店设施略显的陈旧，下次来还会入住！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不值四星的价格。。。做活动的房间实在是不怎么样。。。面对市场。。。', '短评打分': 1}
{'短评内容': '酒店不错，环境优雅，离海边也很近！下次有机会再住！', '短评打分': 5}
{'短评内容': '酒店超值,下次再住!', '短评打分': 3}
{'短评内容': '酒店位置不错，离海很近，和其他三亚湾酒店一样。酒店有自己的泳池，这点很好。\n最大的缺点就是早餐太差，当然房间也比较旧，一分价钱一分货嘛。', '短评打分': 5}
{'短评内容': '价格在三亚算便宜的，早餐一般吧！地点离机场很近，到海边也很近。', '短评打分': 5}
{'短评内容': '房间这些还可以,就是门口卖的东西贵了些..吃饭也贵了些', '短评打分': 5}
{'短评内容': '相关设施很齐全，游泳池很舒服总体感觉不错。就是卫生间小了点旧了点。', '短评打分': 3}
{'短评内容': '房子三星标准吧。不太干净。', '短评打分': 3}
{'短评内容': '据反映不咋地，性价比比较低，离海比较远，三亚湾其他可选择的酒店余地很大', '短评打分': 1}
{'短评内容': '不错，比较实惠', '短评打分': 3}
{'短评内容': '这次住的是豪华海景大床房，阳台对着大海，躺在床上就可以看到大海，感觉很不错哦。酒店离机场比较近，穿过一条小马路就是大海，酒店门口的水果比第一市场的要便宜，但离市区不近，吃放不太方便，酒店里的饭不太好吃，酒店附近也没什么好吃的，特别是那些海鲜大排档，又贵又不好吃。', '短评打分': 5}
{'短评内容': '餐厅的服务有点差，好像没有经过什么培训就上岗了，菜都上来了也不知道给餐具，但是前台和客房的服务还是比较好的，有什么需要，都帮我们解决了，态度也很好。', '短评打分': 5}
{'短评内容': '酒店就在海边，过条小马路就是沙滩，很方便。', '短评打分': 5}
{'短评内容': '酒店早餐不行，其他的还好，离海边很近，但是沙滩设施不如大东海的好。', '短评打分': 3}
{'短评内容': '基本上还可以，只是遗憾地是以温泉为营销的酒店让客人泡不了温泉！酒店规定必须要有八个人才开温泉！', '短评打分': 5}
{'短评内容': '还没有入住就已经感受到了华源的温馨服务，电话确认入住、派人接机......拉开窗帘坐在床上就能开到蔚蓝的大海，听到浪涛的声音......站在阳台上还能开到漂亮的园景。正是我理想的酒店。每天躺在沙滩上晒太阳、踩浪花、拾贝壳，还能在酒店的泳池里游游泳、晚上泡泡温泉。这正是我想要的度假生活。', '短评打分': 5}
{'短评内容': '感觉被骗了，名字叫什么温泉酒店，想到第一天来海南找个有温泉的地方先好好放松一下，结果所谓的温泉只开7点到11点，就是4个浴缸烧的热水，最万恶的是只开了两个，看着就转身走了。。。没有换衣服的地方，也不提供毛巾！第一天来就已失望告终！房间也不咋滴，588的房间，还比不上我们那100多的房间！ ', '短评打分': 1}
{'短评内容': '非常满意，服务员态度和蔼可亲，在房间里就可以看到海，院子里的泳池和温泉都很让人喜欢。酒店的价位非常适合一家人自费旅游，下次父母来三亚旅游就介绍他们住这里了。', '短评打分': 5}
{'短评内容': '离机场近，适合住一晚，第二天乘飞机的客人，不适合度假长期居住', '短评打分': 5}
{'短评内容': '酒店早餐不够好，而且早餐主厨的态度也很不好，而且让人很不解的是在元旦当天竟然告知说网络不能使用，说明此酒店的应变力不够，而且我定的房间的冰箱不能使用，消费品都没有', '短评打分': 1}
{'短评内容': '酒店很不错,下次再来住!', '短评打分': 3}
{'短评内容': '酒店地理位置不错，站在我住的房间（豪华双人海景房），蓝天、白云、碧海，一览无遗。酒店服务人员热情，我的笔记本电脑不能上网，很快派人就修理好了。但酒店周边环境不太好，周边小摊小贩较多，由于管理不到位，比较杂乱。因为正在修路，汽车进入酒店的路不太好（一小段）。总体来说，还算比较满意。', '短评打分': 5}
{'短评内容': '我觉得该酒店服务，价格以及各方面环境设施都很不错，离海很近，我很喜欢。下次还来这里', '短评打分': 5}
{'短评内容': '还不错，就是早餐单调些，也对得起这个价格了！', '短评打分': 5}
{'短评内容': '酒店环境很好，前台服务人员  态度很好 很热情，早餐很丰富，也很干净，尤其是当地的紫薯非常好吃 。酒店周围的水果摊价格和第一市场的差不多，但酒店附近的 海鲜排挡价格不实惠  很高 经常是每家都有点虾以非常低于市场的价格吸引人，然后告诉你不多了，到海南吃什么虾啊 得吃别的，劝你吃别的  然后不了解海鲜行情的人就以为其他的海鲜也很便宜就会上当。吃海鲜还得上第一市场然后加工非常便宜 坐车去都划算 。', '短评打分': 5}
{'短评内容': '因飞机航班的原因入住时已是凌晨一点多，不过酒店的前台小妹仍然很热忱的接待我们，服务态度非常好，而且很耐心的回答我们的问题，因我睡眠不好怕吵，特别帮我选了安静的房间，客房虽然有点旧但很干净。特别要赞的是酒店的早餐很丰富，口味也不错，我在后面住的酒店中早餐都没比这儿好的。因为感冒没去泳池也没去温泉体验，下次来再体验吧，总体来说很不错。', '短评打分': 5}
{'短评内容': '酒店不错超过我的预期。位置在三亚市郊，很适合自驾的我们，三亚市中心太堵车，人太多，与我们住惯了的北京相比三亚太小了，所以到哪儿都还方便，不会花太多时间。住安静一点的地方才是度假。早餐一般，桌子上时常会爬过一些蚂蚁，大概环境好很难避免，不过坐在绿树红花边，吹着海风吃感觉不错。服务员态度都很好，泳池也不错，温泉虽不如北方，但有总比没有好。千万别在旁边的大排档吃海鲜，贵不止一两倍，专宰游客还有可能吃到死', '短评打分': 5}
{'短评内容': '    我是9月份来的，这个酒店真的很不错，很便宜，服务好，还有很丰富的早餐，而且还有温泉，我之后住的都没有这里好，以后我还会到这里住的。', '短评打分': 3}
{'短评内容': '根本不符合4星级酒店的标准，顶多就是经济型酒店多了一个游泳池而已', '短评打分': 1}
{'短评内容': '+酒店设施一般,温泉就是个样子,性价比不高', '短评打分': 5}
{'短评内容': '，服务尚可，早餐一般，卫生还好，房间布局差，如卫生间与卧室之间有通气的窗户，卫生间太小，窗帘拉不严，大床房床太小等。 ', '短评打分': 5}
{'短评内容': '离机场很近，如果只是想亲近海的这个酒店很好，如果想玩海上项目的那就要坐很远的车了。', '短评打分': 1}
{'短评内容': '刚刚到酒店，虽然酒店的工作人员我解释了好一会才让我入住，不过态度很好的，酒店的设施真的没得说，真值，很棒', '短评打分': 5}
{'短评内容': '服务真的非常不错，从接机开始一直到酒店的前台，见到的服务员态度都很殷勤，让人很舒服。酒店位置也不错，就在三亚湾海边，里机场也很近，附近有公交车可以直接去机场。酒店的风格也很不错，从装修风格，到格局，到酒店的庭院，都让人想起东南亚国家的酒店。庭院里有泳池和温泉，还看见一对新人在泳池中拍水下婚纱照，呵呵。\r\n唯一不好的就是房间的门锁，用钥匙卡很难打开，换了卡也不行，听见其他客人也有类似的抱怨。\r\n另外', '短评打分': 5}
{'短评内容': '  很晚才到，特别累，醒来才看到短信，酒店不错，谢谢！', '短评打分': 5}
{'短评内容': '酒店性价比高，卫生比较干净，服务好，硬件设施稍微老点，总的来说适合年轻情侣度假悠闲。', '短评打分': 5}
{'短评内容': ' 条件很一般，因为是凌晨入住，温泉等项目都未享受到，早餐可选的不多', '短评打分': 5}
{'短评内容': '这个酒店还不错，环境不错的，离机场也很近，在阳台上可以看海，而且有游泳池和免费的温泉，很舒服。就是离市区有点远，不过去景区的交通还算方便。', '短评打分': 5}
{'短评内容': '地处三亚湾，倒是离机场很近的，酒店房间很大，每个房间都有阳台，晚上坐在阳台上吹吹海风很是舒服，性价比很好', '短评打分': 5}
{'短评内容': '这个酒店是03年建成运营的，因为住了好几个酒店，感觉这个酒店综合来讲还是比较好的，服务热情周到，房间干净卫生，离市区机场也不远，最重要的是海景房价格实惠，早餐也不错！总之下次去还会去住的！', '短评打分': 3}
{'短评内容': '酒店的服务人员态度很好，地理位置离机场很近，早餐也挺丰盛，总之还会再来的！', '短评打分': 5}
{'短评内容': '酒店很干净，海景露台有桌子和椅子，可以供人小憩。送的水果分量足。下次来继续在这里住。', '短评打分': 3}
{'短评内容': '酒店很干净，送的水果分量足。下次来继续在这里住。', '短评打分': 3}
{'短评内容': '住进去当晚感觉一般，太晚了，看不到外面的景色，第二天早上起来一看就喜欢上了，就在海边，人也不多，站在阳台看着海，非常舒服。订时告诉酒店有一个小孩子，酒店给我们安排的房间床是已经拼好的，后来去到西岛有人问住那好，马上就介绍了这个店，而且在住的第二天晚上送来了很多水果，让我们感到很贴心。希望酒店要是住了三天的客人再安排个免费送机服务就更好了！', '短评打分': 5}
{'短评内容': '价格与酒店的配套设施相比，还是比较划算的，而且离海边很近。服务态度非常好', '短评打分': 3}
{'短评内容': '地理位置非常好，步行不到5分钟即可到达海边。酒店有自已的游泳池和温泉，免费的，景色很美。还送了果盘\r\n酒店周边在修道，周边有些脏乱', '短评打分': 5}
{'短评内容': '可以看到海景，房间很清新，舒适，周边还有小吃，下次还来住', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '除第一次来比较难找，进停车场比较困难外，其它都是一流的，有很高的性价比。', '短评打分': 5}
{'短评内容': '位置稍微偏了点，自己开车来得相对方便许多。\r\n总的来说性价比不错。值得推荐', '短评打分': 5}
{'短评内容': '除了前台服务冷淡，早餐不大好吃，其他的都还好。酒店离海边非常近。早上出门吃早餐，2个小时后回来，房间整洁干净，房间的服务员态度很好，我们麻烦了她很多次，也没有怨言。温泉很舒适，可以减轻劳累。总之，是家性价比比较高的酒店，顶。', '短评打分': 5}
{'短评内容': '比较舒服，有温泉，有游泳池', '短评打分': 5}
{'短评内容': '很不错，下次还来', '短评打分': 5}
{'短评内容': '推荐给朋友，不错的选择', '短评打分': 3}
{'短评内容': '舒适，很不错', '短评打分': 5}
{'短评内容': '满意点：酒店的服务很好，服务员很热情，也很周到。我连住了三天，第二天酒店还送了水果；设施还可以，有温泉泡，免费的；早餐免费，虽然不太好吃，不过还可以接受；\r\n不满意点：酒店的餐厅的饭实在是太贵，而且不好吃，种类又少，就连一个尖椒土豆丝还22块！酒店地点处于三亚湾，离天涯海角还近一些，不过离大东海就远点了。\r\n总结：总体来说，酒店我还是向大家推荐。希望酒店不断完善自己，更好的为顾客服务。', '短评打分': 5}
{'短评内容': '相对比较好', '短评打分': 5}
{'短评内容': '我们是第二次入住华源度假酒店,感觉很不错.酒店的设施和环境都好,交通也方便,出门就可以坐新国线,到三亚市,天涯海角和南山寺均方便.早餐品种很多,也很可口.中,晚餐虽然品种不多,但价格不高,比周围大排挡价位低,比小吃店卫生.如果您不是美食家,这里的餐饮还是可以选择的.住店期间还赠送了水果.酒店服务不错,我们房间里卫生间的锁坏了,电话后很快就来维修.这次因为我们人稍多,还有小孩,酒店还安排了接机服务,', '短评打分': 3}
{'短评内容': '我们是第二次入住华源度假酒店,感觉很不错.酒店的设施和环境都好,交通也方便,出门就可以坐新国线,到三亚市,天涯海角和南山寺均方便.早餐品种很多,也很可口.中,晚餐虽然品种不多,但价格不高,比周围大排挡价位低,比小吃店卫生.如果您不是美食家,这里的餐饮还是可以选择的.住店期间还赠送了水果.酒店服务不错,我们房间里卫生间的锁坏了,电话后很快就来维修.这次因为我们人稍多,还有小孩,酒店还安排了接机服务,', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '这个酒店是我住过最烂的，很旧，也很差，办理住店手续和退房手续都是超级的慢的', '短评打分': 1}
{'短评内容': '房间设备较陈旧，服务很好。', '短评打分': 5}
{'短评内容': '酒店位置离景点有些稍远,而且有部分景点酒店不会派车送过去.不太方便.不过房间里面的卫生和设施都不错,住着挺舒服的.', '短评打分': 5}
{'短评内容': '总体来说还不错。', '短评打分': 5}
{'短评内容': '酒店的地理位置不是很好，比较偏离市中心，环境卫生酒店内部都还不错，价格按照位置来讲有些偏高，下次过去应该选择亚龙湾附近的酒店，因为这家酒店附近的海滩不是很好。', '短评打分': 1}
{'短评内容': '服务很热情，价位有点偏高，但设施条件很好，价位还是能够接受的，当然再优惠点会更好', '短评打分': 5}
{'短评内容': '酒店设施比较好，其它的还可以', '短评打分': 5}
{'短评内容': '酒店的服务还可以，硬件方面比较一般，位置挺好的，离市区比较近，价格适中。', '短评打分': 5}
{'短评内容': '酒店比较干净整洁，服务也不错，可是上次安排的房间后面有假山，总有人在那边，影响休息，下次去的时候最好能换一下其他的房间', '短评打分': 5}
{'短评内容': '酒店的人员服务态度不是很好,其他方面都还可以,房间蛮干净的,位置也不错,价格一般', '短评打分': 5}
{'短评内容': '服务很好，环境也很好，设备也比较齐全', '短评打分': 5}
{'短评内容': '这酒店的餐厅东西不好吃，价钱还不便宜，平时冷冷清清没几个人在吃。早餐看了就倒胃口，连一杯好咖啡豆喝不到，为了这个每天早上都要坐车到附近的假日酒店去吃早餐喝咖啡。&lt;br /&gt;\n另外对三亚的出租车及野鸡车印象很差，很黑，会乱开价，有一次还乱绕路，要小心&lt;br /&gt;\n对这酒店评价很可观，只想说真心话。', '短评打分': 1}
{'短评内容': '我们是元旦时去的，当时因为七个晚上，2000元以上的酒店住不起，1000元左右的又很满订不到，所以才选了这家四星，价钱还OK，评价不错又有温泉的这家酒店， 但是到了那里才知道在美丽的三亚，住在这酒店简直是恶梦。&lt;br /&gt;\n首先前台的服务，入住就等了很久，办个手续花了半个小时才搞定，态度也不很好，好像欠了他们钱一样。房间还算OK舒适，当时住在尾号15的房间，海景被柱子挡掉了将近一半，大', '短评打分': 1}
{'短评内容': '房间很舒服，服务也不错，离海很近．酒店大堂很别致，很有度假的感觉，缺点是周边没有吃饭和购物的地方，位置较偏．可以和出租车讲价，淡季１０元可以到市中心了．另外三亚市政府要收住房价格基金，４星每人每晚９元，三星６元，五星１１元．', '短评打分': 5}
{'短评内容': '这个酒店不错，服务很好~！由其是前台有个小女孩子，很逗人豆欢，生气的时候，被她说几句就很开心了。酒店环境也不错出门就可以到海边玩、到海里游泳。听说他们的温泉是三亚唯一一家引进地下温泉水的。下次来我还住这里。', '短评打分': 3}
{'短评内容': '酒店新，设施设备舒适，我比较满意！&lt;br /&gt;\n酒店在海边，客房为大型落地窗，海景房还带阳台，在阳台上，能观三亚市区全景，同时还能观海中岛屿，风景迷人，建议朋友们度假去那，确实不错！', '短评打分': 3}
{'短评内容': '一座全新的宾馆。&lt;br /&gt;\n院内院外都很优美。院里有不含硫温泉、是中国大陆很少见到的。&lt;br /&gt;\n价格还可以接受。&lt;br /&gt;\n只是离市中心比较远。打车10元。', '短评打分': 3}
