{'descr': '安静 舒适 干净 周到 很适合商务居住 推荐', 'star': 5}
{'descr': '房间新装修的，还比较干净，离新街口、夫子庙都比较近。', 'star': 5}
{'descr': '整体感觉不错，在闹市区，吃玩较方便。距离夫子庙、中央商场、太平商场较近！', 'star': 5}
{'descr': '房间的设施卫生还是一般，酒店还是挺好找。价格还可以性价比不错，酒店条件还是一般。停车是比较方便。', 'star': 5}
{'descr': '酒店的位置不是很好离夫子庙挺远的路也是挺偏的在一个小巷子里面不过出来吃早餐还是挺方便的对面都是卖吃的，房间也特别小但还挺干净，大堂也是非常简陋只是环境非常干净，服务态度还行，价格也就一般。', 'star': 3}
{'descr': '房间不行，位置也不是太好找，服务也不行。价格也贵。', 'star': 1}
{'descr': '酒店的位置不是太好找，房间还可以倒是蛮干净，服务也不是太好开房开错两次里面都有人真的挺郁闷的，价格也就一般性价比不算太高。', 'star': 1}
{'descr': '里面还可以床还是挺大很舒服，位置有点不是很找到是在一个小巷子里面门头很小不是很明显，价格还是比较便宜的而且房间内部也是挺好的。', 'star': 3}
{'descr': '不推荐这个宾馆，首先位置不好，离开地铁站有点路，二是没有早餐，连餐厅都没有，三是冷水没有，晚上都是开水，洗澡烫死人了，不过唯一一个好处就是服务业的态度很好，其他的都不好！', 'star': 5}
{'descr': '目前门前的这条路正在整修，导致环境不是很好，房间空气很差很浑浊，也有噪音。  地理位置不错！', 'star': 5}
{'descr': '房间很干净，但是太小。大堂比起如家和锦江还要小很多。周边吃早餐，很方便。斜对面有家吴家煎包，味道非常不错！如果想去夫子庙，又带了小朋友的驴友，建议另选酒店。因为他家离夫子庙还有两站路。可以选离夫子庙很近的酒店！', 'star': 5}
{'descr': '环境不错，挺干净的。床也挺大的。就是隔音差点。主要的是吃早餐方便，出门就有。', 'star': 5}
{'descr': '房间还不错挺干净的，位置还可以，价格也就差不多没有太大优惠，服务态度还好。', 'star': 5}
{'descr': '价格比较合理，地理位置不错，环境还可以，就是附近的环境一般。', 'star': 3}
{'descr': '地理位置不错，离夫子庙、新街口都很近；地铁张府园站也很近，2元钱到火车站、玄武湖。酒店也很干净舒适，我们住的是商务大床房，美中不足的是厕所门正对着床，开着们房间有味道。。', 'star': 5}
{'descr': '新装修的酒店，距离夫子庙很近，前台服务态度很好，因为是下午离开南京，早上办完退房手续后，免费帮我们寄存了行李。', 'star': 5}
{'descr': '因为是新装修，较为干净，服务人员都很热情。', 'star': 5}
{'descr': '酒店环境不错，服务人员很热情', 'star': 5}
{'descr': '卫生很好，前台小姐态度也不错。去夫子庙非常方便，下次来还会住在这的~', 'star': 5}
{'descr': '房间太小了。隔音也不好，隔壁说话，洗澡，刷牙都能听到~~~~1米8的床还蛮舒服的~~~', 'star': 1}
{'descr': '美中不足，前台把我的房卡弄错了，我住3天，可惜我的房卡只给我做了一天，后面两天每晚回来都要向底下的大叔求救，玩好回来人已经很累了', 'star': 5}
{'descr': '+好', 'star': 5}
{'descr': '环境不错服务态度一般', 'star': 5}
{'descr': '离夫子庙、瞻园等景区步行可至，感觉还不错。离1路公交也近，出了路口就是，去车站或经典都很方便。\n下次可以再去这里！', 'star': 5}
{'descr': '比想象中的要好，很不错的经济型酒店，想去南京的话这家酒店不错的，离夫子庙／总统府挺近的。', 'star': 5}
{'descr': '让人很火大的酒店，之前定好的房间居然给又另外订给了别人。就冲这点，就可以完全忽略。因为它，以后坚决不会选择格林豪泰。', 'star': 1}
{'descr': '距离地铁站张府园要走数分钟路，不过附近很多饭馆和商店，生活便利；标准间设施不错，服务态度很好，进门时服务员都会微笑着。', 'star': 5}
{'descr': '服务态度较好，服务中有差错，但给予了折扣补偿。', 'star': 1}
