{'短评内容': '近地鐵，交通方便', '短评打分': 3}
{'短评内容': '还不错，一开始整天断电，后来帮我换了一间好的，态度也不错，check in check out\n速度很快！干净，床比较软，挺舒服的。精致的1.8米大床。靠马路边，但不会很吵，反正我能睡着。', '短评打分': 5}
{'短评内容': '还可以，挺干净。', '短评打分': 3}
{'短评内容': '出地铁站就是这家店，很好，没的说，下次还会再订的', '短评打分': 5}
{'短评内容': '不错 不错 还好 还好 ··········', '短评打分': 5}
{'短评内容': '酒店不错，就在地铁上面，去市区，机场，火车站非常方便，服务也还可以。房间蛮新的。强烈推荐！', '短评打分': 5}
{'短评内容': '不错，可以，周边配套也比较齐全。中晚餐只有套餐，没有点菜或自助。', '短评打分': 5}
{'短评内容': '交通方便，干净舒适，安全，服务不错，房间简约人性话设计。不过竟然走简约路线，麻烦价钱也简约点', '短评打分': 5}
{'短评内容': '酒店位置不错 1号线大新站A口5米 内部环境洁净 装潢也令人舒服 比同一价位的X天 X家好很多 美中不足 电视比较小', '短评打分': 5}
{'短评内容': '交通十分便利，环境舒适，就餐便利，价格实惠', '短评打分': 5}
{'短评内容': '門口是地鐵大新站!附近有肯德基及麥當勞吃飯也很方便!房間也很乾淨,坪數雖小但五臟據全,只是冷氣似乎弱了些.', '短评打分': 5}
{'短评内容': '不错，房间干净整洁，床也够大，性价比不错', '短评打分': 5}
{'短评内容': '还好，挺干净，就是房间有点小，价格贵了。', '短评打分': 5}
{'短评内容': '房间很小，房子也很旧，性价比不高，下回不会再住了。', '短评打分': 1}
{'短评内容': '其实就是出差办事，要不可能不会住这家酒店了。条件很一般，比以前住的其他深圳的商务型酒店，差点意思。', '短评打分': 1}
{'短评内容': '交通方便，地铁一号线大新站A出口出来就是。房间总体干净，就是马桶不干净。另外，基本没有窗户。', '短评打分': 5}
{'短评内容': '交通方便,干凈整洁,价格略高', '短评打分': 3}
{'短评内容': '酒店在地铁站（大新站）旁，交通方便，缺点是离市区有些距离，靠近南头。', '短评打分': 5}
{'短评内容': '酒店服务到位，旁边有地铁，出门非常方便。', '短评打分': 3}
{'短评内容': '环境很好，交通非常方便。', '短评打分': 3}
{'短评内容': '锦江之星很温馨，我喜欢', '短评打分': 3}
{'短评内容': '很好，很方便。房间也很干净。楼下就有个KFC还有很多小店，下次去还会住的。', '短评打分': 5}
{'短评内容': '酒店很不错的，锦江是我最喜欢的经济型酒店了，在地铁边上，如果地铁通了就更方便了', '短评打分': 5}
{'短评内容': '要了无烟商务间，一贯的锦江风格，干净温馨，服务人员的态度也很满意。周围吃、用的商家俱全', '短评打分': 5}
{'短评内容': '价格合适，酒店地址也很方便，如果房费包含早餐就更值得推荐了！', '短评打分': 5}
{'短评内容': '酒店很干净！价格也很合适，重要的是交通便利 去哪都方便！', '短评打分': 5}
{'短评内容': '一直住在这里，服务不是很勤，枕套很多天都不换。', '短评打分': 5}
{'短评内容': '酒店挺好 床也挺大，洗澡水不大 外面有点吵', '短评打分': 5}
{'短评内容': '前前后后住了有一个月了，这次感觉打扫卫生不算勤快。', '短评打分': 5}
{'短评内容': '现在网速快多了，上网感觉不错，就是隔音有待提高。', '短评打分': 5}
{'短评内容': '地铁终于快修好了，下次再来住这里更方便了。', '短评打分': 5}
{'短评内容': '出差经常入住的酒店，性价比不错，也很干净让人放心。缺点是卫生间空间偏小了一点，18点以后CHECK IN还要信用卡担保，另外是15块的早餐品种好少。', '短评打分': 5}
{'短评内容': '给朋友订的,对方感觉该酒点环境与服务都还不错,经济实惠,下次可能还来入住.', '短评打分': 5}
{'短评内容': '换到三楼好多了，有几个房间很方便，尤其适合晾衣服。', '短评打分': 5}
{'短评内容': '四楼的卫浴不是很方便，冷热水两个开关的。', '短评打分': 5}
{'短评内容': '一直住在这里，就是不知道地铁什么时候开通，那时就更方便了。', '短评打分': 5}
{'短评内容': '一直都住在这里，真的没什么说的了，整体满意。', '短评打分': 5}
{'短评内容': '一直都住在这里，真的挺不错的，整体较满意。', '短评打分': 5}
{'短评内容': '深圳南山新开的酒店，总体感觉不错。只是比周围其它酒店价格高了许多。', '短评打分': 5}
{'短评内容': '酒店附近再修地铁，交通不是很方便，但是服务和房间都不错，值得推荐。。', '短评打分': 5}
{'短评内容': '房间很不错交通也很方便', '短评打分': 3}
{'短评内容': '每次出差，我都会入住锦江之星，锦江之星是我在异地的首选酒店，南山区的锦江之星非常干净，服务很好，并且在商业街，出门就是肯德基，吃饭，买东西都很方便，去机场打车到南头检查站要13元，有直达机场的公交车，才3元，很经济实惠。有公交到世界之窗的地铁接驳处，去老街逛街、去罗湖口岸都很方便。下次去深圳，我还会选择南山的锦江之星。', '短评打分': 5}
{'短评内容': '每次回深圳都住在这里，服务员再灵活一点就更好了。', '短评打分': 5}
{'短评内容': '环境不错，房间干净，冬天有暖风，衣架比较多。', '短评打分': 5}
{'短评内容': '门前修地铁弄得路很窄，开车不方便。淋浴的水有时有味道。', '短评打分': 5}
{'短评内容': '只是价格稍微贵了点，尤其是今年又上调了10元。', '短评打分': 5}
{'短评内容': '一直住在这里，该说的都差不多了，如果地铁通了就更好了。', '短评打分': 5}
{'短评内容': '客服态度很好，酒店位于路口，比较吵，但是总体来说还是很不错的，我推荐这家酒店。', '短评打分': 5}
{'短评内容': '今天结账时服务员竟然没有把信用卡给我，我也走的比较急，后来也没有电话通知我，失望。', '短评打分': 1}
{'短评内容': '经常有警察来查房，不知道是什么原因？其他还好。', '短评打分': 5}
{'短评内容': '服务员素质参吃不齐，住两天有时只刷一天，结账时经常排队。', '短评打分': 5}
{'短评内容': '空调是冷暖的，天气冷时开着暖风很舒服。衣架的设计很好。', '短评打分': 5}
{'短评内容': '现在的网速快多了，门口有大新停车场，适合有车的朋友。', '短评打分': 5}
{'短评内容': '酒店卫生、环境都不错。早餐比较便宜。门前在修路有些嘈杂。', '短评打分': 3}
{'短评内容': '前后加起来住了20天了，环境不错，地理位置也可以。', '短评打分': 5}
{'短评内容': '网速越来越慢了，网页都打不开，不建议商务旅行人士入住。', '短评打分': 1}
{'短评内容': '环境还不错，有一点现代化的气息，服务非常好！', '短评打分': 5}
{'短评内容': '除了上网太慢之后，隔音效果也不是很好，不建议单身朋友入住。', '短评打分': 5}
{'短评内容': '懒得说了，一直住在这里，就是网速特别的慢', '短评打分': 5}
{'短评内容': '环境很舒适，干净，卫生。但是水压不太行。', '短评打分': 5}
{'短评内容': '每次回深圳都住在这里，环境挺好的，就是网速慢点。', '短评打分': 5}
{'短评内容': '离火车西站近，周围配套设施挺热闹，挺方便的。', '短评打分': 5}
{'短评内容': '锦江之星一贯的标准化配置，不错。唯一缺陷就是冲凉的水喉装在台盆上，有点不方便', '短评打分': 5}
{'短评内容': '非常多见的快捷酒店之一，价廉物美，性价比高。', '短评打分': 5}
{'短评内容': '周边的交通非常好，比较繁华，地属商业街附近，周边很好打车，酒店的环境好，卫生相当的干净，房间内的设施很到位，有免费提供的网线，网速很快，空调质量非常好，效果不错。 ', '短评打分': 5}
{'短评内容': '最后1天走的早，起的早，享用了下早餐；起得晚了，种类会少些了', '短评打分': 5}
{'短评内容': '由于行程改变，感觉这边还不错，就又重新续订了几天，换了个房间，离马路更远了些，更加安静', '短评打分': 5}
{'短评内容': '感觉房间比较新，不是很吵闹，也比较卫生，而且楼下的早餐的味道也还好', '短评打分': 5}
{'短评内容': '多次入住了，为券重复点评，不错的店家，方便。///////', '短评打分': 5}
{'短评内容': '隔音不好', '短评打分': 3}
{'短评内容': '地点方便，价钱适中，就是浴室小了点，总体上还是可以的', '短评打分': 5}
{'短评内容': '只有一个POS机，办手续时有点慢。服务态度还好。', '短评打分': 5}
{'短评内容': '酒店新 服务好，我要说的就这么多，字够了吗', '短评打分': 5}
{'短评内容': '离天虹，家乐福都不远，购物方便，只是附近附近快餐不多。', '短评打分': 5}
{'短评内容': '卫生环境都很好，只是靠近路边的房间有点吵。', '短评打分': 5}
{'短评内容': '好，很好，非常好，YES!真的不错啊！好，很好，非常好，YES!真的不错啊！', '短评打分': 5}
{'短评内容': '很好，干净', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置不错，服务也还可以，有点像在欧洲住过的一间NOVOTEL的感觉，只是硬件虽然尽力在模仿，但是跟人家比还是显得有点“山寨”。当然，就性价比而言，这个酒店还是极其高的。', '短评打分': 5}
{'短评内容': '地理位置好、价格便宜、新店干净。只是个别服务员业务不大熟悉，有待于提高。', '短评打分': 5}
{'短评内容': '旁边就是商业区，购物很方便，周围显得安静，店是新店，什么都是新的。不错。', '短评打分': 5}
{'短评内容': '重复点评咯，方便。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '途径深圳转机，住这里比较近。还算方便哦！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店环境不错，很干静。', '短评打分': 5}
{'短评内容': '商务套房A有点小，一个人住的会应该很舒适；标准双人间还不错，适合一家三口住。', '短评打分': 3}
{'短评内容': '+房间不错,很干净,没什么异味.服务态度还行', '短评打分': 5}
{'短评内容': '+酒店位置佳，服务态度良好，值得！', '短评打分': 5}
{'短评内容': '+锦江之星不错，干净，服务也好，设施很新，下次还会住', '短评打分': 5}
{'短评内容': '新开店，员工操作还不太熟练，给错房卡。环境卫生没什么问题，挺好的', '短评打分': 5}
{'短评内容': '是一家新开张的酒店，周围比较热闹，服务员态度好，地理环境好，', '短评打分': 5}
{'短评内容': '酒店环境倒是一般不过服务是挺好的，出行也很方便，房间也还可以但是唯一就是上网速度比较慢。', '短评打分': 5}
{'短评内容': '此酒店刚收拾好，很新。总体感觉不错，满意。', '短评打分': 5}
{'短评内容': '+房间不错。', '短评打分': 5}
