{'短评内容': '普通大床房，有空调', '短评打分': 4}
{'短评内容': '酒店位置不错，服务热情周到，清洁卫生，住的很舒服', '短评打分': 5}
{'短评内容': '不错的位置', '短评打分': 3}
{'短评内容': ' 酒店不错 性价比高 比锦江大酒店值得多', '短评打分': 3}
{'短评内容': '不错的位置，离宝善街挺近的，10分钟路程就到，酒店也安静，推荐', '短评打分': 5}
{'短评内容': '服务好，如家的服务一直让你满意；早餐也不错，虽然种类不多，很清爽；过桥米线不错，每天早上都会吃一点。只是这个地方刚好在闹市区，交通比较拥挤，从机场过来堵了不少时间的车。', '短评打分': 5}
{'短评内容': '服务好，如家的服务一直让你满意；早餐也不错，虽然种类不多，很清爽；过桥米线不错，每天早上都会吃一点。', '短评打分': 5}
{'短评内容': '乘电梯不方便，只有2楼，早餐每位15元，太贵，没吃的。', '短评打分': 1}
{'短评内容': '一切都还好，但坐电梯必须先走到2楼，太不方便了，空手还行。', '短评打分': 5}
{'短评内容': '酒店环境很好，服务也不错', '短评打分': 3}
{'短评内容': '位置很好，其他还可以！', '短评打分': 3}
{'短评内容': '服务态度很好,也很满意,但价格偏高', '短评打分': 3}
{'短评内容': '电梯位置在2楼，很不方便，周围也没有啥吃饭的地方。', '短评打分': 1}
{'短评内容': '设施陈旧，卫生状况差，空调不制冷，不推荐！', '短评打分': 1}
{'短评内容': '    这家如家是在在那个垃圾云南博丰公寓酒店遇到让人非常气愤的待遇之后临时订的，订房之后马上过去，服务员很热情，房间也很好。位置也属于市中心吧，稍稍偏了一点点，不过还能接受，主要是服务比那个垃圾云南博丰公寓酒店好得多得多。\n     有点意见就是空调需要清洗一下了，出风有异味。', '短评打分': 5}
{'短评内容': '交通方便，房内整洁。购物也很方便，青年路上很多大型商场。离动物园和圆通寺很近。', '短评打分': 5}
{'短评内容': '地处繁华地带，就是电梯在2楼，很不方便，太远了', '短评打分': 5}
{'短评内容': '服务挺好的，就是帮你整理房间但不换床单假如你不说的话。还有就是里面的吃的很贵！不经济。', '短评打分': 5}
{'短评内容': '这次去感觉服务还可以。步行到附近小吃较多，附近河边还有那个有名的米线可以吃', '短评打分': 5}
{'短评内容': '位置挺好，就是要到2楼才能坐电梯~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '位置挺好的，离着翠湖和百盛都很近，挺方便的~~~', '短评打分': 5}
{'短评内容': '很喜欢如家快捷酒店，一般是我出行的首选。昆明青年路店位于市中心，出行方便，门口就有公交站点。酒店服务也很好。值得推荐！', '短评打分': 5}
{'短评内容': '位置、服务、早餐各方面都不错，只是没有地方停车。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '交通便利，住宿舒适，隔音效果差，总体还不错。', '短评打分': 3}
{'短评内容': '很不错的一家店！服务非常到位贴心！我带了一桶元阳的豆腐，怕天热坏掉，当执经理还帮我们把豆腐放在他们的厨房冰箱。服务很贴心！', '短评打分': 3}
{'短评内容': '该如家快捷酒店位于市中心，在交通方面，比如搭车，走路去市区各个购物点或者景点都比较方便。但是缺点有两个，一是热水不热，二是都用一次性拖鞋，不够低碳环保。', '短评打分': 5}
{'短评内容': '该如家快捷酒店位于市中心，在交通方面，比如搭车，走路去市区各个购物点或者景点都比较方便，但是缺点有两个，一是热水不热，二是都用一次性拖鞋，不够低碳环保。', '短评打分': 5}
{'短评内容': '位置确实很好，到翠湖，圆通寺可步行。大床房房间不大，但格调还行，也不算吵。180一天还可以，不算便宜，也不算贵。', '短评打分': 3}
{'短评内容': '酒店位置非常不错，近世博园（打的15块钱）。门外公交也非常方便，有公车能够到机场。酒店房间干净整洁，没有小强之类，走路到翠湖公园10-15分钟左右，总体不错，就是早餐要单独付钱。', '短评打分': 5}
{'短评内容': '很好很舒适', '短评打分': 3}
{'短评内容': '除了电梯在2楼外，其他都不错，下次还会来，主要地段很好，离我办事的位置也很近', '短评打分': 5}
{'短评内容': '交通便利，干净整齐，值得推荐，下次还可以选择。', '短评打分': 5}
{'短评内容': '服务还可以，就是房间隔音不好，住在公路背面早上还是能听到车的噪音。服务员普通话一般般', '短评打分': 5}
{'短评内容': '楼梯很怪异，一楼居然要从二楼坐电梯下去，其他都还可以', '短评打分': 5}
{'短评内容': '地理位转置方便。离我要去的公司很近。就是没有早餐，不是太好。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '＋交通便利，环境不错！', '短评打分': 3}
{'短评内容': ' 整体感觉还可以。', '短评打分': 3}
{'短评内容': '位置好，还算干净，隔音不是很好，购物方便，吃饭方便', '短评打分': 5}
{'短评内容': '位置不错，步行即可到圆通寺和翠湖。房间也不错，是如家一贯的风格，但回昆明再住时，房间里有很浓的烟味！', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '服务都还不错，性价比也还可以，就是打车有点难。', '短评打分': 5}
{'短评内容': '第一感觉不怎么样，不过住得还算舒适，东西都挺干净的。服务人员态度也挺好，周边也挺方便', '短评打分': 5}
{'短评内容': '此店设施相对于位置的确很方便,特别是坐飞机,只是价格相对高一点.', '短评打分': 5}
{'短评内容': '这个酒店还不错,性价比超高,除了早餐外,还有中餐和晚餐送', '短评打分': 3}
{'短评内容': '地理位置比较好,交通比较方便,房间比较小.', '短评打分': 5}
{'短评内容': '房间很干净，我的日本朋友都说不错，可能是因为建筑的关系电梯在2楼，行李重的话稍有不便，前台服务很好，满意。', '短评打分': 5}
{'短评内容': '这个酒店位置挺好,比较适合看昆明的中心地段,房间床比较舒服,整体性价比还不错', '短评打分': 5}
{'短评内容': '酒店比较干净，服务态度也比较好，就是电梯不能到一楼，要从二楼走很长才到一楼和二楼的楼梯，很不方便。', '短评打分': 3}
{'短评内容': '电梯问题。靠窗吵。', '短评打分': 3}
{'短评内容': '酒店一层没电梯很麻烦。', '短评打分': 5}
{'短评内容': '地理位置很好，邻近新世界米线店，吃、逛很方便。但是从大堂到二楼没电梯，很不方便。', '短评打分': 3}
{'短评内容': '房间还不错，就是转向！找不到出口！', '短评打分': 5}
{'短评内容': '地理位置好，上下楼不方便。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以，整体感觉还不错，不过到1楼要从2楼做电梯有点怪异', '短评打分': 3}
{'短评内容': '总的还可以，不过一楼居然要从二楼做电梯有点怪异', '短评打分': 3}
{'短评内容': '总的都不错，就是电梯上二楼才有,还有就是网线较短,不能够坐在床上上网。', '短评打分': 5}
{'短评内容': ' 房间很好', '短评打分': 5}
{'短评内容': '没有停车场，所以没住，昆明那家京王酒店大家更别去，垃圾', '短评打分': 1}
{'短评内容': '这家酒店还不错干净', '短评打分': 5}
{'短评内容': '位置在市中心，交通方便。房间不大，床很大。房间的布置很实用。网速还可以。洗澡水烧的很好，住的很舒适。服务人员待人很热情。早餐12元比较实惠。建议：1房间内最好放电烧水壶而不要用饮水机，进房间后看到饮水机上剩的半桶水不知放了多长时间了，根本不敢喝。2最好将一楼再改造一下，不要让客人每天跑的很累还要爬到2楼上电梯。', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '和如家一贯的风格一脉相承,简洁,服务到位,工作人员的态度非常和蔼可亲,前台人员的城市,旅游讯息提供方面还有待提高', '短评打分': 5}
{'短评内容': '地理位置非常好，而且服务态度很好，下次去还会再住。', '短评打分': 5}
{'短评内容': '地处十分的好，房间和其他如家无异。受感动的是里面的服务人员看到你都微微地笑着说你好，温馨的样子。打扫房间时把散乱的鞋子都归置好了。', '短评打分': 5}
{'短评内容': '床挺大\r\n可以免费上网（需自带上网工具）\r\n卫生间稍简陋（地板滑）\r\n', '短评打分': 3}
{'短评内容': '房间小。电梯在二楼上下麻烦。', '短评打分': 1}
{'短评内容': '如我所愿', '短评打分': 5}
{'短评内容': '服务很热情，让人有家的感觉！推荐。。。', '短评打分': 5}
{'短评内容': '还可以，标准化的质量，心里有底，但地域性服务有一点高低。', '短评打分': 5}
{'短评内容': 'breakfast is good and value for money', '短评打分': 5}
{'短评内容': '位置不错，就是坐电梯和去一楼很是麻烦！', '短评打分': 5}
{'短评内容': '总体不错。地理位置好。', '短评打分': 5}
{'短评内容': '位置便利、安全舒心，来春城旅游、商务的经济选择。', '短评打分': 5}
{'短评内容': '除过地理位置很好，其他都非常一般！房间过小！通风效果很差！', '短评打分': 1}
{'短评内容': '北京路在修路，经常堵车，此外其他都非常满意', '短评打分': 5}
{'短评内容': '店里的工作人员很热情，有礼貌~', '短评打分': 1}
{'短评内容': '本来说是早晨8：30以后可以入住，以为最晚10;00就能入住，但说是没房，后来就住了209元的房，下午近5：00了才开到网上订的180元的房。', '短评打分': 1}
{'短评内容': '总的比较的话这个酒店还是不错的。', '短评打分': 5}
{'短评内容': '被盖厚了，还在用冬季的厚被盖。应该提供夏季被盖了。', '短评打分': 5}
{'短评内容': '酒店位置好，出行很方便，服务比其他地方的如家好。', '短评打分': 5}
{'短评内容': '房间稍有偏小。', '短评打分': 5}
{'短评内容': '房间干净，床很大', '短评打分': 5}
{'短评内容': '屋子小，送餐还要加3元', '短评打分': 5}
{'短评内容': '服务态度不错。交通也比较方便，就是电梯不是很方便，要走蛮远一段路', '短评打分': 3}
{'短评内容': '服务员态度很热情。', '短评打分': 5}
{'短评内容': '性价比比较高的酒店。', '短评打分': 5}
{'短评内容': '如家，真的有家的感觉，布置很温馨，简单明快。再去其他城市我会优先选择如家。', '短评打分': 5}
{'短评内容': '性价比较好。但是早上门口打的不好打，得跑远处十字路口，才比较好。', '短评打分': 3}
{'短评内容': '经典的如家风格，位置不错，值得推荐', '短评打分': 5}
{'短评内容': '地理位置很好，但是房间较小为老房子改造，设施还是非常陈旧的！', '短评打分': 1}
{'短评内容': '是很好的地方，价位合适，设施齐全。\r\n美中不足，电梯因为楼的缘故，还得走一走，不过提示明显。\r\n早晨在门口打的不是很好打。', '短评打分': 5}
{'短评内容': '要走一层楼梯才有电梯坐', '短评打分': 1}
{'短评内容': '房间比较小，床还不错，酒店位置不错，离翠湖比较近。特别要提的是酒店边上的重庆家常菜，绝对棒的！菜非常好吃，量也很大，最重要的价格相当便宜，以后还会去！~', '短评打分': 5}
{'短评内容': '很差的酒店,', '短评打分': 3}
{'短评内容': '地道的快捷酒店- 简单的休息和落脚的合适选择！！！', '短评打分': 5}
{'短评内容': '感觉酒店房间面积小了点,温度也低了点,感觉有些冷,不过卫生环境还可以的,而且价位也还算实惠.', '短评打分': 3}
{'短评内容': '酒店服务卫生方面都挺不错的,设施方面也比较齐全,周边交通也蛮方便的,整体感觉性价比还是蛮不错的.', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '扩大赠券酒店数量或延长赠券有效期', '短评打分': 5}
{'短评内容': '地处闹市，交通方便，总体感觉还不错！', '短评打分': 3}
{'短评内容': '房间简陋，床垫质量不是很好，但服务和卫生情况很好。按当地的物价水平，性价比低了。', '短评打分': 3}
{'短评内容': '酒店比较老旧了，条件和环境都很一般，就是位置还不错，所以还是可以考虑看看。', '短评打分': 3}
{'短评内容': '这家店的服务很不错，但是房间实在太简陋，真的只能用简陋来形容了。169元的房间，在当地不算低了。房间的性价比太低。\r\n幸好，卫生条件可以，挺干净。热水很好。12元每位的自助早餐也很好。', '短评打分': 1}
{'短评内容': '地理位置非常好,位于市中心,出行都很方便,房间的卫生和设施上也都不错,住着很舒适,性价比也是比较高的,我很满意.', '短评打分': 3}
{'短评内容': '还可以，不过房间有点小', '短评打分': 5}
{'短评内容': '当时我住一楼的感觉房间有些阴暗里面的设施和卫生还是不错的,服务态度也挺好的,位置还是比较好找的离机场也挺近的,性价比还是可以的,总体感觉还是比较不错的.', '短评打分': 3}
{'短评内容': '建议提前告知旅客打长途怎样可以省钱，谢谢。', '短评打分': 5}
{'短评内容': '网络慢的要死', '短评打分': 1}
{'短评内容': '房间的卫生和设施上挺全,住着很舒适,服务态度也都很热情,是一家很不错的酒店,出行也比较方便了,下次再来我还会选择这家酒店.可以的话把房间环境再弄好点就好了！', '短评打分': 5}
{'短评内容': '房间的卫生和设施上非常好,住着很舒适,服务态度也都很热情,是一家很不错的酒店,出行也比较方便了,下次再来我还会选择这家酒店.', '短评打分': 3}
{'短评内容': '酒店的位置还挺方便的，环境也还可以，就是设施比较一般', '短评打分': 3}
{'短评内容': '忘了说一点，隔音效果不太好，住了两晚，隔壁房间的大叔打呼噜听得清清楚楚。', '短评打分': 3}
{'短评内容': '地理位置非常好，出门去哪儿都很方便，周围也有很多购物的小商店，服务也不错，要是有电脑就更好了！', '短评打分': 5}
{'短评内容': '交通方便，就是昆明堵车太严重，房间太小。', '短评打分': 5}
{'短评内容': '愉快的回忆', '短评打分': 5}
{'短评内容': '入住的当晚我听到洗手间的上层有哗哗的流水声，因为自己一直很喜欢如家这个品牌，也不想浪费水资源，于是打电话到前台让他们过来听一下，检查一下，杜绝水资源的白白浪费。晚上10点水管工很快上来听了一下对我表示感谢后就走了，但楼上的水声一直不停。早上我出门的时候，发现前台换了班的服务员，于是我又提起这件事，说“你们就忍心看水白白流走吗？昨晚我已经尽了我的义务了，虽然不关我的事，但毕竟让水白白流走也不好啊”结', '短评打分': 5}
{'短评内容': '卫生条件舒适度都挺好的，和大部分如家没什么区别，交通也很方便，过了马路就是商业街。如果没带本的，马路对面就有网吧。美中不足就是没有电梯，不过跟前台打个招呼，会马上安排保安帮你把行李拿到二楼。', '短评打分': 5}
{'短评内容': '酒店的卫生条件还是不错的，环境和内部的硬件配备都挺好的，价格也挺实惠的，交通方便。', '短评打分': 3}
{'短评内容': '我的房间位置很不好，要先上2层再坐电梯到一层，我一个人住感觉很害怕\n房间不隔音，是楼建的不好，墙板不实，格局也不好，感觉就比正规酒店差了好多\n下水道声音太大\n好处是上网方便，比较新，干净，有空调（但其实昆明夏天也可以不用空调）\n总体感觉不好，有点贵，有更好的选择的', '短评打分': 1}
{'短评内容': '交通很方便,房间里面条件也不错,挺干净的,价格也很实惠.', '短评打分': 5}
{'短评内容': '房间面积太小了,其他方面还是不错的；也很满意；', '短评打分': 5}
{'短评内容': '房间有点小，环境和设施也不太好，服务也很一般，主要是地理位置好，价格比较实惠', '短评打分': 1}
{'短评内容': '卫生很好,打扫的时间段有点靠后,出现下午3点多还没打扫的情况,希望改善.服务不错,有礼貌.设施基本完善,对于商务人士缺少电话黄页.位置还算好,离中心不远,但还有步行10分钟的路程,公交也需要步行5分钟的路程.舒适度很好,床个人觉得太软了.性价比还不错.80%还会入住,80%的推荐程度.', '短评打分': 5}
{'短评内容': '沒的說，對如家的酒店一直都很滿意！～感覺就象家一樣，適合情侶', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
