{'短评内容': '一分钱一分货', '短评打分': 4}
{'短评内容': '\u3000\u3000\u3000酒店的服务态度还可以\u3000在一楼配置有保安\u3000也比较安全\u3000就是房间小了点不是很宽敞\u3000不过卫生也还算过得去', '短评打分': 5}
{'短评内容': '比较卫生,床小了些', '短评打分': 3}
{'短评内容': '酒店的大堂好簡陋...房間還不錯..衛生還可以..', '短评打分': 5}
{'短评内容': '帮朋友预定的，4个人，一个打地铺 的，呵呵，省钱就对了，', '短评打分': 5}
{'短评内容': '交通和餐饮都很方便，不远处的餐馆面做的不错。酒店性价比高，电梯前还有个保安负责安全，看起来很安全，酒店紧邻一个芜杂的聚居区，美中不足。热水不是全天供应，是限时供应。房型显小（典型的南方建筑风格），卫生不错。网速还行。', '短评打分': 5}
{'短评内容': '还不错，没什么可提的，服务比较到位！觉得安全方面还可以，可能是巧遇大运会吧，有机会去那边，应该还会订那里的酒店，蛮实惠的', '短评打分': 5}
{'短评内容': '我订的双人A房，房子很小也没关系，床边的墙上的帘布有个很大点的污迹是不应该的，本该是送二份早餐的，却只送一份，有点不厚道。希望注意承诺。还有，我入住大约午夜近12点，没有热水，暖水也没。很劳累，想冲个热水解下疲劳也没办法。', '短评打分': 5}
{'短评内容': '酒店坐落在深圳市很繁华的地段，周围有服装城，小吃店也有很多。房间里一次性的东西都有，就是没有吹风机，空调也很来劲，不错，下次来深圳还会订他家的', '短评打分': 5}
{'短评内容': '房间只有床（不是很大）加两张床之间的小过道这样大小，卫生间设施也陈旧。服务态度不错；早餐送到房间，是蛋黄派加优酸乳。位置在维多利亚边上，再加十元就可以住维多利亚的特价房了。对房间环境要求不大的人可以住，这儿比边小小客栈档次还高点，那个是旅馆。', '短评打分': 1}
{'短评内容': '热水水量太小了，还限时。', '短评打分': 3}
{'短评内容': '服务态度很好，住得很舒服', '短评打分': 3}
{'短评内容': '酒店设施老旧，房间隔音效果太差.早餐太简单了，也许深圳就是那样的风格吧。', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店的服务态度不错，但是性价比不高，总的来说一般般吧', '短评打分': 5}
{'短评内容': '就一个字-烂，酒店不能刷卡不说，前台的接待也是一塌糊涂，房间又小，床躺上去和坐船一样，明明就是一个小招待所还打着酒店的旗帜。', '短评打分': 1}
{'短评内容': '房间小了点，热水时间密度在大点。', '短评打分': 3}
{'短评内容': '还不错，服务态度很好，房间也很干净，该有的用品都有。', '短评打分': 5}
{'短评内容': '很脏，床单好久没有洗过，上面还有饭粒。便宜，但是不能脏的这么恶心。', '短评打分': 3}
{'短评内容': '还行。', '短评打分': 3}
{'短评内容': '正在装修 不过价格还比较便宜 离皇岗口岸也挺近~~ 较推荐！', '短评打分': 5}
{'短评内容': '隔音不够好,服务还不错,其他的还算可以.', '短评打分': 5}
{'短评内容': '服务不错,就是隔音不够好,而且设施不够完善.空间也比较小.', '短评打分': 5}
{'短评内容': '比较普通', '短评打分': 3}
{'短评内容': '感觉不错', '短评打分': 3}
{'短评内容': '还好,位置不错，在商业街，方便购物，性价比可以', '短评打分': 5}
{'短评内容': '房间比想像中的要小，有点拥挤', '短评打分': 3}
{'短评内容': '本来要走了 临时有事 想定的时候满了 只能定隔天的 就临时找了另一间 顶一个 隔天住的竟然还是第一次去的房间 太搞了', '短评打分': 5}
{'短评内容': '不错不错不错 还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行', '短评打分': 5}
{'短评内容': '住宿费便宜，在深圳找这么便宜的进店不容易，但设施太简单。', '短评打分': 5}
{'短评内容': '当天八点钟左右到等了好久才有人退房，真是郁闷，房间小了点其他还满意，服务还可以还有免费早餐', '短评打分': 5}
{'短评内容': '楼道内大堂和电梯空气都很闷 没有空调 进了电梯再出来就一身汗 需要改进', '短评打分': 5}
{'短评内容': '浴巾质量不太好 不能刷卡 其他都不错 值得入住！', '短评打分': 5}
{'短评内容': '酒店还算比较干净，也比较方便，下次还会入住。只是服务太多有待提高！总体来说不错', '短评打分': 5}
{'短评内容': '实际住房与预订房不符，已退房', '短评打分': 3}
{'短评内容': '酒店环境还行', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '一个字（差）2个字（很差）3个字（太差了）我都无语了', '短评打分': 1}
{'短评内容': '物有所值！就是门口在装修，很安静，环境也很好！', '短评打分': 5}
{'短评内容': '酒店位置不错 服务也还可以 意外的是还有送份早餐的...周围有几条小街可以逛的 离华强北比较近 出门就有9路车去皇岗口岸 交通方便快捷 ', '短评打分': 5}
{'短评内容': '酒店太旧，卫生也不怎么样……下次不会去 建议改善设施 装修 增强服务', '短评打分': 1}
{'短评内容': '性价比还可以，就是附近地区太零乱了，另外早餐太简单了些。', '短评打分': 5}
{'短评内容': '潮海的冲凉浴霸我觉得不是很适用和方便，其他都还不错！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很实在在酒店哦  下次出差 还是去那哈  旁边还有沃尔玛哦 ', '短评打分': 5}
{'短评内容': '服务人员挺有礼貌，见面都会主动打招呼，办事也挺利索的。', '短评打分': 3}
{'短评内容': '   位置较难找，不可以刷卡，不太方便，内部设施简陋，但服务太度还不错。', '短评打分': 3}
{'短评内容': '空调挺好用的，热水冷热均匀，用着挺舒服，价格上挺合理的。', '短评打分': 3}
{'短评内容': '服务上响应挺及时的，设施方面还好，有宽带能上网，感觉挺方便的。', '短评打分': 3}
{'短评内容': '潮海酒店服务好，卫生方面还算干净。', '短评打分': 3}
{'短评内容': '位于繁华地带，周边公交挺多，出行挺方便，性价比还好。', '短评打分': 3}
{'短评内容': '服务质量挺好，卫生做得挺到位，出行挺方便，总体来说不错。', '短评打分': 3}
{'短评内容': '不是很高档，但是住的挺舒适，性价比还是不错的。', '短评打分': 5}
{'短评内容': '酒店规模不大，卫生方面还不错，房间挺小的，但是设施挺齐全。总体感觉还不错。', '短评打分': 3}
{'短评内容': '房间有点小，卫生打扫还不错，基本设施都有，就是有些陈旧，隔音效果挺好，晚上休息的还不错。', '短评打分': 3}
{'短评内容': '酒店离会展中心挺近的，参加会展挺方便，周边交通也挺便利。', '短评打分': 3}
{'短评内容': '酒店挺普通的，价格挺实惠，位置很好，交通挺便利。', '短评打分': 5}
