{'短评内容': '还可以，满意。', '短评打分': 5}
{'短评内容': '酒店设施比较简陋,位置还不错离景点比较近很适合旅游选择,卫生和服务都比较一般,性价比还可以.', '短评打分': 5}
{'短评内容': '前台的服务员态度不好', '短评打分': 1}
{'短评内容': '房间里挺宽敞的,感觉挺舒适的,周边环境还不错的,价格也蛮合适的.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，位置稍微有些偏离市中心，出行交通不是很方便，价格觉得有些偏高，整体来讲比较达标，还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '环境不错，挺温囟的', '短评打分': 5}
{'短评内容': '如家一贯的样子。大床房不错，就是有点贵，220 的价格。隔音一般，位置离最近的公交站稍走一点，闸弄口新村站。还可以啦。', '短评打分': 5}
{'短评内容': '酒店的地理位置特别好，外出方便，环境还可以，房间干净整洁，服务也很周到', '短评打分': 5}
{'短评内容': '卫生服务都很好，只不过晚上感觉感觉外面马路比较吵，不知道是不是跟我当时住的特价房位置有没有关系。', '短评打分': 5}
{'短评内容': '酒店房间还行，如家房间大多都有点偏小，不过和价格还还是匹配的，饮食比较简单，位置太靠近马路有点吵', '短评打分': 5}
{'短评内容': '酒店的房间布置很喜欢，舒适、干净', '短评打分': 5}
{'短评内容': '位置不错，交通也方便', '短评打分': 5}
{'短评内容': '酒店经济实惠，方便快捷，房间的设施也很整洁', '短评打分': 5}
{'短评内容': '服务卫生方面都挺不错的,价格也合适,位置不错交通挺方便的.', '短评打分': 5}
{'短评内容': '如家挺不错的,也总是入住,房间很干净,也很舒适,而且价格不贵,很便宜', '短评打分': 5}
{'短评内容': '酒店的位置很难找的,酒店的房间面积很小隔音效果也不好,服务很热情价格也很便宜.', '短评打分': 5}
{'短评内容': '这个酒店附近立交桥多，交通还算可以，不过酒店给我安排的是一楼的房间，感觉很暗，不亮堂，房间里很干净整洁。', '短评打分': 1}
{'短评内容': '酒店的价格太贵了，服务，卫生环境和设施，都很好，交通条件也比较便利。', '短评打分': 1}
{'短评内容': '酒店位置很方便,安排的房间环境不是很好.', '短评打分': 5}
{'短评内容': '酒店年久没有装修，总体看起来较为陈旧！价格还定的比较高。总体来说还算比较失望的！', '短评打分': 3}
{'短评内容': '2月24日，我在这里住了一晚上，我觉得挺好的，干净整洁。&lt;br /&gt;\n还在前台碰到一个姓陈的重庆老乡，是保安，挺客气。&lt;br /&gt;\n电源插头比较人性化，带的电脑，手机们，都够用了', '短评打分': 3}
