{'短评内容': '在昆明还算可以的了。。。', '短评打分': 5}
{'短评内容': '内在美，才是真美....................', '短评打分': 5}
{'短评内容': '酒店设施比较新，就是淋浴间有点漏水，离机场非常近，早餐一般', '短评打分': 3}
{'短评内容': '酒店靠近机场，服务、设施都不错，也很干净，门前修地铁出路不方便\n', '短评打分': 5}
{'短评内容': '酒店很不错 是最近住的最舒服的酒店了 离机场近，订的是行政房，还免费送到机场 赞！早餐也可以。虽然是四星的酒店，可是可以比得上一些五星的了。', '短评打分': 5}
{'短评内容': '曾经住过，感觉不错再次入住，硬件设施比较好，离机场近，服务也好', '短评打分': 5}
{'短评内容': '酒店不错，设施很好，离机场挺近的，还免费接送机，很方便。', '短评打分': 5}
{'短评内容': '酒店位置干离机场比较近，酒店设施还可以，房间也不吵，易乘出租车！', '短评打分': 5}
{'短评内容': '入住条件很好，房间很干净，很大，服务态度很好下次还会再来，', '短评打分': 5}
{'短评内容': '，酒单的位置：离机场距离-步行需要十五到二十分钟。打的到市区很方便，不知道为什么经过这里的空载出租车很多。\n2，机场免费接送服务是酒店的一个特点，服务好。\n3，7层中餐厅服务好。\n4，酒店设施好，完备，较新。\n5，客房服务好，刚刚入住，就送来水果和报纸，很温馨。\n6，一层西餐厅：既是西餐，不知菜品不知为何很多是辣菜。如：罗宋汤，奇辣。再如：服务人员介绍的一道不辣的菜，在我要求不放胡椒的情况，还是非', '短评打分': 5}
{'短评内容': '二次入住，还好，只是这次的大床房比上次的行政房好，奇怪，早餐较差。', '短评打分': 5}
{'短评内容': '酒店靠近机场，服务、设施都不错，也很干净，门前修地铁出路不方便', '短评打分': 5}
{'短评内容': '虽然重新装修过，但是窗户不好，酒店又临街，噪音很大，休息不好', '短评打分': 1}
{'短评内容': '前台服务太慢，早上赶飞机介个账半天整不好，而且态度太差。', '短评打分': 5}
{'短评内容': '昆明最大的大排挡一条街, 几乎是全国最大的, 也是全球最大的风光了.', '短评打分': 5}
{'短评内容': '位置离机场很近，但也存在缺点，因为紧挨着一个都市村庄，附近就餐是个问题。当然，酒店的硬件设施配得上四星，卫浴器材是科勒的，check in/out的速度也很快，停车免费。唯一不足的是酒店内叫餐，承诺的15分钟变成了45分钟才送来。', '短评打分': 5}
{'短评内容': '比较新，服务还成，早餐一般，位置一般，昆明酒店不好选。', '短评打分': 5}
{'短评内容': '价廉物美的好酒店，设施齐全，配套完善，下次再来...', '短评打分': 5}
{'短评内容': '酒店装修比较新，设施也不错，满意！现在外面修地铁，外环境不好，不过基本不影响休息', '短评打分': 3}
{'短评内容': '酒店靠近机场，服务、设施都不错，卫生也很干净。', '短评打分': 5}
{'短评内容': '酒店内部设施很新，服务非常好，临近春城路，噪声很大。', '短评打分': 1}
{'短评内容': '酒店位置不错，开车前往比较方便，房间内设施也不错，但是外观和外部环境不像四星的酒店，感觉与多数经济型连锁酒店差不多。每次进出停车场都要到前台领取免费停车票，客人为了几块钱的事情跑来跑去，颇为不便，希望酒店和停车场管理方能够改进。早餐是西式的，一同前往的老年人无法适应，虽然有粥，但是没有配咸菜，虽然有米线，但是调料不是太齐全。也许这家酒店主要考虑的涉外业务吧。', '短评打分': 5}
{'短评内容': '新装修的酒店，设施好。', '短评打分': 3}
{'短评内容': '在房间丢了东西居然都找不回，什么鬼酒店', '短评打分': 3}
{'短评内容': '没有电脑，有网线', '短评打分': 3}
{'短评内容': '酒店是感覺是新的，很乾淨啊 ！酒店是感覺是新的，很乾淨啊 ！', '短评打分': 5}
{'短评内容': '因为酒店里机场很近才选择入住的，服务很好，但性价比实在不高，感觉是比快捷酒店装修好一点却收了四星的价钱。房间很小，所谓四星连浴缸也没有，只有如家之类的大小，价钱还不便宜。酒店也只是租了个大楼的一部分。下次一定不会住了，不推荐', '短评打分': 1}
{'短评内容': '酒店离机场特别近，酒店还有接机服务，早餐也特别丰富，很满意，值得推荐。\n', '短评打分': 5}
{'短评内容': '离机场很近，打车（不堵车）10分钟到达。适合赶飞机的商务人士，另外酒店环境还可以，但主要是附近没有什么吃的地方', '短评打分': 5}
{'短评内容': '，住宿条件尚可，价格偏高，早餐很差。', '短评打分': 3}
{'短评内容': '從機場到酒店只15分鐘,非常方便, 房間略細, 整體滿意.', '短评打分': 5}
{'短评内容': '很好的酒店 干净舒适 服务极佳 值得来~', '短评打分': 3}
{'短评内容': '酒店房间很好，早餐也不错，就是有一点吵，值得推荐', '短评打分': 3}
{'短评内容': '机场和会展中心附近，住宿条件不错，哪位朋友提到了隔音效果不好倒是事实。出了酒店往后边走好似城中村。', '短评打分': 5}
{'短评内容': '还不错，性价比还是蛮高的~\n环境和服务都还OK 吧', '短评打分': 5}
{'短评内容': '闹中取静,环境不错。交通便利，服务质量还好。', '短评打分': 5}
{'短评内容': '郎威酒店，12月15日入住行政标间，房间布局合理，服务细致，洗澡也很舒服，非常满意', '短评打分': 3}
{'短评内容': '第二次入住，房间不错，就是隔音效果有点差，早餐比较丰富，是西式。', '短评打分': 5}
{'短评内容': '酒店是新装修的，环境很好。离展馆很近，步行10分钟左右。\n隔音很差，可以说上没有隔音。第一晚由于太累10点就睡了，到11点，被隔壁的电话吵醒，电话就像是装在我的房间一平清楚。响了近5分钟。迷糊着又睡着，12点多，被晚归的客人又吵醒，直到天亮都没睡好。连着三天都是因为隔音不好，所以没睡好。早餐差，根本达不到四星的标准。', '短评打分': 5}
{'短评内容': '酒店装修很新，房间也不错，就是位置稍微偏了点，在机场附近，出门很难打车。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '看酒店外表挺失望，内部却让人惊喜，订的豪华大床房，房间宽敞，设计精致，有专门接待的柜台，省了开房和退房时间。唯一不足的地方是，卫生间淋浴屏漏水严重，洗完澡卫生间一片菏泽。。。需要改进。毛巾也不够新和柔软。', '短评打分': 5}
{'短评内容': '卫生条件较好，设施设备较好，早餐比较丰富，前台服务员态度速度还需改进，酒店隔音设施还需改进', '短评打分': 5}
{'短评内容': '距离机场也有一段距离，不是太近，机场附近有家机场宾馆，但是贵平台上没有这家酒店，希望多增加一些酒店。', '短评打分': 1}
{'短评内容': '设施很新，很干净，服务态度也很亲切，性价比高，下次还回去', '短评打分': 5}
{'短评内容': '离机场很近，在昆明中转住非常适合，房间很干净，虽然在路边但是不会吵，早餐会帮忙打包，总体来说性价比高', '短评打分': 5}
{'短评内容': '酒店设施配备还算是齐全，唯一不足的是房间里没有提供无线上网网络。房间简洁现代风。很舒适！', '短评打分': 3}
{'短评内容': '服务态度很好，离机场很近，并且有接送机服务，司机的态度很好，接机当天因为晚点，他等了我们将近一小时，早餐的品种不怎么多。就是酒店的餐厅味道不怎么样，而且价格贵。\n', '短评打分': 5}
{'短评内容': '总体感觉过得去，房间面积有点小，硬件一般，房间味道比较重，服务还可以。停车比较麻烦，每次都需要前台取停车券才行，希望改进。', '短评打分': 1}
{'短评内容': '好，早餐挺丰富的，房间也挺温馨,下次来还会入住。 ', '短评打分': 5}
{'短评内容': '酒店很干净，价格也合适，交通位置非常好，离机场只有不到十分钟的车程，就是酒店的饭菜不怎么合口。', '短评打分': 5}
{'短评内容': '不错的宾馆,客房干净', '短评打分': 3}
{'短评内容': '该酒店位置不错，里面布局新潮，就是顶的豪华大床房里面有大柱子，非常不舒服，早餐差', '短评打分': 3}
{'短评内容': '感觉总体来说，酒店物超所值，位置也蛮好的。\n主要的问题是春城路在建设（好像是地铁吧），有些吵闹，不知道什么时候结束啊。', '短评打分': 5}
{'短评内容': '酒店就在机场的边上，到达和出发很方便。离购物广场沃尔玛步行距离不远。', '短评打分': 5}
{'短评内容': '性价比不错~~~离机场近~~~~~~~~~', '短评打分': 5}
{'短评内容': '地点很方便 -- 距离机场很近，步行十分钟可以到国贸中心，附近吃饭的地方也很多。\n但是正对地铁工地，施工噪音很大！', '短评打分': 5}
{'短评内容': '环境一般 交通一般 餐食一般 稍微好一点的就是离机场近', '短评打分': 5}
{'短评内容': '就是打车不方便~~~其他都非常好的噢~~~~~~~', '短评打分': 5}
{'短评内容': '酒店离机场很近 离市区也不远 还算方便 就是施工有点吵', '短评打分': 5}
{'短评内容': '酒店离机场很近 离市区也不远 还算方便 就是施工有点吵', '短评打分': 5}
{'短评内容': '酒店出行不是太方便 门前修路很吵 但距离机场很近 酒店很新 有待进一步加强建设', '短评打分': 5}
{'短评内容': '酒店硬件设施齐全,干净,崭新,性价比较高.但是订酒店时显示免费送水果,入住后却没有.', '短评打分': 5}
{'短评内容': '感觉酒店各方面都很不错，服务比较人性化，位置不错，距离市中心不远，出行方便，房间隔音挺好，住宿环境满意', '短评打分': 5}
{'短评内容': '性价比挺高的酒店，早餐非常好，酒店距离机场蛮近的，房间挺大的，硬件设施齐全，服务态度不错', '短评打分': 5}
{'短评内容': '离机场近，但是周遭在造地铁，施工路堵，还不方便', '短评打分': 5}
{'短评内容': '离机场很近，交通便利，新酒店，设施较新。房间档次接近，价格区别不大，房间内空调声音太大，电视节目很少，网速很慢。', '短评打分': 5}
{'短评内容': '酒店真的不错，新开的酒店，环境，服务都非常的不错。\n下次如果到昆明，首推就是朗威了。。', '短评打分': 5}
{'短评内容': '总体不错，交通方便，服务热情。因酒店开业不久，有些细节还待改善。', '短评打分': 5}
{'短评内容': '酒店硬件不错，就是吃饭，打车都不方便,希望酒店能尽快改善，增加配套设施。', '短评打分': 5}
{'短评内容': '环境不错、交通方便，早餐丰富，特别适合短住。值得。', '短评打分': 5}
{'短评内容': '环境都还不错，服务态度一流，但是提供的牙刷非常的差，建议自带。', '短评打分': 5}
{'短评内容': '位置比较好交通各方面都比较方便，设施也、管理不错。', '短评打分': 5}
