{'短评内容': '服务不错，干净卫生，性价比高。', '短评打分': 3}
{'短评内容': '第二次入住，确实是找不到酒店了，只好在来这里安脚了。', '短评打分': 1}
{'短评内容': '房间太小了，住的憋屈，不过世博会期间确实不好找。', '短评打分': 1}
{'短评内容': '除了电视小点其他设施都还不错，网挺慢的不过也是正常的事。重要的是卫生间干净好用，而且服务态度也不错。', '短评打分': 5}
{'短评内容': '经济实惠，交通方便，下次还是会考虑入住的', '短评打分': 5}
{'短评内容': '挺好，舒服，美观，下次一定还住那里，离火车站又近，很方便，可以随时出去吃饭，', '短评打分': 5}
{'短评内容': '酒店感觉一般，入住后有种潮湿的感觉，不过价格还算合理，', '短评打分': 1}
{'短评内容': '除了床头有点破之外，没有什么毛病，房间大小还不错，比较干净，位置也还好', '短评打分': 5}
{'短评内容': '差差差！房间很差！卫生也很差，服务态度也很差！关键还晚上停水！', '短评打分': 1}
{'短评内容': '世博期间帮人找的，性价比一般吧。位置还可以。房间比较小，随便住住还凑合，晚上不够安静。', '短评打分': 5}
{'短评内容': '其他都还好，只是原本以为离火车站很近的，其实用走的还是要一段时间的，如果打车的话估计十多分钟吧。', '短评打分': 5}
{'短评内容': ' 客房感觉设施很一般。', '短评打分': 5}
{'短评内容': '地理位置不错，服务各方面也还不错，就是房间不大', '短评打分': 3}
{'短评内容': '卫生间和客房只有一帘之隔。。。适合上海人吧', '短评打分': 1}
{'短评内容': '总体来说还是不错的，环境还行，比较安静，离车站不远。但是前台的态度不怎么样，而且早餐券上写的早餐时间跟前台贴的时间不一致，导致我们浪费了两张早餐券，找前台说这事，前台的态度很差的。其他的还行吧。', '短评打分': 5}
{'短评内容': '位置还可以，离地铁步行10分钟，酒店内部一般，有些陈旧。', '短评打分': 5}
{'短评内容': '国庆去上海入住的此酒店，大床房。位置不错离八号线一号线步行10分钟内就能到。房间很旧，墙壁脏，我订的房间淋浴头挂杆是坏的，洗脸盆下面是漏水的，马桶坐垫有香烟烫的痕迹。其中一个枕头有血迹，睡了二晚，结果我老婆身上长了好几个真菌藓，明显床单被罩有问题，郁闷啊！ 隔音效果差，二次半夜被吵醒。酒店里外地的服务员态度挺好的，不过服务项目不怎么样，第一次碰到借个吹风机要押金100元的。 酒店门口就有一家老式的', '短评打分': 1}
{'短评内容': '地点比较好，服务业不错，离地铁比较近，下次还会推荐。。。。', '短评打分': 5}
{'短评内容': '房间不错。就是有点小挤。。。离地铁站距离还好。', '短评打分': 3}
{'短评内容': '旅店小巧精致,但有的设施该修了,最大的问题是:出行不方便,无论是公交还是地铁,最少要十分钟,对于玩了一天,精疲力尽的人实在是个考验!', '短评打分': 5}
{'短评内容': '比较值得推荐，就是离地铁远了点，但是离南京路很近，地铁1号线', '短评打分': 5}
{'短评内容': '离火车站很近，服务一般，设施就比较陈旧了。', '短评打分': 3}
{'短评内容': '总体感觉干净整洁，世博期间住着也算不错了！', '短评打分': 5}
{'短评内容': '地理位置不错，前台很小，人手比较少，吃饭出行很方便', '短评打分': 5}
{'短评内容': '老实说，这是我住过最差的酒店，房间太小，卫生不好，床上还有脏的印记。还是如家，莫泰168比较干净。要不是世博定不到房间，是不会选择这里的', '短评打分': 1}
{'短评内容': '很好，环境不错，房间色调舒服，内配保险柜，安全！！', '短评打分': 3}
{'短评内容': '出行很方便  离地铁口火车站都很近   以后去上海还会选择它的', '短评打分': 5}
{'短评内容': '离地铁远了点，得走10分钟左右。对于玩的很累的人，下了地铁走10分钟有点远了点。\r\n设施还不错，旁边有小吃。就是价格有点高了些。不过和同档次的酒店比起来算是便宜的了。\r\n总的说来值得推荐', '短评打分': 5}
{'短评内容': '酒店应属于老城区范围，因此生活比较方便，周围超市、餐馆都有，离地铁1号、8号线较近，酒店内部设施一般，但应有尽有，服务态度也较好。', '短评打分': 3}
{'短评内容': '酒店应属于老城区范围，因此生活比较方便，周围超市、餐馆都有，离地铁1号、8号线较近，酒店内部设施一般，但应有尽有，服务态度也较好。', '短评打分': 5}
{'短评内容': '反正现在世博期间，什么都贵。。。不到300住这样一个宾馆不错了。。就是这个地理位置，让我转了好久才找到。。费劲死了。。明天去世博，还要早起去挤地铁，离地铁站走路怎么也得十分钟，不是很近，房间倒是挺大，但是网线只有一根很不爽，很多旅馆都是桌子上颌床头各一根的，我和同学两台电脑没办法一块用，网速还特别慢。。。别的都还好吧', '短评打分': 5}
{'短评内容': '还好，这个价格比较满意！', '短评打分': 5}
{'短评内容': '中肯一点说，世博会期间这样的酒店算是不错了，因为只是住一夜，休息一下。整体是干净的，卫生间虽然只有一个帘子，不过因为有窗户，所以没什么异味。整体来说是满意的。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '希望该酒店能提供早餐,这样我们就方便很多,不用出去找早餐!', '短评打分': 3}
{'短评内容': '希望以后在网上订可以包早餐,这样我们就方便一点,', '短评打分': 5}
{'短评内容': '酒店还行吧，就是有些小和潮。', '短评打分': 5}
{'短评内容': '房间非常小，床睡着很不舒服，关键是该酒店居然还不定时地经常停水！天哪这样的连锁酒店真该马上停业整顿！', '短评打分': 1}
{'短评内容': '挺好,只是忘了用抵用券了,两天不见了四十,又补不回来!', '短评打分': 5}
{'短评内容': '设施相对老了，走廊有异味，房间洗手间没有门只有帘子，没有标准间只有大床房，但是考虑比较低的价格和很不错的地理位置，还是值得入住的', '短评打分': 5}
{'短评内容': '离地铁其实还有一段路，要走十多二十分钟，周边卫生环境较差，服务员态度不大好，设备也有些老旧，空调很吵又不是很凉，服务员又不肯换房。', '短评打分': 1}
{'短评内容': '没什么说的就是一般！酒店异味很重！洗手间没有门就是一个帘子！', '短评打分': 5}
{'短评内容': '距离地铁站要走一段路，不过门口有超市、水果摊什么的，还可以。', '短评打分': 1}
{'短评内容': '位置不错，一直在上海的选择，离地铁也比较近，方便快捷', '短评打分': 5}
{'短评内容': '经济型酒店，上海能这样就可以了。就是价相对于其他地区的贵了，可能是世博的原因。', '短评打分': 1}
{'短评内容': '房间设备还可以，就是价钱有点高了，但是在世博期间每办法，可以理解的！总体来说还是不错的！', '短评打分': 5}
{'短评内容': '反正世博会，房间非常紧张，在这个期间只能算是性价比比较好的了。', '短评打分': 5}
{'短评内容': '这家酒店非常不错，性价比非常高，服务员态度也好，房间内部也好，干净，住这舒服，离世博园区很近，出门步行5分钟就有地铁8号线，直接可以到世博园2号门，也直达陆家嘴，南京路，离火车站打车就起步价，几分钟的路程，总之交通啊什么的很方便，非常满意，再去上海肯定还会入住', '短评打分': 5}
{'短评内容': '世 博期间上海宾馆都很贵，这个宾馆价位比较低，里面东西也一般，厕所没有门，只有一个帘子，房间进去有点霉味，房间里的饮水机里面的是自来水，付费的矿泉水很久没换过了，想喝的，结果拿起来发现瓶底粘了点发霉的东西，不敢用了。可以考虑同一条街令一边的如家，那家正好在地铁口上面，交通方便很多，房间也比这边好些', '短评打分': 1}
{'短评内容': '不错.世博会高价情况下,住在这边性价比还是很好的~', '短评打分': 5}
{'短评内容': '替别人预订的，据反映，挺干净，也比较方便，不错。', '短评打分': 3}
{'短评内容': '还行，外观比较较旧，上网有点迟钝，不过定时按无窗房定的，入住倒有卫生间也有窗，睡房也有窗，很是惊喜，空气流通，就算满意了。', '短评打分': 3}
{'短评内容': '很不错，就是经济房没有窗挺憋屈的，其它的都还可以，交通也比较方便！', '短评打分': 5}
{'短评内容': '我住的是大床房。\r\n优点：交通便利；\r\n缺点：房间小；有味道；装修简单破旧；电话坏；浴巾破旧；淋浴热水小而凉；没有一次性拖鞋；没有毛巾。', '短评打分': 3}
{'短评内容': '除了交通便利，其他没什么好的。不推荐，差极了。', '短评打分': 1}
{'短评内容': '酒店装潢不错，条件也挺好，到世博，火车站也挺方便，就是服务太慢了，洗澡水温太低。下次来还订这个！', '短评打分': 5}
{'短评内容': '就是隔音效果很不好 唉 地理位置倒是很好的 附近还有超市 饭店 世博期间住到这样的客房 还是很不错的', '短评打分': 5}
{'短评内容': '入住岭南佳园，位置优越，500米到8号线地铁，距离人民广场2站，世博园耀华路8站，中间不需要转车，门口有市场，吃的也很方便，酒店设施一般，前台服务人员服务有待提高。', '短评打分': 3}
{'短评内容': '交通方便，周边有便利店小吃城，就是房间有些旧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '+无窗房有点味道', '短评打分': 5}
{'短评内容': '第一个入住的房间很不行，后来去前台换了另外一间，还可以。。。', '短评打分': 5}
{'短评内容': '对于这个价格，在世博期间入住上海，还是蛮划算的，一开始以为见不到光，很幸运，给安排的房间居然有两个窗。不过，被单就是不够白，网络在高峰期有点迟钝。', '短评打分': 5}
{'短评内容': '交通便利，离地铁站较近，去世博园和火车站都很方便！感觉装修有些年头了，部分设施有些陈旧', '短评打分': 3}
{'短评内容': '哎，本来住的到时很好的，最佳评价还给我出点事，真是好事多磨啊，服务还得加强点。。。。。', '短评打分': 5}
{'短评内容': '酒店基本的设施和服务还算可以，就是第一天去的时候发现上不了网，找服务台解释说是酒店人住满了，速度很慢，我汗~~~，那不是跟没有一样嘛，本想查查世博线路的，结果只能用手机查了，由于白天都是在外面玩，晚上回来就睡个觉，所以去上海看世博会人的还是可以考虑的。', '短评打分': 5}
{'短评内容': '地理位置不错,离8号.1号线都近.但房间有点小,还有洗澡的水龙头不太好,服务还好...', '短评打分': 3}
{'短评内容': '房间是有点小，但还算干净，就是洗澡的龙头不是很好。', '短评打分': 5}
{'短评内容': '世博期间价格涨了，所以有些偏贵。但位置还不错，离8号线和1号线的地铁站都要走个十分钟的样子。设施和装潢还是不错的。可是房间里只有浴巾和擦手的小方巾，没有洗脸的毛巾，很郁闷，而且没有挂毛巾的架子，只能搭在把手上，这是个缺陷。前台态度一般，最后结账的时候还差点算错了钱。没带电脑，所以不知道网速。周围是居民区，所以便利店，饭店什么都不缺。总的来说还是不错的。', '短评打分': 5}
{'短评内容': '酒店位置很好，室内环境也不错。真的是隔音特别不好，但性价比很高了！', '短评打分': 5}
{'短评内容': '酒店的设施,卫生都比较好,位置较好，靠近地铁站和火车站，交通比较方便.吃饭也很方便。附近有城隍庙小吃，还有一个菜市场，较方便。', '短评打分': 5}
{'短评内容': '容易找~交通也挺方便的.就是淋浴水温偏低', '短评打分': 3}
{'短评内容': '容易找~交通也挺方便的.就是淋浴水温偏低', '短评打分': 5}
{'短评内容': '整体感觉不错 性价比还行 如果在便宜点就更好啦 哈哈\r\n', '短评打分': 5}
{'短评内容': '交通方便，还不错，世博期间，价格上浮。安静，周围吃饭方便，房间装修时间较长，有些旧。', '短评打分': 5}
{'短评内容': '+位置不错交通方便周围是老居民区 房间有点小通风效果差了点', '短评打分': 5}
{'短评内容': '位置不错，周围便利店小吃店很多，就是房间有些不通风', '短评打分': 3}
{'短评内容': '刚住下 感觉还不错 需要时间检验', '短评打分': 5}
{'短评内容': '我住的是大床房，房间比较小，床超大，窗户太小了，透光很不好，基本跟没窗没有什么区别，不过酒店的服务态度很好，地理交通还比较便利吧。。世博期间还算是个理想的住处。。。', '短评打分': 5}
{'短评内容': '己入住岭南佳园 一般推', '短评打分': 5}
{'短评内容': '有线电视 交通很便利 要是卫生能再好些就好了', '短评打分': 5}
{'短评内容': '位置真的不错,去1号线走路也就10分钟,很方便!周围还有可以吃饭的地儿!', '短评打分': 5}
{'短评内容': '嗯  初次来到上海 感觉这个酒店还可以 算是正规吧', '短评打分': 5}
{'短评内容': '这酒店的房间不通风的,有个窗户对着楼道,但不能打开,整个楼道也是不通风的,唯一的一个窗户只能开一半,房里国为不通风有种怪味,太差了.价钱还贵,比周围的贵多了.', '短评打分': 3}
{'短评内容': '地方难找了点，不过还是挺方便的，房间是绿色的，卫生间是橙色的墙壁，让人看了心情就好', '短评打分': 3}
{'短评内容': '酒店的位置比较好，靠近地铁站和火车站，交通比较方便，设施，卫生都比较好。但是标准房却只送一份早餐让人很难理解，请在这方面做出改进。', '短评打分': 5}
{'短评内容': '二条地铁边，这个位置不错，还提供行李寄存，外面的小吃不错，但是在一条路的内部，很难寻到这个地方，住的地方太小了。隔音很差。', '短评打分': 5}
{'短评内容': '不错不错\r\n                  ', '短评打分': 3}
{'短评内容': '服务态度不好,交通也不方便，住宿环境不舒适。', '短评打分': 1}
{'短评内容': '地段不错离8号线很近，环境也不错，关键是性价比很', '短评打分': 5}
{'短评内容': '很潮，服务态度差啊    不怎么推荐这家', '短评打分': 1}
{'短评内容': '非常不错，离世博也不是很远，附近有1号地铁，出行方便，性价比很高', '短评打分': 3}
{'短评内容': '性价比高，很好的酒店！！世博期间虽然贵了的点，但相比其他的酒店还是非常 不错的！', '短评打分': 5}
{'短评内容': '位置离火车站不远，只是坐一站地铁后得走一段时间（如果不着急赶路，走的这段路上有很多小店铺，可以转转），不太方便；去火车南站得1个小时（从大门酒店出发到南站的候车室，走路加地铁）。经济房（无窗）比较小，不过麻雀虽小五脏俱全，只是睡觉休息的话还可以接受。比较郁闷的是网速太不稳定，很让人着急。特别满意大门左边的城隍小吃店，东西很好吃，价格便宜，就是小吃店的服务员态度不热情。酒店价格在世博期间也涨了好多，', '短评打分': 5}
{'短评内容': '世博期间没办法，酒店紧张，又不打折，能找到这样的酒店已经算不错了，位置地段还算可以，离地铁1号线不远', '短评打分': 1}
{'短评内容': '饮水机没有制冷 上海的夏天 只能开着空调了\n服务一般\n床单偶有破损\n地理位置还好离火车站地铁都很近', '短评打分': 5}
{'短评内容': '位置还算可以，房价高了点，不过世博没办法，还算方便了', '短评打分': 3}
{'短评内容': '位置还算可以，房价高了点，不过世博没办法，还算方便了', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '交通还算便利，性价比还好！ \r\n酒店附近有一些小食店，就算晚上饿了，也有夜宵吃。', '短评打分': 3}
{'短评内容': '早上赶着参团，退房时未打印发票，因隔晚还需入住，在入住时要求提供前晚入住的发票，店员说不能提供，而且店员态度恶劣。交通还算便利，性价比还好！', '短评打分': 5}
{'短评内容': '位置相对比较远，也不太好找。房间在后楼，相对价格还可以接受！', '短评打分': 1}
{'短评内容': '酒店离地铁站蛮近 周围环境也不错 就是房间太小了！', '短评打分': 3}
{'短评内容': '房间很宽敞,设施比较齐全,很干净,交通也很便利.只是价格偏高一点.也许是世博会的原因吧.下次还会选择住在这里的', '短评打分': 5}
{'短评内容': '地理位置优越 交通便利 去哪里都方便 设施齐全 卫生条件非常好 就是没有窗户有点闹心 总体还是不错的', '短评打分': 5}
{'短评内容': '非常的清爽干净，交通也便利。', '短评打分': 5}
{'短评内容': '卫生上，房间内有蟑螂，虽然酒店采取了一定措施——放杀虫药；服务一般，房门保险锁坏了，没有及时修；设施很齐全；位置上确实去1、8号线都很近；性价比上在世博期间算是很好的，只是牙刷等一些物品需要自带。\r\n**祝大家玩的愉快~', '短评打分': 5}
{'短评内容': '我住的大床房，条件不错，有窗户，很干净；离地铁1号线大概10分钟的路程，到哪都很方便；附近超市、饭店也都很齐全，就是隔音效果差了点！但总体来说这个性价比是很高的了！已经推荐给朋友了，以后有机会去上海还会选择这里的！', '短评打分': 5}
{'短评内容': '还不错\r\n', '短评打分': 5}
{'短评内容': '地铁八号线到中兴路下车走一小段就到了！', '短评打分': 3}
{'短评内容': '酒店离地铁站蛮近的，设施不错，就是房间略小！', '短评打分': 5}
{'短评内容': '岭南佳园连锁酒店（上海共和新路店）地理位置还可以，离地铁不算远，如果短期入住，价格还行。不过酒店的招牌不太明显啊，不太好找，况且前台的服务员对周边的环境好像不太熟，向她询问怎么到达酒店，她们却说不太明白，所以，如果想入住的朋友可以先查一下三维地图确定位置，这样去了也好找，看世博还是挺方便的。 \r\n', '短评打分': 3}
{'短评内容': '地理位置还可以，离地铁不算远，如果短期入住，价格还行。不过酒店的招牌不太明显啊，不太好找，况且前台的服务员对周边的环境好像不太熟，向她询问怎么到达酒店，她们却说不太明白，所以，如果想入住的朋友可以先查一下三维地图确定位置，这样去了也好找，看世博还是挺方便的。', '短评打分': 5}
{'短评内容': '离一号线很近,就是吹风机还要去前台拿,麻烦死了!!', '短评打分': 1}
{'短评内容': '酒店条件还可以，服务人员态度不错，价格还是合理的。', '短评打分': 5}
{'短评内容': '性价比不错，就是房间偏小一点', '短评打分': 5}
{'短评内容': '没有电梯，隔音不好，不过对面有家饭馆很好，吃的很便宜。去西湖方便。自费旅游可以考虑。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '位置很好，吃的挺方便。', '短评打分': 5}
{'短评内容': '入住了四天,感觉还不错,交通方便,吃饭也方便.值得推荐', '短评打分': 5}
{'短评内容': '酒店位置还是不错的，离8号线1号线都不远，周围便利店和小吃店也很多。不足的是房间较小，通风不好。', '短评打分': 5}
{'短评内容': '这家酒店可以说是我从住过的经济型连锁酒店中最差的了!洗脸的毛巾没有,仅仅只有小毛巾(是用来洗完手擦干用的),而且很破旧.电视机,电脑接口,饮水机等等插头,插座的线很多很乱.在房间放一个灭火器(不知能否使用)&lt;这是我所住的酒店中第一次遇到在房间放一个灭火器&gt;!&lt;&lt;消防法&gt;&gt;也没有规定酒店的房间要放个灭火器.既然,酒店已经有所知,为何不及时的消除隐患呢?一个灭火器,', '短评打分': 1}
{'短评内容': '比较不错。。。值得推荐', '短评打分': 5}
{'短评内容': '位置离闹市区还蛮近 就是宾馆在小巷子里不太好找，卫生还行，电视太小，网速经常卡，洗手间设施都挺好挺舒适，总体来说还不错的。', '短评打分': 5}
{'短评内容': '订的比较晚，离火车站还算进的，稍微难找了点，不过房间不错，绿色的墙壁，卫生间是橙色的，让人感觉很舒服', '短评打分': 5}
{'短评内容': '经济房在世博会期间价位比较合适，虽然房间不大但是很干净，忙碌一天能洗上很好的热水澡，离地铁有一段距离，店旁有非常好吃的上海城隍庙小吃店，总之是值得入住的。', '短评打分': 5}
{'短评内容': '离8号线算比较近的，走路十多分钟就到了，房间内还比较不错，比预想中好，世博期间200多房价在8号线附近算便宜的了。不足的是房间内的饮用水感觉不是很干净，有杂质，还有网速，虽然放了个猫，但是依旧很慢，慢的网页都打不开', '短评打分': 5}
{'短评内容': '    感觉不是太干净，还是如家更好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通还行，离一号线出口有两个路口，周边也有些小吃\r\n房间设施比较陈旧，卫生一般，桌子感觉一碰就要塌，世博期间来说性价比还行，可以作为大家的选择', '短评打分': 5}
{'短评内容': '此次入住的位置在上海闸北区芷江西路130号，选择该地点为的是便于世博行，一是因为同价位的其他酒店基本满房，不容易定的，二是因为该酒店的位置比较理想，出了大门往右走，到西藏路，再向南走一段，就可以坐到8号线地铁，两站就可以到人民广场站，自行去世博的朋友可以非常方便。酒店的设施比较一般，卫生状况一般，但价格比较便宜，可以满足大多数对酒店要求不高的朋友。值得一提的是，我定了两间房，只定到一个晚上，当天要', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置不错&#183;楼下有很多小吃~~总体是不错的！', '短评打分': 3}
{'短评内容': '酒店离世博园区较近，乘坐地铁也很方便。', '短评打分': 5}
{'短评内容': '特价房不错。', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '离地铁一号线比较近，周边小吃，水果滩比较多，看世博还是很方便的。', '短评打分': 5}
{'短评内容': '我觉得不错。只是房间有点小。', '短评打分': 3}
{'短评内容': '我觉得不错。只是房间有点小。', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '地理位置还是可以的 可能我拖着箱子找的有点小郁闷   房间比我想象中的好   但是还是有点潮潮的感觉  总体不错', '短评打分': 5}
{'短评内容': '位置比较好，但不如宣传的那样近，不太好找，临近地铁8号线，去世博会比较方便。周边吃饭比较方便，门口的鱼馆和特色小吃店都不错，住宿条件还可以，无窗房进去后有点霉味。', '短评打分': 5}
{'短评内容': '位置还算不错~~酒店底下有很多小吃~', '短评打分': 5}
{'短评内容': '酒店比较干净    整体比较舒服', '短评打分': 5}
{'短评内容': '一开始看到别的评价还挺担心的，说卫生不太好，地方不难找，我下了火车打车几分钟就到了，就在芷江西路上，只是在一个院子里罢了，名字没有岭南，只是佳园酒店，入住很快，进了房间还有一股清香，颜色挺明亮的，我比较喜欢，挺干净整洁的，特别是床很舒服，床单不像别人说的不干净，洗澡也不错，离可以去世博的8号线不是很远，第一次走觉得好远啊，应该是不熟悉的原因，之后就觉得挺近的，右拐然后直走就能看到了，周围也有不少快', '短评打分': 5}
{'短评内容': '这间店总体位置不错，附近买东西吃饭都比较方便。另外离地铁也就10分钟内的路程，但室内布局不是很合理，房间卫生一般。', '短评打分': 5}
{'短评内容': '房间小，也不是特别干净。但是最大的优点就是位置非常的好。如果只是为了留宿一晚上，还是可以考虑的。', '短评打分': 3}
{'短评内容': '    房间跟他的价位差很远，不知道是不是世博的原因，服务态度不是很好，宽带上网几乎上是上不了的，偶尔可以打开，服务员讲可能是电脑的原因，简直是乱讲，我过两天换家酒店就很好，看来还是他的网络有问题。', '短评打分': 1}
{'短评内容': '房间不大。但是如果只是用来住一下就还好。满意的是交通非常的便利。服务态度也还不错吧。', '短评打分': 1}
{'短评内容': '酒店出行还算方便，距离上海火车站很近，东边8号线地铁，西边1号线地铁。\r\n世博期间性价比已经很不错了，推荐。我们预定的是289的大床房。\r\n不过酒店的网络真是奇慢，酒店的服务人员说，酒店是公用的IP，所以分配到每个IP address的流量和速度就会有问题，建议改进。\r\n酒店房间设施还不错，有一个很大的晾衣服的横梁。', '短评打分': 5}
{'短评内容': '感觉很不错，无窗房有个窗户是朝向走廊的，也还不错啦。', '短评打分': 5}
{'短评内容': '地方非常难找，离上海站一点也不近，打车都是13-15元，来回打了4次。现在是世博，也只能订到特价房，不作细评，但是房间里面竟然有独立的modem，上网狠快，不错。', '短评打分': 1}
{'短评内容': '住的时候感觉还可以。。然后我就预订了下次的房间，前台说给我订到晚上9点的，可是等我8点半到的时候，人家说住满了。。现在人的信誉度真的很差，都赶在上海世博会，想多赚点钱，，，这家店以后我是不会来了，心情很差、', '短评打分': 1}
{'短评内容': '帮同事订的房，同事很满意！', '短评打分': 5}
{'短评内容': '还不错  对得起价位', '短评打分': 1}
{'短评内容': '6月底住了3个晚上，订的是无窗的经济房。到达以后居然有有窗的经济房。总体来说还不错。虽然房间有点小，窗户也有点小，但是还是比较舒服的。地方也还可以，虽然是闸北老区。买东西楼下就是超市，吃东西也比较方便，地铁离的也不远。服务算是一般。但是看了一下现在涨价了，当时住是每晚199.可能是暑假的原因吧。', '短评打分': 5}
{'短评内容': '地方不错，交通也很好，现在这个时候价位也还成吧，还算比较满意的', '短评打分': 5}
{'短评内容': '位置很好，出门就有吃的，地铁站也很近。就是房间小了点，不带窗。', '短评打分': 5}
{'短评内容': '酒店确实不错，建议房间里再多放点花，香一点就更好了。', '短评打分': 5}
{'短评内容': '床后有点小，只有厕所的窗户。', '短评打分': 3}
{'短评内容': '可能是上海天气的原因，霉味有点儿重。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总体来说还可以', '短评打分': 5}
{'短评内容': '我想想都气&#183;&#183;&#183;态度太恶劣了', '短评打分': 3}
