{'短评内容': '服务很好，马漪镁和管金琴态度超赞。', '短评打分': 5}
{'短评内容': '酒店房间够大，就是沙发怎么只有一个，早餐较丰富，就是补菜太慢！', '短评打分': 5}
{'短评内容': '位置不错，房间也行，卫生间局促了点，早餐可再丰富些。', '短评打分': 3}
{'短评内容': '还不错！住宿和餐饮都可以，就是小店的商品有点不靠谱。', '短评打分': 5}
{'短评内容': '还不错，早餐的油条很有味道，要是有豆浆就更好了！酒店的菜味道还不错！价格也还合适', '短评打分': 5}
{'短评内容': '酒店还有一股装修的味道，房间有点小，最多四星标准。楼下停车场保安态度很差。', '短评打分': 3}
{'短评内容': '这个价格的还是有性价比的,不过就是卫生间是透明的,大家自己看着办', '短评打分': 5}
{'短评内容': '垃圾中的战斗机\n酒店新装修，硬件确实都到位了，但软件真是差强人意，入住第一天都没有瓶装水，\n号称4星的酒店早餐这么差真是没有想到，连个煎蛋都没有', '短评打分': 1}
{'短评内容': '整体还行，但是房间装修的味道比较大，临近马路比较吵。\n距离火车站那是相当的近，走路不过50米', '短评打分': 5}
{'短评内容': '比以前有些进步，主要是在接待客人的态度方面。', '短评打分': 5}
{'短评内容': '还不错拉。各方面都比较均衡\n\n早餐太普通。。', '短评打分': 5}
{'短评内容': '推荐，离火车站很近，晚上到很方便，酒店在评四星，可能要涨价,希望服务也会提高。', '短评打分': 3}
{'短评内容': '酒店不错，房间的内部装饰看着也舒服，附件交通也便利~~', '短评打分': 5}
{'短评内容': '酒店位置不错，火车站对面，交通便利，内部装修很好，设施齐全，床睡上去也很舒服，不过晚上如果开窗户会很吵', '短评打分': 3}
{'短评内容': '还不错，就是配套设施做的差点，找个棋牌室，酒店好像都没有', '短评打分': 5}
{'短评内容': ' 已经是第三次入住了，感觉还是一如既往的好，多的就不说了，总之就是好', '短评打分': 3}
{'短评内容': '商务单人间，房间较小，卫生间简直小得可怜，跟火车上的卫生间大小媲美，一点儿都不夸张，里面转身费力。其它还好。准四星的标准。', '短评打分': 5}
{'短评内容': '不错，帮朋友订的，朋友第二天的机票飞，出门就是机场大巴站，很方便．沐浴竟然是玻璃的，外面能看见．．．', '短评打分': 5}
{'短评内容': '到店时间晚上12点多，只有我们在办理check in。但是check in时间太长了，前台人员开始说找不到预订信息。折腾了十几二十分钟才找到。又困又累的时候觉得时间更长了。希望酒店会有所改善。酒店其他还是挺好的，距离火车站很近。', '短评打分': 5}
{'短评内容': '服务不错，服务员很热情。推荐。另外早餐还蛮丰富的。', '短评打分': 5}
{'短评内容': '就在火车站旁边，短期出差很方便，而且有早餐，下面就是KFC，非常方便。酒店晚上也比较安静，很不错', '短评打分': 5}
{'短评内容': '先说优点。其一，由于开业时间晚，所以设施方面还是很新的，走廊上也相当的安静，我住的是最高的商务楼层，一点声音都没有，其他楼层虽然没有去过，不过想来也不会太差。其二，房间内部设施也是很不错的。没有什么旧的感觉，主要是从装修风格上给人一种古朴的风格。该有的基本都有。其三，电视的频道也很丰富，有凤凰台，不过其他外国台没有看到。电脑是Thinkpad的台式机，还是不错的，不过配置有点低。接下来是缺点。其一', '短评打分': 5}
{'短评内容': '又住了一晚，还是一样满意。', '短评打分': 3}
{'短评内容': '酒店房间的大床很舒服，就是卫生间真是小，早餐也不错，推荐。', '短评打分': 3}
{'短评内容': ' 感觉还是挺好的，就是退房的时候前台服务不好，而且也不给寄存电脑！', '短评打分': 3}
{'短评内容': '酒店在火车站旁,很乱很吵!而且酒店多是团体入住,整个酒店的档次感觉很低!酒店一楼的商店里卖的东西名不副实,虚假欺骗顾客.', '短评打分': 1}
{'短评内容': '还不错啦。卫生间小了。要是前台早给我推荐那个会员卡，我应该会很开心。但是居然是在我住了第N次以后才说的。续住后服务员不会重新更换新的拖鞋、睡衣、香皂等等。', '短评打分': 5}
{'短评内容': '2个月内第6次入住了。性价比还可以，床舒服。这次让人不开心的是房间内的物品准备不够，而且床单脏了也不给换。早餐莫名奇妙不提供咖啡和厨师煎蛋了。', '短评打分': 5}
{'短评内容': '挺方便挺不错，这是我第二次入住了。', '短评打分': 3}
{'短评内容': ' 再次入住，感觉还是依旧的很好，唯一不足的是早餐没有以前好，有些失望。', '短评打分': 3}
{'短评内容': '外部环境太吵，内部还可以很新。', '短评打分': 3}
{'短评内容': '位置极佳，硬件很不错，值得一住！位置极佳，硬件很不错，值得一住！', '短评打分': 5}
{'短评内容': '离火车站很近，去机场也方便，出门过了马路就是去机场的巴士。酒店房间新，还有些味道。', '短评打分': 3}
{'短评内容': '虽难房间不错，但是早餐一般，更可恶的，当客人无零钱时，要急用时，前台都不肯帮此小忙。。。。。。。', '短评打分': 1}
{'短评内容': '感觉很好，舒适，早餐也挺丰富，交通很方便，唯一不好的是网速一般，下载文件较慢，希望在网络上改进下', '短评打分': 5}
{'短评内容': '不错，新装修的，硬件可达到4星，位置在火车站，出行方便', '短评打分': 5}
{'短评内容': '第二次入住了，环境不错。就在火车站对面，赶火车很方便。', '短评打分': 5}
{'短评内容': '其他都还可以！就是房间小了点，厕所也小！大厅不豪华！但房间总体还算满意', '短评打分': 5}
{'短评内容': '好不错 服务在南昌算很好了 好不错 服务在南昌算很好了 好不错 服务在南昌算很好了', '短评打分': 5}
{'短评内容': '如果下次去南昌,或者朋友去一定会推荐这家酒店,房间很好,这已经是第二次这住了', '短评打分': 5}
{'短评内容': '交通方便，酒店设备很好，早餐不错，再到南昌还会来住的', '短评打分': 5}
{'短评内容': '酒店很好！房间舒适！沙发很高档！酒店虽然离火车站很近但是很安静！', '短评打分': 3}
{'短评内容': '前台服务很好，早餐也不错，就是因为修路的原因，外环境不好，交通不方便。', '短评打分': 3}
{'短评内容': '服务很好，房间也很干净，就是不好打车。', '短评打分': 3}
{'短评内容': '不够五星啊', '短评打分': 3}
{'短评内容': ' 其他都还可以！就是房间小了点，厕所也小！大厅不豪华！但房间总体还算满意', '短评打分': 3}
{'短评内容': '装修很新，位置在火车站边。赶早火车的人很方便。没有健身房！餐厅的东西还不错。大堂超市可挂房账。', '短评打分': 5}
{'短评内容': '不错，新装修的，硬件可达到4星，位置在火车站，出行方便，下次还会主住的', '短评打分': 3}
{'短评内容': '很好，环境比较好.出行方便，旁边就是肯德基和麦当劳，价格可以接受', '短评打分': 5}
{'短评内容': '房间尚可,位置一般,火车站门口,人员众多,房间隔音一般,出租车不能至酒店门前.', '短评打分': 5}
{'短评内容': '酒店很好。就是早餐早了点。', '短评打分': 3}
{'短评内容': '出行方便，旁边就是肯德基和麦当劳，价格可以接受！', '短评打分': 5}
{'短评内容': '不错，很舒适，特别干净，服务热情，值得推荐。', '短评打分': 5}
{'短评内容': '非常棒。', '短评打分': 3}
{'短评内容': '5星豪华酒店有点过，这大概是私营的一家酒店，大堂有点小。房间还可以干净，也不小。我是和父母孩子一起去旅游的，开始定了一个标间和一个家庭房的，到了酒店发现标房和家庭房没什么区别，就是有一张床大点，其他都一样，早餐也是2份，家庭房要加一份早餐，结果不同意，价格要贵150，后来也换成标房了，不建议定家庭房。我们是在大年30晚上入住的，到了有点晚了，去餐厅吃饭时已经没有其他客户了，酒店员工要开始分岁酒了，', '短评打分': 5}
{'短评内容': '非常好值得推荐', '短评打分': 3}
{'短评内容': '不错的硬件设施，挺好的服务态度，遗憾的周边环境，欠缺的是适当补偿。\n总的来说很不错，有待改进的是高水平服务意识。', '短评打分': 5}
{'短评内容': '酒店还不错哦', '短评打分': 3}
{'短评内容': '第二次入住了，但是，外围环境实在差劲！大门设在那里是个悲哀，外面就是个停车场，不是一般的乱！所以以后不准备住这里了', '短评打分': 1}
{'短评内容': '乘火车方便，房间设施还行，只是酒店内部结构有点复杂，似乎消防安全需要注意啊', '短评打分': 5}
{'短评内容': '房间很舒适，安静。就是周边环境差点。', '短评打分': 3}
{'短评内容': '可能是南昌火车站附近最好的酒店了，装修很新比较豪华，房间也很大，床很舒适，隔音效果非常好。\n服务员素质较高，服务很热情。\n停车场也很大，方便有车的客人。\n早餐品种丰富，味道很棒。\n下次朋友来，还会带到这里入住。', '短评打分': 5}
{'短评内容': '酒店听气派，靠近火车站，比较方便出行，就是感觉周围有些吵，购物闲逛感觉不是十分方便', '短评打分': 5}
{'短评内容': '这个酒店还好，干净，新房，总体感觉还不错', '短评打分': 5}
{'短评内容': '酒店离火车站特别近 非常方便 服务也非常好 特别是房间的床 又大又舒服 早餐也不错 值得推荐', '短评打分': 5}
{'短评内容': '很好的酒店！就在出火车站右前方。房间设施很好，服务也很规范。卫生间面积很小，很局促的样子。酒店大门口停很大长途大巴，打车进出均不方便。如果需要乘火车出行，住此酒店很好，如果到市内办事，住此酒店不方便，打车没法停在附近，如果进出酒店携带大件行李的，会很不方便。', '短评打分': 5}
{'短评内容': '一家让人很失望的酒店：住了有几次了，一次不如一次，特别是服务水准太差！房间的网速一次比一次慢，不得不用自己的无线上网卡。最后意思的是：中途回房间时，被告知这个房间已经被通知退房了，房间里面遗留的东西被服务员莫名收拾掉，并责问：你这个房间几个人住？有几张房卡？结果是总台的服务员把其他房间的房卡当做是我这个房间的了。员工责任心太差！预留给朋友的房间到了第二天去确认时，说已经有别的客人入住了；给餐厅打电', '短评打分': 1}
{'短评内容': '酒店离火车站非常近，环境也还可以，房间不大，比教干净。早餐还行。', '短评打分': 3}
{'短评内容': '替客户预定的，入住后反应还是不错的，下次出差还会预定', '短评打分': 5}
{'短评内容': '方便，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好的酒店，只是房间有点小，早餐一般，位置、服务都好；在火车站边上，给让人感觉很乱，但酒店很安静', '短评打分': 5}
{'短评内容': '很好的酒店，只是房间有点小，早餐很好，位置、服务都好；紧邻火车站，给人很乱的感觉，但酒店还很安静；', '短评打分': 5}
{'短评内容': '按道理我是不会推荐此酒店的 但我习惯了就不愿意再改了 希望酒店能加强员工的素质和职业道德的培训 希望不要再发生让我不愉快的事情了 ', '短评打分': 5}
{'短评内容': '酒店设施真的像四星级一样，但是最大的问题是比较吵，离火车站非常近，到站的播报音都听得清清楚楚！\n\n退房后让酒店服务生叫辆出租车去机场，酒店的服务生既然叫了辆黑车来，管理不行啊', '短评打分': 1}
{'短评内容': '已经评论过一次了，总的来说可以，性价比不错！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，除了门前修路交通不是很方便外，其他都还行！房间里面的床很舒服。', '短评打分': 5}
{'短评内容': '不错的酒店 就在火车站旁边 ，，餐饮什么的 都比较方便', '短评打分': 5}
{'短评内容': '還可以。只是早餐須學會喝咖啡放糖沒有調匙， 面包放果醬沒有刀。\n早餐只能用快子', '短评打分': 5}
{'短评内容': '很不错，服务员态度热情，卫生间偏小，早餐种类再丰富些就更好！', '短评打分': 3}
{'短评内容': '具有四星级标准的酒店，交通极为便捷。酒店周边商业网点密集、繁华，卫星有线电视频道众多，酒店配有停车场，泊车方便。服务热忱！;缺点：卫生间太小。 \n', '短评打分': 5}
{'短评内容': '面向火车站，左手边。不要背着火车站一直走，否则会绕圈。其实酒店应该在火车出站口立个指路牌，这样比较方便。房间装潢比较简单，家具比较简陋，但是还算比较清爽。总体还是不错的。', '短评打分': 5}
{'短评内容': '十环璄不错', '短评打分': 3}
{'短评内容': 'at the end of the same row of shoplots with McDonald - but you will never see the hotel name or logo until you get into it! good room - they probably have upgraded me but didnt tell me. Restaurant for', '短评打分': 5}
{'短评内容': '同事说还不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '整体感觉还可以，环境挺好。服务员态度也挺好。主要是离火车站近。坐火车和去机场都方便。', '短评打分': 5}
{'短评内容': '酒店的环境挺好的，且挺方便，就在火车站对面，去机场也方便。', '短评打分': 5}
