{'短评内容': '酒店还可以，就是10元早歺比较简单', '短评打分': 4}
{'短评内容': '酒店靠近马路，房间隔音不好，比较吵，早餐的品种很少，跟其他快捷酒店比性价比差一些！', '短评打分': 1}
{'短评内容': '酒店挺新的，但在高价入口边上，住高楼层应该会吵些。但我们住的二楼还行，晚上睡的挺好。总体来讲是个不错的酒店', '短评打分': 3}
{'短评内容': '房间靠马路，有点吵。房间硬件设施不错，但前台总是1个在忙，有时还不熟练，老要等很久。', '短评打分': 3}
{'短评内容': '干净，服务态度好。桌子有点差。能配几瓶纯净水就更好了！', '短评打分': 5}
{'短评内容': '非常不错的酒店，同样的价格但是比其他快捷酒店干净舒适，安静。下次继续入住。', '短评打分': 3}
{'短评内容': '环境很好，交通便利，硬件条件好。酒店商务大床房面积比较小，淋浴喷头应该改进。总体很不错！', '短评打分': 3}
{'短评内容': '中规中矩吧  没什么特色 服务还比较热情。。。', '短评打分': 1}
{'短评内容': '床很舒服。前台的服务也还算不错。只不过酒店靠近主干道 晚上时常会有噪音干扰', '短评打分': 5}
{'短评内容': '房间可以。。推荐。。离火车站近。。步行十分钟吧。。就是出于闹市区。。白天出行不太方便。。门口堵车。。', '短评打分': 5}
{'短评内容': '酒店很舒适，早餐因为赶时间没吃上，希望下次还有机会入住。', '短评打分': 5}
{'短评内容': '太吵', '短评打分': 3}
{'短评内容': '每次去都会选择该酒店，方便舒适，很喜欢！！！！！！', '短评打分': 5}
{'短评内容': '服务很周到，会询问是否要临街的房间，很贴心，这个家酒店是每次到武汉的选择', '短评打分': 5}
{'短评内容': '一如既往的好，很喜欢这里的环境服务，每次来必选的酒店', '短评打分': 5}
{'短评内容': '酒店环境一般，背街房全是大床，双床都是临街的，比较吵。希望酒店能改进。不过性价比还可以。', '短评打分': 1}
{'短评内容': '房间小,早餐东西太少，房间靠大马路睡觉吵,我住的房间电视机和热水壶也有问题,最搞笑的是上不去网,看都不看就说我电脑有问题!', '短评打分': 3}
{'短评内容': '房间卫生还不错，前台服务也还行，但是早餐太差，希望能够改进', '短评打分': 3}
{'短评内容': '第一次入住德加，很满意！装潢设计简洁大方又不乏时尚。房间干净有品味，注重细节，是快捷酒店中难得的精品', '短评打分': 3}
{'短评内容': '一如既往的好，下次来武汉还会选择此家，各方面都很方便！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错，不过前面是解放大道有点吵，这样价位的酒店没有衣柜，有点不方便！', '短评打分': 5}
{'短评内容': '房间还可以，早餐过于简单，结账时无辜被加了2瓶水的房间消费', '短评打分': 3}
{'短评内容': '第一次到武汉，选择德加感觉很好，性价比比较高，房间舒适、干净、服务周到，下次去还会选择，交通便利！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '家庭旅馆而已，房间小，实在一般', '短评打分': 3}
{'短评内容': '很不错，房间设施都很新，就是稍微小了些，但还OK了', '短评打分': 5}
{'短评内容': '还不错，就是住靠街的隔音不好，噪音有点大。', '短评打分': 3}
{'短评内容': '每次到武汉总是德加，真的说不出哪里有不好的，以后还会再住', '短评打分': 5}
{'短评内容': '每次来武汉都是住德加，似乎真的挑不出什么问题来，非常好的酒店，以后来武汉还会选德加，完美', '短评打分': 5}
{'短评内容': '，态度很差太拽了', '短评打分': 3}
{'短评内容': '＋酒店装修有特点，性价比不错。', '短评打分': 3}
{'短评内容': '酒店非常不错，。 \n\n环境也可以。  就是前台的效率不高 。不过也很为难人家了。\n\n谢谢。下次去武汉还住这里。。', '短评打分': 5}
{'短评内容': '环境不错，就是床头没有网线，自带电脑上网很不方便', '短评打分': 5}
{'短评内容': '很一般，位置不好找，门头太不显眼了！的士司机都看不到！房间也一般 价格有点贵', '短评打分': 1}
{'短评内容': '还行 环境不错 价格还好 就是娱乐设施没有发现', '短评打分': 5}
{'短评内容': '出租司机都不认识，不过地段可以出行方便，房间整洁，较舒适，旁边有个早饭摊，很好吃。', '短评打分': 5}
{'短评内容': '交通还可以，卫生和服务态度不错，就是在办理入住的时候稍为慢了点。', '短评打分': 5}
{'短评内容': '酒店的环境不错，卫生和房间内的摆设都觉得可以，就是打扫房间的速度和办理入住的速度希望能够加快点就可以。', '短评打分': 5}
{'短评内容': '除了窗外马路噪音隔离不好 吵  其他都满意', '短评打分': 3}
{'短评内容': '酒店性价比不高，早餐在8点去的，结果上是没什么吃的了，可能是免费的原因吧！真的是不敢恭维。', '短评打分': 1}
{'短评内容': '酒店设施不错，房间干净温馨！', '短评打分': 3}
{'短评内容': '一般，没那么好，房间里都是发霉的味道。..........................', '短评打分': 1}
{'短评内容': '交通也不错 考职称时候订的 环境不错 订的方便 装修的很新', '短评打分': 5}
{'短评内容': '酒店环境不错。房间的设计很贴心，很多细节地方与众不同，显示出酒店的用心。不错！', '短评打分': 5}
{'短评内容': '不错的酒店，有空可以在附近体会下武汉市井生活，如果从武汉站坐公交，610路劳动街下。', '短评打分': 5}
{'短评内容': '酒店不错，装修还可以，地理位置很不错，就是床有点硬。', '短评打分': 5}
{'短评内容': 'OK。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好，非常好，性价比高，便宜，干净，舒适，地理位置相当好，就在市中心。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，服务态度也好，而且每间房间还有小礼物，很不错。就是附近打车唔方便。', '短评打分': 5}
{'短评内容': '和之前买的房子很象，所以感觉很亲切。时尚，整洁！', '短评打分': 3}
{'短评内容': '不错，房间很好！住的比较舒服不错，房间很好！住的比较舒服不错，房间很好！住的比较舒服', '短评打分': 5}
{'短评内容': '安全，要用房卡刷电梯才能上，设施齐全，房间内干净，装修挺新的。', '短评打分': 5}
{'短评内容': '价钱不贵,房间比较干净,晚上九点可能人多用热水供应不足,我11月中入住时气温是14-20度,冬天怎么办?有一天晚上11点多已睡下服务员打电话进来,服务水平要提高才行,早餐免费的大家就别要求太高了.', '短评打分': 1}
{'短评内容': '很好 环境很好 地方也蛮好 就是隔音效果不太好 ', '短评打分': 5}
{'短评内容': '酒店很干净,服务也很好,不过增送的早餐品种略显少,但味道很不错.以后还会去住的', '短评打分': 5}
{'短评内容': '卫生尚可，地理位置不方便打车，酒店人员服务不是太热情，早餐差', '短评打分': 1}
{'短评内容': '非常不错的酒店，房间内的设施非常好，离店的时候店家没办法当时提供发票，后以非常快的速度帮忙快递给我了，值得表扬下，以后还会入住的！', '短评打分': 5}
{'短评内容': '+服务态度好.', '短评打分': 5}
{'短评内容': '德加酒店内部装修还不错 床比较大 服务也很好 只是性价比不是太高 偶尔住住还是可以', '短评打分': 5}
{'短评内容': '俺们是从农村来的，感觉住宿条件还不错，就是房价有点高。', '短评打分': 5}
{'短评内容': '这次住的3楼没上次住的5楼好，5楼是中央空调和液晶电视，3楼是分体空调和老式电视。', '短评打分': 5}
{'短评内容': '酒店的浴室是透明的，没有遮挡的帘子之类的，感觉很怪。而且前台服务态度很差~', '短评打分': 1}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '天气原因比较潮湿，早餐一般，很简单，每天就是那重复的几样', '短评打分': 5}
{'短评内容': '很舒适，空调效果好，电视有点小。\r\n位置很好，很方便，很好找。', '短评打分': 5}
{'短评内容': '总体来说如果到汉口商务出行的话，还是值得推荐的。\r\n酒店很新，所以卫生条件不错，服务态度也比一般的经济酒店热情一些。值得推荐的是卫生洁具（ROCA）设施比一般的经济酒店好很多，卧具也很舒适。美中不足的就是房内没有夜灯，窗帘只有遮光的，没有纱帘，所以有点不方便。\r\n但是，酒店的硬伤在于临街，如果睡眠不太好的人，必须住不临街的一侧，否则晚上过车的声音很大，根本睡不着。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '整体水平不错，地段有点吵1', '短评打分': 5}
{'短评内容': '整体还不错，如果环境再幽雅点就好，电视太小了，还比较卫生，干净，希望下次去更好！', '短评打分': 5}
{'短评内容': '非常好，住很多次了。', '短评打分': 3}
{'短评内容': '来汉口必须住的一家店，房间走廊都别具一格。尤其喜欢餐厅，感觉像自家阿姨食堂做饭吃一样。安静，干净，酒店服务人员热情，麻利。来住很多次了。喜欢', '短评打分': 5}
{'短评内容': '该酒店卫生、服务非常好，免费早餐不错，免费上网我很满意，下次还会住，还会推荐给我的朋友。', '短评打分': 5}
{'短评内容': '房间不错，就是有点小，楼下停车不是很方便，但是服务不错，那天还用车罩了 ', '短评打分': 5}
{'短评内容': '性价比最好的酒店，本来是准备住马哥勃罗的，后来想换一下，因为觉得格调不错，觉得非常不错，靠近解放路的客房吵了一点！', '短评打分': 5}
{'短评内容': '不是很好长，没有足够的停车场所。', '短评打分': 1}
{'短评内容': '环境不错,但是卫生一般,性价还算高的,位置也还行.\r\n\r\n', '短评打分': 5}
{'短评内容': '酒店交通方便，就是晚上有点嘈杂，因为解放大道上晚上来往车辆太多。房间有点小，没有吹风机，必须打电话向前台要。网速太慢，很卡。但是房间给人的感觉是非常温馨的，下次还会入住。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，就是隔音不是特别好！~', '短评打分': 5}
{'短评内容': '不错 坚持住', '短评打分': 5}
{'短评内容': '德加连锁的酒店垃圾袋都不放。。。。很奇怪', '短评打分': 3}
{'短评内容': '性价比很高的快捷酒店，就是早餐不行。。。。比艺尚店差远了', '短评打分': 5}
{'短评内容': '很不错的酒店，而且非常安全，进大门的时候都要用房卡&#183;', '短评打分': 3}
{'短评内容': '因为靠近公路所以隔音不大好，如果垃圾筒能套上垃圾袋，卫生间能增加卫生袋的话就perfect拉', '短评打分': 5}
{'短评内容': '整体环境还不错,但是房间的卫生挺一般的,性价比还算比较高的,位置也还行,总体感觉还是不错的酒店.', '短评打分': 3}
{'短评内容': '总的来说这样的价位在武汉周边来说还是不错的。\r\n环境还可以，起码比较安静。\r\n卫生方面做得稍显不足，在浴巾和铺在地下的那块脚布上居然还有头发！\r\n纸篓里面没有替换的垃圾袋，把东西直接丢进去还真有些不好意思。\r\n设施还行吧，就是网速让人相当的郁闷。', '短评打分': 5}
{'短评内容': '卫生挺好的,服务热情周到,地理位置交通方便,设施也很完善,性价比不错的酒店,下次还会入住', '短评打分': 3}
{'短评内容': '性价比较高,靠街有车吵,不靠街有空调外机吵.其他均不错', '短评打分': 5}
{'短评内容': '性价比还可以,靠路边有点吵\r\n', '短评打分': 5}
{'短评内容': '很不错的酒店。就是有点不太好找，安全性很高，只有有房卡的客人才能进电梯上楼，不错，下次还会入住', '短评打分': 5}
{'短评内容': '总得来说还行。', '短评打分': 5}
{'短评内容': '酒店靠近主干道，来往的车辆较多，比较吵', '短评打分': 1}
{'短评内容': '酒店房间比较小,其它各个方面还是比较不错的', '短评打分': 5}
{'短评内容': '酒店房间比较小,其它各个方面还是比较不错的', '短评打分': 5}
