{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '酒店的价位适中，附近有超市和餐厅，所以吃饭或者买些生活用品都不成问题。房间里可以免费上网，不过电脑还是需要自带的，房间的装潢效果不错，卫生很好，看起来就非常干净，尤其是床上用品，卫生间的淋浴洗澡水量充足，很舒服。酒店含免费早餐，味道还可以', '短评打分': 5}
{'短评内容': '经济实惠，可以考虑下次到深圳时再次入住。', '短评打分': 5}
{'短评内容': '一般。设施较陈旧。交通较方便。有点吵！服务态度还可以！商务出行可以选择', '短评打分': 5}
{'短评内容': '大床房感觉很小很旧，不配四星', '短评打分': 3}
{'短评内容': '综合反映一般，价格有点贵，早餐还不错，交通便利，出门机场快线6去机场很方便', '短评打分': 5}
{'短评内容': '+一般', '短评打分': 3}
{'短评内容': '这家酒店比较在里面，很难找。还好附近吃的餐厅还蛮多。。', '短评打分': 1}
{'短评内容': '+一般', '短评打分': 5}
{'短评内容': '性价比不错的一家酒店,就是房门等等设施有些偏旧', '短评打分': 5}
{'短评内容': '周边环境不错，交通、饮食都很便利，酒店内装修较好，还是比较干净的', '短评打分': 5}
{'短评内容': '酒店周围环境不错，吃饭、交通都很便利！ 客房环境一般', '短评打分': 5}
{'短评内容': '+已经入住', '短评打分': 3}
{'短评内容': '交通方便，卧具较新，服务态度好，地处市中心，周边吃饭也很方便，', '短评打分': 5}
{'短评内容': '实在是很差，房间很久，而且很小，打车也不是很方便，服务员态度一般', '短评打分': 1}
{'短评内容': '酒店性价比还是不错的，石化系统下面的，楼下西湖春天的饮食不错', '短评打分': 5}
{'短评内容': '实华酒店，性价比还是可以的，但是位置不是很好，酒店好似在小区内面是的。附近小商店都要行50米才到', '短评打分': 5}
{'短评内容': '性价比还是很高的 ', '短评打分': 5}
{'短评内容': '此家酒店还可以，各方面性价比较高。', '短评打分': 3}
{'短评内容': '位置不错，楼下有西湖春天，本人挺喜欢的。', '短评打分': 5}
{'短评内容': '酒店各方面都不错，就是地理位置一般。附近不太方便，小购物铺也要行50米才有。', '短评打分': 5}
{'短评内容': '总的感觉还不错；就是地毯看起来很脏的样子。', '短评打分': 5}
{'短评内容': '还行，呵呵', '短评打分': 3}
{'短评内容': '还过得去吧，呵呵，服务员居然还写字留言服务，第一次见到，所以还是推荐一下吧。', '短评打分': 5}
{'短评内容': '适合商旅', '短评打分': 5}
{'短评内容': '性价比可以，但是网速太慢', '短评打分': 5}
{'短评内容': '酒店附近的交通很方便,房间环境还不错,性价比比较高,西餐厅的味道一般', '短评打分': 5}
{'短评内容': '性价比还不错啦 ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比较高，而且周边交通较方便，喜欢住在这里。', '短评打分': 5}
{'短评内容': '酒店设施一般，服务还可以，可以挂房卡吃饭，但是菜式口味一般，建议提升餐厅食物类型及口味。', '短评打分': 5}
{'短评内容': '中石化下属酒店，位置好，出行方便，就是单早，望能改为双早。', '短评打分': 5}
{'短评内容': '平时总是丢三落四的，在这家住很安心，服务没得说，旁边有西湖春天，非常方便', '短评打分': 5}
{'短评内容': '连续多次入住了，在深圳关内基本上不太考虑别的家', '短评打分': 3}
{'短评内容': '不错，早餐虽然人很多，但是很新鲜，西瓜不错', '短评打分': 3}
{'短评内容': '充电器落在酒店了，本来认为不可能找到的（很小的那种）报着试试看的心情打个电话，还真找到了，对此表示感谢！', '短评打分': 5}
{'短评内容': '在修路，只能从北环路的辅道进去，以238的价格带早餐来看，在深圳是性价比比较高的了。停车也比较方便。开车出差的朋友，推荐。', '短评打分': 5}
{'短评内容': '性价比非常高的一家酒店', '短评打分': 5}
{'短评内容': '非常的好！早餐很棒！服务人员一叫就马上帮我解决问题了！还有一个西湖春天，还有洗脚的，剪发的，一站式服务太让我满意了！走了一天一周好好休息下，好方便啊！\r\n我看到其他网友说位置不方便，其实很方便了，不过深圳的路是很绕的。\r\n', '短评打分': 3}
{'短评内容': '非常的好！早餐很棒！服务人员一叫就马上帮我解决问题了！还有一个西湖春天，还有洗脚的，剪发的，一站式服务太让我满意了！', '短评打分': 5}
{'短评内容': '靠东北面房间受北环路影响有点吵', '短评打分': 5}
{'短评内容': '酒店的设施一般，服务态度不好，但是还算是干净，价格能接受，不过他的位置交通不是很方便，他说是离会展中心三公里，其实五公里都不止。', '短评打分': 3}
{'短评内容': '订酒店时里面的图画的太好了，结果有点失望，空间不是很大，照片里有沙发但里面没有，虽然总体都还好，但和同级别酒店比，感觉性价比很一般，也就比我家附近的宾馆好一点。', '短评打分': 1}
{'短评内容': '酒店房间设施不错，尤其是服务员态度非常好，还有免费牛奶赠送哦！', '短评打分': 5}
{'短评内容': '酒店位置，舒适度还好。 就是办公楼和酒店住宿放在一起有点吵， 我住的客房隔壁就是家公司办公室。', '短评打分': 5}
{'短评内容': '酒店位置稍微有点偏，如果要去万象城这种市中心地方，有点不方便。不过酒店周围是美食街，走个10分钟左右还有个沃尔玛，吃饭是不用愁的。另外酒店本身经过几次装修，现在内部设施啥都还不错，我订的298的房间，那个沙发真不错，躺着挺舒服的。如果去皇岗口岸的话，打车在30块里面，基本还算可以。下次去深圳，还是会订这家酒店的。', '短评打分': 5}
{'短评内容': '酒店本身环境不错，服务也挺好的，就是位置有点偏', '短评打分': 3}
{'短评内容': '酒店地理位置还可以，紧挨着条食街，吃饭倒也方便，房间很宽敞也很干净，服务非常好，感觉这家酒店我挺喜欢的，是个好的选择。', '短评打分': 3}
{'短评内容': '上次出差住实华酒店，白天出去了晚上回来到房间的时候看到茶几上有个生日蛋糕，还有一张手写的生日贺卡，所以感觉酒店服务员的心非常细，也没想到深圳的酒店想得如此周到。', '短评打分': 5}
{'短评内容': '这应该是一家商务酒店，酒店大堂有四星的标牌，酒店规模很小，其实只有开元大厦的4层而已，不过楼下就有西湖春天可以喝茶、吃饭，走出酒店就是景田食街，交通也还算方便，旁边就是北环大道，个人觉得安全性不是很好，因为大厦里还有很多其他单位，人来来往往的很杂。', '短评打分': 5}
