{'短评内容': '环境太差，冷', '短评打分': 1}
{'短评内容': '洗手间的把手一转就掉了，空调声音无敌大，活似驴拉磨的声音。不过便宜，就这样的水平吧。晚上进酒店时服务员的态度很好，那时很晚了，酒店前台也只有一个短发的服务员，我们进去时对我们说了声欢迎光临，心情顿时变好。不过到隔天早上退房时，前台服务员实在是，态度欠缺。', '短评打分': 1}
{'短评内容': '地理位置好,坐车方便,房间清洁卫生.我在这家酒店住2天,每天一换床上用品,服务人员热情,未入住时,前台服务员,热情帮助你寄存物品,安排休息.', '短评打分': 5}
{'短评内容': '环境呢还可以，但是我住的那间房里抽水马桶是坏的！\n\n\n\n\n服务比较到位，价格也合理！适合我们这个人群！', '短评打分': 5}
{'短评内容': '还不错，房间很大，设施也不错，沐浴大头的，很好，就是早餐实在太简练了', '短评打分': 5}
{'短评内容': '大床房好小房间 房间的墙要刷一下有些不舒服 空调也好小  没有引导服务员 害的我找啦半天才找到房间 ，', '短评打分': 1}
{'短评内容': '还可以吧~~我预定的是大床房间。\n地方还蛮方便的，在门口打车到光谷一共10元钱（包括1.5元的附加费）', '短评打分': 5}
{'短评内容': '还可以吧，毕竟就这个价位，早餐的热干面还可以，呵呵，好久没吃了！', '短评打分': 5}
{'短评内容': '很好 .................', '短评打分': 5}
{'短评内容': '可以推荐，酒店提供早餐！节省了不少时间，卫生条件，服务态度都还可以！', '短评打分': 5}
{'短评内容': '还可以！卫生条件还行，可以选择！服务态度也还可以吧！！！', '短评打分': 5}
{'短评内容': '非常一般！非常一般！非常一般！非常一般！非常一般！非常一般！非常一般！', '短评打分': 1}
{'短评内容': '酒店服务还好，就是设施有点旧，洗手间的洗脸池下水不利，很是郁闷，其他还ok , 推荐入住', '短评打分': 3}
{'短评内容': '酒店不错的，环境也蛮好的，不过有一点点不太好找，总体还很好。', '短评打分': 5}
{'短评内容': '还不错的，旅游出行可以选择下。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境差不多。。附近有餐馆和洗浴中心。。酒店里面环境也不错', '短评打分': 5}
{'短评内容': '预订好了，到店居然没有房间！！！后来折腾了一下午终于入住，房间比较垃圾，晚上还有小强之类的不速之客。住了一晚，逃也似的离开。', '短评打分': 1}
{'短评内容': '凑足20个字.....还可以吧,服务什么都蛮好.抽烟的朋友去了千万别在前台旁边那里买烟.假的...', '短评打分': 5}
{'短评内容': '酒店不错，确实不错，就是我住的那个房间没有窗户- -!....', '短评打分': 5}
{'短评内容': '地段好，价格合适，性价比也好。上网速度也挺好的。', '短评打分': 5}
{'短评内容': '环境不错！挺舒适的！干净！第一次住长江之星！比想象中的好！房间也挺可以的！', '短评打分': 5}
{'短评内容': '说实话,宾馆环境还可以,也比较干净，服务也很到位,唯一就是交通不太便利...', '短评打分': 5}
{'短评内容': '厕所太臭啦。。房间平米很小。。隔音效果貌似不怎么好', '短评打分': 1}
{'短评内容': '还不错 刚入住的时候电话是坏的 很快就来人了 早餐的热干面很好吃', '短评打分': 5}
{'短评内容': '环境还不错 就是窗户对着走廊不舒服  其他的还不错', '短评打分': 5}
{'短评内容': '还可以。服务到位。就是有些房间没窗。打扫也很到位。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '已经是第二次入住了，服务态度很好，而且环境也很不错额，值得推荐。。。', '短评打分': 5}
{'短评内容': '环境很不错呢…', '短评打分': 3}
{'短评内容': '蛮便宜，感觉还不错。性价比高。位置也不错。凑足20字，纠结。', '短评打分': 5}
{'短评内容': '，长江之星酒店就是位置不太好找其他的都还不错', '短评打分': 5}
{'短评内容': '不错，下次去还住', '短评打分': 5}
{'短评内容': '设施一般，房间看上去格局不错，但床不太好，睡着不舒服', '短评打分': 1}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '服务还不错，价格很合理', '短评打分': 5}
{'短评内容': '早餐较差。其他尚可。', '短评打分': 5}
{'短评内容': '总体感觉还不错', '短评打分': 5}
