{'短评内容': '还行，一直用京东旅行', '短评打分': 5}
{'短评内容': '离火车站很近，地属繁华路段，吃行较方便，酒店服务很好', '短评打分': 5}
{'短评内容': '酒店房间很小，厕所就对着床，其实是楼道中间加出来的一排房间，没有窗户，此外咖啡机和巧克力机器也在6楼，而且没有电梯，需要走路上去，这个是我住过的最不好的汉庭，而且不让用会员卡', '短评打分': 1}
{'短评内容': '各方面都不错~性价比高，交通方便，以后还会来', '短评打分': 5}
{'短评内容': '环境不错，酒店内部干净整洁，酒店位置距离市中心近，尤其是离火车站比较近，房间大小合适，布置的也还不错，参见的酒店的假期活动，100元一间房真是物有所值啊，而且服务质量也没因为价钱便宜而降低，总体来说很满意', '短评打分': 5}
{'短评内容': '酒店干净卫生，环境很不错，服务也很好，设施齐全，地点处于闹市区，但很安静，休息很舒服，交通也非常便利，总之是很好的去处，下次到郑州还会去入住！！', '短评打分': 5}
{'短评内容': '入住很方便', '短评打分': 3}
{'短评内容': '该店位置较好，离“二七”商圈较近。服务很好，闹中取静。', '短评打分': 3}
{'短评内容': '凑合，总体来讲还不错，但就郑州的消费而言，偏贵', '短评打分': 5}
{'短评内容': '位置便利  环境也不错   附近有很多清真餐馆  东西非常好吃   周边有网吧台球KTV等等', '短评打分': 5}
{'短评内容': '优点：地理位置很好，吃东西方便。\n缺点：房间太小了，两个人进去连箱子都放不开。', '短评打分': 1}
{'短评内容': '很好,希望安排百元大床房.', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店很不错，周日百元特价，价格很不错', '短评打分': 3}
{'短评内容': '郑州酒店的价格不便宜,感觉设施有点旧了,地面打扫也不算干净. 整体就是汉庭的风格,工作人员都还算热情.', '短评打分': 5}
{'短评内容': '环境很不错，很满意，唯一不足就是网速太慢，根本上不去网', '短评打分': 3}
{'短评内容': '位置很好哦，所以经常住，服务环境都不错!建议选择朝阳的房间，可以看到百盛。', '短评打分': 5}
{'短评内容': '不如以前了  服务和硬件都越来越不行了  尤其是装修时间长了 ', '短评打分': 1}
{'短评内容': '酒店比较老了，里面的地板很旧，很多都破了。最讨厌的是网络问题，用的网通的还是联通的，限制进入电信的网站，这点比较恶心。应该淘汰这个网络。最后因为我无法办公，逼迫我换了宾馆。', '短评打分': 1}
{'短评内容': '酒店的网速不好，其他的都很满意。希望改进！', '短评打分': 5}
{'短评内容': '服务很好，交通非常方面，好吃滴很多，适合旅行滴青年', '短评打分': 5}
{'短评内容': '服务很好  位置也很好 市中心 就是价钱有点高', '短评打分': 5}
{'短评内容': '很好，不过现在的周日百元房只有双人床房间，没有高级大床房了，我一个人住还是比较喜欢高级大床房的，希望能延续有的制度', '短评打分': 5}
{'短评内容': '环境不错，卫生也好，服务也不错！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店环境不错 地理位置也好 下次有机会再住', '短评打分': 3}
{'短评内容': '酒店位置不错 暖气很好  热水可以 交通方便 隔音不是很好 房间有点小 别的都OK', '短评打分': 5}
{'短评内容': '总体来说不错，价钱低，但是房间没有窗户，很憋气，有呼吸道病的客人不适合住！', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间有点小，有个小窗也是大不开的。。。。但是蛮干净的，每天也都会送免费的矿泉水和糖～ 位置很好，出门就是百盛，一拐就是大上海，就是隔音效果不太好，每天酒店走廊还放音乐。。有点烦人', '短评打分': 5}
{'短评内容': '还好吧。。。。。。。。。。服务不错。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置较好，离二七商圈很近，可能定的是特价房，房间较小，进去时刚打扫过，还有股味道。。。。。', '短评打分': 5}
{'短评内容': '服务差，硬件不好', '短评打分': 3}
{'短评内容': '地理位置很好，离火车站近，吃饭购物都非常方便。又正好赶上新春百元房，性价比超值！\n房间很干净，浴室出水什么的都不错，还备了吹风机。工作人员服务也非常不错，很有耐心。\n推荐！', '短评打分': 5}
{'短评内容': '定了3间房两天，结果ELONG把订单改成2间房了，害得我打电话重新搞。如果不是ELONG的问题，就是酒店的问题。现在订单改过来了，但是积分只给了我2倍，我在网站定的，会员级别应该是4倍，打400电话竟然打不通，这已经是ELONG第二次搞错我的订单和积分了，我要投诉！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '对得起100元特价房，如果停车位更方便一点就好了！！！', '短评打分': 5}
{'短评内容': '停车位紧张，位置很好，属于中等的汉庭店!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '很舒适，很干净。新春百元房很实惠，性价比相当的高', '短评打分': 5}
{'短评内容': '卫生服务都是非常不错，是个值得信赖的酒店，值得推荐', '短评打分': 5}
{'短评内容': '总体还是可以的，但还有一些需要跟进的，我带的东西需要冷藏，但没有冰箱！请关注', '短评打分': 5}
{'短评内容': '酒店的服务挺好的，挺热情，下次还会入住这家酒店的。', '短评打分': 5}
{'短评内容': '酒店位置、卫生、服务都不错，就是房间隔音不好 住了一晚 几乎睡不着', '短评打分': 5}
{'短评内容': '住的是特价房，物超所值。旁边就是百盛，下面是个超市。旁边是萧记烩面。', '短评打分': 5}
{'短评内容': '住宿环境还不错，但就是午餐太难吃了·······················', '短评打分': 5}
{'短评内容': ' 房间还可以但窗户打不开外面是墙', '短评打分': 3}
{'短评内容': '暖气开的很热。结帐时没有查房，桌子上放的矿泉水是不用付费的。', '短评打分': 5}
{'短评内容': '还不错，就是离二七广场稍微远了点', '短评打分': 3}
{'短评内容': '还可以！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店位置很好服务态度也很好  很方便 周围吃喝玩乐具全 ', '短评打分': 3}
{'短评内容': '总体还满意。', '短评打分': 3}
{'短评内容': '服务挺好的，房间也还不错，下次还会去的。。', '短评打分': 5}
{'短评内容': '性价比高，在商圈内，吃饭娱乐逛街都好方便。高级大床房才80元，真是超级划算哦！', '短评打分': 5}
{'短评内容': '地理位置不错，房间整洁卫生，出门在外不可多得的好住处~', '短评打分': 5}
{'短评内容': '真的非常超值，跟山西的一百八十块的没啥差别，又非常干净，下次有机会会再次入住。', '短评打分': 5}
{'短评内容': '不错挺好的，服务也不错啊，下次还会入住！', '短评打分': 5}
{'短评内容': '虽然酒店不错，因为以前曾经住过，这次又选择了他。但是这次让我失望的是定的大床房没有了，只能换成标间，住的不爽！', '短评打分': 5}
{'短评内容': '酒店环境还好了,挺干净的,只是遗憾的一电没窗户.', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '很不错，很舒服，暖气，网线之类的都很给力！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '感觉非常好，经济实惠，呵呵，，，也非常干净，服务态度都蛮不错的。。。', '短评打分': 5}
{'短评内容': ',还不错', '短评打分': 3}
{'短评内容': '位置优越，尤其是新春百元房，很适合旅行，就是房间的门看起来不怎么爽，如果是100分我给95分。网速超快。', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': ' 汉庭整洁 简约 适合旅途休憩 但就是隔音尚有欠缺', '短评打分': 3}
{'短评内容': '第一次住汉庭,一进门,热情的前台服务顿时让我一路的疲劳烟消云散,干净卫生的房间,方便的的出行,尤其是周末百元房,经济实惠,推荐给大家了!', '短评打分': 5}
{'短评内容': '没窗的  很压抑  但是商圈近在咫尺！  玩玩吃吃还是不错的   不远有萧记烩面的总店', '短评打分': 5}
{'短评内容': '很干净，很安静！酒店里的设施都是汉庭自己定做的  而且周末都有特价百元房 支持支持', '短评打分': 5}
{'短评内容': '还不错，价格非常便宜，唯一就是房价稍微小店，但是性价比还是很好的。。。。', '短评打分': 5}
{'短评内容': '不怎么样，房间太小，没有窗户。很憋仄······', '短评打分': 5}
{'短评内容': '是帮朋友订的，地理位置挺好的，离丹尼斯广场等闹市区都比较近，但晚上还算安静。总体还不错比较满意', '短评打分': 5}
{'短评内容': '环境一般，房间较小，也就是距二七广场近，买东西方便些', '短评打分': 3}
{'短评内容': '就是没有窗户比较不太好，其他都不错。电梯是刷卡的，比较安全的。', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '这个周日特价很实惠的！卫生服务都挺到位的，下次还入住！', '短评打分': 5}
{'短评内容': '很好 很强大 坏境很好 服务更好 保安叔叔最好 还带我去派出所  不过你们别想歪了 是去开户籍证明  晚上睡觉要关好窗户哦。。要不你会听到。。。。。。哈哈', '短评打分': 3}
{'短评内容': '位置好，离二七广场在步行范围内。', '短评打分': 5}
{'短评内容': '挺不错的~~环境挺安静的~~下次我还是会选择这家酒店的', '短评打分': 5}
{'短评内容': '其他都还可以就是网络太差！是不是断网，然后就是说在维修，每天都要断几次！', '短评打分': 5}
{'短评内容': '位置不错，大床看起来很舒服，交通也很方便，以后还会考虑入住的！', '短评打分': 5}
{'短评内容': '还可以，房间有点小，床私下觉得不是很舒服。', '短评打分': 1}
{'短评内容': ' 很好很强大', '短评打分': 5}
{'短评内容': '觉得总体还不错 推荐                ', '短评打分': 5}
{'短评内容': '已经是第二次入住了，感觉不错，尤其那张大床睡着很舒服', '短评打分': 5}
{'短评内容': '离出差地点很近 还比较方便好找。性价比的话还算不错。', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '位置不错。服务慢。房间干净。以后还会考虑入住该酒店。', '短评打分': 5}
{'短评内容': '位于市中心,性价比不错', '短评打分': 5}
{'短评内容': '位置不错！就是房间卫生间感觉没有其他南京 青岛的卫生间好！', '短评打分': 3}
{'短评内容': '网络下载速度比较慢！', '短评打分': 5}
{'短评内容': '地理位置非常好，酒店很干净，很温馨。不错！', '短评打分': 5}
{'短评内容': '竟然不提供空调遥控器，说是气温适宜，没这样抠门的吧，这点还是不让人满意', '短评打分': 5}
{'短评内容': '处于最繁华的地段', '短评打分': 3}
{'短评内容': '吃饭交通都比较方便', '短评打分': 5}
{'短评内容': '位置不错，对面就是横店影视城，旁边是98，本以为会很吵，但是一点都没声音 不错不错 推荐下', '短评打分': 5}
{'短评内容': '地理位置好，房间干净，就是不行楼道不能通行，没有提示，而且很脏。', '短评打分': 3}
{'短评内容': '步行楼道不能走，没有提示，且楼道里特别脏。', '短评打分': 5}
{'短评内容': '交通很方便的说。周边设施很不错哟。\r\n窗户是封起来的，室内暖气开着觉得有点闷，想着开空调吧，诶，那样就搞笑了。\r\n隔壁貌似从下午入住开始知道我睡觉时候一直有电视机 接电话声音，早上五点多时候依然有，不过电视机好像也累了。嘻嘻。\r\n网络比较差，网页即使是100M的也爬不动。', '短评打分': 5}
{'短评内容': '位置不错！环境不错！服务员很热情，还帮我找了手提袋，帮我装随身带的东西！下火车很快就能找到这个酒店！但是时间仓促，有时间再去深入体验一下！', '短评打分': 3}
{'短评内容': '总体感觉不错。服务员服务周到热情!', '短评打分': 5}
{'短评内容': '飞机晚点，第二天早上才入住，服务还是挺不错的。', '短评打分': 5}
{'短评内容': '酒店位置不错，但是打车不是很方便!主要是和郑州的城市规划不好有关！酒店还是不错的！比较好找！', '短评打分': 5}
{'短评内容': '走廊臭味儿很重', '短评打分': 5}
{'短评内容': '除了对面的KTV比较吵外，其他的没有缺点', '短评打分': 5}
{'短评内容': '酒店的卫生打扫的还是蛮干净的,设施方面也比较齐全的,周边交通超级方便.整体感觉价格方面也比较合适的.', '短评打分': 3}
{'短评内容': '酒店在市中心,交通很方便,不过靠近个舞厅,有点吵,房间里面条件还可以,价格也合适.', '短评打分': 5}
{'短评内容': '位置很好.靠近商业区,酒店里面环境也不错.住的很舒适.', '短评打分': 5}
{'短评内容': '酒店楼下是个娱乐城晚上非常吵,酒店还为客人准备了一次性耳塞,一开始不明白,到晚上才明白,而且标准间全都是没有窗户.', '短评打分': 1}
{'短评内容': '酒店房间比较小,设施还是比较齐全的该有的都有了,卫生也还可以.位置挺好挺方便的.综合感觉还是比较一般.', '短评打分': 5}
{'短评内容': '这个酒店的房间太小了，下午3点多去竟然房间还没有打扫，还要等，房间又小又不能开窗户，而且卫生间也很小。总之设施很不好啊！！', '短评打分': 1}
{'短评内容': '预定的是新春特价房，还是不错的，因为是新年，没有遇到其他几位所说的健身房和网吧很吵的情况，酒店对面就是百盛，往前一点就是二七纪念塔，位置很不错，房间内有网线，还有赠送的矿泉水，性价比很高。六楼商务区没有去，不知道怎么样。', '短评打分': 5}
{'短评内容': '酒店性价比挺高的,而且内部环境很不错,很干净,交通位置也不错,挺方便的', '短评打分': 5}
{'短评内容': '预订并入住的是特价大床房,到了以后才知道,这种特价房是没有窗户的(其实是有窗,但没法打开).而且这个价位在郑州市内同档次的酒店中算比较高的;\r\n就象其他入住过的朋友说的,这个酒店是建在一个健身俱乐部的楼上,而且同一栋楼2--3层是网吧,每天晚上与早晨都不安静;\r\n再有,此酒店只能提供早餐,午餐与晚餐是没有的,而且附近是郑州的管城回民区,在平时吃饭上也许会有不方便;\r\n比较有特色的一点是酒店6楼的商', '短评打分': 1}
{'短评内容': '宾馆位置不错，去火车站或者机场出租车一个起步价就够了，预订了个大床房，房间内还是比较舒服的，但对面是个KTV，楼上好像是桌球室，非常吵，早上很早就有DISCO的音乐声把人吵醒。浴室对着床是透明玻璃，适合情侣住', '短评打分': 1}
{'短评内容': '入住的是特价大床房，一个人住还是不错的，房间不算大，浴室是透明墙，有点不习惯。其他都不错，感觉比较满意\r\n', '短评打分': 5}
{'短评内容': '酒店价格有些高,其它各个方面都很好.', '短评打分': 5}
{'短评内容': '入住的是特价大床房，一个人住还是不错的，房间不算大，浴室是透明墙，有点不习惯。其他都不错，感觉比较满意', '短评打分': 3}
