{'短评内容': '还不错，挺方便', '短评打分': 5}
{'短评内容': '房间设施什么的都不错  缺点就是 卫生间没有锁，隔音太差！！！ 服务很周到，总的来说不错的', '短评打分': 5}
{'短评内容': '酒店非常卫生，装修非常好，房间设施较好，卫生间挺别致。\n早餐品种较少。\n地理位置稍偏。', '短评打分': 5}
{'短评内容': '很干净，热水非常热且水量大，暖气非常暖且无噪音。可惜在黄岛，去得少，不过下次如果去还会住。', '短评打分': 5}
{'短评内容': '都还好 只是前台有个胖子服务员 德性不太好 ', '短评打分': 5}
{'短评内容': '房间布置的很有特色，服务也很周到，总体感觉不错，下次还住！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很干净整洁，159元的大床房很好，设计新颖，热水很暖，总之性价比很高了。', '短评打分': 5}
{'短评内容': '酒店很干净设计很美观,不错', '短评打分': 3}
{'短评内容': '强力推荐。环境非常棒，价格也合适，虽然房间不太，但设计得合适舒适。', '短评打分': 5}
{'短评内容': '还是很值得住的酒店，世界级的连锁酒店！不过就是空调停的有点早', '短评打分': 5}
{'短评内容': '一如既往的宜必思！没什么要求的很合适住，值得大家试试', '短评打分': 5}
{'短评内容': '双床房的大约只有1米宽，睡觉不敢翻身；晚上很冷，空调没有暖风，被冻醒，叫服务员加被子，服务员拿来了一个像窗帘又像地毯的东西；前台的男服务员态度特差；', '短评打分': 1}
{'短评内容': '我是国庆假期入住该酒店，宾馆周边环境很好，交通也方便，打车到金沙滩需12元。宾馆房间干净明亮，全部是朝阳房，住的很舒服。酒店不提供就餐服务是美中不足，但出门向右走两百米，一条街上晚上有烧烤，经济实惠也很卫生，比起金沙滩的烧烤要便宜的多。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '刚装修过的房间在网上应该有标注，刺鼻的味道熏得我难受', '短评打分': 3}
{'短评内容': '酒店卫生很好，但好像刚装修过，味道太刺鼻！床太窄了，才80宽！不舒服', '短评打分': 1}
{'短评内容': '房间不错，就是早餐单调点，不值20一位啊', '短评打分': 5}
{'短评内容': '非常好，地理位置和酒店设施、价格都很满意。下次再住。', '短评打分': 3}
{'短评内容': '酒店位置非常好，店内设施很好；我们住的是标准间，床太窄，估计是80公分的，担心翻身会掉下来。', '短评打分': 5}
{'短评内容': ' 环境非常好,离海边近,房价合理，下次再来。', '短评打分': 5}
{'短评内容': '相当好...你绝对想像不到..比如家好', '短评打分': 5}
{'短评内容': '酒店的设计独特，简洁大方；刷卡电梯，提高安全性；周边的景色宜人；缺点：网速很慢；', '短评打分': 5}
{'短评内容': '大床间面积稍小，酒店位置还是很好。南面比较安静，景色不错。', '短评打分': 5}
{'短评内容': '房间虽然小，但是设施很全。床单比较干净，洗澡水也不错。出门向前走10几分钟就到了商业区，打车12元到金沙滩，都比较方便。酒店门口有电脑可上网。早餐很一般，20元十分不值。价格是一天一个价，入住当天288，第二天258，第三天退房时变成218了，建议关注。', '短评打分': 5}
{'短评内容': '＋酒店非常舒适，位置好，房间很干净很整洁，服务态度也很好，就是空调的制冷不是很好。总之很满意！', '短评打分': 5}
{'短评内容': '价格合适,住的最顶层 视野非常好,环境非常好,  看着觉得舒服多了, 也不吵闹, 是我住过最满意的地方, 在网上订的价格比店里的最低价格更便宜多,比酒店直接会员还便宜,很值', '短评打分': 5}
{'短评内容': '性价比一般，酒店早餐20元/位，基本上主食只有馒头，太贵了。', '短评打分': 1}
{'短评内容': '比想象中差很多比想象中差很多比想象中差很多', '短评打分': 1}
{'短评内容': '干净、舒适，交通便利，电梯比较有意思，值得入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的设计很好,住的比较舒服', '短评打分': 5}
{'短评内容': '酒店很规范，卫生好，服务很正规，性价比很高，还会入住的。早餐比较简单。', '短评打分': 3}
{'短评内容': '这是到黄岛开发区公干，最好的住处。服务水准较高，服务员的效率高。', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '只有浴巾，没有毛巾，喝水和刷牙都是一次性纸杯，空调是中央空调，不制冷。电视机有点小，床很大很舒服，卫生间也很舒服。感觉清爽。交通也很方便。', '短评打分': 5}
{'短评内容': '很简洁的酒店，很干净，空调也很好，配套的东西也很不错。电梯需要插房卡才能上，相对比较安全放心。但是酒店就餐不是很方便，早餐20一位的自助餐没有什么东西可吃。在开发区政府对面，很空旷，楼下也没有什么吃饭的地方，要到佳世客还要一段距离。开车的话还算方便。', '短评打分': 5}
{'短评内容': '性价比高。就是没有晚餐哦，要到外面去吃才行，呵呵。', '短评打分': 5}
{'短评内容': '价格便宜，交通便利，设施齐全，房间宽敞，非常的爽', '短评打分': 5}
{'短评内容': '位置不错去哪都方便', '短评打分': 5}
{'短评内容': '环境卫生位置都不错，人住感觉很舒服，可能刚开始感觉不好！住进去以后挺让人放心的', '短评打分': 3}
{'短评内容': '环境卫生位置都不错，人住感觉很舒服，可能刚开始感觉不好！住进去以后挺让人放心的', '短评打分': 3}
{'短评内容': '很好的酒店，建议入住', '短评打分': 5}
{'短评内容': '总体来说干净卫生舒适，但是美中不足是大床房空间太小，虽说有限的空间利用的很合理，但是毕竟空间小，给人一种压抑的感觉，还有洗手间是单独隔出来的，用的材料隔音效果不是很好，一开沐浴龙头，竟然把我小孩吓一跳！这么小的房间还要218一晚，真的有点贵！而且房间没吹风机……', '短评打分': 5}
{'短评内容': '在法国随处可见的青年旅馆，到中国之后依然保持着干净，舒适，环保的风格，喜欢~', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '床很舒服，房间很小，服务一般', '短评打分': 5}
{'短评内容': '酒店位置不错，距离薛家岛轮渡很近，离金沙滩也不远。貌似价格小贵了点，原先一直是158的。房间不大，装修的很欧式风格，充分利用空间！还算不错！', '短评打分': 5}
{'短评内容': '位置好，干净', '短评打分': 5}
{'短评内容': '我昨晚住了一晚上，感觉还可以，周围的风景不错，位置环境也还不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，设施齐全，很规范，很贴心，细节处理很好，有机会的话还会考虑入住。', '短评打分': 5}
{'短评内容': '整体感觉不错哦，电梯用卡，很安全。就是早餐一般了。', '短评打分': 3}
{'短评内容': '位置特别好，就在区政府对面，旁边就是大海。价格是同类经济型酒店中最低的，其他都在268左右。', '短评打分': 5}
{'短评内容': '不错，值得推荐，就是房门隔音不太好，里边私密的声音都听得到^-^', '短评打分': 5}
{'短评内容': '非常舒适', '短评打分': 5}
{'短评内容': '我感觉它的服务还是有点欠缺，不是很周到，希望能有所提高吧！', '短评打分': 5}
{'短评内容': '酒店位置很好，住的很舒服，离金沙滩和区政府都很近，希望以后去的时候还会继续住在这里', '短评打分': 5}
{'短评内容': '在市政府附近，公交车在丁家河下车走200米就是。前走200米有各种小饭馆。附近好像有学校。吃饭的地方不少。酒店设施很好。装修很时尚。写字台旁的小沙发很实用。总体感觉很好，唯一缺点就是电视小了点，空调不怎么凉。', '短评打分': 5}
{'短评内容': '装修很温馨，标准间的床很舒服，就是床太小了，很干净，比较满意！', '短评打分': 5}
{'短评内容': '蛮不错的酒店，卫生很干净，服务到位，设施完善，性价比不错。', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '感觉不错！', '短评打分': 3}
{'短评内容': '位置相当不错。干什么都方便。\r\n唯一的遗憾就是卫生间偏小，另外没有毛巾（只有浴巾）\r\n另外电视可以收到的频道太少', '短评打分': 5}
{'短评内容': '干净，暖和，服务好', '短评打分': 3}
{'短评内容': '位置很好，很干净，床也挺舒服的，卫生间也不错。缺点是不大隔音，早餐没有特色。', '短评打分': 5}
{'短评内容': '经济，舒适', '短评打分': 5}
{'短评内容': '不错的酒店。就是不太隔音。', '短评打分': 5}
{'短评内容': '我曾与2010年3月24日入住这家酒店，我感觉卫生条件不错。最让我满意的是卫生间的浴室水流量足够大，温度也高，使我沐浴舒适，得到很好的休息。\r\n性价比让人满意。', '短评打分': 5}
{'短评内容': '整体感觉不错的选择', '短评打分': 5}
{'短评内容': '酒店的服务很好，工作人员的服务很认真。就是餐厅提供的简餐实在太简单，不是很好。', '短评打分': 5}
{'短评内容': '比三星的酒店都好', '短评打分': 5}
