{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '房间很宽敞，设施很完善，位置也很好，周边交通很便利。', '短评打分': 5}
{'短评内容': '房间装修卫生还可以，位置还是挺方便出行的，酒店其实是一个公寓也没什么服务，价格还是稍微偏贵了。', '短评打分': 1}
{'短评内容': '很安静，环境很好。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比高,房间比较大,不过室内有些潮味.位置好方便出行,综合水平很好.', '短评打分': 5}
{'短评内容': '房间很干净，唯一缺点，就是没有说英语服务。', '短评打分': 5}
{'短评内容': '离首都图书馆蛮近的，周围无论是搭地铁还是公交都很方便，位置很好。', '短评打分': 5}
{'短评内容': '工作人员服务意识很强，有什么的事情能想在客人前面，这点很好，另外房间很敞亮，比较喜欢。', '短评打分': 5}
{'短评内容': '酒店比较人性化，就是设施有些陈旧了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '龙头饭店原名：龙头公寓，很适应国外日本客人使用。具有会说日语的服务人员，沟通起来比较方便。环境很安静，让人能够感受到优雅、细微以及各处设施的完好率比较高。四周的环境不错，一层有松子料理店（日式）。\r\n  豪华标间的卫生间内又分3个单独间，使用起来很方便。房间内能够接受看日本电视节目。', '短评打分': 5}
