{'短评内容': '空调是坏的第二天起来都感冒了，被子是夏天的', '短评打分': 1}
{'短评内容': '酒店很容易找到，性价比算是比较高的。下次有机会去杭州还去那。', '短评打分': 5}
{'短评内容': '就在杭州南站对面，早上有点小吵，不过我醒的很早，环境很干净，服务一般，感觉不错', '短评打分': 5}
{'短评内容': '酒店还算好找，周边交通还行 就是隔音太差。。。我订的那间地方也满小的。\n洗澡水挺大的满舒服', '短评打分': 5}
{'短评内容': '离汽车站很近，不过很多东西没有，不是很方便，就是所谓的环保吧。\n过夜是可以的了\n', '短评打分': 5}
{'短评内容': '房间过小，标准大床房连走路都走不过，还有客房服务员态度超差，住了三天，第二天让其换下被套床单，过了好久才来，一副很不情愿的样子', '短评打分': 1}
{'短评内容': '各方面都还不错 就是蚊子有点多', '短评打分': 3}
{'短评内容': '感觉非常不错，服务一流', '短评打分': 3}
{'短评内容': '还挺干净,就是房间没有烧水壶，要到走廊里接水,太不方便。', '短评打分': 3}
{'短评内容': '环境不错，地理位置挺好的，就是房间有点小', '短评打分': 5}
{'短评内容': '还算干净的，就是我那个房间床头两个台灯都是坏的，晚上只有门口和厕所过道上一盏灯，太暗了。', '短评打分': 5}
{'短评内容': '酒店挺干净的，也很好找，热水也不错，唯一的遗憾就是没有空调！！！！', '短评打分': 5}
{'短评内容': '还行吧。性价比还行！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境不错，有家的感觉', '短评打分': 3}
{'短评内容': '位置还是挺好找的，房间也很舒服。尤其是热水很好，虽然没有一次性洗漱用品，但我们自备的也够了。', '短评打分': 5}
{'短评内容': '房间很大很舒适 就是床小了点南站对面值得推荐', '短评打分': 5}
{'短评内容': '觉得这家酒店好可怕，走廊上所有房间看起来都一样，浴室没有排气扇，洗澡后整间房都很热，房间很小，除了一张床几乎什么都没有，没有电视，床太短了，我一个女生睡着脚都在床外面。。。', '短评打分': 1}
{'短评内容': '一分钱一分货啊，房间太小，只适合过夜而已，', '短评打分': 5}
{'短评内容': '还可以，房间大，干净，就是设备简单了一些，总体感觉不错，毕竟价格便宜！！', '短评打分': 5}
{'短评内容': '地点离总统府不远，是个好地方。环境好，空间也行。', '短评打分': 5}
{'短评内容': '装修很新潮，房间虽小，设备齐全，24小时热水，淋浴很舒服。床是1米8的很宽大。总体卫生情况良好，卫生间有点潮湿。没有电脑电视一次性牙具等，倒是无所谓，但最好能提供拖鞋。', '短评打分': 5}
{'短评内容': '设备简单但干净.需要另购盥洗用品.重点是床睡的舒服.', '短评打分': 5}
{'短评内容': '房间空大，什么东西都没有，洗浴洗发的东西居然是三合一，住了这多年酒店第一次遇到这样搞笑的事情，没有热水壶没有水杯，周围也没有吃饭和卖场的地方，要走好远，不值得。', '短评打分': 1}
{'短评内容': '就在汽车南站斜对面，位置很方便。前台态度很好，显得很专业。装修挺有自己的风格的，房间很小很矮，但是还挺干净的。就是卫生间洗脸池下面很容易积水。希望可以保持好客房保洁，不然这么好看的装修就可惜啦！', '短评打分': 5}
{'短评内容': '第二次入驻,便宜之选择!南站对面,没有什么吃店,坐长途很方便!', '短评打分': 5}
{'短评内容': '前台服务态度很好，房间还是挺干净的。交通便利。', '短评打分': 5}
{'短评内容': '价位很合理了，距离火车站和吴山广场都很近，难得的地理位置\n我住的是特价房，虽然没有电视，也不能上网，这些对我来说都不重要，重要的是可以冲个热水澡，有一点儿就是客房打扫时间比较长，这个有待提高，总体性价比还是蛮高的', '短评打分': 5}
{'短评内容': '房间啥东西也没有，连杯子都是纸的，老板太会做生意了。住了一天，就仓皇逃走了。', '短评打分': 1}
{'短评内容': '我订的是99的房间，明明网上显示的是可以用11块钱的消费券，到了之后被告知不能用。入住之后，拖鞋牙刷什么都没有，空调不能开，总', '短评打分': 3}
{'短评内容': '房间很小，楼层很矮，1米75个子站在床上稍顶脚就可以碰到天花板了', '短评打分': 5}
{'短评内容': '杭州南站店，住过三次了，还算不错吧，比较实惠，99-130多，还可以，就是没有拖鞋这个有点不好，还有就是柜台办理很慢超级慢，每次等要好久。。。。这点有点无语 其他还不错！', '短评打分': 5}
{'短评内容': '这个客栈环境还可以，就是最基本的设施太简陋了，服务态度也不怎么好', '短评打分': 3}
{'短评内容': ' 十看见房间，和价格基本相符。', '短评打分': 3}
{'短评内容': ' good room rates but location info not very clear.', '短评打分': 3}
{'短评内容': '酒店不错，空调给力，价格也实惠，就是隔音效果有点不好，影响晚上休息。', '短评打分': 5}
{'短评内容': '交通便利就是房间太小了。服务不错。床有点小的哈', '短评打分': 5}
{'短评内容': '性价比不错，只解决住宿问题的朋友可以考虑    ', '短评打分': 5}
{'短评内容': '不错，就是前台服务速度有点慢。离城战火车站很近，去西湖也有直达车。作为经济酒店，这个价格不错了！就是不适合冬夏天，特价房没有空调的有点冷！而且不提供免费宽带，这点不人性化！', '短评打分': 5}
{'短评内容': '就在长途站对面，坐车方便，但是房间太小，洗漱用品全无，性价比很低', '短评打分': 1}
{'短评内容': '很紧凑很温馨的小屋，所处位置也很安静，就是隔音效果不好', '短评打分': 3}
{'短评内容': '价格便宜，近汽车站，但是房间很小，连张椅子都放不下，地面黏糊糊的，怀疑没认真打扫', '短评打分': 1}
{'短评内容': '房间空间比较大，总的来说还是不错。位置也比较好找！~', '短评打分': 5}
{'短评内容': '歇脚的好地方，安全措施做的很不错！房间开间比较小，装修旧了点，吊顶太矮了！', '短评打分': 5}
{'短评内容': '房间很小，层高很低，这都不算什么，主要是没有拖鞋。。。房间气味很重。。。但是这个价位，也不能再要求什么了', '短评打分': 5}
{'短评内容': '挺干净的，离西湖也不远，离汽车站和火车站都很近，出行方便，就是房间太袖珍了。我两年之前住过这家店，也是这个特价房，但比这次住得大了很多，感觉好像是把以前的一个房间改成了两间，也没有电脑了（以前是有的）。如果只是晚上随便住一住，白天出去玩儿的话，也就无所谓了。', '短评打分': 5}
{'短评内容': '离汽车南站很方便，晚上热空调关了，冻死', '短评打分': 3}
{'短评内容': '空调还是限时的    我们入住的那几天杭州超级冷根本无法在房间里面呆着！', '短评打分': 1}
{'短评内容': '装修简单，杭州南站对面，服务可以，但是硬件设施不理想。', '短评打分': 3}
{'短评内容': '虽然房间小了点也不提供牙刷数字拖鞋这类用品，但是房间很干净，热水很好，服务也好，用品在一楼的小便利店都可以买到，价钱也不贵，非常方便。就是空调（热）只在晚上6点以后统一才能开，有点小小不舒服。其他没有什么了，小成本旅行首选。', '短评打分': 5}
{'短评内容': ' 房间很干净也很大，服务也很好，就是房间隔音效果不怎么样，晚上外面汽车声很吵，但是总体很满意~~', '短评打分': 3}
{'短评内容': '地理位置蛮好的，很好找。房间里面没有拖鞋，洗浴用品，电视，电脑。打电话需要收费。上网另加20元。床满大的，也满干净的。就是纯洗澡+睡觉的。99元已经很不错了。', '短评打分': 5}
{'短评内容': '离南站很近，晚上到的话 是个方便的选择，其他的一般吧', '短评打分': 5}
{'短评内容': '住过好几回，最近发现卫生状况有所下降，卫生间设备老化。空调到晚上才开，大清早就关了。', '短评打分': 5}
{'短评内容': '酒店还算不错，就是空气不怎么好，这个价格干净就可以。', '短评打分': 3}
{'短评内容': '我住的是99元的，在6楼。早上11点进去，楼里以及房间都有点臭，让人很不舒服。房间很矮，没有任何洗刷用品，包括洗脚的鞋子！！要的话要自己买，蛋疼！！所以我不推荐这个房间，便宜没好货啊！', '短评打分': 1}
{'短评内容': '酒店的虽然简陋了点，但是对于价格来说已经不错了，房间虽然小但是给人的感觉不错！', '短评打分': 5}
{'短评内容': '很简陋很简陋。。。。只能用来留夜一晚，旅游的同志们请慎重！！', '短评打分': 5}
{'短评内容': '离车站很近，还是比较实惠的。就是床比较小，还有99元的房间话，还没有电视，太无聊了点。', '短评打分': 5}
{'短评内容': '位置于汽车南站的对面，交通方便。虽然房间不大，但睡觉就足够了。', '短评打分': 5}
{'短评内容': '一般般，不像是正规的酒店，只是为了赶火车住一夜，比露宿街头和小旅馆强...', '短评打分': 1}
{'短评内容': '＋定的电视大床房，房间实在是太小，空调不正常，床太短，一次性用品只有毛巾和洗发沐浴液，点吹风可借。饮食不方便。隔音还行。服务态度很好', '短评打分': 3}
{'短评内容': '走廊没有安全感，不像正规酒店，，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '＋还行吧～房间有点小～就是空调不能调～洗漱用品自备而已～', '短评打分': 3}
{'短评内容': '不错~性价比很高的酒店！简单舒适！坐车方便！', '短评打分': 5}
{'短评内容': '我住标准房，一般般。就够睡个觉', '短评打分': 3}
{'短评内容': '房间小得可以！卫生情况一般。我订的是标双，我想如果一个男住肯定住不下，因为房间太小！\n', '短评打分': 1}
{'短评内容': '总体还可以', '短评打分': 3}
{'短评内容': '这个客栈总体还可以的，就是设施少了点，托鞋也没有的', '短评打分': 3}
{'短评内容': '中央空调每天晚上6点开，就和没有空调一样！', '短评打分': 5}
{'短评内容': '性价比还ok，但是房间却是偏小，而且网络是要另外收费的，设施有点偏旧，卫生间的墙壁居然因为潮湿都起皮了……地方靠近汽车南站，如果在汽车南站坐车会比较方便，但是去西湖和市区都还有点距离，去火车站也不是靠走路可以搞定的，虽然直线距离很近……', '短评打分': 5}
{'短评内容': '第二次住拉，很满意', '短评打分': 3}
{'短评内容': '感觉还行。就是烟味太重。望改善。', '短评打分': 3}
{'短评内容': '还好  就床有点小 xiaci不去了 ！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '一般把，凑合着还行。就是厕所味道有点重，暖气不大好，房间有点小，还算干净。', '短评打分': 3}
{'短评内容': '地点比较难找外  一切都还好 主要还是闹中取静 ', '短评打分': 5}
{'短评内容': '一般，就是感觉房间有点小。。超市的价格还是比较合理的 只比外面贵一块钱左右', '短评打分': 5}
{'短评内容': '很小，空调用起来蛮有难度的，但是挺好找的，酒店就在汽车南站的对面，够显眼。只能说物有所值吧', '短评打分': 5}
{'短评内容': '建议酒店增加拖鞋，不需要一次性的，可循环利用的。', '短评打分': 5}
{'短评内容': '如果还出行南站坐车的话，还是比较推荐这个地方的。离南站最近了。而且还算比较安静，睡起来还是比较舒服的。就是感觉房间太空旷了一点，还是电脑房里也有电视就更好了。', '短评打分': 5}
{'短评内容': '这个大床房是没洗浴用品好电视、电脑甚至网线的，如果要上网还要另外加上20元。\n对于晚上回来很晚第二天要在南站转车的适用，如果单纯入住就划不来了。', '短评打分': 5}
{'短评内容': '房间很小但很干净…', '短评打分': 3}
{'短评内容': '干净，卫生，地理位置好。第二次入住了，不错~', '短评打分': 5}
{'短评内容': '离汽车南站近，电脑网速可以，环境清洁\n没有拖鞋，牙刷，办理入住时间超久，退房前打了两个电话提醒，清洁阿姨直接开门进来，竟然还问我们今天住不住，不会看入住记录啊？！', '短评打分': 1}
{'短评内容': '还可以，就在汽车南站对面，很方便需要出差或者出差归来的朋友，洗漱用品自己带，卫生', '短评打分': 5}
{'短评内容': '环境什么都不错，前台服务也挺好,去附近地方玩前面就有个车站也很方便', '短评打分': 5}
{'短评内容': '房间里无电视，无洗漱用品和拖鞋，比较不方便。', '短评打分': 1}
{'短评内容': '房间不错，电脑配置差了点', '短评打分': 3}
{'短评内容': '房间虽然小，但是还算干净。价格合理还不错。就是有蚊子。', '短评打分': 5}
{'短评内容': 'f服务效率很低，手续繁琐，配置也不好。不推荐', '短评打分': 1}
{'短评内容': '交通方便，去西湖景区不远，99元房有点小，但是性价比不错', '短评打分': 5}
{'短评内容': '交通比较方便，位置也很好找，设施旧一些，短期临时住还可以。', '短评打分': 5}
{'短评内容': '酒店交通比较方便，隔音稍差，临时住一两天还是可以的。', '短评打分': 5}
{'短评内容': '房间小，卫生间有异味，服务员态度一般，不过也就99元，没办法', '短评打分': 1}
{'短评内容': '觉得 这家店 很不错 交通业比较方便 值得推荐', '短评打分': 5}
{'短评内容': '半夜被冻醒，中央空调温度不够，可能为了省电费。上网另加二十元，下次不会再去住了。', '短评打分': 3}
{'短评内容': '太差了，住了这么多酒店就没有遇到这么差的。卫生间漏水，味道还好大，插座还没有一个好的，服务态度特别不好，打电话来维修，告诉我就是这样，他修不了，就走了。也不解决。这是晕倒。', '短评打分': 1}
{'短评内容': '酒店总体不错，但是酒店99元房间的洗手间的淋浴头被固定了，洗澡很不方便只能贴着靠墙洗；另外该房型最好配上一个电热水器，否则就只能买水喝了。', '短评打分': 5}
{'短评内容': '还好就是房子太小了，前台不够专业！', '短评打分': 3}
{'短评内容': '不错，交通方便，服务态度也很好', '短评打分': 3}
{'短评内容': '正常的房间至少应该有电视机，床看起来蛮干净', '短评打分': 1}
{'短评内容': '蛮好找到的，好显眼啊！', '短评打分': 3}
{'短评内容': '定的房间比较大，显得床很小。有点遗憾是没有洗漱用品，连毛巾都是很破旧的...其他的比较满意，还有冬天到了，被子太薄了！', '短评打分': 5}
{'短评内容': '床实在太小，脚挂外睡！床下很多灰，可能是空间实在太小，无法打扫的缘故！早上很早就被对面车站的喇叭吵醒。', '短评打分': 1}
{'短评内容': '地段蛮好的，就是房间实在太小了，服务什么的都不错，也很干净', '短评打分': 5}
{'短评内容': '这个酒店位置很好，很不错，服务态度也好，唯一的问题就是隔音效果不好，头顶的风扇轰隆隆的声音扰耳，其他的都很不错', '短评打分': 5}
{'短评内容': '服务还行的。下次还会来的。可以考虑下。嘿嘿。。', '短评打分': 5}
{'短评内容': '：这是我住过最差的客房，又小又矮，连个转身的空间都没有。这种房间一点也不值这个价，不会再住第二次了。', '短评打分': 3}
{'短评内容': '这家店还干净的，就是东西要自己带，比如牙膏之类的，对面就是汽车南站，方便', '短评打分': 3}
{'短评内容': '房间宽敞，光线充足，服务良好', '短评打分': 3}
{'短评内容': '房间有点小,床单感觉不是很干净,不过这个价也就这样吧', '短评打分': 3}
{'短评内容': '很好，好。在杭州市区这个价钱能住到这样清新、整洁、卫生的酒店很不错了。', '短评打分': 5}
{'短评内容': '这旅店真的很差，没电视，没空调，没一次性用品，连拖鞋都没有，跟本没法住，打电话还要收费！再也不会住这个客栈了，黑啊', '短评打分': 3}
{'短评内容': '被子太薄，晚上睡得好冷                                   ~~~', '短评打分': 1}
{'短评内容': '和普通的经济型酒店差不多，但是价格便宜点所以很多基本的设施都没有，比如浴巾、洗漱用品、电视和网络等~~~', '短评打分': 5}
{'短评内容': '一般，房间还行，但要自己带洗漱用品和拖鞋，麻烦。', '短评打分': 1}
{'短评内容': '明亮宽敞 服务态度又好 简单的装修 却温馨可人 ', '短评打分': 5}
{'短评内容': '客栈布置得很温馨，整个客栈像一个小世界，有小超市，吃早饭、点心的地方，很方便，工作人员服务态度也很好~~', '短评打分': 5}
{'短评内容': '尚可，但上网要另外支付费用不合理！…', '短评打分': 3}
{'短评内容': '酒店设施不全，没电视，没开水，洗澡间太小，虽然是特价间，上海的99还有苏州的99就不这样，希望能改进，', '短评打分': 1}
{'短评内容': '酒店让人很无语，面积小不说，不给电视、不给网络，没有洗漱用品、没有拖鞋。以后绝对不能再定这个品牌的酒店，', '短评打分': 1}
{'短评内容': '就是没有空调跟房间灯光很暗，没有空调真的是令我感到失望的一点，其他的都可以接受', '短评打分': 5}
{'短评内容': ' 挺好 99元没拖鞋牙膏电视上网 还算可以吧', '短评打分': 3}
{'短评内容': '酒店位置很好找，汽车南站对面就是，尤其夜晚，标牌灯很醒目。99元的房间虽然没有一次性用品，但这个价位还算干净舒适，去西湖火车站步行街都只有三四站的距离。\n唯一不足的是，酒店服务速度还有待加强，网上已经预订过，登记手续还弄了十几分钟，最后上去还发现房卡没给我刷上，又下来再刷一次，再有小卖部的东西卖得还是有点贵的。', '短评打分': 5}
{'短评内容': '宽敞。干净。价格实惠。还是蛮不错的。附近交通方便。', '短评打分': 5}
{'短评内容': '名为电脑大床房,实际上床才178CM长,本人身高176厘米,躺在床上脚都露在外面.问了服务员,说酒店里所有床都是这样的.这是最大的缺陷了,而且给我的感觉是涉嫌虚假宣传.应该改名为电脑短床房才对嘛.还有,电脑比较慢,键盘很烂,打字很吃力,电脑里的电影也很少,才五部.当然了,有电脑的房间没有电视,有电视的房间没有电脑.房间布置很朴素,不过还算干净.空气还好,就是空调不能调节,有点冷.里边除了电脑和床和', '短评打分': 1}
{'短评内容': '房间小一些，但挺干净，没有一次性用具，住宿的功能是达到了，也很环保，不错。', '短评打分': 3}
{'短评内容': '我住的是99元一晚的房间，里面没有电视电脑一次性用品，只有沐浴液跟两块毛巾，床非常的舒服，软硬适中，水要到房间过道上取用，不过非常方便，如果只是要求睡个好觉，很适合，如果需要呆在房间更久，可以订别的房型吧', '短评打分': 5}
{'短评内容': '靠近马路,非常非常吵,吵得无法入睡.可以理解不提供一次性的牙膏牙刷拖鞋,居然也不提供拖鞋,以后出去住宿也要自备拖鞋了.', '短评打分': 1}
{'短评内容': '价格便宜 交通便利 也干净 就是空间太小 隔音不好  不过也对得起这个价格了 算是物有所值吧 如果不追求 舒适 单纯休息睡觉 蛮可以的', '短评打分': 5}
{'短评内容': '是属于比较经济实惠的酒店 服务还算到位 可免费存包 交通便利 对面就是汽车南站 离火车站大约有3站路 公交可直达', '短评打分': 5}
{'短评内容': '  房间还行  就是卫生间太小了  隔音效果也不好', '短评打分': 3}
{'短评内容': '推荐99特价房，很划算，不过就是床比较短', '短评打分': 5}
{'短评内容': '就在汽车南站的正对面，房间比较小，设施很简单，都要自带，热水很大，价钱便宜，性价比高，就晚上睡个觉还是不错的', '短评打分': 5}
{'短评内容': '  房间不错，满意…', '短评打分': 3}
{'短评内容': '还行，就是感觉空间矮了点。再就是说在四季青附近，其实还有三站路，幸好交通还方便', '短评打分': 3}
{'短评内容': '不错，很实惠就是卫生间有点小，距离车站很近，非常方便', '短评打分': 5}
{'短评内容': '挺干净，就是拍风扇不能用', '短评打分': 3}
{'短评内容': ' 空间好小 服务不错 整体环境还可以     ', '短评打分': 3}
{'短评内容': '价格是比较实惠，但是房间太矮了，感觉很压抑。', '短评打分': 5}
{'短评内容': ' 挺干净的，就是隔音不太好，空间略微狭小了点，电视大床A房。', '短评打分': 3}
{'短评内容': '电视标准房很小，放了两张床后很拥挤，几乎没有可走动的空间', '短评打分': 1}
{'短评内容': '就是图个便宜，去西湖坐车方便。。就是杭州的交通太拥挤了。。', '短评打分': 5}
{'短评内容': '住的电脑大床房，1608，没有牙具，没有拖鞋，没有浴巾，吹风也被借完了，床太短了，窗户只有一道缝可以开的，价格189元，前台登记的时候速度超级慢，都不知道为什么这么多程序，服务员态度一般。总体来说感觉性价比超低，不满意。就是交通蛮方便的，离西湖也近。', '短评打分': 1}
{'短评内容': '总体来说还是不错.房间还比较干净,但好小的.是在杭州汽车南站对面.离城站火车站是比较近的.', '短评打分': 5}
{'短评内容': '王国芹', '短评打分': 3}
{'短评内容': '房间不小，但是床未免也太袖珍了吧。我160都睡的正好，悲剧啊…整体环境不错。', '短评打分': 3}
{'短评内容': '还可以，态度不错。国庆这个价，算好了。至少是干净的。', '短评打分': 3}
{'短评内容': '干净卫生。\n电脑网速超慢。\n窗户没有纱窗，只能打开一条缝。\n只有毛巾，没有浴巾。\n免查房退房。', '短评打分': 5}
{'短评内容': '酒店不错！干净', '短评打分': 3}
{'短评内容': '已经入住我的客栈', '短评打分': 3}
{'短评内容': '价格不错，环境还好。就是办理入住手续时时间有点慢', '短评打分': 5}
{'短评内容': '尚可，手续办理时间太长，有些服务还不是特别到位，房间还算干净，但竟然有蚊子，99元的比较小，走动都比较苦难，房间里连网线都不提供，但是总体来说，地理位置优越，方便，比较适合普通百姓外出居住。', '短评打分': 5}
{'短评内容': '入住手续还是那么繁琐，前台还是那么爱理不理，明明会员有99元会员房升级活动，也不跟我说。其他还可以，不过房间内卫生状况有所下降。', '短评打分': 5}
{'短评内容': ' 还行吧， 就是比较小。 空间太低~！！！  奉劝长的很高的人就不要住那里了~~  交通还行，打车到哪都很便宜。', '短评打分': 5}
