{'短评内容': '嗯嗯，性价比非常好，环境也可以', '短评打分': 5}
{'短评内容': '交通很方便，步行五分钟可到地铁站和西朗公交总站，房间和洗手间宽敞，最值得推荐的是入住可延迟退房时间到中午一点，但是被单不干净，特别是床单还有没洗干净的污渍。', '短评打分': 5}
{'短评内容': '好  真的挺好的呢 房间很大 很舒服 嘻嘻', '短评打分': 5}
{'短评内容': '离地铁口很近！管理比较好，就是电梯太慢。', '短评打分': 5}
{'短评内容': '这个酒店实在是让人太失望了！首先，不提供洗漱设备这倒是在意料之中，可是，酒店的住房比想象中要小！而且有窗等于无窗，因为一开窗就看到对面的办公楼办公的人……还有，酒店在装修中，超级吵！而且不分时段的吵，晚上才停歇，无法睡午觉！隔音设备真是不好！不过，卫生间看起来还算干净，除了门关不上以外。另外空调还算给力，挺凉快的。', '短评打分': 1}
{'短评内容': '环境一般没提供洗刷用品.要自己买！', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '服务态度一般，设施有点陈旧，但是卫生情况还可以，价格适中，交通较方便。', '短评打分': 5}
{'短评内容': '除了位置比较偏僻周围没什么好逛 其他一切还好', '短评打分': 5}
{'短评内容': '整体感觉不错，价格比较合理，很有家的感觉，设施都很实用~', '短评打分': 5}
{'短评内容': '、以入住，满意！', '短评打分': 3}
{'短评内容': '房间环境一般，就是卫生间没有洗漱用品，地还比较滑，我好几次差点滑倒。', '短评打分': 1}
{'短评内容': '房間隔音差，冷氣機好噪！酒店沒有提供牙刷和牙膏。', '短评打分': 1}
{'短评内容': '离地铁站和公交站很近，离芳村客运站也很近。出行比较方便', '短评打分': 5}
{'短评内容': '感觉还可以。离地铁很近。吃饭购物也很方便', '短评打分': 5}
{'短评内容': '还可以吧，远了点，便宜，周边吃饭的地方还算方便', '短评打分': 5}
{'短评内容': '位置容易寻找。。地铁口。。。价格便宜。。对得起这个价格。。就是蚊子有点多！！', '短评打分': 5}
{'短评内容': '不错。连锁的环境不错容易找到。安静', '短评打分': 3}
{'短评内容': '酒店设施还行，位置附近也是比较熟悉的，酒店的价格还算很便宜，服务倒还是一般。', '短评打分': 5}
{'短评内容': '酒店地理位置还行，周边出行方便，房间装修的很现代，卫生条件不错，总体感觉还行', '短评打分': 5}
{'短评内容': '酒店的服务态度挺好的，房间硬件齐全，就是有些陈旧，卫生条件不错，住宿环境一般', '短评打分': 5}
{'短评内容': '距离地铁10分钟左右，住宿环境不错，房间卫生挺好的，性价比还行', '短评打分': 5}
{'短评内容': ' 价格便宜 交通方便 就在地铁站旁边 只是其他就很一般了 空调是个坏的 洗手间没有卫生纸 让服务员送等了好久好久 ', '短评打分': 5}
{'短评内容': '入住后感觉比较舒适和舒服，价格还算合理，环境不错，交通也是挺方便的，就是有点小细节要改善，例如洗手的水龙头出不了热水，觉得很不方便，希望改进。', '短评打分': 5}
{'短评内容': '前台服务不错，虽然不能准时入住，但是打个电话过去很快就同意延时入住，商务大床，很大，比较舒服。', '短评打分': 5}
{'短评内容': '地方很偏，虽然坐地铁挺方便的，但还是太远了，酒店设施比较一般，平时习惯类似如家和7天的朋友建议不要选择了', '短评打分': 1}
{'短评内容': '这次是第二次入住，住的是豪华单人房，床和摆设都没有商务大床房好，应该是价格差异的原因吧，下次有机会还会入住的。', '短评打分': 5}
{'短评内容': '还不错，干净，总体性价比比较高，价位合适。', '短评打分': 5}
{'短评内容': '性价比不错，就是远了点。', '短评打分': 3}
