{'descr': '价格比较实惠，房间偏小，同类价格最便宜', 'star': 5}
{'descr': '房间很大的。环境都还不错。不过窗户打不开这个就不喜欢了。总体还好啦。属于闹中取静的地方吧。', 'star': 5}
{'descr': '酒店地理位置绝佳，靠近常州一院。价格合理，这次入住正巧赶上所有房间打八折。下次还会选择入住。', 'star': 3}
{'descr': '这家如家离局前街如家几步之遥，但是价格却便宜，附近交通方便，离南大街不远。吃的地方也多，边上就是一个百姓人家，价格也很实惠', 'star': 5}
{'descr': '真的很好，\n交通方便，\n房间很干净布局温馨，\n价格便宜。非常理想。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '   服务好   我给满分      卫生很干净     环境不错    下次去常州还住在如家我会向朋友介绍的     ', 'star': 5}
{'descr': '离火车站不远，挺方便，价格也不高。设施、服务和一般如家一样。性价比不错。', 'star': 5}
{'descr': '很好，离火车站很近，交通方便，安静舒适，走路十分钟就到了，路口就有超市公交车', 'star': 5}
{'descr': '新店，装修较好，离店的时候，外面下大雨，不好打车，店长主动撑着伞去外面帮我拦车，实在很感谢。', 'star': 5}
{'descr': '新开的店~~环境非常好，距离火车站挺近的。。推荐~~', 'star': 5}
{'descr': '据住的客户说是新装修的，有味道！建议过段时间再住，附近考虑如家火车站店和莫泰局前街店', 'star': 1}
