{'descr': '房间干净整洁，周边也比较便利。', 'star': 5}
{'descr': '酒店的位置不错，有很多吃饭的地方，另外，硬件比较旧，如家新装修过，我本来预定的是大床房，前台的帅哥给免费升级到商务大床房，开心哦', 'star': 5}
{'descr': '位置太偏，周围环境不好~，环境很压抑。。', 'star': 1}
{'descr': '不错，性价比很好，就是房间小了点，热水不正常，地漏也不通，但临时住还行！', 'star': 5}
{'descr': '老板娘人不错 房间还行 隔音有点问题  总的来说这个价位划得来的', 'star': 5}
{'descr': '性价比还行，就是晚上洗澡水一会热一会凉，让人很恼火', 'star': 5}
{'descr': '＋相当不赖的宿处！', 'star': 3}
{'descr': '位置很偏，周围很黑，如果是女生一个人建议不入住，安全为妙。女生可以去新接口附近，那里比较热闹，条件比较好。要是男士的话，住哪里无所谓，房价很便宜（特价房不到100），设施也比较完善，房子比较潮，个人家的那种，大行李箱上楼梯会很麻烦，木电梯。本来定的特惠房，结果没有了，我按原价住了三人间，挺爽的，哈哈~~', 'star': 1}
{'descr': '性价比较高，房角比较小，设施有点陈旧，热水不稳定，隔音效果不理想，交通比较便捷，值得临时休息！不妨在没有好的选择前提下选择临时居住这里。', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '条件还可以，性价比还行', 'star': 3}
{'descr': '房价走廊太黑了,而且不通风,很吵!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1', 'star': 1}
{'descr': '满意', 'star': 3}
{'descr': '卫生一般有待提高，总的评价一般，价格有点高，建议在80元', 'star': 5}
{'descr': '性价比不错，就是隔音效果不好，交通比较便利，热水供应不好！', 'star': 5}
{'descr': '环境好   房间有点小   但是感觉还不错  比较温馨', 'star': 5}
{'descr': '隔音效果差，卫生间热水时有时无。服务态度不热情！', 'star': 1}
{'descr': '朋友比较喜欢，这次的卫生间没有上次干净哦，希望服务员打扫干净些。', 'star': 5}
{'descr': '昨天住的   价格差不多实惠   环境还好  就是宽带没连上 我嫌麻烦也就没有去说  额   不过还是不错  隔音不太好 其他都不错 ', 'star': 5}
{'descr': 'haixinglaaaa heheheeeeeee', 'star': 5}
{'descr': '服务还算可以，交通比较便利。只是环境很一般！', 'star': 1}
{'descr': '就是有点难找，不过总体还是不错的，服务也很好！价格公道！值得推荐\n', 'star': 5}
{'descr': '不错的，这次住的是一张大床一张小床，电视是网络电视。就是地方难找点', 'star': 5}
{'descr': '这个价位的房间条件还是可以的     就是隔音太差   比较吵    ', 'star': 3}
{'descr': '房间小点！但是卫生还可以，整体感觉不错！高级单人间', 'star': 5}
{'descr': '房间不多，因此用单间的钱住了双人的，房间不错，就是双人的感觉地方太小了。', 'star': 3}
{'descr': '空调是定时给开的…随时会关的…设计几乎没有隔音可言！', 'star': 3}
{'descr': '店很干净 ，住的也很舒服，就是能提供吹风机就好了。早上洗澡的话可以吹吹头发什么的。', 'star': 5}
{'descr': '这家宾馆是新开的，在比较偏一点点的建邺路止马村。不过那里也有好几趟公交车经过，可以去新街口商业区。老板是女的，还有一名负责卫生的阿姨，房间不大，我们订的是特惠房98，说是大床房，但别以为是1.8的床，其实就是1.2的床，两个人睡很挤，我们后来跟老板理论她帮我们换了双人房，按原价。双人房的床是比1.2稍微窄的床，但床铺还算干净，因为还算新嘛，住的人不是太多。', 'star': 5}
{'descr': '这个宾馆实在不怎么样,条件和服务都不好', 'star': 3}
{'descr': '订的是98的特价间，价格呢的确是很便宜，一等价钱一等货吧，外部更像一个旅社，房间被子很舒服，但杯子居然有很重的茶垢，害我喝水前刷杯子，空调遥控器是没有，最大的缺点就是隔音很差，走廊外面声音听的很清楚，可能是窗户隔音不好吧。\n\n但是一等价钱一等货，不怕吵，不讲究的可以去住，讲究的还是别去了', 'star': 1}
{'descr': '这个价格就这样，太小，所以自然有点吵，说话声影响睡眠', 'star': 5}
{'descr': '很好    非常好    感觉不错   男男女女男男女女男男女女男男女女男男女女年', 'star': 5}
{'descr': '很满意，电影可以随便看，很好，都不愿出门了，也很卫生，交通也挺便利，性价比很高。', 'star': 3}
