{'短评内容': '非常棒的入住，', '短评打分': 5}
{'短评内容': '房间装修很不错，洗手间电视很有创新', '短评打分': 3}
{'短评内容': '床响声太大,没配备厨具', '短评打分': 3}
{'短评内容': '酒店很新，硬件设施很好，尤其适合家庭入住，以后还会选择。', '短评打分': 5}
{'短评内容': '管理和环境都非常好 让人感觉很舒服 房间设施也很赞', '短评打分': 5}
{'短评内容': '房屋比较人性化，很新，就是门童像保镖，有些冷淡，而且看人服装盘问，感觉不舒服。交通比较便利。', '短评打分': 5}
{'短评内容': '硬件，服务，环境都是一流，只可惜是新酒店，所以入住人数太少，因此他们的早餐实在是少得可怜。', '短评打分': 5}
{'短评内容': '非常不错的酒店，适合度假，适合两个人小住几天。。。。', '短评打分': 5}
{'短评内容': '酒店蛮新，订的豪华两居室，非常适合全家人住，厨卫电气很全可以自己做吃的，很方便！不过酒店不提供24小时送餐服务，过了饭点就得去外面吃了，有点不方便，好在酒店地理位置处在市中心，出去找食挺方便。', '短评打分': 5}
{'短评内容': '很好，装修新，简洁时尚，套房大而温馨，服务很热情 。就是早餐过简单。推荐', '短评打分': 5}
{'短评内容': '硬件设施不错，特别是浴室电视、客厅SONY家庭影院系统很棒，早餐属于欧式早餐，简单但质量不错，尤其是单面煎蛋做的非常好，酒店服务管理很好，态度热忱周到，赞！唯一感觉不符合本人喜好的是床不够软，呵呵，看个人喜好了', '短评打分': 5}
{'短评内容': '这是一家新开的五星公寓，位置好打车很方便，就在四川剧院的对面，我们去的时候出租车司机不知道，还是呼叫总台问到的，那么可以这样告诉司机就在人民南路指挥街那很大一家卖LV的店后面，反正都是一幢楼，门口有门童，但好像没写中文。我带着2个孩子和先生入住，是外籍，大堂不大，但很精致，大堂的卫生间如果没人告诉你，你根本不知道在哪？像迷宫，哈哈！但是宝贝觉得很有趣很喜欢！房间很干净舒适，除了饮用水和油盐酱醋没有', '短评打分': 5}
{'短评内容': '很不错的酒店！目前这个价格维持的话，性价比很高，在成都五星级酒店中竞争力应该很强。但如果超过700元，那么，很多像我这样的中档偏上公司商务客可能会再考虑下。', '短评打分': 5}
{'短评内容': '酒店很新，三月份才正式开业，装修绝对豪华，游泳池很赞，服务态度也很好，对得起五星的称号。相对而言，有以下几点值得改进：\n1.早餐品种比较少，档次不够\n2.房间不提供洗衣粉，居然还要我花5块钱买一小包\n3.房间很新，有点味道\n据说3月份以后的价格就一下子贵了很多哦！', '短评打分': 5}
{'短评内容': '位置好，在市区位置周边交通出行很方便，而且室内设施也不错，所以住着感觉还好.', '短评打分': 5}
{'短评内容': '房间太舒服了。我和老公都不想走了，下次还来住。房间设施真没的说。', '短评打分': 3}
{'短评内容': '开业优惠价，一套一的70平米套房920，真的很划算啊！位置好，酒店设施很便捷，非常舒适，还有厨房等一应俱全，下次还会入住的', '短评打分': 5}
{'短评内容': ' 酒店很气派高档，安全工作相当好。很满意', '短评打分': 3}
