{'短评内容': '交通方便，设施有点旧，价格便宜。', '短评打分': 5}
{'短评内容': '还行吧 比较干净 设施也都全 就是我一块订的房间他告诉我不在一个楼层，让我很是气愤，我两个一块订的 难道你还不给我安排到一块去，让我去住大床房，比标间贵，最后又发现标间呗订了，又给我换了标间，结果发现这两个标间斜对着，多亏大床房有人订了，不然还多坑了我点钱，虽然不多吧，但让人气愤', '短评打分': 5}
{'短评内容': ' 还不错', '短评打分': 3}
{'短评内容': '非常不错的酒店，服务很细致，很周到。在前天登记的时候速度很快。房间的设施不错，很温馨，网速挺快，听前台说是专线，百兆的。\n', '短评打分': 5}
{'短评内容': '酒店很干净,设施也可以,最好的是网速特别快,下载一个电影只要2分钟不到,超爽.', '短评打分': 5}
{'短评内容': '非常不错的酒店，房间很干净，价格也很合适，附近买东西很方便', '短评打分': 5}
{'短评内容': '给朋友订的酒店，自己只是到房间聊了一会儿天，印象不深了，应该还算可以吧', '短评打分': 5}
{'短评内容': '很好，考研住的，离历城双语实验学校很近，交通比较方便', '短评打分': 5}
{'短评内容': '很满意，很温馨', '短评打分': 3}
{'短评内容': '酒店环境一般，周边商务环境一般，就是便宜！', '短评打分': 5}
{'短评内容': '酒店卫生真好', '短评打分': 5}
{'短评内容': '地点有些偏，设施比较差，但是价格真的很便宜，10.1期间所有的房子要不然很贵，要不然爆满，这里有房子，且价格不贵，也很干净，所以非常满意。', '短评打分': 5}
{'短评内容': '不错 如果下次有机会再去济南，还是会选择这里。', '短评打分': 5}
{'短评内容': '总体感觉不错，就是前台接电话的不是很礼貌，其他的还可以。', '短评打分': 5}
{'短评内容': '性价比不错，但酒店周围环境一般，没有大型的购物中心。', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '还不错，尤其喜欢卫生间，可以刷卡，预授权的', '短评打分': 5}
{'短评内容': '```', '短评打分': 5}
{'短评内容': '周围环境太乱，不过早晨小吃很多。卫生条件一般。', '短评打分': 1}
{'短评内容': '空调制冷不好', '短评打分': 5}
{'短评内容': '卫生间有味,整体没有连锁酒店卫生好,需改进.', '短评打分': 5}
{'短评内容': '酒店差到没法说', '短评打分': 1}
{'短评内容': '环境非常差，而且床单被罩不干净！', '短评打分': 1}
{'短评内容': '离西柳近', '短评打分': 5}
{'短评内容': '帮朋友定的，当时是去看全运会，说是离会场很近，感觉不错，不过离汽车站，火车站都较远', '短评打分': 5}
{'短评内容': '整体一般，隔音比较差，房间比较小，拖鞋不是一次性的，性价比一般', '短评打分': 1}
{'短评内容': '交通有点问题', '短评打分': 5}
{'短评内容': '网速不错。都是地方远了点。  ', '短评打分': 5}
{'短评内容': '酒店虽然也是经济型的酒店,但是整体条件并没有汉庭或如家之类的酒店那么规范,价格也不便宜.', '短评打分': 3}
{'短评内容': '设施略显陈旧，卫生间里的洗发水和沐浴露太差没法用，太敷衍顾客了，点餐房间没有菜单，服务倒是还可以', '短评打分': 1}
{'短评内容': '总体感觉还算可以，如果是从办事方便角度考虑还是可以选择此酒店的。', '短评打分': 5}
{'短评内容': '整体感觉还可以', '短评打分': 3}
{'短评内容': '离市区太远了，环境一般，服务还可以，整体感觉性价比一般', '短评打分': 3}
{'短评内容': '提高一下卫生质量，会有更多的客人入住', '短评打分': 5}
{'短评内容': '酒店出门往北20米就是37路、K95路公交站牌，进入市中心非常方便，距离酒店三公里的济南汽车东站开通机场大巴了，省钱快速。对面历城区法院，很有安全感。开车用不了十分钟就到济南奥体中心了，观看全运会比赛太方便了。', '短评打分': 3}
{'短评内容': '地方不好找 出门去市中心需要走五六百米的路才有公交车 酒店设施很一般 总之除了网络 都很一般很一般了 网络真的很好 速度很快 适合网上办公 下载速度能达到2-3MB', '短评打分': 5}
{'短评内容': '酒店临街一面房间有点脏，因为外面在修路，床也有点不太舒服，服务还可以，价格实惠，总的来说还行', '短评打分': 3}
{'短评内容': '这次去全运会场馆奥体中心办事，从酒店自驾车十分钟就到场馆了，观看全运会比赛非常方便。路线：化纤厂路-工业南路-奥体中路-奥体中心。', '短评打分': 3}
{'短评内容': '酒店的硬件条件我觉得还是不错的，环境也还可以，酒店里服务员的服务态度也不错，交通还算方便。', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是服务不灵活，一点也不人性化，晚退房十分钟就要多收半天的房费，蚊子特别多', '短评打分': 5}
{'短评内容': '服务很热情，网速很快，早餐丰富，刚装修的房间很温馨，离济南国际会展中心很近，参展方便，值得推荐。', '短评打分': 5}
{'短评内容': '位置有点偏，服务比较周到，酒店的价格比较实惠，在同一类型的酒店中环境还可以', '短评打分': 5}
{'短评内容': '济南城市之光商务酒店，价格实惠。', '短评打分': 5}
{'短评内容': '感觉还可以，房间比较干净，价格也可以', '短评打分': 5}
{'短评内容': '位置偏远倒不是主要问题，室内设施太简陋，床很不舒服，价格虽然很便宜，但比起价格稍高几十元的莫泰168或者锦江之星来说，性价比实在有比较大的差距。即使是经济型商务酒店，也该有个酒店的样子，但该店的房间整体设施给人的感觉，更像招待所一些。', '短评打分': 1}
{'短评内容': '住宿条件还可以，但是位置有点偏远', '短评打分': 5}
{'短评内容': '还不错，不过房间里需要经常通通气', '短评打分': 5}
{'短评内容': '这次过来有了很大的变化，他们假日餐厅改到了二楼，整个装修时尚，阳光，环境非常好，很有小资情调，自助早餐挺丰盛的，吐司、甜点、粥、水果都很不错还有特色的周村烧饼，中午和朋友吃了一次饭点了几道菜，口味不错，美美的很舒服！房间干净，舒服，特别是网速特别的快，值得推荐！', '短评打分': 5}
{'短评内容': '服务和设施都还可以，但就是离市区较远，离车站有10公里左右，去历城区办事的可以选择这里', '短评打分': 3}
{'短评内容': '晚上有骚扰电话，确是不好！', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;房间及价格尚好，可惜离市区太远。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '这个酒店不错，服务各方面都挺好，人也热情，就是离市区太远，我们开车还要二十分钟。当然，不可能样样都好，总的来说是满意的！', '短评打分': 3}
{'短评内容': '离市区太远了,而且服务态度也不是太好,前台接待员既然是位先生,晚上还有小姐打电话问要不要服务.下次说啥也不住了..', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;是家不错的酒店。不过济南城市很烂，千万不要过去旅游，干的很。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '地理位置距市区较远,我开车去的,从汽车站最少应该有十五公里左右,房间环境不错,布置也挺好的,就是隔音差点,隔壁电视的声音听得很清晰,一个女的声音特大,让我一夜没睡好', '短评打分': 5}
