{'短评内容': '不错，挺干净！', '短评打分': 5}
{'短评内容': '酒店环境不错。', '短评打分': 3}
{'短评内容': '不错，就是房间比较小，开始的房间有下水道味道，后来换了一间，还不错！前台服务态度很好，推荐！', '短评打分': 5}
{'短评内容': '离火车站有点远，环境很好。', '短评打分': 3}
{'短评内容': '火车站店好难找啊。。', '短评打分': 3}
{'短评内容': '很干净,服务态度也很好的.以后出门就这里了', '短评打分': 5}
{'短评内容': '服务很好，前台响应迅速！地处火车站，方便快捷。。。', '短评打分': 5}
{'短评内容': '房间设置合理，舒适度较好。环境、卫生都很满意。', '短评打分': 5}
{'短评内容': '很不错，服务很好，卫生条件没得说。走的时候有车直接送的，很方便，下次来还住！', '短评打分': 5}
{'短评内容': '特价房129，感觉还不错，西八路也很好找', '短评打分': 3}
{'短评内容': '距离火车站有点远，有点偏不好找。服务还不错。', '短评打分': 5}
{'短评内容': '酒店挺好的，很干净，特价房虽小但东西很齐全，距离火车站比较近，很方便，还会再来的', '短评打分': 5}
{'短评内容': '酒店挺好，干净、安静。', '短评打分': 3}
{'短评内容': '安静 不是很好找但是在那个区 显得很不错 汉庭之中比较喜欢的 价格也合适', '短评打分': 5}
{'短评内容': '挺好的，挺实惠的，离火车站距离还行，就是周围买吃的少点！性价比挺高的', '短评打分': 5}
{'短评内容': '这个酒店离火车站有些远，要找一找，不过环境很好，价格也很便宜，值得入住。', '短评打分': 5}
{'短评内容': '比较干净，地处火车站附近，交通方便，有好多车可以到景点。买东西也较方便，周围小店超市较多。', '短评打分': 5}
{'短评内容': '就洗澡的水温不好调节。。。很是费劲。。。', '短评打分': 5}
{'短评内容': '该酒店设施条件很好，性价比高，工作人员态度很好，值得推荐。', '短评打分': 5}
{'短评内容': '酒店不错，很干净，交通也很方便，周围环境不错，安静', '短评打分': 5}
{'短评内容': '酒店服务很周到 也很干净 比较理想 离火车站比较近', '短评打分': 5}
{'短评内容': '酒店还不错，就是位置偏了点。出租车司机都找不到。还有晚上在那片区域很冷清，不热闹。', '短评打分': 5}
{'短评内容': '给个差评吧（为什么前面都是好评？）总体感觉一般，跟其他的酒店没什么不同的，可能是跟自己想象中和大家的点评描述的不一样吧，有点失望。比翠华路的汉庭差远了，差的不是一个档次，当然，价钱上还是比那边便宜点。', '短评打分': 1}
{'短评内容': '房间卫生条件什么的没的说，毕竟汉庭牌子给那摆着呢。出了远门，尤其是到火车站这么乱的地方，还是选择连锁酒店放心，所以推荐啦。', '短评打分': 3}
{'短评内容': '干净卫生，服务员态度很好，很不错，物美价廉！', '短评打分': 5}
{'短评内容': '环境不 错，早餐不 错，就是位子不 好 找\n', '短评打分': 5}
{'短评内容': '非常好！房间干净，热水温度很好，空间较大，网速很好能达到500kb/s以上，有暖气片空调也给力，现在有早餐了15元/位，个人觉得比莫泰好太多了！当然价格高一点，返还的话99元/天。', '短评打分': 5}
{'短评内容': '服务很好，房间很不错，很干净、卫生，下次还会继续住！', '短评打分': 5}
{'短评内容': '我感觉很不错，很卫生，很干净，但是位置不是很方便。', '短评打分': 5}
{'短评内容': '感觉很好，很干净，很舒适，但是位置有点偏，感觉不是很方便，但总体还是很满意。', '短评打分': 5}
{'短评内容': '酒店不错，就是太偏不好找！', '短评打分': 3}
{'短评内容': '总体不错。所谓的无窗其实只是窗户外有一堵墙，视线被挡住了。', '短评打分': 5}
{'短评内容': '优点：干净 舒适 服务好 早餐好\n缺点：虽然不是很好找，但是位置也很不错了。\n晚上回酒店 小路上有很多水果摊 很方便\n下次去西安 我还会选这里 嘻嘻', '短评打分': 5}
{'短评内容': '房间不错，很温馨，设施也很全面，格调也很喜欢，比预想的要好的多。下次还来', '短评打分': 5}
{'短评内容': '酒店总体不错，离火车站很近。服务也不错。就是比较偏僻难找。', '短评打分': 5}
{'短评内容': '服务态度非常好,卫生也很干净.整洁,下次还会来!', '短评打分': 3}
{'短评内容': '不错，离火车站很近，步行10分钟就到，出站口有接待人员，服务很热情，也很干净！', '短评打分': 5}
{'短评内容': '酒店在火车站 汽车站附近 很好找 那条通向酒店的街道很长 小吃也很多 晚上很安静', '短评打分': 5}
{'短评内容': '位置优越   方便实惠   一楼还有旅行社  去哪都很方便   设施配套很好   打扫的很干净    还有一份免费的早餐', '短评打分': 5}
{'短评内容': '很实惠的一家快捷宾馆    早餐很好吃   十五元一份自助   屋里干净  设施好', '短评打分': 5}
{'短评内容': '不错   服务可以  就是隔音差~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~··', '短评打分': 5}
{'短评内容': '很好啊！环境不错，服务态度也很好，还给免费寄存了包，对我们旅行的人来说服务很到位啊。赞！', '短评打分': 5}
{'短评内容': '酒店不错，位置不偏，比较干净整洁，值得入住', '短评打分': 3}
{'短评内容': '这家店非常不错，地理位置方便，好找。房间装修的也非常现代，颜色整体很柔和，每次去汉庭，最喜欢的就是它的枕头，非常舒服。前台有贴心的行李寄存服务，免费的，安全又贴心，越来越喜欢汉庭了···', '短评打分': 5}
{'短评内容': '酒店还不错除了隔音差点', '短评打分': 3}
{'短评内容': '不错的酒店，离火车站也不远，环境很好，很满意 ，服务态度也很好，下次还会去住！！', '短评打分': 5}
{'短评内容': '地方很不错，不管是交通使用，还是酒店的选址，附近的小吃价钱也不算贵。酒店服务很好，所提要求均想法满足，下次去，还会选择', '短评打分': 5}
{'短评内容': '不错，较安静，离火车站较近，方便出行，对出门旅行是个好选择', '短评打分': 5}
{'短评内容': '干净整齐，舒适安静，性价比高，适合住宿。推荐大家到西安火车站附近住宿 首选该酒店。', '短评打分': 5}
{'短评内容': '很不错啊  很干净  下次再来   服务很真到  很实惠  交通也很方便', '短评打分': 5}
{'短评内容': '干净安全服务好', '短评打分': 3}
{'短评内容': '性价比很高，服务也很到位，下次还会去光临这家店！', '短评打分': 5}
{'短评内容': '屋内有一套宝洁公司的试用品，有洗发水、护肤品及沐浴露，很划算。屋内虽然不大但是干净，还回来！', '短评打分': 5}
{'短评内容': '不错 很暖和干净 离火车站相当近', '短评打分': 3}
{'短评内容': '  入住  干净安静  很好', '短评打分': 3}
{'短评内容': '我住过的最赞的酒店，价钱公道，离火车站还比较近，房间很干净，还有免费的宝洁试用品哦', '短评打分': 5}
{'短评内容': '酒店干净 安静 离火车站走15分钟到了，但是酒店门前不好打车因为离火车站近受管制，早起很难打车周边都是送孩子上学的比较堵，总的来说很满意。', '短评打分': 5}
{'短评内容': '不后悔的选择！我是帮我父母定的，二老挺满意，交通便利，干净，而且很安静，下次还会选择', '短评打分': 5}
{'短评内容': '非常好的酒店，服务很好，闹中取静，出行方便，步行到火车站或到机场大巴只需10分钟，附近小吃店很多，吃饭购物都很方便', '短评打分': 5}
{'短评内容': '还可以，交通放便，价格合理，个人出游可以做选择！', '短评打分': 5}
{'短评内容': '酒店干净整洁，位置较偏（离火车站东广场步行约15分钟），喜欢安静的朋友是较好选择，国庆假期房价偏高了。', '短评打分': 5}
{'短评内容': '不错,满意', '短评打分': 3}
{'短评内容': '还不错,还有免费上网,安保系统也很可以', '短评打分': 3}
{'短评内容': '酒店挺不错的，很安静，设施也比较齐全', '短评打分': 3}
{'短评内容': '酒店位置离火车站较劲，但比较僻静，打车不易。前台热情，只有早餐，有小商品部。', '短评打分': 3}
{'短评内容': '房间干净舒适，服务态度良好，酒店安全措施非常好。唯一一点就是酒店标识不够明显，应该在大马路上有明显的标识。', '短评打分': 5}
{'短评内容': '酒店位置稍显偏，居住环境很安静，很好，不过周边吃饭地方不大方便，离火车站，汽车站都不远，出门很坐车很方便的。', '短评打分': 5}
{'短评内容': '布甲不错的酒店，位置比较安静，离火车站也不是太远，就是吃饭周围没有比较好一点的，要走一段路。下次来先还住这里', '短评打分': 5}
{'短评内容': '消费卷怎么用啊', '短评打分': 3}
{'短评内容': '酒店不错，超值。以后还这样订。', '短评打分': 3}
{'短评内容': '很好的店家，环境很好，很干净，和爸爸妈妈一起住也非常舒适。离店的时候差点忘记身份证，服务员也及时送过来，感觉很温暖。', '短评打分': 5}
{'短评内容': '火车站附近，离火车站还是稍微远了点，酒店条件挺好的，去西安各个地方挺方便的，可以去火车站站，也可以去北新街站，个人感觉北新街好点，毕竟从北新街走过，比西八路感觉舒服，主要是臭水沟的味道小店\n只提供早餐，不提供中餐、晚餐\n\n在北新街与西八路路口有一家羊肉面馆，味道还不错', '短评打分': 5}
{'短评内容': '各方面还不错，如果觉得价位可以的话，可以选择入住。', '短评打分': 5}
{'短评内容': '帮朋友定的，很满意。汉庭一直是我比较信赖的。', '短评打分': 5}
