{'短评内容': '不错，价格不贵，早餐一般。周边方便，离地铁有点远', '短评打分': 5}
{'短评内容': '十房闡不錯', '短评打分': 3}
{'短评内容': '服务不错。环境也很好。推荐商务出差好选择。', '短评打分': 5}
{'短评内容': '没有假日酒店一贯的进门的香氛、良好服务，是新建酒店，但总感觉没有那种时尚及令人愉悦的整体气氛', '短评打分': 1}
{'短评内容': ' 环境很不错！服务很热情！', '短评打分': 3}
{'短评内容': '非常好，就是玻璃窗很躜，满目灰尘，周围吃的店很多。', '短评打分': 5}
{'短评内容': '好吃 好玩。好停车。大厅很气派！下次还会去住', '短评打分': 5}
{'短评内容': '一定会推荐别人去住。自己住的感觉还可以。自己随朋友一起去的，原来以为很偏的。其实不是', '短评打分': 5}
{'短评内容': '朋友推荐去入住的。很不错。又可以停大巴。到附近玩玩也很方便', '短评打分': 5}
{'短评内容': '房间布局好，酒店环境优雅，附近的餐饮街很好，吃饭方便实惠。', '短评打分': 3}
{'短评内容': '大堂还可以，客房一般', '短评打分': 3}
{'短评内容': '内在没有外在的那么好。酒店名称和网上的不一样，实际叫假日酒店。旁边就是巴黎春天，吃饭购物都不错！', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 3}
{'短评内容': '老外喜欢入住的酒店连锁品牌，虽然贵了点，但是住的舒适，吃的也舒心', '短评打分': 5}
{'短评内容': '给领导定的，回来后表示这次订的不错，呵呵~~~', '短评打分': 5}
{'短评内容': '酒店不错，位于国际会展中心附近，设施比较好，就是价格贵了点', '短评打分': 5}
{'短评内容': '总体还可以吧', '短评打分': 3}
{'短评内容': '新设施，只是酒店的气味有点问题。可能是打扫卫生所有的清洁液有问题。', '短评打分': 5}
{'短评内容': '正好赶上九球赛，据说正准备申报五星，游泳池也不错，水温偏低。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': 'nice,各方面都挺不错。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '帮客户预定的，环境还不错，性价比很高，交通也很便捷', '短评打分': 5}
{'短评内容': '还不错 隔壁工地在装修 有点噪音', '短评打分': 3}
{'短评内容': '  新的酒店，大堂，客房都不错，服务也好。', '短评打分': 3}
{'短评内容': '不错的酒店，整齐，干净，舒适。就是服务上觉得还是有点欠缺。为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '还不错 就是早餐太贵了 出酒店们左拐有永和豆浆', '短评打分': 5}
{'短评内容': '还不错，只是地理位置偏僻，地铁过来好远。客户采购觉得不方便', '短评打分': 1}
{'短评内容': '除了早上难叫车和晚上餐厅没有位置外，别的都还不错。客户还是较满意。', '短评打分': 5}
{'短评内容': 'not bad, not bad, not bad, not bad, not bad, finally reach 20 words.', '短评打分': 5}
{'短评内容': '酒店环境不错，晚上很安静，大厅服务很热情，我觉很好', '短评打分': 5}
{'短评内容': '酒店很不错，下次还会入住.早餐很好，晚上很安静', '短评打分': 5}
{'短评内容': '还不错，价格有点高，地方太偏了。客户不是很满意。', '短评打分': 5}
{'短评内容': '干净、舒适，很适合旅游在外的朋友入住。给个好评下次还会选择', '短评打分': 5}
{'短评内容': '整体还不错，值得一住，而且周围比较适合住宿。', '短评打分': 5}
{'短评内容': '这家酒店离世博会近，但也要打车。除了这一点儿优势外就没有什么可取之处了。', '短评打分': 5}
{'短评内容': '客房条件还不错，房价可接受\n\n缺点：1、上网要收费\n      2、早餐品种太少，与价格不符', '短评打分': 5}
{'短评内容': '新开张的酒店，各方面都很新，餐厅顾客很少，离世博近。周围环境安静，就是入住时很慢，卫生打扫及时，希望再接再厉。', '短评打分': 5}
{'短评内容': '酒店为快捷假日酒店，但里面的装饰没有一般快捷酒店的时尚、比较保守！对于年轻人会有点失望', '短评打分': 5}
{'短评内容': '酒店前台业务不熟练，把我客人的借记当信用卡预授权伍仟元，做了撤销又说要三个月才能退回卡内，结账又重新支付房费二千多元。', '短评打分': 3}
{'短评内容': '入住时被告知房间为打扫出来，唯一遗憾的是没有搓澡巾，喜欢房间内的特大镜子，使得房间的面积看起来似乎变大了，洗漱用品二次使用时不容易导出液体，位置离世博园不远，早餐种类丰富，叫车服务及时，电视挺大的，由于开业不久，所以 设施很新，典雅，气派，不错', '短评打分': 3}
{'短评内容': '一切都好。', '短评打分': 5}
{'短评内容': '如果不看世博会住那显得有点偏，旁边有个商场但没什么可逛的，比淮海路差的不是一点。', '短评打分': 1}
{'短评内容': '设备很新，新开业的，房间里的大镜子是房间看起来面积大了许多，只是房间有新装修的味道，洗漱用品的包装不容易挤出洗发液，位置离世博不远，总体感觉不错', '短评打分': 3}
{'短评内容': '酒店总体设施很新，因为刚开业不久，房间里有一点装修的味道，没有准备拖鞋，洗漱用品采用塑料袋包装，淋浴设计不是很合理，洗澡时有积水，不能及时排掉，前台服务态度良好，就是办手续时有点慢，卫生良好，门童服务态度非常好，那个开电梯的服务意识主动，总的来说，还行', '短评打分': 5}
{'短评内容': '总体还可以，离世博浦东区大约4-5公里，可以去沂林路的5号出入口比较方便。建议酒店内免费增设一张上海地图。', '短评打分': 5}
{'短评内容': '视线不错，隔音有点差，似乎优悦会定只要￥1100', '短评打分': 5}
{'短评内容': '很不错。', '短评打分': 5}
{'短评内容': '周边非常方便，酒店很新，游泳池非常好，位置一般', '短评打分': 5}
{'短评内容': 'It was very comfortable with good services. We enjoyed our stay very much. In order to for other provide more valuable comments , please publish 20 words of more than reviews', '短评打分': 5}
{'短评内容': '很舒适的一家酒店，卫生，服务和设施自然是好得没得说。早上的自助餐也不错，不过位置有点偏，在酒店的工作人员介绍下带客户去了一家100米之外的日本餐厅吃晚餐（一般，日本餐馆，认为会比较高档），结果是家快餐式的寿司店，吃完感觉象和女儿吃过麦当劳出来。', '短评打分': 5}
{'短评内容': '位置非常偏僻,周围没什么象样的配套设施,而且价格过贵,世博前通过优悦会预定才600多,现在不含早餐就900多,前台服务态度非常不好,退房所有的客人也是一拥而上,不排对,显的特别乱,这不是客人素质不高,而是饭店管理有问题,在结帐处设几个护栏不就解决了吗?关键是没人这样想,看来住的人多了,管理跟不上了,以后再也不住这个地方了.', '短评打分': 1}
{'短评内容': '卫生设施也还可以，态度不错餐饮还是稍微差些，位置还行。', '短评打分': 5}
{'短评内容': '不错的酒店!很干净!位置也很好!上海酒店的服务意识和管理水平已经达到国际水平.', '短评打分': 5}
{'短评内容': ' 酒店还不错。世博期间也算是性价比较高的了。', '短评打分': 5}
{'短评内容': '酒店服务很好，离世博近。酒店旁有餐馆，用餐多了一份选择。', '短评打分': 5}
{'短评内容': '新开业不久，装修、设施、服务性价比都很高，属于现代感比较好的，值得推荐，酒店位置的话稍显逊色，但是看世博的话就比较适合了，离世博园5号门【中国馆】比较近。', '短评打分': 5}
{'短评内容': '总体来说还是很可以，不过位置不是特别方便。', '短评打分': 5}
{'短评内容': '酒店硬件还行，就是空调差，房间温度平均在27度。\n1， 入住时候前台接待态度差，对本人的外国友人比较殷勤，对中国人“孔雀”眼。\n2， 服务人员全部是年轻人，服务意识差，经验不够。\n3， 洗手间沐浴用品采用硬塑料包装，挤压沐浴露或洗发液时非常容易破裂，划伤手。\n4， 酒店没有人帮忙拿行李和叫出租。\n', '短评打分': 1}
{'短评内容': '帮朋友定的 有点贵 还可以', '短评打分': 5}
{'短评内容': '酒店环境蛮好的，离世博很近！原来经过那,这次住进去感觉不错。', '短评打分': 5}
{'短评内容': '离世博园区近', '短评打分': 3}
{'短评内容': '酒店是新开的，条件可以达到四星标准，就是位置不太好，不过离世博园不太远，价格可不低啊', '短评打分': 5}
{'短评内容': '离世博园区相当较近。', '短评打分': 5}
{'短评内容': '价有所值', '短评打分': 5}
{'短评内容': 'ddddddddd', '短评打分': 5}
{'短评内容': '不错的酒店，比较满意', '短评打分': 5}
{'短评内容': 'not bad', '短评打分': 5}
{'短评内容': '空调有些问题，卫生还行，位置还可以，价格还是贵了，服务态度挺不错的。', '短评打分': 5}
{'短评内容': '空调有些问题，卫生还行，位置还可以，价格还是贵了，服务态度挺不错的。', '短评打分': 5}
{'短评内容': '位置有些偏，周边环境有些空旷.其它各方面条件还不错，硬件和卫生条件都比较好.整体来说是家不错的酒店.', '短评打分': 5}
{'短评内容': '设施有些陈旧，其他感觉都一般化，酒店有停车场，这个不错。', '短评打分': 5}
{'短评内容': '服务员素质不错，彬彬有礼，对待客人很友善，感觉很舒服。', '短评打分': 5}
{'短评内容': '咖啡厅布置的很典雅，咖啡醇香浓厚，自助餐也很棒，物超所值。', '短评打分': 5}
{'短评内容': '酒店是一家豪华型涉外酒店，泳池、温泉应有尽有，很奢华。', '短评打分': 5}
{'短评内容': ' 酒店很新，一如假日的品质，价位稍高', '短评打分': 5}
{'短评内容': '酒店离世博不算太远，可以接受，服务意识很强，服务的也细致周到。', '短评打分': 5}
{'短评内容': '安静,舒服,卫生,遗憾的是菜肴较差', '短评打分': 5}
