{'短评内容': '出差住还是不错的', '短评打分': 4}
{'短评内容': '酒店在江南摩尔，为什么叫江南摩尔我不是很清楚，但是交通很方便。从上海虹桥坐高铁到嘉兴南站，有K97路直接到，终点站就是这个酒店（省了打车钱），周围环境不错。\n酒店房间很大，应该是四星，房间很不错，设施很新，还有就是个小秘密，酒店房间的冰箱里所有东西都免费，只有在第二次在要时收费。很合算，冰箱里东西很多，有巧克力、八宝粥、还有四支软饮。\n酒店早餐人不多，虽然种类谈不上特别丰盛，但是也很多。而且没有什', '短评打分': 5}
{'短评内容': '不错的酒店，位置、交通、饮食都很方便，房间冰箱里面的东西都是免费（还是头一次遇到），不错，后续还会考虑入住。', '短评打分': 5}
{'短评内容': ' 酒店位置很好。很方便。设施也不错。推荐', '短评打分': 3}
{'短评内容': '很多驚喜  兩杯熱飲+  可樂+雪碧+芬達+啤酒+巧克力  免費 ', '短评打分': 5}
{'短评内容': '干净舒适，总体上较好，早餐稍显不足，周围商务配套齐全，值得入住。', '短评打分': 5}
{'短评内容': '房间宽敞，装修精致，干净舒适，周边配套齐全，值。', '短评打分': 5}
{'短评内容': '精致整洁，周边配套齐全，停车方便值得推荐。', '短评打分': 5}
{'短评内容': '礼顿的套房很不错，很干净空间很大，早餐也很丰富', '短评打分': 3}
{'短评内容': '服务不错，酒店设施也不错，位址紧靠江南摩尔，娱乐吃饭都方便！', '短评打分': 5}
{'短评内容': '，环境不错，早餐丰富，地理位置好', '短评打分': 3}
{'短评内容': '房间设施还是不错的，很像大宾馆酒店的感觉。', '短评打分': 5}
{'短评内容': '很好得酒店，以后会一直住这儿得。不错。地点好服务好，就是房间有点老早餐不大好', '短评打分': 5}
{'短评内容': '房間還算乾淨，週遭環境都很方便，下次來還會住', '短评打分': 5}
{'短评内容': '已经第二次入住了，周围用餐购物比较方便，还是感觉很亲切！', '短评打分': 5}
{'短评内容': '很不错，自己也住过，这次给客户定的,边上吃饭逛街都方便。', '短评打分': 5}
{'短评内容': '酒店设施不错，较新，前台服务员很热情，值得入住！', '短评打分': 5}
{'短评内容': '房间很不错，床睡得也很舒服。隔音效果很好，很安静。值得再次入住。价格有些小贵，不过性价比还是不错的。', '短评打分': 5}
{'短评内容': '12月1号入住时，由于酒店的原因，所叫出租等了四十多分钟也没有到，害我火车误点，十分光火。选这酒店也就图个便捷。也没给解决，这次去讨个说法，有个赵主任的总算给个点小安慰，优惠二十元，还说送个果盘。但我只看到一个苹果和香蕉，平时是只有一个苹果的。有点小小不满意的。酒店管理和服务方面还需要加强。', '短评打分': 5}
{'短评内容': '酒店很好、本以为在江南摩尔边会很吵。入住后感觉还好', '短评打分': 3}
{'短评内容': '上次因为酒店原因\u3000，让我误了火车，这次特意过来住下看如何解决，看承诺的能否兑现。虽然他们的解释不是特别满意，有点推卸责任，但找他们赵主任给我优惠了二十元，前台说送份果盆，但好象也没特意送，上次过去是有个苹果，这次多根香蕉而已。', '短评打分': 5}
{'短评内容': '不错的酒店，下次还会入住的，各方面都不错。', '短评打分': 5}
{'短评内容': '住了4天，服务员来搞了三次卫生。每次都没及时补充卷纸，她就当空空的卷纸架没看见，天呐。。。。。', '短评打分': 1}
{'短评内容': '刚进门，一股恶臭，估计是洗手间地漏跑上来的臭气。叫服务员拿几个塑料袋堵上。洗脸台盆下水缓慢。淋浴龙头开打大了水打身上好痛，看来下牌子是乐家的，效果真差。床单东西还算干净，就是棉被好厚重呀，晚上睡觉压的有点喘不过气来。其他东西，有烟缸，没火柴。有针线包的空壳，没有针线。看来上个客人用完之后没有及时补上。看电视，机顶盒不好，看10几分钟之后就机顶盒就死机。叫服务员搞了之后没弄好，后来只能去别的房间换一', '短评打分': 1}
{'短评内容': '地理位置不错，靠江南摩尔，餐饮娱乐也方便，早餐也行。\n唯一不足之处，今早退房后，让酒店帮叫车，说好过来，结果等了我半个多钟头，也没来，让我火车误点了误点了，原本我可以坐别的出租的，考虑到叫过车，说马上到，为了诚信，错过二辆，结果让我到南站误点了。酒店说给我说法，结果现在还没有电话。\n以前我是住君特和财富假日的，都还不错，第一次尝试过去住，也是图方便，结果让我很无语。。。。\n我每周都会到嘉兴去工作的', '短评打分': 1}
{'短评内容': '挺方便的。周边设施齐全，房间也干净，以后出差就住这了', '短评打分': 5}
{'短评内容': '这个酒店一开始遥控器坏掉，晚上10点停电，下水道漏水，关键服务态度还极其恶劣，很不耐烦，是我住过服务态度最差的酒店，送的餐券也基本没用，20元只能抵用指定的价格非常高的套餐，请谨慎预订', '短评打分': 1}
{'短评内容': '第一次用手机预订，没注意之前住过一次。失败啊', '短评打分': 1}
{'短评内容': '房间很好，吃饭购物很方便，在江南MALL城里.', '短评打分': 5}
{'短评内容': '帮朋友订的。听说不错的格局，而且房间还蛮干净的。', '短评打分': 5}
{'短评内容': '走路5分钟不到就是江南摩尔，非常方便，吃饭的地方还是蛮多的。房间挺干净，虽然不大，不过整体很舒服。', '短评打分': 5}
{'短评内容': '简单来说：\n3星的价格、4星的装修、5星的服务。地处嘉兴的江南摩尔商圈，吃喝住行都方便。非常适合旅游人士选择。强力推荐！', '短评打分': 5}
{'短评内容': '环境还可以，房间也很大，就是早餐很一般。', '短评打分': 5}
{'短评内容': 'everything is good for me.................', '短评打分': 5}
{'短评内容': '感觉还是不错，行政房要是能配个电脑主更好了，922房壁纸脱落了也没人修理一下，这个需要改进。。。。。。。', '短评打分': 5}
{'短评内容': '酒店就在江南摩尔边上，购物，吃饭，娱乐都很方便。酒店的大堂不大，门面也不大，但总的来说还可以，如果价格再低一些就更好了！', '短评打分': 5}
{'短评内容': '这家酒店挺不错性价比高', '短评打分': 3}
{'短评内容': '酒店房间大，但是设施普通。早餐不太好，选了半天，只喝了3碗粥\n............................\n\n\n\n\n\n', '短评打分': 1}
{'短评内容': '酒店很大，床还可以，交通也比较便捷，还在沃尔玛边上。就是早餐很一般，希望能再多一些早餐内容...。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还可以，位置在商业区，房间较大，晚上非常安静，适合出差人士居住。\n酒店还可以，位置在商业区，房间较大，晚上非常安静，适合出差人士居住。\n酒店还可以，位置在商业区，房间较大，晚上非常安静，适合出差人士居住。\n酒店还可以，位置在商业区，房间较大，晚上非常安静，适合出差人士居住。', '短评打分': 5}
{'短评内容': '这几年去嘉兴都基本住这家，除非订不到，就喜欢里面干净跟旁边吃饭逛超市买点东西方便，这里早餐还不错，比一般的酒店好很多', '短评打分': 5}
{'短评内容': '278元的房间还是不行，睡得我很不舒服，以后还是不住这类房型了，360的还是可以的', '短评打分': 5}
{'短评内容': '前台的服务态度和星级标准不符，虽然我是12点到达宾馆，但是入住就办理了10分钟，期间前台有聊天的，查看其他事物的，偏偏没人理我的入住手续，这点我觉得非常不应该。\n撇开前台服务质量问题以外，我觉得宾馆其他内容还是相当舒服的，周围的环境，以及个性化的定制都很好，适合商务入住。\n期间最满意的是早餐工作人员的态度，非常到位，前台咋就不给力呢？\n但是我仍会推荐给我的同事，此餐厅，性价比很高', '短评打分': 5}
{'短评内容': '很不错的酒店，就是旱餐还有待提高，下次还住', '短评打分': 5}
{'短评内容': '总体还不错，服务也不错，就是房间有点小！', '短评打分': 5}
{'短评内容': '豪华单间很不错，早餐有待提高，大堂稍小气了点', '短评打分': 5}
{'短评内容': '很不错的一家酒店，设施齐全也很干净，不是第一次入住了，感觉很舒服', '短评打分': 5}
{'短评内容': '在江南摩尔边上，下面就是沃尔玛，购物方面，酒店也不错，性价比较高', '短评打分': 5}
{'短评内容': '价格还可以    后面就是外婆家吃饭也方便   就是房间很旧了  ', '短评打分': 5}
{'短评内容': 'everything is good for me...........', '短评打分': 5}
{'短评内容': '性价比比较高，感觉住起来蛮舒服的，三年来到嘉兴必住的', '短评打分': 5}
{'短评内容': '随便把伱信息公布到网上，艹........................', '短评打分': 1}
{'短评内容': '房間環境不錯，周遭生活機能不錯，有的玩有的吃', '短评打分': 5}
{'短评内容': '还行吧，周边设施比较齐全........................', '短评打分': 5}
{'短评内容': '感觉礼顿酒店还不错，服务热情，环境优雅，干净卫生，价格合理，以后还会考虑来住的', '短评打分': 5}
{'短评内容': '这个酒店门面不大，可是里面设施条件真的不错，性价比很高，值得让大家推荐。', '短评打分': 5}
{'短评内容': '酒店环境不错,装修较新,周围购物也很方便,下次还会住', '短评打分': 5}
{'短评内容': '位置不错！购物，吃饭挺方便！大堂有点小！', '短评打分': 5}
{'短评内容': '设施不错，价格稍贵，酒店位置很好，有送餐服务', '短评打分': 5}
{'短评内容': '周遭生活機能與酒店設施不錯，到嘉興都會到這裡住', '短评打分': 5}
{'短评内容': '酒店位置佳，购物消费很便捷。唯独用餐不方便，必需到外面吃。有时很累想在酒店里就解决了，但是送来的套餐很差劲的，根本不能吃。其它方面还是蛮好的。', '短评打分': 5}
{'短评内容': '被子还好，设施还好，配套还好，唯一也是直接致命的缺点----中央空调不给力，冻死人啊这个，以后绝对不会去住了！', '短评打分': 1}
{'短评内容': '酒店的環境相當不錯，周遭的生活機能也不錯，不論是吃的玩的都在附近很方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还不错，地理位置很好，也还挺安静的~房间里面很干净，就是有根毛巾上有点小黄迹。。。不影响使用。。。\n床很舒服，还会选择这里的', '短评打分': 5}
{'短评内容': '环境不错，住得很舒服，推荐前去住宿！', '短评打分': 3}
{'短评内容': ' 嘉兴性价比最高的酒店', '短评打分': 3}
{'短评内容': '位于中心城区，餐饮购物方便。标间还较宽敞，大床房就略小点。不过免费的饮料还是蛮有诱惑力的。我喜欢。。。', '短评打分': 5}
{'短评内容': 'location is good and room is clean value for $ !!', '短评打分': 5}
{'短评内容': 'this hotel has a very good location its in the new town, just next to a big mall and had a lot of restaurants. The room is nice and clean too!', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '很不错的酒店，房间宽敞，还送热饮 。离 江南摩尔 很近。', '短评打分': 5}
{'短评内容': ' 不错 就是房间有些小', '短评打分': 3}
{'短评内容': '床还舒服，对 得 起 这 个 价  格，边上是摩尔城逛街吃饭购物都挺方便的', '短评打分': 5}
{'短评内容': '还不错！是第二次入住啦！环境可以，吃饭也方便。', '短评打分': 5}
{'短评内容': '这家酒店蛮好的  很卫生  也不贵  附近娱乐的有  吃的也有 这个字 赞！！！', '短评打分': 5}
{'短评内容': '房间舒适 前台服务热情办理入住和退房都很有效率 早餐也较丰富 就是床睡着不怎么舒服 总体来说是个不错的酒店 下次还会入住', '短评打分': 5}
{'短评内容': ' 空调太冷', '短评打分': 3}
{'短评内容': '环境还可以，挺方便的，下次还会给朋友推荐的。', '短评打分': 5}
{'短评内容': '硬件设施和卫生条件都算可以，不过距离南湖远了点。', '短评打分': 5}
{'短评内容': '很不错的商务酒店,下次去嘉兴还会入住,也会向朋友推荐', '短评打分': 5}
{'短评内容': '房间很大，环境不错。下次去还会入住。值得推荐。。。。', '短评打分': 5}
{'短评内容': '住的标间，房间很大，很干净，环境不错。。。', '短评打分': 5}
{'短评内容': '很好的酒店，一直住。就是房价不稳定，一直会变，呵呵。', '短评打分': 5}
{'短评内容': '床很舒服，网速非常快，服务很一般，停车不方便。早餐也凑合。', '短评打分': 5}
{'短评内容': '整体不错，性价比很高，舒适安逸，值得推荐', '短评打分': 5}
{'短评内容': '酒店挺好的，空间也够大，电脑房间的网速也够快，很舒适 ，下次还会去住！', '短评打分': 5}
{'短评内容': '对于这个价格来说，酒店还算可以,服务态度也还可以', '短评打分': 5}
{'短评内容': '位置好，周围很方便，吃饭逛街都方便，房间也很干净，不错', '短评打分': 5}
{'短评内容': '还会再次入住，很干净很卫生，服务态度也很好，值得推荐。', '短评打分': 5}
{'短评内容': '++++++', '短评打分': 5}
{'短评内容': '朋友一家从温州出行回来再次要求入住此酒店,吃饭购物都很方便,酒店也干净,服务也好,说以后回老家再此路过还住这里', '短评打分': 3}
{'短评内容': '朋友一大家八口十一出行温州,在此经过给预定了这个酒店,感觉住的很舒服,性价比也很高,从酒店出行也很方便.', '短评打分': 5}
{'短评内容': '酒店旁边就是一个儿童乐园，里面很多游乐设施，购物也方便，位置不错。 由于去得较晚，给我们最初安排的一个501房间，正对副楼4楼的空调外机组，要求调换到了6楼，稍微好点，但是早上6点多就被机组强大的噪音吵醒，无法入睡，这样的房间应该设为特价房才对。 所以对该酒店印象不好。', '短评打分': 1}
{'短评内容': '标准房面积不大，但是很温馨，设施都很不错，洗具毛巾质量不错。小吧台内饮料免费饮用，还提供睡袍。早餐品种不多，但是餐点味道不错。对于房价绝对物超所值，在嘉兴的此级房价酒店中，我会推荐此店。', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '酒店相对比较干净，可能由于世博最近房价相对较高，周边配套及交通还好。', '短评打分': 5}
{'短评内容': '酒店不太干净，希望能在卫生方面加以改进。', '短评打分': 1}
{'短评内容': '房间够大，设施也蛮好。小的细节做的不错，插头转换的也有，退房的时候电池和充电器忘在房间，服务员给送到前台。不错。就是早餐简单了点。', '短评打分': 5}
{'短评内容': '总得感觉还行！', '短评打分': 5}
{'短评内容': '很是一般', '短评打分': 1}
{'短评内容': '房间较大，安静，位置稍偏', '短评打分': 3}
{'短评内容': '安静，吃饭较方便', '短评打分': 5}
{'短评内容': '酒店设施不错，距离老城区有点远。', '短评打分': 5}
{'短评内容': '总的来说还是值得一住的，设施完善床也很舒服！', '短评打分': 5}
{'短评内容': '很适合商务旅行。早餐稍差一点,主食的质量不好。', '短评打分': 5}
{'短评内容': '酒店旁边的饭店很多，吃了外婆家和江南春天都很好，味道不错价钱实惠。酒店送2瓶矿泉水 三听碳酸饮料，自助早餐一般般，三岁小孩还要加半价的钱13元，这个不是很合理。', '短评打分': 5}
{'短评内容': '江南摩尔商圈，吃住行便利。', '短评打分': 5}
{'短评内容': '水平比其他嘉兴的酒店好。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好，下次去还住这里', '短评打分': 3}
{'短评内容': '还不错`', '短评打分': 5}
{'短评内容': '真的很不错，很满意', '短评打分': 5}
{'短评内容': '强烈推荐，挺好的', '短评打分': 5}
{'短评内容': '这家酒店非常好位置在嘉兴礼顿酒店毗邻江南摩尔和秀洲区政府，价格也很优惠，房间的配置硬件设施舒适度也很达标，卫生服务都非常好，性价比相当高的一家酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '总体还不错，比较好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置不错，房型稍微小了一些，属于精致型的商务酒店，性价比不错', '短评打分': 5}
{'短评内容': '设施不错，但服务感觉就一般了。服务与国内的经济酒店比起来，还是比较差一般的', '短评打分': 5}
{'短评内容': '位置环境不错，就是酒店服务一般，服务员不太主动', '短评打分': 5}
{'短评内容': '地理位置比较好，也还算干净。不过就是相对来讲设施简陋些。', '短评打分': 5}
{'短评内容': '酒店位置很好哦，早饭也挺好的，就是烧开水的那个壶开关按不下去的，总的来说性价比还是比较高的。', '短评打分': 5}
{'短评内容': '室内环境不错，我都住了几次了，但房价有点偏高了点。', '短评打分': 5}
{'短评内容': '有水果，而且房间比较大~', '短评打分': 5}
{'短评内容': '不错的酒店，性价比高，下次去还会住。', '短评打分': 5}
{'短评内容': '总的来说性价比不是很高', '短评打分': 1}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '设施可以,服务优待提高,环境不错.', '短评打分': 5}
{'短评内容': '酒店的位置有些偏了，不过边上有个江南摩尔区很热闹的。还碰上了停电，不过事先通知了，基本没什么影响。', '短评打分': 5}
{'短评内容': '在网上订的，总体来说还是可以的。但离我的最初的想法还是有些距离。\r\n不错的地方：\r\n1.房间、餐厅内部装修很用心，比较时尚，选用的洁具品牌都很有档次；\r\n2.就在江南摩尔里面，吃饭什么都很方便。\r\n需要提高的地方：\r\n1.早餐最好再调整几个品种，给人一些丰富的感觉。\r\n2.服务人员的服务素质有待进一步提高。前台的服务小伙对着保安大声说脏话，服务人员拿着饭盒，直接到餐厅弄自己的早餐，感觉都不是很职业', '短评打分': 5}
{'短评内容': '位置还行，靠近商业区，出行还是很方便的，房间的卫生和设施还不错，服务也可以，整体感觉性价比还是较高的', '短评打分': 3}
{'短评内容': '还是蛮满意的，都第四次来住了。这次早餐比以前的好吃了，虽然老是懒得起来去吃，就是感觉那毛巾什么的太旧了。换点新的就好了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，非常不错，下次去还订这家', '短评打分': 5}
{'短评内容': '住了两次了，第一次比较满意，第二次感觉有点失望了。房间隔音非常差，早上总被外面经过的人啊吵到，后来发现门跟地面之间还有蛮大一段空隙。而且住的房间马桶坏了好几次，找人来修。房间的面积也没有第一次的大。现在预订了28号到31号的，最好能安排第一次的房间，我记得是638，只能看运气了', '短评打分': 3}
{'短评内容': '已经住了好几次了，交通比较方便，周围比较热闹，超市、商店、饭店、电影院等都有，内部设施也比较好，服务好，早餐还可以。本次入住正好是当月生日，免费升级、水果礼蓝、再加上免费矿泉水和3听饮料，实在是很合算。毛巾漂得再白一点更好，这次住的房间，淋浴龙头不太好，望能经常检修更换。', '短评打分': 5}
{'短评内容': '地段好,性价比高.', '短评打分': 5}
{'短评内容': '大概是新的前台接待，非常混乱，效率慢', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 3}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '服务还行，当时住了一晚，还比较舒适，价格方面一般般吧，适中 ', '短评打分': 3}
{'短评内容': '是第二次入住，房间没第一次大，但是总的来说很满意。首先我喜欢早餐，虽然都基本错过时间，有很多蔬菜的。设备齐全，有小冰箱，对于这个价位很不错了。酒店旁边设施很齐全，电影院超市购物中心美食街都有，外婆家更是实惠好吃。卫生也很好，满意', '短评打分': 5}
{'短评内容': '不错，房间设施很好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务和位置都很不错\r\n周边配套设施也不错', '短评打分': 5}
{'短评内容': '酒店硬件还可以,但五楼客房和餐厅连在一起,噪音大,影响休息.', '短评打分': 3}
{'短评内容': '地理位置还可以,附近有大型购物中心,吃饭和购物很方便,但价格应该在200元就好了.', '短评打分': 5}
{'短评内容': '相对这个价格来说各方面都很不错，早餐有点单调。', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '设施还可以，只是前台的小姐好像没有培训过既没有礼貌又不会说话，说话伤人，下回不去了。', '短评打分': 1}
{'短评内容': '酒店非常不错，服务周到，干净，特别是早上起来发现对面的小区环境非常不错。安静，价格合理，唯一不足一点是前台大厅小了点。', '短评打分': 5}
{'短评内容': '酒店环境还是不错的,就是价格稍微有点高,其他方面都都挺好的,周围交通也蛮方便的,还是比较满意的.', '短评打分': 5}
{'短评内容': '酒店的服务很好，地理位置也不错，交通很方便，而且酒店的价格也不太贵', '短评打分': 5}
{'短评内容': '酒店各方面感觉都还是挺不错的，房间住着也比较舒适，而且当时的价格也很合理，挺满意的', '短评打分': 5}
{'短评内容': '相对这个地方来讲,这家酒店还是蛮干净的,房间也有一种很清爽的感觉,酒店不是在市中心,所以这个价格就有些贵了', '短评打分': 5}
{'短评内容': '住宿环境还可以早餐也不错，就是位置不太好，打车不太好打', '短评打分': 5}
{'短评内容': '\r\n  ', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '作为商务酒店,房间装修设施应算不错,较舒适;背靠嘉兴最大的商城区,餐饮购物蛮方便,还有嘉兴最好的电影院;性价比还不错', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '很 不 错 的 酒 店 .环 境 很 新 ,房间 很 大 ,我 住 的 标 准 房 ,288的 价 位 ,很 舒 服 ,里 面 很 简 洁 ,下 了 高 速 才 走 了 一 会 就 到 了 .隔 壁 有 个 商 场 ,可 以 去 逛 逛 .不 过 早 饭 品 种 有 点 少 .&lt;br /&gt;\n下 次 来 还 会 住 这 .', '短评打分': 5}
