{'短评内容': '位置还可以 就是比较难找 卫生不说了...窗帘都发霉了', '短评打分': 3}
{'短评内容': '总体不错!就是走去要爬些坡.有些累,但还是值得推荐!\u3000', '短评打分': 3}
{'短评内容': '地点很方便啊，离火车站、栈桥都很近，坐车很方便。而且刚来时由于不认识路，晚上11点了老板还来开车接我们。除此之外，旅馆很干净价格公道，而且外面风景很好，老板人很热情的。住在这里是一个不错的选择啊~', '短评打分': 5}
{'短评内容': '真的很不错，房间虽然小点，但是很干净，感觉很温馨，真的有回家的感觉，下次来还住这', '短评打分': 5}
{'短评内容': '到的比较晚，打电话问怎么去的时候老板立马来接了，真好。位置也很好，就在德国建筑群 里，满意的。', '短评打分': 5}
{'短评内容': '服务态度好好，感觉温馨~就是房间潮潮的，房间小了些~~~~~', '短评打分': 5}
{'短评内容': '1，地点很好，‘栈桥’车站附近，去各大景点乘车都很方便，而且基本上都不用倒车！\n2，店主的阿姨，叔叔，大爷都很好哈！想去哪个景点问他们，他们基本上都知道并告诉你坐几路车怎么走哈，而且很有耐心！但请不要问什么犄角旮旯的地儿为难阿姨叔叔哦*—*\n3，我住的是单人间，两晚。不错，干净，热水洗澡，安静，安全。\n还有什么泥，哦，对了，我结账时要额外给阿姨钱，因为借宾馆的座机给青岛的朋友打了几分钟电话，但阿姨', '短评打分': 5}
{'短评内容': '非常满意，旅馆周围环境静谧，馆内硬件设施齐全先进，卫生也相当好。价格实惠，店家的服务态度非常好。如果有朋友来青岛，建议你们下榻家一般的年年红招待所！！！！', '短评打分': 3}
{'短评内容': '很好，很满意，老板人很和善。对于66元的特价房，说实话，真的是好的超出我的预想。空间很大，卫生间空间也很大。床是那种大床，可以睡双人的。总体的感觉就是应该是100以上的价位，但是66元特价就能入住了。非常满意。环境很好！而且最重要的是离海岸线很近，旅馆出去后向下走左拐就是栈桥海边了，也意味着离火车站很近，基本上到了青岛走走路就能落脚了，然后就出去玩吧。我非常推荐这家店。', '短评打分': 5}
{'短评内容': '房间虽然很小但是很整洁，卫生间也很明亮宽敞，床铺很柔软，电视也很大。店家十分的热情，我们提前到了，店主也帮我们安排好了房间，由于身上没带太多现金而且刚刚安上POS机不能刷卡，店主也很宽容的表示我们先去玩，回来再给钱也行。就是房间的隔音效果不是很好', '短评打分': 5}
{'短评内容': '交通比较便利，周围设施齐全，外观看起来像个农家小院，里面的装修温馨细致，总体感觉不错。', '短评打分': 5}
{'短评内容': '青岛年年红招待所干净也清静，离火车站和栈桥很近，在德国建筑群区，很漂亮。下次来青岛还住这里。', '短评打分': 3}
{'短评内容': '免费去火车站接，而且房间很整洁，热水也很好。服务特别热情周到，下雨还借伞。总之房间性价比很高。特别值，力荐。我们住的是810房间，设备齐全，特别好。', '短评打分': 5}
{'短评内容': '舒适干净，服务好！\n签名:栾书鹏', '短评打分': 3}
{'短评内容': '真的很不错的酒店 店家很热情 这次回去 还打算住在这里 强烈推荐 O(∩_∩)O~', '短评打分': 5}
{'短评内容': '经济实惠，环境比较好，而且离栈桥非常近，店家的态度也比较好，希望下次来青岛时再来入住！', '短评打分': 5}
{'短评内容': '挺好的  很喜欢 服务态度好   房间设置挺满意   看着舒心  下次还来', '短评打分': 5}
{'短评内容': '小酒店位置不错，在德式建筑附近，带孩子来六中考试，还是比较方便。小是小点，这个价格不错了，里面也挺干净的，拍了不少里面、外面照片照片，上传估计还是不能给显示就不费劲了', '短评打分': 5}
{'短评内容': '这家宾馆，感觉相当不错，挺温馨的，而且离火车站也不远，去台东也方便，店主很热情', '短评打分': 5}
{'短评内容': '酒店条件非常好，比我住的如家汉庭还要好，价格也很便宜，下回来青岛我还住这店。', '短评打分': 5}
{'短评内容': '酒店真的很不错，好像是一家人开的，服务没的说，地理位置也很方便，下次到青岛还会选择', '短评打分': 5}
{'短评内容': '店家服务态度很好，非常热情，虽然外观不起眼，不过旅馆内部环境不错，装潢的挺漂亮，稍稍适合全家出游的旅客居住，房间收拾很干净，性价比非常高~~值得入住。', '短评打分': 5}
