{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还行，单标有电脑，较方便。周边环境还可以，到哪都方便。', '短评打分': 5}
{'短评内容': '酒店其实和普通的没什么两样，就是早餐很不方便！！！\n咨询前台要加早餐，前台小姐说，因为我是散客，所以不能预订自助早餐。只有旅行团的才有！！只能单点，吃什么买什么。\n这叫什么讲法？！虽然早餐味道做的不错，但是这样的收费规矩很不合理！！！难道这家酒店按正常价格付钱的客人？？？\n', '短评打分': 1}
{'短评内容': '酒店很好，房间很干净，下次来海口还住这里。', '短评打分': 3}
{'短评内容': '，房间一般，不过还卫生', '短评打分': 3}
{'短评内容': '酒店4星，设备属3星水平，客房不少，但电梯只有二部。房间被子潮湿，有些许霉味。价格不高，物有所值', '短评打分': 5}
{'短评内容': '挺好的，床很舒适。', '短评打分': 3}
{'短评内容': '酒店外表不错很气派，房间还是一般般，不过价格属于公道，还行~', '短评打分': 5}
{'短评内容': '这家店在海口是四星的配置，卫生还不错，但是房间有股烟酒味，位置在市区的繁华地带，毗邻海口的警备区，所以治安非常不错，旁边有特产专营店，距离明珠广场和电影院只有两三个公交站的距离，交通非常便利，大堂的接待服务态度不错，装潢也蛮好的，西餐厅会有钢琴演奏，中餐厅没机会尝，连着两天都有人在筹办婚礼，所以不知道味道如何，推荐入住', '短评打分': 5}
{'短评内容': '价格不贵,房间设施一般,大圆房比较舒服但靠近马路有点吵,早餐自费早茶,食物中规中举,晚上生活比较丰富...', '短评打分': 5}
{'短评内容': '价位适中，服务态度好。附近就有家乐福超市，购买土特产很方便。总体感觉不错。', '短评打分': 5}
{'短评内容': '服务员态度优良，值得推介，不买会员卡都不行啊，下次来再买。4星标准', '短评打分': 5}
{'短评内容': '酒店位置很方便，房间性价比很高！', '短评打分': 3}
{'短评内容': '价格适中，床垫很舒服，环境优美，服务态度也不错，交通便利。', '短评打分': 5}
{'短评内容': '不错啊，房间挺干净，服务员态度也很好，价格也不贵，就是地方稍稍偏了点，下次去还会住', '短评打分': 5}
{'短评内容': '酒店还不错。', '短评打分': 3}
{'短评内容': '酒店很旧，房间里有股霉味，总体来说很一般。', '短评打分': 3}
{'短评内容': '整体感觉不错，但对面楼顶上的两个冷却塔水泵开启和关闭时噪音很大，很吓人，像是有人拆墙，希望能够维修。', '短评打分': 3}
{'短评内容': '感觉一般般啦   200多块在海口 可以找到更好的', '短评打分': 1}
{'短评内容': '酒店有点民族风情的感觉，还不错，就是房间隔音效果太差了！', '短评打分': 5}
{'短评内容': '从房间布局与卫生条件来看，总体是很不错，网速也很快。价格在这里订算性价比高的啦。', '短评打分': 5}
{'短评内容': '综合评价为优', '短评打分': 3}
{'短评内容': '周围交通方便。 客房环境也是非常不错。每次去海口都会去的酒店。 值得推荐', '短评打分': 5}
{'短评内容': '赛仑吉地大酒店位置不错 早茶有特色 房间性价比较高 但空调系统有异味', '短评打分': 3}
{'短评内容': '赛仑吉地大酒店 服务感觉不错 但空调系统有异味', '短评打分': 5}
{'短评内容': '非常好的一家四星级~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '4星标准的酒店，198，很不错了。\r\n虽然没有什么美丽的风景，洗手间差了点点。\r\n但是总体觉得很不错。', '短评打分': 5}
{'短评内容': '感觉蛮舒适的，就是位置有点偏了，不过整体还行&#183;&#183;', '短评打分': 5}
{'短评内容': '离华深最近的一个酒店，挺不错的。', '短评打分': 5}
{'短评内容': '位置很好，楼下早茶也好吃，就是床太软', '短评打分': 5}
{'短评内容': '酒店的位置在市中心，但是出门想随便找点吃东西的地方要走到明珠广场附近，打车就一个起步费，走路也不是很远，只要能忍受龙昆路桥和海秀路上的车流和桥下的灰尘就可以了。酒店隔壁就是部队，一大早就能听到喇叭里传出的军号声，倒是可以不用闹钟。在此强调一下酒店的隔音实在太差，第一天兴冲冲的入住，没想到楼上房间走路的声音，走廊里时不时传来的手机铃声和说话声，隔壁房间电视的声音折腾的我一晚上都没睡好，半夜十二点决定', '短评打分': 1}
{'短评内容': '我觉得酒店环境还可以，就是位置有点偏，但是去机场比较方便，有公交车，价格还可以 ', '短评打分': 3}
{'短评内容': '价格合理，性价比高，位置也不错', '短评打分': 5}
{'短评内容': '我认为环境不错，比我想象中的要好，出门在外住酒店主要是舒适，这家酒店满足了我的要求', '短评打分': 3}
{'短评内容': '酒店还不错,各方面感觉都挺好的,服务也很热情,性价比蛮高的.', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的，周边环境也挺好，交通也挺方便的，整体感觉价格还是蛮实惠的。', '短评打分': 5}
{'短评内容': '除了位置不太好，交通不太方便的，其它方面还是不错的，价格也蛮合适的。', '短评打分': 5}
{'短评内容': '新酒店设施舒适，整洁，下次去还会住', '短评打分': 5}
{'短评内容': '价格优惠，星级设施和服务', '短评打分': 5}
{'短评内容': '酒店的外边看起来很好,里面环境太差了,环境硬件设施也不是很好,主要是设施太陈旧了.', '短评打分': 5}
{'短评内容': '酒店挺好的,服务很周到,房间也蛮干净的,价格也不贵', '短评打分': 5}
{'短评内容': '早餐质量太差,比如家、锦江之星差二个等级，建议早餐提到十到十二元，增加品种。', '短评打分': 3}
