{'短评内容': '不能加床', '短评打分': 4}
{'短评内容': '说是四星，未见挂牌。房间面积太小，服务一般，饭店外卖价格能承受（可乐5元）。自然环境非常好，空气质量非常棒，堪称自然氧吧，漫山遍野的映山红非常漂亮。房间卫生状况还行，被子、床、卫生间都比较干净，有些边边角角卫生状况仍有待提高。早餐还行。无空调设备，晚上还行，不热甚至有点凉，白天还是有点热。三人跃层房间阁楼的护栏偏低，有小孩的驴友入住要注意教育小孩，避免意外，我们的孩子就发生从楼梯护栏摔下的不幸，好', '短评打分': 5}
{'短评内容': '环境不错,设施也可,星级服务跟不上.', '短评打分': 3}
{'短评内容': '带个Mm 渡假不错，价格高了，里面的东西小贵，外面还在施工，略显脏。', '短评打分': 5}
{'短评内容': '酒店靠近风景区而建，周边环境特别好，空气清新，室内装潢的不错，服务很好，酒店在大别山旁边，有个小镇，出行还是很方便的', '短评打分': 5}
{'短评内容': '酒店的服务很好，很人性化，房间硬件设施很齐全，比如健身房，游泳池，篮球场都有的，卫生条件不错，各个角落打扫的很干净，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店位置是挺好找的，房间也很不错装修的风格也很不错，服务还行吧，但是价格可能节假日期间倒是挺贵的，环境是挺不错的。', '短评打分': 5}
{'短评内容': '酒店住着蛮舒服的，服务很到位，有什么事服务员都比较热情，房间卫生条件很好很干净，住着还是蛮舒服的', '短评打分': 5}
{'短评内容': '酒店依山傍水，环境很好，空气清新，早上能听到鸟叫，在那里可以吃到野菜，卫生和服务也都很好', '短评打分': 5}
{'短评内容': '这家酒店最大的特点是位于大别山景区内，有着良好的天然环境，加上设计者的巧思，让人第一眼觉得非常满意。人不可貌相，酒店也不可只看外观，入住以后只有一个字--差！从霍山县到酒店的车子每天就一班，而且要到下午一点才发车，坐了三个小时的车子后，进入酒店总台还有五分钟路程，更离谱的是手续完成以后没有服务生帮忙，要自己提着很行李再走十分钟的山路才能到房间。别以为灾难就此结束，跃层式的房间居然底层是个厕所，阁楼', '短评打分': 1}
{'短评内容': '酒店周边环境很好，空气很清新，内部环境也很干净，很适合休闲度假。', '短评打分': 5}
{'短评内容': '服务很热情周到，环境干净舒适，饭菜也很可口，住的很舒心。', '短评打分': 5}
{'短评内容': '服务很好，很人性化，也很细心很周到，可以给个满分。', '短评打分': 5}
{'短评内容': '服务很周到，卫生打扫的很干净，周边环境幽静安静，住的很舒适。', '短评打分': 5}
{'短评内容': '这里很适合度假，空气很好，配套设施也很齐全，游泳、健身都有，住的很开心。', '短评打分': 5}
