{'短评内容': '小谷很好，服务很好！', '短评打分': 5}
{'短评内容': '距离南站很近，很方便，对于没赶上末班高铁的人来说，更是方便，价格偏高，硬件还可以。', '短评打分': 5}
{'短评内容': '很好，第N次订了，物廉价美，是去长隆的很好的酒店选择', '短评打分': 5}
{'短评内容': '还行吧 就是冷气不怎么冷.去长隆度假中心很近 就是打车不方便', '短评打分': 5}
{'短评内容': '环境不错 前台服务态度很好 房间干净舒适 他家的炒牛河很好吃 ', '短评打分': 5}
{'短评内容': '不错，总体良好，不过建议那个价格牌随时更新价格。', '短评打分': 5}
{'短评内容': '位置便利、距离长隆动物园和欢乐世界很近，打车也方便。\n就是住的当晚10楼太吵。。。不晓得原因', '短评打分': 5}
{'短评内容': '非常好！比昨天的珠海六合假日酒店好的多！', '短评打分': 3}
{'短评内容': '很不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺好，房间蛮舒服的', '短评打分': 3}
{'短评内容': '这家的价格较高，总体感觉很不错，房间配置都向四星级酒店的靠拢，下面有饭店、超市，很方便。服务员查房也很快。', '短评打分': 5}
{'短评内容': ' 大床房环境好，有车送长隆', '短评打分': 3}
{'短评内容': '服务很好 自助早餐也不错  房间隔音很好 很安静！  设施也很新颖，  如果放香皂的玻璃台能多放一个就好了', '短评打分': 5}
{'短评内容': '这个酒店不错，很好。', '短评打分': 3}
{'短评内容': '好！！！就一个字！！舒服 干净 豪华 方便 ！！性价比极高！！去长隆才10分钟，比那些高级酒店好太多了！！！', '短评打分': 5}
{'短评内容': '这是一家性价比很高的酒店，装修豪华而时尚，床品也很舒服，离长隆公园就2站路，交通很方便，附近配套也很完善，酒楼，超市都有，下次有机会还会住在这里的', '短评打分': 5}
{'短评内容': '因为去长隆玩，所以定的这家酒店，酒店设施很好，装修还很新，交通也很方便，去长隆打的不过14元车费，坐公车也很方便，三站就到，酒店旁有超市，肯德基，购物也很方便，强力推荐', '短评打分': 5}
{'短评内容': '真是五星的服务,五星级的环境,二星级的消费!下次还入住!', '短评打分': 3}
{'短评内容': 'It is a good hotel. The hotel facilities are clean, tidy and safty. I compared with other hotel in Panyu area. It is a reasonable price. But this hotel is very very busying. She cannot accept late to ', '短评打分': 5}
{'短评内容': '环境挺不错，比较安静。酒店有4星级，很干净。交通很方便，去长隆玩很近', '短评打分': 5}
{'短评内容': '酒店很新，装修不错，房间也很大，早餐正好赶上一个旅行团，基本没吃到什么，酒店说准备不足，汗。。。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '每次出差都选这里，酒店宽敞干净，价格实惠，吃饭消费也超级方便。', '短评打分': 5}
{'短评内容': '帮同事订的，同事很满意，说房间很漂亮，性价比很高。', '短评打分': 5}
{'短评内容': '一级棒！服务太好了！房间大，花洒正！豪华大床房！空调够冷！房间太漂亮了，比我想象中好太多了！交通方便！出门坐的士15元到长隆！！楼下有肯德基！斜对面的木桶饭蛮好吃的！！细心的有蚊香，有闹钟，太好了！很干净！还有保险柜也是很细心的！！', '短评打分': 5}
{'短评内容': '对于这个价位 环境设施有点出乎我的预料 比我预想的要好的多', '短评打分': 5}
{'短评内容': '性价比很好，住起来非常的舒 。 入住该酒店去番禹玩特别方便 。是个不错的选择。', '短评打分': 5}
{'短评内容': '1、总的评价：不错，推荐！\n2、酒店：设施完备、装修精致、感观不错，卫生条件较好，缺点是淋浴间易渗水到卫生间，一地水，不方便；\n3、餐饮：未在酒店就餐，酒店出门左转是家较大的超市，一楼是麦当劳、肯德基，出门右转有家不错的餐馆，味道正宗、服务还行，这几天早、晚餐都是在这吃的，豆腐和鱼做得相当地道；\n4、交通：最方便的还是公交车，打的士则可说是相当不方便。从酒店到长隆，出门左转100m公交站坐10A线', '短评打分': 5}
{'短评内容': '房间很干净，装修也比较大气、漂亮，免费停车，酒店门口就有超市、KFC和M记，真的好方便，很满意', '短评打分': 5}
{'短评内容': '环境很好 相识4星酒店 酒店旁边有我爱吃的夜宵 呵呵', '短评打分': 5}
{'短评内容': '还不错,卫生最重要,离地铁站也比较近,附近就有KFC跟M记', '短评打分': 5}
{'短评内容': '地方有点偏，不太好打的。但在番禺也只能这样。酒店的环境还可以。', '短评打分': 5}
{'短评内容': '舒适。。。价格合理，交通方便。。。服务还可以，周边好玩的地方多。。。', '短评打分': 5}
{'短评内容': '不错，环境舒适，干净，离车站近，附近也有吃东西的地方。', '短评打分': 5}
{'短评内容': '房間很舒適，早餐就一團糟了，服務員不夠，好不容易找到桌子坐下，沒服務人員收餐盤，還得找服務員，連續3個早上，晚餐去吃了牛排，天阿，應該是炸牛排...難以下嚥...', '短评打分': 1}
{'短评内容': '交通不方便.........................................', '短评打分': 1}
{'短评内容': '挺方便的，感觉不错,去长隆住这 比较方便，酒店也比较新', '短评打分': 5}
{'短评内容': '酒店硬件不錯，房間不錯。當洗澡時，水會從浴室流出房間走廊。', '短评打分': 5}
{'短评内容': '酒店装修很现代，房间很舒适，超过了期望值，感到很满意。', '短评打分': 3}
{'短评内容': '酒店不错，靠近广州南站，周边餐饮很方便，酒店的服务非常好', '短评打分': 5}
{'短评内容': '挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的', '短评打分': 5}
{'短评内容': '酒店环境不错，房间内配套设施比较齐全，但是酒店附近环境一般', '短评打分': 5}
{'短评内容': '＋被子单一（太厚），应厚薄皆备更加合理！', '短评打分': 5}
{'短评内容': '房间很干净，就是坐车有点不方便。到祈福食街倒是近。', '短评打分': 5}
{'短评内容': '以后还会再住，环境不错交通方便，服务态度良好。', '短评打分': 5}
{'短评内容': '酒店环境倒还好但是交通不是很方便那个地方没有车也没有多条公交线路选择但是酒店还有有点好处那边有私家车因为离长隆乐园还是非常近的可以先预定好车然后来回接送价格也很便宜的，房间还不错卫生设施这些都还挺好，服务态度价格都很不错。', '短评打分': 5}
{'短评内容': '酒店入住积分', '短评打分': 5}
{'短评内容': '房間清潔, 服務整體不錯, 早餐時服務較混亂, 食物補充不夠快', '短评打分': 5}
{'短评内容': '卫生还可以但是设施相对有些稍微陈旧，酒店不是很大，性价比还可以，服务态度还是挺不错的。', '短评打分': 5}
{'短评内容': '很好的一家酒店。环境装修都很好，很满意。以后还会入住', '短评打分': 5}
{'短评内容': '酒店的位置挺方便离新建的广州南站还是比较近而且附近还有公交车去南站交通是很方便的，卫生设施都很好，价格也比较合适。性价比还是蛮不错的。', '短评打分': 5}
{'短评内容': ' 很新的酒店，高雅，现代，卫生，舒适。住的行政房，卫生间宽敞洁净。房价贵点，350可接受。等电梯要较长时间。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 5}
{'短评内容': '酒店还是比较新的设施蛮好，位置也很好找的。价格倒还是有些偏贵了，服务还行。因为也是新酒店价格还是有些高要是以后再去的话还是希望价格可以再便宜一些就好了。', '短评打分': 5}
{'短评内容': '离广州南高铁站很近！各方面都很方便！旁边就有一个大型超市和商业街，ＫＦＣ仅一街之隔！', '短评打分': 5}
{'短评内容': '服务还可以早餐提供的不是很好，不过酒店的环境还不错房间还可以设施还是挺新的，而且周围像吃东西啊逛街购物啊都是很方便的，位置还行离火车南站也挺近的。感觉还是挺不错的。', '短评打分': 5}
{'短评内容': '酒店的性价比还是比较高的，配置设施基本达标。', '短评打分': 5}
{'短评内容': '環境很乾淨很舒適但是空調不冷,吹了一晚還是不冷!而且隔天早上八點多開始斷斷續續停電本來想說待到中午再退房可以停電機率太高待不下,十點多就退房了!更慘的是九點十幾分去二樓吃早餐,那裏好像剛被一群餓鬼掃過一樣~桌上亂七八糟,取餐點地方東西沒了也沒及時補上還有用過的杯.碗.餐點放在那也沒見服務員收拾乾淨!吃完要回房時又遇到停電等了十幾分電梯還是不能用,結果居然一口氣爬上8樓= =!!', '短评打分': 5}
{'短评内容': '整体来说，各方面都很不错，性价比也很高，就是在番禹离市区比较远，打车不方便，不过要是出差到番禹的话还是很合适的', '短评打分': 5}
{'短评内容': '酒店的卫生还不错，房间看上去干净整洁。', '短评打分': 5}
