{'短评内容': '还行！离景区近，方便！', '短评打分': 5}
{'短评内容': '还不错，很安静，应该是说在台怀镇也就是五台山住景区的东南方向，后面就是山，有免费早点，就是所有的房间好像都没有屋顶灯。窗户很大，整个楼是坐东朝西的，服务态度很好，而且从网上订真的便宜很多，继续支持哦。', '短评打分': 5}
{'短评内容': '五台山福泰山庄还不错，服务也很好，老板很热情，我们天不亮去五爷庙，老板还给找来手电筒，很感谢', '短评打分': 3}
{'短评内容': '五台山福泰山庄出路很方欣.刚搭车到台怀镇汽车站打电话到山庄张经理就开车来接很热情.房间也很干净!', '短评打分': 3}
{'短评内容': '还可以的，早餐免费，量足够，就是被子有点潮', '短评打分': 5}
{'短评内容': '很好找离景点不是特远，环境很好，卫生很干净，服务态度很好，很干净', '短评打分': 5}
{'短评内容': '服务一般，态度友善，热水优秀，在五台山算是可以接受得了 \n', '短评打分': 5}
{'短评内容': '位置比较方便，也挺干净整齐，不错！值得推荐。', '短评打分': 5}
{'短评内容': '卫生条件太差，食物有异味，不退不换，态度蛮横。房间设施不完备，缺这少那。', '短评打分': 1}
{'短评内容': '非常后悔订了这个酒店，设施简陋，床腿断了没有修，房间没有电话要满楼喊服务员，毛巾很旧很破，床垫是塌的，停车位有四五个，不在大路旁，开车进去路好差。唯一好的是楼后的餐厅不像镇里的乱宰客，公道实惠，比较干净卫生。', '短评打分': 1}
{'短评内容': '热情的店家，但是卫生清整不是太及时。希望能够主动一些。', '短评打分': 5}
{'短评内容': '性价比较高，距离景点都很近，环境还算不错。', '短评打分': 5}
{'短评内容': '福泰山庄，这里服务很好，房间还可以，每个人都热情,经济实惠的酒店', '短评打分': 5}
{'短评内容': '房间还说得过去，餐厅不贵，对得起这个价格', '短评打分': 3}
{'短评内容': '房间装修还可以,卫生间门关不合,洗澡会把卫生间地板全是水,一进酒店有一股异味,到汽车站和酒店联系派车来接,早餐还过得去,在五台山一百八十元一晚送早餐还算可以.7月5日至7日住两天.', '短评打分': 5}
{'短评内容': '旺季价格有点贵，其他设施还可以，就是卫生间地漏有点堵，\n10元早餐吃到饱，还不错，\n如果在外面吃饭，推荐八大碗，强烈不推荐五台山食府，黑店！', '短评打分': 5}
{'短评内容': '已入住福泰山庄，这里服务很好，房间整体还可以，每个人都热情。', '短评打分': 3}
{'短评内容': '酒店服务还可以', '短评打分': 3}
{'短评内容': '还可以吧，在五台山180元的价格住这样的家还行', '短评打分': 5}
{'短评内容': '条件一般，毛巾太湿', '短评打分': 3}
{'短评内容': '东西有点旧 屋子太潮了  3楼水龙头的水太小了 他们说是压力的原因 嗯 其他的还好吧  ', '短评打分': 5}
{'短评内容': '在台怀镇来说算是经济实惠的酒店，但厕所地漏设计有问题，导致洗澡之后容易产生积水，给客人带来不便', '短评打分': 5}
{'短评内容': '酒店设施老，距离景点倒是比较近，吃住都很一般，酒店被子太潮湿了。', '短评打分': 1}
{'短评内容': '服务一般，态度友善，不必买香，路上便宜，热水优秀，在五台山算是可以接受得了', '短评打分': 5}
{'短评内容': '这家宾馆总体来说还OK,有很多旅行团入住，也有不少自驾游客。地理位置不错，走不远就有旅游大巴的乘车点。不过还是要说说缺点：\n我住的是1楼的房间，不向阳，比较湿冷，被子也不是很干爽的感觉，不过服务员说五台山的天气就是这样子，我也不清楚确实原因。\n只有晚上有热水洗澡；无线网络很多时候挤不上；卫生间的地漏不是很去水，洗完澡地面的积水有1CM以上。\n五台山的消费有点高啊，如果能再实惠一点就好了。', '短评打分': 5}
{'短评内容': '环境还可以、态度还好、饭的味道还好', '短评打分': 3}
{'短评内容': '＋房间还算干净，有车可以免费接送', '短评打分': 3}
{'短评内容': '还算不错吧，第二天早上和晚上关于停车问题闹了点不愉快，不过还好店家及时解决了。在这提一下餐厅的一个小姑娘服务真的不错，还有整个台怀镇的饭菜都挺咸的，口比较轻的驴友们一定记得要厨师把饭菜做淡点。', '短评打分': 5}
{'短评内容': '评价优！', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '性价比高，停车方便.......................', '短评打分': 5}
{'短评内容': '环境不错很安静，离车站和景点都超近，老板也是非常热情的，早点免费还管接送。超值了，再来还住这。', '短评打分': 3}
{'短评内容': '已入住满意。谢谢!', '短评打分': 3}
{'短评内容': '环境不错  距离大白塔很近 离镇中心也很近  老板人相当好！', '短评打分': 5}
{'短评内容': '比想像中好，卫生整洁，安静，位置也好，餐厅吃的很舒服。', '短评打分': 3}
{'短评内容': '酒店还算干净，不过餐厅不太卫生，菜里有异物。', '短评打分': 5}
{'短评内容': '白天是没有暖风的，只有晚上7点以后会有，而且中间还会停一段时间，总之让人觉得很冷。洗澡水也是温的', '短评打分': 1}
{'短评内容': ' 酒店服务周到，靠近马路的房间有点吵。总体不错。', '短评打分': 3}
{'短评内容': '  酒店服务还可以，但设备太陈旧，与价格不相符。', '短评打分': 5}
{'短评内容': ' 酒店设施老化，热水、暖气不好，但老板人比较热情', '短评打分': 5}
