{'短评内容': '对于要乘机场大巴的客人还是不错的 。 有机会下次还会住的。', '短评打分': 5}
{'短评内容': '环境还比较好，交通比较方便，最主要是靠近华润万家，买东西什么的很方便，就是房间的窗户太小，总让人觉得有点压抑', '短评打分': 5}
{'短评内容': '房间所小，不过还是挺 不错的 因为我住的是最小的一间，不过里面什么都有，而且退房的速度是相当的快，地理位子也不错，吃的玩的都方便，超市就在楼下，很不错', '短评打分': 5}
{'短评内容': '很不错,干净卫生', '短评打分': 3}
{'短评内容': '服务态度特别好，房间也很干净很大。以后每次回来都会住这里！！！', '短评打分': 5}
{'短评内容': '房间太小，10点半以后，周边找不到能吃饭的地方，太可怕了，', '短评打分': 1}
{'短评内容': '很好，超级干净，服务态度巨温柔，下回就住这！', '短评打分': 3}
{'短评内容': '总体还行  没有吃完饭的地方，附近吃饭也不方便。价位比较高', '短评打分': 5}
{'短评内容': '定的家庭房，房间大，很舒适，\n因为临街有点吵,另外入住的第一天网络老断线', '短评打分': 5}
{'短评内容': '已入注', '短评打分': 3}
{'短评内容': '接待人员服务态度很一般，整个人懒懒散散的，不过酒店配套还是听完全的。', '短评打分': 5}
{'短评内容': '我喜爱', '短评打分': 3}
{'短评内容': '位置不错，整体尚可。早餐简单了点，毛巾、浴巾有点旧。', '短评打分': 5}
{'短评内容': '房间大小还可以，服务员蛮热情的，但窗户太高，相当于没有。', '短评打分': 5}
{'短评内容': '前台服务态度蛮好的，只是降温时房间冷极了', '短评打分': 5}
{'短评内容': '整体比较好,干净,舒适,但是浴巾,毛巾要是能再新一些就更好了', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 3}
{'短评内容': '总体不错，就是窗户小。', '短评打分': 3}
{'短评内容': '房间很干净 服务也可以 位置不错 值得推荐', '短评打分': 5}
{'短评内容': '服务很到位  快捷  晚上12点钱到店的 仍然留有房间  房间也很干净 ', '短评打分': 5}
{'短评内容': ' 房间窗户比较小,其他都还行 ', '短评打分': 3}
{'短评内容': '服务周到，干净没噪音，只是由于供暖已停，降温导致房间温度有点低', '短评打分': 5}
{'短评内容': '还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧还行吧', '短评打分': 5}
{'短评内容': '两部电梯只开一部，等待时间长，房间内暖气不足有点冷', '短评打分': 5}
{'短评内容': '酒店服务质量很好，交通便利，是个值得信赖的酒店。', '短评打分': 5}
{'短评内容': '汉庭的一贯标准，干净。服务态度也还可以。周边环境尚可。', '短评打分': 5}
{'短评内容': '床还可以，卫生间有点小！', '短评打分': 3}
{'短评内容': '100元的特价房非常超值，而且服务也很好，旁边有个大超市，买东西方便', '短评打分': 5}
{'短评内容': '服务好，离机场大巴很近，地理位置好，出差首选。', '短评打分': 5}
{'短评内容': '100圆很超值啊，环境和服务都很好，酒店住的很舒适，很满意', '短评打分': 5}
{'短评内容': '环境不错 服务员很热情 旁边就是超市 很不错 ', '短评打分': 5}
{'短评内容': '服务很好 酒店也很干净 以后还会再来入住 不错', '短评打分': 5}
{'短评内容': '很好  定的特价房  相当的不错   可惜没停车的地方，，给10元停后面院里     房间很大  舒适   ', '短评打分': 5}
{'短评内容': '还不错，住了两次，都是家庭房，还挺便宜的。对于旅游的学生比较合适', '短评打分': 5}
{'短评内容': '这次住的大床房,没有特大床房性价比高,推荐特大床房.', '短评打分': 5}
{'短评内容': '特大床房比较实惠,房间大,唯一美中不足的是该宾馆没有午餐和晚餐.', '短评打分': 5}
{'短评内容': '总体还不错吧，服务员和前台的态度不错，卫生也还好，就是窗户朝公路的那边房间晚上有点吵，房子隔音效果也不是很好！', '短评打分': 5}
{'短评内容': '地理位置和房间都挺好，作为快捷酒店，价格还是略高一点哦（当然，相对还是可以接受的）。', '短评打分': 5}
{'短评内容': '位置不错，尤其需要说的是我入住的时候有个刚到本店工作2天的前台女服务员，那服务是相当相当的好！', '短评打分': 5}
{'短评内容': '方便，清洁，虽然不很高级，但该有的都有，员工笑脸迎人，非常友善。', '短评打分': 5}
{'短评内容': '房间不错，卫生间和房间比起来大小差距好大。。。不过总体来说很棒', '短评打分': 5}
{'短评内容': '挺好的 不吵 环境也干净 这是没有电脑 但有网线', '短评打分': 5}
{'短评内容': '还行，由于到店时候没有高级大床房，给免费升级了。只是进到房间后，看到地板上有积水没有干。。。有点困惑、、、希望以后注意！', '短评打分': 5}
{'短评内容': '卫生很好，服务也很不错，旁边就是超市，下次还会入住~', '短评打分': 5}
{'短评内容': '酒店性价比还可以 就是最近很冷 没有暖气', '短评打分': 5}
{'短评内容': '一如既往的汉庭风格！服务和卫生条件都很好！', '短评打分': 5}
{'短评内容': 'excellent value for money. ', '短评打分': 5}
{'短评内容': '酒店位置很好找，网络速度超快！房间很大，很舒服。', '短评打分': 5}
{'短评内容': '位置挺好的，主干道旁，边上就是一个大超市，楼下有个disco，附近有一个世纪金花商场，星巴克和必胜客也比较近。定的是大床房，前台免费升级成了高级大床房。房间挺大，电视很小，21寸的CRT，房间内沙发很脏，油乎乎的。住的是朝南的房间，比较安静。附近没什么好吃的早饭，不过我是去劳动南路吃的糊辣汤，很好吃的说。楼下免费停车场大概10多个车位，停不下的话，要交10块钱停路边。', '短评打分': 5}
{'短评内容': '很干净 也很舒服 在高新路上虽然是郊区但是交通很便利 周围基础设施都很全 也不会很吵', '短评打分': 5}
{'短评内容': '店的地理位置很不错。离商业区也近，购物比较方便', '短评打分': 5}
{'短评内容': '干净，附近有超市，方便，后面还有一个市场，买点水果也方便', '短评打分': 5}
{'短评内容': '除了位置离市中心较远外，酒店其它方面都还不错。但楼梯处的房间有强烈的味道，不建议入住。', '短评打分': 5}
{'短评内容': '+酒店不错', '短评打分': 5}
{'短评内容': '还不错，交通方便，周围很多公交车站，打车也方便，在高新区，很安静。', '短评打分': 5}
{'短评内容': '购物出行方便，酒店设施服务也可以。打车不方便', '短评打分': 3}
{'短评内容': '入住了高级大床房.并未收到前台20元现金返还!很不开心!网站和酒店的沟通有问题', '短评打分': 5}
{'短评内容': '性价比非常高,就是服务有点问题，订房的人比较多，等了半个来小时才入住', '短评打分': 5}
{'短评内容': '+环境不错房间设施也好客服不错下次还来', '短评打分': 5}
{'短评内容': '干净整洁，服务态度不错，出行方便。', '短评打分': 3}
{'短评内容': '购物、地理位置都不错，大床房也比较干净舒适。就是周边不好打车', '短评打分': 5}
{'短评内容': '非常满意\r\n房间很宽敞，也干净，尤其是那种上网的椅子，我很喜欢。我带了笔记本的，上网速度不错哦，我下载了三四部电影，后来冲到1.25M/s,\r\n摆在窗户口的沙发很好，软，舒服，只可惜老婆没有来....\r\n服务呢很好，前台接待的哥们和美女都是穿酒店的T恤，说话很客气，前台还有免费的果汁可以喝，哈哈，那天喝了五六杯\r\n电梯我第一次坐这种，要刷卡才能到达你房间所在的楼层，刚开始我怎么按电梯的按键，他都不', '短评打分': 3}
{'短评内容': '替别人订的。给我的反馈是：房间里太暗，电视太小，频道也少。不过房间挺大，床也大。', '短评打分': 5}
{'短评内容': '不错的，下次还来住，经济实惠服务热情，我看行，建议同事也来住', '短评打分': 3}
{'短评内容': '酒店虽小，为客人想得很周到。夏季去前台备有冷饮免费饮用。\r\n只是从其他网站预订酒店后，在前台办理入住手续时，资料对不上，起初以为是网站给订错了，后来工作人员忙活了半天，把网站预订的信息打印出来了，才核实清楚，房间也没有预留，才紧急打扫了一下，觉得这个感觉不好。服务没有衔接上，如果是在入住高峰期，那岂不我预订了还没房间住？', '短评打分': 5}
{'短评内容': '我的是周日特价房，100大洋，性价比很好啊，但只能住一天，可惜。\r\n第一次入住，没有很多优惠，这个不满意\r\n前台有免费饮料，喝完酒回来整几杯，爽，酣畅\r\n就今天而言，性价比还是很高的，如果不是周日入住，就至少要160大洋，这倒挺贵的 \r\n最后，满意!!!继续努力！', '短评打分': 5}
{'短评内容': '窗户太高了', '短评打分': 5}
{'短评内容': '大床房的位置在角落，窗户比较高（有2M高，看不到窗外），感觉稍显压抑。设施齐全，电视貌似只有17寸，频道不清楚；上网方便，网速很快。服务也很好，房间很整洁。', '短评打分': 5}
{'短评内容': '可能是订的比较便宜的房间，房间非常小，安排的确实很紧凑。两个人住有点挤（1.5m的床）。感觉条件一般吧。我对住宿的条件要求比较高！早餐太贵，没有什么可以吃的东西，感觉性价比比较差！', '短评打分': 5}
{'短评内容': '总之各个方面还不错，希望酒店继续努力，下次还会入住。', '短评打分': 5}
{'短评内容': '总体来说还可以，我住的是大床房，空间小了点，不过地理位置不错，出行很方便。', '短评打分': 5}
{'短评内容': '位置挺好找，门口车位不够多，旁边有个超市，挺方便。\r\n结账的时候有点小插曲，本来192元的大床房，非让我结211元，比门市价还贵，我几次提出质疑，换了几个人才给我说搞错了按192元结算的。', '短评打分': 5}
{'短评内容': '唯一不足就是吃饭不方便，其他还行。', '短评打分': 5}
{'短评内容': '房间比较大 算是住过的经济型酒店里面比较大的了 床也很大 一个人睡有点浪费 ：） 服务态度也不错 就是不知道为什么马桶冲完水后上水的时候声音比较大也比较刺耳 下次来还住这里', '短评打分': 5}
{'短评内容': '性价比非常好,房间及床够大,非常干净', '短评打分': 3}
{'短评内容': '房间内网速超快，其他方面也不错，旁边就是超市，很方便，推荐。', '短评打分': 5}
{'短评内容': ' 房间很大,床大很舒适.中央空调,性价比高于同类酒店,很好,', '短评打分': 5}
{'短评内容': '位置不错，服务很好。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '除了空间有点小，其他很不错', '短评打分': 5}
{'短评内容': '高层  房间位置偏僻 安静 适合世界杯看球！\r\n周围吃饭购物方便 治安还可以 社区环境好', '短评打分': 5}
{'短评内容': '有免费饮料：）', '短评打分': 5}
{'短评内容': '不错的酒店，入住的人员很多，但素质还行，就是不知道为什么不能刷卡预授权。', '短评打分': 5}
{'短评内容': '靠近一个大超市，对我来说方便的很。', '短评打分': 5}
{'短评内容': '卫生条件都是非常好，房间空间挺大的床也很大特别舒服，服务态度也挺好的，酒店的位置也是路边就能看到非常显眼，性价比还是挺高的，价格也优惠，在高新区来说我个人认为我住的这个酒店算是比较好的了。', '短评打分': 5}
{'短评内容': '卫生条件不错，已经多次入住，几乎成为首选，推荐。建议改善早餐的搭配，现有品种太少了，15元的价位显得太贵。', '短评打分': 3}
{'短评内容': '多次入住，非常满意，推荐！', '短评打分': 3}
{'短评内容': '已经多次入住，比较满意，只是最近几次住的房间感觉不如前几次的大，不知何故。PS：我一直都是住商务大床间比较多。', '短评打分': 5}
{'短评内容': '房间挺大，位置还可以，旁边有个大超市，比高新一路店大不少。就是有的业务员业务素质比较差，办金会员卡时胡说，害得我被误导，不过由另外的业务员搞定了', '短评打分': 5}
{'短评内容': '位置还可以，高新区的边上，周围超市，吃饭的地方还算方便。房间超级小，放了一张床以外就没什么地方了。。。所以性价比不高。不推荐。', '短评打分': 1}
{'短评内容': '服务很好，也很安静，就是网速超级慢！', '短评打分': 5}
{'短评内容': '就是我们晚上9点半到达时等了很久才办理入住手续。因为房间还在打扫中。服务有点慢', '短评打分': 1}
{'短评内容': '住好几次了，感觉都行。', '短评打分': 5}
{'短评内容': '位置一般，雨天散少', '短评打分': 3}
{'短评内容': '很好，最好的汉庭', '短评打分': 5}
{'短评内容': '住的是周末特价房，本来房间面积比较小，房间楼高还比较高，感觉不好。4月18日入住，感觉房间有点冷。中央空调调到热风，出来的是冷风，越吹越冷。\n总的来说，位置比较好，有一定性价比，但是舒适性不是很好。', '短评打分': 1}
{'短评内容': '选择这家店就是看了以往的点评，说是面积相对较大！注意了一下网站的介绍是25平，而其他的汉庭好像都是15㎡。谁知道去了好小啊，比上次住的西安另一家的小多了，难道是百元特价房闹得？！可上次也是住的百元房哦！一个人住还好了，正好朋友第二天路过西安办事，来蹭住，两个大男人大床倒不嫌小，房子明显感到小的不方便了（行李衣服没处放哦）……呵呵，下次住汉庭的百元特价选是有双床的店！！！', '短评打分': 5}
{'短评内容': '除了地段，其他没有任何可以推荐的', '短评打分': 3}
{'短评内容': '完全没有想象的好，非常非常一般的酒店，无烟房里全是烟味', '短评打分': 1}
{'短评内容': '经过跟小寨店对比，高新店强烈推荐，环境好，干净，而且房间大，以后高新店是我的不二选择，推荐，', '短评打分': 5}
{'短评内容': '房间较小，房间不透气。其他还好。', '短评打分': 5}
{'短评内容': '总的来说很满意，建议光顾', '短评打分': 5}
{'短评内容': 'huan keyi', '短评打分': 5}
{'短评内容': '还不错啊，下次还会住这里', '短评打分': 5}
{'短评内容': '住的新春百元特价房，里面居然还有一台电脑，设施稍微有点旧，不过挺舒适的，临街不太吵。前台服务员态度不怎么样', '短评打分': 5}
{'短评内容': '很好的酒店，安静。', '短评打分': 3}
{'短评内容': '房间大，设施好。离金花稍远，总体不错。', '短评打分': 5}
{'短评内容': '挺好，性价相符', '短评打分': 5}
{'短评内容': '酒店能有晚餐更好', '短评打分': 3}
{'短评内容': '希望酒店能有晚餐供应。', '短评打分': 3}
{'短评内容': '房间的热空调声音有点大，影响休息。', '短评打分': 5}
{'短评内容': '这家酒店的位置特别方便我办事，房间环境也不错，我觉得性价比还行，值得推荐\n', '短评打分': 3}
{'短评内容': '酒店不错，卫生干净，刷卡上楼，也比较安全。', '短评打分': 3}
{'短评内容': '电梯很慢，出门打不到出租车。旁边有个超市，买东西吃东西比较方便。服务还可以，但也没什么特色，基本中规中矩。性价比还是不错的，毕竟价格还不到200块，不能要求太高。建议下次订机场大巴下车的那个汉庭。那里交通貌似方便一些。', '短评打分': 5}
{'短评内容': '位置还是不错的,出行很方便,房间的硬件设施都很齐全,我很满意,但就是酒店没有早餐,不太方便.', '短评打分': 3}
{'短评内容': '内部设施挺好。房间面积大，大床房透明的玻璃浴室，很有特色。', '短评打分': 5}
{'短评内容': '房间里的空调不好用，我开了没什么感觉，服务卫生还可以，酒店不在市区里面，不会堵车，挺好的，对于商务出行比较合适，因为不堵车，网速好，如果旅游就不太合适了。', '短评打分': 3}
{'短评内容': '我住的房间小了一些,但是设施很齐全,打扫的也很干净.环境不错,这家店的位置也很好,门口交通非常便利.', '短评打分': 3}
{'短评内容': '交通方便，房间面积大，早餐也好，才15元，总的说来性价比可以。', '短评打分': 5}
{'短评内容': '干净、卫生的条件，家居式的房间让人舒心', '短评打分': 5}
{'短评内容': '位于高新区中心，如果在西高新活动，地理位置不错，但是去市中心及一些景点就路程远些了。但周围的交通还算方便。酒店卫生不错，性价比很高。', '短评打分': 5}
{'短评内容': '床很大，房间大小刚合适，唯一不足的就是窗户有点小了！', '短评打分': 5}
{'短评内容': '100特價房很超值.如果連續住應該可以考慮比一般的訂房價格稍微低一點點.我是因為第二天要調到201元所以換到如家', '短评打分': 5}
{'短评内容': '周日特价房相当不错啊！~推荐！', '短评打分': 5}
{'短评内容': '位置非常好，强烈推荐', '短评打分': 5}
{'短评内容': '说实话，西安的酒店真的不怎么样。这家说实话比其他的汉庭好一点。房间比较大。其他真的很一般。', '短评打分': 5}
{'短评内容': '单人间不推荐住，房间太小，但其他房间感觉很超值，酒店很注重细节，电梯需要房卡才能使用，安全性很好，楼下有超市，洗衣店和很多饭店，推荐入住', '短评打分': 5}
{'短评内容': '房间很大、床大，舒服', '短评打分': 5}
{'短评内容': '很新的酒店，当时住的是特价，100元，很值', '短评打分': 5}
{'短评内容': '酒店旁边就是一个大型超市，离航空大巴站点也不远，交通十分方便。周日房性价比尤其高。', '短评打分': 5}
{'短评内容': '房间空间感较好。可以打字、复印、免费台式机上网，对于商旅人士很方便，每天还赠送一瓶纯净水，这在炎热的夏天很受用。位置也好，服务态度也不错。如果北郊经济开发区有一家汉庭就好了!', '短评打分': 5}
{'短评内容': '第一次住汉庭，很满意，服务很专业，该有的东西都有。要注意的是高新区有4家，定好后别走错了。', '短评打分': 5}
{'短评内容': '我只住过大床房间，床很大，有两根网线可以使用，非常方便。只是有一次我订了两个同样的房间，但拿到的两个房间的面积明显很大差异，前台居然说没差别，虽然最终更换房间，但也对印象分打了折，个别员工的服务意识需要提高，耍心眼是没有好处的。', '短评打分': 5}
{'短评内容': '住过好几次了,房间里面卫生和设施都不错,查访时要仔细一些.', '短评打分': 5}
{'短评内容': '很不错的酒店，周日特价房很实惠。\r\n距离市区（钟楼）是有些远，不过门口有直达的公交。\r\n强烈推荐', '短评打分': 5}
{'短评内容': '酒店还是属于比较不错的那种，位置挺好的，挺方便，里面的环境，人员服务都不错，干净整洁，价格适中，挺好的。', '短评打分': 5}
{'短评内容': '可惜只有网线，没有电脑，要是再有电脑就好了\r\n\r\n很希望西安多有几家像佰连商务宾馆那样每间房间都有电脑的宾馆\r\n\r\n不过佰连噪音很大，修房子都不说注意点噪音控制', '短评打分': 5}
{'短评内容': '相当舒服 好好好 爱上了', '短评打分': 5}
{'短评内容': '住了三晚,感觉舒适,房间也很宽敞,服务也不错.厕所的设计很特别,很会利用空间也节约成本.下回去旅游还会住汉庭快捷.', '短评打分': 5}
{'短评内容': '蛮好的，十分满意！', '短评打分': 5}
{'短评内容': '我住了2个星期,还不错,总的来说比较满意,就是对面有个住宿学校又靠近马路,有点吵,但是性价比很不错了,床很舒服,特别指出的是,旁边有小吃还有个大卖场,对出差的人很实惠', '短评打分': 5}
{'短评内容': '卫浴分开很好，床也也舒服。', '短评打分': 5}
{'短评内容': '酒店的价格有点贵，服务卫生和他的位置都不错，而且环境也挺好的。', '短评打分': 5}
{'短评内容': '酒店很实惠,价格也很便宜,房间很干净', '短评打分': 5}
{'短评内容': '位置的高新区的中心位置还是很方便的设施服务都很好价格也比较合理.', '短评打分': 5}
{'短评内容': '房间不错，算是经济型酒店中的精品了。刚入住不久，在房间感觉有轻微的晃动，等我从房间出来的时候楼层的服务员还在工作，原来是发生了小余震，服务员亲切的询问我有没有事情,并安慰我让我在大厅休息一下，前台的员工马上为我们倒了一杯热茶，并告诉我们如果有什么情况会第一时间通知我们，叫我不用担心,还为我要不要给家里打个电话,挺感动的.虽然发生这样的事情，但这里的服务人员很沉稳，并且设身处地的为我们着想,让我顿时', '短评打分': 5}
