{'descr': '很干净', 'star': 5}
{'descr': '离公司很近，环境还不错，同事来每次都要求住这家酒店。', 'star': 5}
{'descr': '满意，住宿条件很不错', 'star': 3}
{'descr': '尚可', 'star': 3}
{'descr': '我入住的上海浦东南路世博店325房间，整体不错，卫生也不错，只是空调噪音太大。', 'star': 5}
{'descr': '服务人员超级热情，房间很干净还会再次入住', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': ' 环境不错，客房也比较干净。推荐。', 'star': 3}
{'descr': '酒店位置太不理想，附近基本没什么可逛的。房间还可以，网速蛮快的，服务态度也过得去。', 'star': 5}
{'descr': '环境不错，交通也便利，就是就餐不太方便，也无特色小吃。', 'star': 5}
{'descr': '世博结束后，价格立刻就下降了，交通比价方便，参观国际博览中心比较方便', 'star': 5}
{'descr': '很干净，位置也还很不错，服务态度好，就是电视部室液晶的', 'star': 5}
{'descr': '舒适', 'star': 3}
{'descr': '该酒店真好!', 'star': 3}
{'descr': '我也是第一次到上海的这家宾馆入住，感觉环境服务和卫生都很不错，就是进出交通有点麻烦（单行道），特别是酒店小餐厅不错，口味价格都蛮好。\r\n', 'star': 5}
{'descr': '去世博园的时侯公交比较方便到对面去做车就行，回来的时候不方便，只能打车。', 'star': 5}
{'descr': '＋设施很破，房间简陋，根本不值400多', 'star': 5}
{'descr': '距世博4号口只有两站，很方便。卫生服务都ok。旁边还有沃尔玛。值得推荐', 'star': 5}
{'descr': '看世博方便！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '离世博，外滩，城煌庙都挺近的，附近有地铁，还算是方便的。服务人员也挺热情的，感觉还好！', 'star': 5}
{'descr': '帮朋友定的，他们情侣出游去看世博，说是跟世博离得很近。', 'star': 5}
{'descr': '\u3000房间看着挺干净，服务也不错，就是房间里有蚂蚁。', 'star': 5}
{'descr': '床很舒服,房间也干净,服务态度不错,值得推荐', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '交通方便，就是有点贵，早餐15元一位不吃也可挺一般的。', 'star': 5}
{'descr': '有停车场，服务到位，有时候枕头有异味，但是每次提出来服务员都主动处理，后面有沃尔玛超市，非常方便，边上不远就有饭店，有个叫我家厨房的菜非常好吃！', 'star': 5}
{'descr': '快捷方便态度好', 'star': 5}
{'descr': '有到家的感觉，是一家不错的经济型酒店，下次还会入住。', 'star': 3}
{'descr': '有到家的感觉，是一家不错的经济型酒店，下次还会入住。', 'star': 5}
{'descr': '比较干净，不错！！！！！！距离世博园较近！！！交通便利！！！！！！', 'star': 5}
{'descr': '位置有些偏，不好找。其他都挺好，就是可以借的吹风机太少，整个酒店才备十个，害我湿头发睡觉！', 'star': 5}
{'descr': '+整体还算干净，颜色也很温馨，只是大床房的床太小了，且房间也太小。', 'star': 5}
{'descr': '服务还是不错的，就是贵，离地铁站还是有点远，不过超市相当的近，不错', 'star': 5}
{'descr': '帮家人定的,说早餐很不好,能选择的非常少', 'star': 5}
{'descr': '总体除了价格贵了点还可以', 'star': 5}
{'descr': '这家如家店位置很靠近世博园，当时就是冲着去看世博而预订的酒店，地理位置和酒家在网上描述的一样，有地铁和公交，打车也相当方便，真的很不错。\r\n另外要特别一提的是这家如家的那位在大堂忙上忙下的保安，除了态度亲切热情以外，对于交通以及各种地点的指引相当的专业，这次我们进进出出真的很得他帮忙，真的很感谢。\r\n酒店位置很独立，环境安静，空气也很清新，我们预订的一间房尽管是在一楼但是光线也很好。毛巾和被褥也很', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '很温馨，很干净，很不错', 'star': 5}
{'descr': '典型的如家， 简洁标准化，实惠之选啦', 'star': 3}
{'descr': '酒店很干净，位置好，关键是离世博会近，早上早起从4号口能抢到中国馆的预约券。', 'star': 3}
{'descr': '酒店很干净，关键是离世博会近，早起排队从4号口能抢到中国馆的预约券。', 'star': 5}
{'descr': '是如家连锁中各方面都比较好的了。。\r\n结账的时候忘了拿定金现金， 过了大半天想起来打了电话过来问，钱还帮我留着。  还是很诚信的， 值得推荐啦。（PS） SB汇就有点太忽悠了，看电视好过看现场', 'star': 5}
{'descr': '如家一如既往的风格，干净简洁', 'star': 5}
{'descr': '房间布置简单清爽,环境还可以,如果楼下厨房加上送餐服务就更好了!', 'star': 5}
{'descr': '服务很周到', 'star': 5}
{'descr': '主要是位置好，离世博不远，打车起步价', 'star': 5}
{'descr': '房间较大而正气，明亮干净卫生，推荐入住。', 'star': 5}
{'descr': '性价比好，离地铁吃饭等地方有一点远，到超市很近，买东西方便', 'star': 5}
{'descr': '总体不错，有沃尔玛在附近买东西很方便。就是上网速度很慢，用用qq聊天收发电邮还可以，浏览网页查三维地图就很慢了。', 'star': 5}
{'descr': '总体感觉不错', 'star': 3}
{'descr': '这个酒店环境比较好，疯卫生，性价比也比较高，只是周围设施不是很健全！', 'star': 5}
{'descr': '酒店稍稍有点不好找，下了南浦大桥，要往回走一点，不过酒店环境不错，从门走到巴黎春天才十分钟，很幽静的一个地方，房间很大，设施其全，价钱很便宜，以后还会来光顾！', 'star': 3}
{'descr': '本来以为房间会很吵的，不过住过来以后发现不像我想像中的那么吵，房间还非常大，设施也不错，服务很好，以后还会选择这家酒店！', 'star': 5}
{'descr': '是目前为止住过的性价比最高的如家~~', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '房间很干净，很温馨，推荐！', 'star': 5}
{'descr': '还不错，就是隔音不好', 'star': 5}
{'descr': '房间有点小，但是打扫的很干净，住的蛮舒适的', 'star': 5}
{'descr': '位置靠近世博 基本都不错 就是靠近高架噪音大了点', 'star': 5}
{'descr': '世博会很方便', 'star': 5}
{'descr': '房间真的挺大的，内部的颜色也很喜欢，就是有点小偏僻', 'star': 5}
{'descr': '总的来说还不错，服务挺好。', 'star': 5}
{'descr': '总体还行', 'star': 5}
{'descr': '总体较好，热水供应不足，位置稍偏，其他都不错。', 'star': 5}
{'descr': '服务人员出言不逊，不会再次入住', 'star': 1}
{'descr': '总体感觉都挺不错的，最好能每天都更换床单。', 'star': 5}
{'descr': '浦东像个大工地,世博会后会好起来.酒店位置有点偏', 'star': 1}
{'descr': '交通便利，房间十分干净', 'star': 5}
{'descr': '房间总体不错，挺大，宽敞。就是房间热空调好像不是很足。卫生间挺干净。前台check in慢了点。隔壁就是大卖场，交通方便。还算Ok ,性价比比较高。', 'star': 5}
{'descr': '前台人员服务态度热情周到，卫生比较干净，地理位置还可以，靠近地铁站，设施也比较完善，总体来说不错，值得推荐', 'star': 3}
{'descr': '酒店整体条件还可以吧,不过内部的装修和设施都略显有些陈旧了,价格还可以接受,可看需要选择.', 'star': 3}
{'descr': '房间挺大的，床不错，比较舒服。', 'star': 5}
{'descr': '这里附近有磁悬浮火车可通往浦东机场，可惜服务员没告诉我。我花200多元租车去的机场。', 'star': 3}
{'descr': '价格可以，交通也可以，离机场远了点，餐厅不错。', 'star': 3}
{'descr': '室内硬件陈旧，卫生间排水管漏水，要想发展成连锁快捷酒店还有很多方面需要提高。不过相对于性价比来说，住着还算凑合。', 'star': 3}
{'descr': '卫生可以。就是没有中餐和晚餐。要是能有就好了。', 'star': 5}
{'descr': '因为龙阳路地铁站出口附近有好几个如家店，世博店离地铁站有10分钟的步行路程，所以如果设置个路标的话，会很方便；餐厅服务一般，客人吃饭的时候竟然还扫地，都无语了。', 'star': 5}
{'descr': '位置有些偏，交通还是比较方便的，离地铁近，大概走路15分钟左右能到，公交站相对远一点；他们的服务非常好，内部环境很干净，价格也便宜，住的还比较舒适', 'star': 3}
{'descr': '酒店离景点比较远，不过打车还是可以的，内部条件我觉得非常不错，服务态度也很好，价格适中。', 'star': 3}
{'descr': '酒店的硬件条件比较不错的，环境和设施都还可以，价格也比较适中，位置对我来说也算是方便，挺不错的。', 'star': 3}
{'descr': '这个酒店位置不错，挺方便的，服务态度也比较不错，干净舒适，就是房间里的电视太小了，其他都还不错。', 'star': 3}
{'descr': '优点：酒店房间比较大。设施比较新。酒店背后走五分钟就是沃尔玛。\r\n缺点：外面是高架，还是单行道，不怎么好找。外面不知道是高架车的声音还是工地的声音，晚上有点吵。', 'star': 5}
{'descr': '性价比很好，位置一般，适合出差。', 'star': 3}
{'descr': '干净，舒适', 'star': 5}
{'descr': '还不错，服务和卫生都挺好！位置一般了点。', 'star': 3}
{'descr': '位置不是很好找，房间的卫生和设施还是比较好的，挺干净的，酒店的服务也还是不错的，我觉得这家酒店性价比还是比较高的 值得推荐', 'star': 3}
{'descr': '总体来讲还可以吧，只是找吃的地方还要走一阵子而已', 'star': 5}
{'descr': '这家酒店我基本比较满意，环境不错，位置也可以，可以推荐', 'star': 3}
{'descr': '卫生环境不好,空调也有很大的味道, 房间味道也很大有很大的烟味,当时又换了一间房间,但是也不怎么样,挺差的.', 'star': 3}
{'descr': '唯一的缺点是位置较偏，如果开车去的话还好，有停车场，距离该店不远的塘桥地铁站居然还有一家如家。', 'star': 5}
{'descr': '第一次住如家，感觉非常好，干净整洁服务也好。下次出差还住如家。', 'star': 5}
{'descr': '性价比很好', 'star': 5}
{'descr': '性价比高，服务环境也是不错，地理位置好，交通很便利', 'star': 3}
{'descr': '总体感觉还好。打的去城隍庙，外滩都是20块左右。\r\n\r\n酒店在天桥附近，还算安静。有一点不好，就是附近没有超市，店铺什么的，想买东西不方便，听说走一段时间有沃尔玛。\r\n\r\n明年世博会的话，住这里估计还不错。\r\n', 'star': 5}
{'descr': '酒店的卫生服务都很好，位置也还算不错，就在南浦大桥东岸，离地铁站走路过去7、8分钟，地铁站周围比较繁华，吃饭购物医院都很方便。', 'star': 5}
{'descr': '第一次到上海的这家宾馆入住，感觉服务和卫生都很不错，就是设施稍微差了点，而且电话还是收费的感觉不应该，但总体感觉是不错的。', 'star': 5}
{'descr': '有些理解不了给差评的那些理由，酒店位置与酒店质量无关，对你来说位置不佳，对别人来说或许位置极佳，且你找不到酒店位置不代表别人无法轻易找到。浦东南路与龙阳路接近交叉口的地方，是个司机都会找到吧。整洁程度与我住过的五星四星无异，性价比很高，服务态度很好，没有令人厌烦的骚扰电话。我住酒店就是图干净，下次还会选如家，希望各地如家都一样整洁。确实是物美价廉的好选择。', 'star': 5}
{'descr': '酒店环境还不错，但房间隔音不好，隔壁淋浴声音很响。原来预定的时候承诺赠送的饮料也没有看到。当天入住时候询问包月价格，前台答应回复至今未有回电。希望酒店能够兑现对客户的承诺，诚信为本！', 'star': 5}
{'descr': '前台很亲切', 'star': 5}
{'descr': '酒店有很大的停车场，停车方便，内部装修比较简陋，房间里面看着比较寒酸，走廊地毯看着比较脏，房间里面味道也不太好。总之风格不是很温馨，有点像招待所的感觉，比想象中差，价格便宜，一等价钱一等货，第一次住如家，以前一直住锦江和南苑，感觉5星际饭店的商务酒店比如家这种还是高一个档次的。', 'star': 1}
{'descr': '离沃尔玛很近，而且酒店有餐馆，很方便。', 'star': 5}
{'descr': '前台mm和前gg都非常热情 就是酒店没有旅行充电器提供 如果有的话 就更好了  ', 'star': 5}
{'descr': '我正好去那边办事，所以选这个位置比较方便，硬件设施也还算是可以的，挺干净的，还算不错。', 'star': 3}
{'descr': '酒店设施和服务很好,酒店店名是世博店但实际还是离世博远了很多名不副实.', 'star': 3}
{'descr': '整体感觉还可以，服务，环境都还不错。设施也很齐全。经济型的酒店，性价比比较高的。', 'star': 3}
{'descr': '总体来说非常不错。我感觉位置也还好！不是特别的差。服务、卫生、设施都非常不错，值得推荐。', 'star': 5}
{'descr': '酒店各方面感觉都挺好的,没有遇到要改进的地方,就是当时门正在施工,所以有点吵,不过跟酒店没关系,酒店的性价比还是挺高的.', 'star': 5}
{'descr': '总体上都很不错，卫生好，服务号，性价比高。只是隔音效果差，早晨都是被吵醒。还有交通不是很便利，没什么公交车。', 'star': 5}
{'descr': '酒店的整体不错的，房间很干净的，服务设施都还可以的，酒店的位置还可以的，交通还方便的，性价比不错的酒店。', 'star': 5}
{'descr': '周边环境不太好,太嘈杂了；很吵；但酒店条件还是不错的；很干净；交通也比较方便；价格也适中', 'star': 5}
{'descr': '酒店整体感觉不错，就是位置不是很好，这次我单位去参加埃森展住了这家酒店，每天去会展中心打车就要花半个多小时在路上，不过酒店的卫生和服务都不错', 'star': 5}
{'descr': '酒店整体感觉还是不错的,价格挺实惠的.值得推荐', 'star': 5}
{'descr': '酒店的服务不是很好的,卫生和房间的设施都还可以的,位置不是很好找,比较偏了,很多司机师傅都不认识的,周边的交通不是很方便的,但是价格还是都可以的', 'star': 5}
{'descr': '酒店的服务不是很好的,卫生和房间的设施都还可以的,位置不是很好找,比较偏了,很多司机师傅都不认识的,周边的交通不是很方便的,但是价格还是都可以的', 'star': 5}
{'descr': '如很多朋友所说\r\n的确很容易找到~但是就是绕不进去\r\n都是单行线惹的祸\r\n建议开车的朋友选择别的酒店', 'star': 5}
{'descr': '房间面积小一些,酒店周边吃饭的地方少一些,其他方面都很好', 'star': 5}
{'descr': '服务态度非常不错，能及时处理生活问题，就是隔壁的部队好吵，除了礼拜六和天以外，每天都7点不到就 开始队列了，好吵，然后就是厕所的隔音效果不好，楼上冲水楼下非常吵，地段不是非常好，不太方便，晚上出门也不太安全，路上没几个行人比较偏僻.', 'star': 1}
{'descr': '为了看上海车展，预定了两个大床房。虽然有导航仪，但酒店的地址实在太难找了，居然实在几个高架桥下，门牌似乎是浦东南路，其实又是在龙阳路这边。入住后出来吃饭，回去结果又找不到地方了。前后费了很多时间。不知道如家怎么选址的。', 'star': 1}
{'descr': '经济型酒店，性价比还可以，设施条件很简洁', 'star': 5}
{'descr': '就是位置不太方便啊', 'star': 5}
{'descr': '酒店的位置有点偏，交通也只能说是凑合，不过秉承了如家的服务和环境设施，都是挺不错的，还是可以选择如家，但是会选个位置好点的。', 'star': 1}
{'descr': '很好很不错的酒店', 'star': 5}
{'descr': '酒店位置比较偏,所以交通不是很方便,周边也没什么餐饮设施,服务还不错,房间也蛮干净,价格也比较实惠', 'star': 5}
{'descr': '酒店的交通非常便利的,酒店的环境卫生以及内部设施都很好,酒店的性价比比较高,我的家人朋友都入住这家酒店的', 'star': 5}
{'descr': '这家酒店真的是很不错，信价比较高，如果不是这次车上的物品在酒店的停车场丢失，下次到浦东办事我还会住这家酒店的。车上东西丢失，就在酒店的停车场，时间是09年2月21日18时，我当时在屋里，听到防盗器警报响，开始以为是别人的车，后来开窗看看，是我的车，等下楼倒车前去检查，才发现车顶天线被人抢走，原想有监控，可是去服务台查才知道，只有2个监控，一个对着大门，一个对着2-3个车位，我停车的位置根本就没有监', 'star': 1}
{'descr': '这让店的整体感觉都还是非常不错的,但是停车场的安全性很不好,摄像头只能照到辆车和大门口,这点需要大家多多注意一下,以免带来不必要的损失', 'star': 5}
{'descr': '服务人员和打扫卫生的态度都挺好的,挺热情的,房间里的卫生也不错弄得挺干净的,价格也比较实惠.', 'star': 5}
{'descr': '除了位置不方便。其它都不错。位置偏，边上还都是单行道。就算看到也得拐大弯才能到。', 'star': 5}
{'descr': '酒店位置不好，出行不方便，找了很长时间才找到，在龙阳地铁站出口有些出租车司机还不愿意去。', 'star': 5}
{'descr': '很不错，感觉非常好。', 'star': 5}
{'descr': '酒店很舒适很温馨环境很好位置也很方便.', 'star': 5}
{'descr': '酒店不是很好，在一个立交桥底下，除了位置不好，其他都很好，价格也很合理', 'star': 5}
{'descr': '酒店因为在辅号上所以乘车不是很方便,但是服务和卫生不错,而且酒店也比较大', 'star': 5}
