{'短评内容': '虽然比较简陋，但是挺舒服的。很安静。有家的感觉。', '短评打分': 5}
{'短评内容': '基本如家的水准吧。但有的房间很小，好像是拐角位置的。楼下停车收费20，太黑！', '短评打分': 5}
{'短评内容': '＋位置挺好找的，房间也不错，如家的风格都一样。就是没有免费的停车场不好，一辆车收二十元挺贵的。', '短评打分': 3}
{'短评内容': '老板服务态度好，房间较干净，下次还会来', '短评打分': 3}
{'短评内容': '老板很热情，就是节假日价格有点贵，推荐大家平时去，设施还可以的', '短评打分': 5}
{'短评内容': '各方面服务都很好！', '短评打分': 3}
{'短评内容': '酒店还不错  就是加工海鲜有点贵~~~~~··', '短评打分': 5}
{'短评内容': '干净，舒适。服务一流。网速非常快。早餐也不错。', '短评打分': 5}
{'短评内容': '不错，挺干净，我住8楼拐角，僻静，且住的高望的远，火车站尽在眼底！前台服务特周到！但我落在洗手间的摩丝，服务员收房时没看到，就算消费了！', '短评打分': 5}
{'短评内容': '服务热情，房间很干净，出门方便', '短评打分': 3}
{'短评内容': '挺好的~ 挨着火车站很方便呢~~服务也很好呢。不过我们去错了 不应该住在葫芦岛上，这样来回很不方便~ 很安宁', '短评打分': 5}
{'短评内容': '此酒店地处葫芦岛火车站交通便利，酒店的配套设施完备，服务人员的服务态度都让人满意。在用餐方面酒店周围的选择余地也很多，值得向各位推荐这家酒店！', '短评打分': 5}
{'短评内容': '酒店干，净舒适温馨', '短评打分': 3}
{'短评内容': '给爸爸妈妈订的商务大床房，他们都很满意，和火车站近在咫尺，晚上八点多下火车刚好休息，有机会还会去的。', '短评打分': 5}
{'短评内容': ' 感觉不错! 房间干净整洁.买东西、逛商场很方便，打车也方便，服务态度挺好.\n\n 感觉不错! 房间干净整洁.买东西、逛商场很方便，打车也方便，服务态度挺好.\n\n\n', '短评打分': 5}
{'短评内容': '一般太一般，可能季节关系蚊子也多，尤其是床也睡的不舒服，房间空间很小，隔音效果也不好\n镇上这种住宿酒店很多，这个价格不算实惠', '短评打分': 5}
{'短评内容': '老板娘很热情', '短评打分': 3}
{'短评内容': '酒店位置不错，去哪都方便，，就是早餐不太好，，样式不是很多，希望加强', '短评打分': 5}
{'短评内容': '老板娘人很好，接、送西瓜、买票，谢谢了~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '入住环境不错，前台服务不错，感觉客房服务员服务不太到位，卫生间打扫不及时，饭店如能提供给客户一些旅游建议，将更好。', '短评打分': 5}
{'短评内容': '优点：酒店位置很好，闹中取静；卫生条件可以接受；老板十分热情；\n缺点：床垫中间陷得有些厉害，热水到晚上11点多就没有了。\n总体来说还是很满意的，推荐！', '短评打分': 5}
{'短评内容': '不错的一个酒店，就是晚上的时候突然停电了，就是感觉有些热，服务态度还是很不错的', '短评打分': 5}
{'短评内容': '酒店离火车站很近，房间还不错，服务人员态度很好，只是房间内是中央空调。', '短评打分': 5}
{'短评内容': '酒店干净整洁，服务也挺热情，临近车站，却一点也不吵。庆幸自己提前预定的，因为办理入住的时候，发现好多人，直接到酒店的，已没有房间.虽然发生一点小插曲大概是前台交接的问题，不过顺利解决，总体都很满意，下次还会入住这间酒店', '短评打分': 5}
{'短评内容': '别的都挺好，就是风筒太少了，有的住客用完不及时还，服务员还不肯去催一下。都是洗澡吹头发，谁能用多久，就催一催也没人会说你不好。要么就干脆像7天酒店，走廊设置一个共用的得了。（到离店我洗两次澡，头发一直湿的)', '短评打分': 5}
{'短评内容': '一般出门在外都会住这种的连锁快捷酒店，葫芦岛只有这一家，因为去的时候是旅游旺季，极度的凸显了如家的经济实惠。订的商务大床房，在顶层，有大窗，很舒服，唯一的缺点就是略觉有些吵闹。但总体来说很不错，性价比高。下次去还会住在那儿。', '短评打分': 5}
{'短评内容': '房间还不错，我住的商务大床。挺大，窗户也亮堂。有停车场，20一天有人看。上网还可以，就是电视小，也可以了。附近没有什么好吃的地方，离火车站近，下次来可能还会选择。', '短评打分': 5}
{'短评内容': '还不错，性价比很好，虽然条件差一些，但价格也很低，服务人员很热情。', '短评打分': 5}
{'短评内容': '成功入住，非常满意！', '短评打分': 3}
{'短评内容': '前台服务不错，就是白天很吵。房间隔音不是特别好。其他方面都还不错。', '短评打分': 5}
{'短评内容': '便宜的时候来住住还可以，老板娘人很好，可是假期，360一个晚上太贵了。房间很小，像是临时腾出来的地方，抽屉里乱七八糟什么都有，要是100左右一个晚上还行。', '短评打分': 5}
{'短评内容': '干净整洁。', '短评打分': 3}
{'短评内容': '房间比较小！不过住一天还比较好！离车站近！', '短评打分': 5}
{'短评内容': '老板娘人很好，但房间很小', '短评打分': 3}
{'短评内容': '还不错，老板娘很细心。下次再来还是选择这里', '短评打分': 5}
{'短评内容': '好，有家的感觉。', '短评打分': 3}
{'短评内容': ' 装修是统一的,就是房间太小了', '短评打分': 3}
{'短评内容': '老板娘还蛮好，但是房间实在太小了。门还不好栓，里面栓上了，但是外面一推竟然就轻易地被推进来了，后面还是用桌子给顶住的。安全系数太低~~', '短评打分': 1}
{'短评内容': '旅馆老板娘人不错的\n只是房间较小\n特别是洗手间\n住着感觉不太方便\n', '短评打分': 5}
{'短评内容': '极力推荐：被子很干净，晚上很安静。老板娘人特好，热心，真诚，善良。提前预定旅馆后，老板娘热心来接我们，省去了门票钱和停车费。旅店的小院特喜欢，可以打打牌，喝喝茶，很舒服。最让我感动的是回家后发觉有件衣服落在卖衣服的小店里，我抱着试试看的心情给老板娘打电话，老板娘接到电话后立即去找，居然找到了，并安慰我不要着急，她会尽快邮寄过来，真让我感动啊！', '短评打分': 5}
{'短评内容': '老板很热心 住的很不错 因为是客栈旅馆， 肯定不能像酒店那么多硬件了，但是软件很棒~~老板还帮我们买了回程的车票 特别感谢。', '短评打分': 5}
{'短评内容': '是一楼 隔音不咋的  不过有古镇的特色\n老板娘不错   会来接人', '短评打分': 5}
{'短评内容': '虽然不大但还是蛮干净的，下次去一定要定到雕花大床', '短评打分': 5}
{'短评内容': '非常满意，很好很强大！服务很周到！谢谢', '短评打分': 3}
{'短评内容': '交通方便，环境好。住的无窗房，小的没话说。主要安全性好', '短评打分': 5}
{'短评内容': '很不错的民居', '短评打分': 3}
{'短评内容': '还可以，老板很热情。', '短评打分': 3}
{'短评内容': '老板很热情，房间很好很干净，下次来还会入住这里！', '短评打分': 5}
{'短评内容': '服务蛮好，离火车站好近！！买票方便啊~~', '短评打分': 5}
{'短评内容': '信誉性很强，方便快捷！服务满意！以后将继续使用，并推荐给朋友使用', '短评打分': 5}
{'短评内容': '一般，缺少风筒、隔音一般 早餐种类少 望改进', '短评打分': 5}
{'短评内容': '我住的是大床房。那个房间实在太小了，我和老婆两个人同时站着基本就没可活动的空间了。而且电热水器应该是和其他房间是混用的。在其他房间用热水的时候会比较吵。劝大家订的时候最好不要考虑。\n这家另外的两个房间还不错。雕花大床房的床虽然略小，但整体房间的空间要比大床房的那个大了不少。而且有住在古镇的那种感觉。标间的面积是最大的，而且房型相对最好。', '短评打分': 1}
{'短评内容': '在西街的最外面，很安静，喜欢安静的极力推荐。房间很干净，只是有点小，这也正是西塘的风格，我想你会喜欢的。', '短评打分': 5}
{'短评内容': '老板娘人不错，房间也很安静。', '短评打分': 3}
{'短评内容': '床挺干净，热水方便，虽然小但还算不错，老板娘可以把客人免费带进镇子，我们被三轮车夫骗了浪费四十大洋呜呜呜', '短评打分': 3}
{'短评内容': '酒店一般', '短评打分': 3}
{'短评内容': '贵重物品不能前台托管,标间不含早餐,这样的价位服务不是很满意,望改进', '短评打分': 3}
{'短评内容': '环境很幽静，老板娘很热情，值得推荐', '短评打分': 3}
{'短评内容': '店家很热情，房间也很干净，但是不能弥补硬件的缺憾，房间内连个挂衣服的地方都没有，卫生间就只有个抽水马桶和面盆，洗澡都不能转身，空间太小了，总的来说，也就值这个价吧', '短评打分': 5}
{'短评内容': '老板很热情，不错！不赶快的话房间很难定到哟', '短评打分': 3}
{'短评内容': '干净，整洁，房间温度适宜，地点交通方便。下次还会入住。', '短评打分': 5}
{'短评内容': '房屋比较干净,有家庭气氛.但毛巾不怎么干净,隔音效果挺号.', '短评打分': 5}
{'短评内容': '火车站附近。不错的。出门直接就能看到。。。。。', '短评打分': 5}
{'短评内容': '总体感觉不错，很干净卫生，服务态度也挺好', '短评打分': 5}
{'短评内容': '在火车站旁，晚上睡觉听到火车声。', '短评打分': 3}
{'短评内容': '什么都挺好，要是有早餐就更好了。反正房间一般，全国的如家都差不多。', '短评打分': 5}
{'短评内容': '古色古香~ 价格也公道！很喜欢~ 服务也是相当的好~狠满意！', '短评打分': 5}
{'短评内容': '房间有点干燥,呼吸起来鼻子不太舒服.\n房间隔音效果有点差,能听见旁边人说话.\n电梯居然坏了,真无奈..', '短评打分': 5}
{'短评内容': '一直都忘了点评，老板娘人很好~不认识路给她打电话还来接我们，住的地方离大门很近，在酒吧一条街的对面，没有那边的嘈杂，蛮隐蔽的~~', '短评打分': 5}
{'短评内容': '入住一天，觉得环境卫生都不错  保安和服务员态度都不错 \n连维修的 工人态度也很好', '短评打分': 5}
{'短评内容': ' 服务非常到位，已经N次入住了。还会继续的住', '短评打分': 5}
{'短评内容': '入住很舒服，服务也不错', '短评打分': 3}
{'短评内容': '隔音效果有待加强。。。互相影响恩，其他的还不错了', '短评打分': 5}
{'短评内容': '很方便，一直住它家，就是好像空调没有暖气来的好', '短评打分': 5}
{'短评内容': '服务态度很好，每次见面都能主动和你打招呼。有点星际酒店的感觉。细节上注意点就更好了。', '短评打分': 5}
{'短评内容': '位置好，价格合适，房间面积也可以，不过隔音效果一般', '短评打分': 5}
{'短评内容': '在当地算高档些的了，交通方便，火车站不远。。。', '短评打分': 5}
{'短评内容': '在当地算贵的了，环境可以，空调不行，水冷的，夏天很热的。。。', '短评打分': 5}
{'短评内容': '好！干净整洁卫生！每次出差首选如家！还是很不错的', '短评打分': 5}
{'短评内容': '干净卫生整洁！这次住的1118房间卫生间马桶有点堵！', '短评打分': 5}
{'短评内容': '还行，比较干净，马马虎虎', '短评打分': 3}
{'短评内容': '服务态度挺好的，给大家提个醒儿，刷的卡要透支卡，能做押金。', '短评打分': 3}
{'短评内容': '性价比不错，干净卫生，服务热情周到，比较不错', '短评打分': 5}
{'短评内容': '葫芦岛如家快捷酒店环境优雅、服务热情周到！', '短评打分': 3}
{'短评内容': '葫芦岛最合适的选择了～价钱在本地来说不算便宜但也绝对不贵拉', '短评打分': 5}
{'短评内容': '什么破商务大床房，屋里床挺大。就没别的地方了，卫生间的隔音太不好了。', '短评打分': 1}
{'短评内容': '整洁，卫生，服务也不错，感觉还不错，值得入住！', '短评打分': 5}
{'短评内容': '服务热情，房间宽敞，\n什么都很好就是毛巾感觉用了好长时间\n都有些发硬了', '短评打分': 5}
{'短评内容': '还不错 总体感觉不错  去过好几次了 就是快入冬的时候没有热空调', '短评打分': 5}
{'短评内容': '总的说来还行，老板娘比较热情，服务比较周到，弥补了硬件条件一般的缺憾', '短评打分': 3}
{'短评内容': '老板人相当热情…', '短评打分': 5}
{'短评内容': '位置很好，就在西塘镇内，老板很热情，专门去汽车站接我们，卫生间较小。去西塘住还是不错的选择。', '短评打分': 5}
{'短评内容': '+还行', '短评打分': 5}
{'短评内容': '由于靠近中秋节,所以可选范围比较小,匆忙之下赶紧定好旅店.\r\n优点:1.床型不错,休息的比较好;2.离景区不远,便于游玩.3.店主热情,有什么问题都愿意帮助解决.\r\n不足:1.网络不好,要等待很长时间才能使用;2.若是条件允许最好能在显眼位置做好旅店牌标示,以便于入住客人到店.\r\n', '短评打分': 5}
{'短评内容': '老板很热情啦，我们去上海杭州一路的酒店都是没有吹风机没有电脑的，这房间里有电脑能上网还能看电视，真的很不错噢。虽然说是民居，但是麻雀虽小，五脏俱全吖。最神奇的是连电饭煲都有~~我们路上买的粽子去到已经冷了，老板还帮我们热粽子~~谢谢老板噢哈哈~西塘是个好地方~~可惜这次太赶了~~下次还去~~', '短评打分': 5}
{'短评内容': '老板不错，帮助买返程票；房间小些，位置还是很不错的', '短评打分': 5}
{'短评内容': '+房间很干净，老板娘人很好，旅馆地段不错，出入很方便，同时晚上也很安静。推荐一下！', '短评打分': 5}
{'短评内容': '第一印象就是老板娘人很好，还帮我们买车票，为我们免去了不少麻烦。然后就是客栈非常有感觉，有真正在西塘生活的感觉。西塘很棒!', '短评打分': 5}
{'短评内容': ' 古镇这边的酒店都是差不多 又不是常住就那么回事', '短评打分': 5}
{'短评内容': '地段不错，性价比低，床很不舒服，不过，建议大家不要对西塘抱太大的希望，水很臭，商业气氛也很浓，让人失望', '短评打分': 1}
{'短评内容': '很好的一家客栈，虽然不是临河，但很安静，西塘不大，走路都能到。阿姨很热情，房间打理的也很干净，会推荐朋友入住的！总体评价在西塘的客栈中是很实惠的！', '短评打分': 5}
{'短评内容': '老板娘服务态度好，但条件一般，价格有些高', '短评打分': 1}
{'短评内容': '陈老板娘人非常好，到达西塘时同事的包包落在了来时的汽车上，她热情的帮我们寻找司机，并陪着等了一个多小时，非常感谢。旅社有个小小的院子，感觉很好，值得推荐。', '短评打分': 5}
{'短评内容': '各方面都一般', '短评打分': 1}
{'短评内容': '价格有些高，服务非常好，房间也很干净，感觉就是那种中规中矩的酒店，很不错，就是位置有些偏，不在临河的那一边，其他都不错。', '短评打分': 5}
{'短评内容': '价格有些高，服务非常好，房间也很干净，感觉就是那种中规中矩的酒店，很不错，就是位置有些偏，不在临河的那一边，其他都不错。', '短评打分': 5}
{'短评内容': '很小的一家店，感觉很一般', '短评打分': 3}
{'短评内容': '老板娘非常客气，因为临时换了个旅伴，标间换成了2个单人间！下次去那玩还住那！', '短评打分': 5}
{'短评内容': '很不错的酒店，其实就是个农家院，价格偏高，其他都很不错，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店的卫生还可以，里面的环境不怎么样蚊子特别多点蚊香都没有用，服务态度还可以，位置还可以 价格和里面环境比的话还是偏高了，总体感觉还可以。', '短评打分': 5}
{'短评内容': '服务态度不错.还是蛮干净的.硬件虽说有些一般，不过整体来讲还可以', '短评打分': 5}
{'短评内容': '老板的服务很是周到，态度非常的好。旅馆的环境和设施都还不错，只是旅馆虽然在景区内，但是不是沿水。', '短评打分': 5}
{'短评内容': '老板娘人非常好，提前联系会去车站等你，如果一家人一起住在这里最合适，被子很干燥，在南方非常的难得。老板娘还会给你一张西塘的旅游图，也会给你建议下面的路线，非常的方便，自由行可以首选这样的宾馆。最后我还让老板娘帮忙买礼物寄回家里，下次过来一定还住这里。感觉很北方的农家院一样。', '短评打分': 5}
{'短评内容': '老板很热情，可以免票带进。\n位置在西塘内，游玩很方便。设施相对旧一点，和普通的酒店差的比较多。主要是因为由旧房子改造的。', '短评打分': 1}
{'短评内容': '店家大姐非常热情，服务也很周到~一个人忙里忙外的！很能干啊！', '短评打分': 5}
{'短评内容': '老板态度很好,进入景区直接带进来了.没有花钱哦\r\n旅馆就在景区里头.旅馆不大,但是住着还是有感觉的.', '短评打分': 5}
{'短评内容': '干净舒适，旅馆老板很热心，还专门去车站帮我们买第二天的大巴票，非常感谢~', '短评打分': 5}
{'短评内容': '这是在西塘景区里面的客栈。去之前可以给老板打电话叫老板带进去。这样就不用买景区的门票了。但是这只是周一到周五。周末节假日的时候会有人查票。', '短评打分': 5}
{'短评内容': '在景区内，古镇边上，位置还可以，但感觉卫生状况一般吧。。。不过古镇上可能都差不多', '短评打分': 1}
