{'短评内容': '交通方便，服务态度好。周围吃饭购物都很方便', '短评打分': 4}
{'短评内容': '设施有点陈旧  位置还算便利 服务不错', '短评打分': 3}
{'短评内容': '酒店位置很好，从火车站出来步行都可以到了，办事也方便', '短评打分': 5}
{'短评内容': '我来这里出差住在这像住在家一样，很舒适，还算比较安静，前台服务也很好，早餐也很丰富，价格还不贵，是一家不错的酒店。', '短评打分': 3}
{'短评内容': '不错，卫生比较干净，服务周到，周围交通便利，下次还会去住的。', '短评打分': 5}
{'短评内容': '还不错，就是早餐不怎么样，希望改进一下，谢谢', '短评打分': 5}
{'短评内容': '温暖\n于秀清', '短评打分': 3}
{'短评内容': '适合商务出差人士，环境卫生。', '短评打分': 3}
{'短评内容': '酒店位置很不错，离商业区很近，很方便', '短评打分': 3}
{'短评内容': '这家酒店离火车站不太远，走路十几分钟吧，酒店很大，高层很安静，房间也大，比北京的格林大多了，呵呵~出门左拐走一会儿就有商业区，很方便。', '短评打分': 5}
{'短评内容': '1005', '短评打分': 3}
{'短评内容': '还不错,就是隔音效果差点,你懂的!', '短评打分': 3}
{'短评内容': '各方面都不错，早餐12元自助也很好，交通很方便，就在火车站往北一点，大床房不大，但是干净整洁，还不错。', '短评打分': 5}
{'短评内容': '很好，很宽敞，很干净，距离市中心，很热闹', '短评打分': 5}
{'短评内容': '位置不错，价格实惠，周围有商场和小吃店，出行比较方便。停车场不好进出，全是卖花的，把路堵了。', '短评打分': 5}
{'短评内容': '酒店位置好，交通方便。房间干净舒适，服务员态度很好~', '短评打分': 5}
{'短评内容': '还不错，挺干净。离车站也不远。就是感觉门的隔音不好。外面说话能听到。。', '短评打分': 5}
{'短评内容': '本次入住是感觉上次房间卫生，早餐，服务等做的不错，第二次入住格林豪泰。', '短评打分': 5}
{'短评内容': '干净卫生 房间温馨舒适，早餐准时供应，花样口味繁多，本次出差住宿很愉快！', '短评打分': 5}
{'短评内容': '酒店很方便，距离火车站和客运站非常的近，出去吃饭购物都是非常方便。前台服务很好，早餐也还可以，性价比很高，下次还会入住', '短评打分': 5}
{'短评内容': '离火车站稍稍有点远，还是要打车或坐公交车。不过总体还不错。\n住的时候还是有送早餐的，不过因时间关系也没吃上，不知道早餐如何。', '短评打分': 5}
{'短评内容': '希望能配备上电脑，那样可以让来旅游的人可以轻松查找到潍坊的各个景点。', '短评打分': 5}
{'短评内容': '很不错的酒店，设施和服务都算是比较好的，关键地段不错，环境安静，隔音效果还要加强', '短评打分': 5}
{'短评内容': '条件还不错，交通便利，服务也挺不错的，卫生条件也挺好的。', '短评打分': 5}
{'短评内容': '总体上来说还不错。就是有时出租车不是很好打。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，吃饭逛街都很方便，房间也很舒服', '短评打分': 5}
{'短评内容': '干净舒适，交通方便。', '短评打分': 3}
{'短评内容': '性价比不错，服务好，对得起那个价钱！！！！！', '短评打分': 5}
{'短评内容': '价格还可以，周围吃饭和购物都可以，在潍坊市里办事的话比较方便。', '短评打分': 5}
{'短评内容': '酒店很不错，就是不知道和隔壁如家是怎么关系，唯一的遗憾是第二天酒店要停电，住11楼停电真受不了，无奈只好当天逃跑了。', '短评打分': 5}
{'短评内容': '房间太小了，有点压抑的感觉', '短评打分': 3}
{'短评内容': ' 挺好，性价比高', '短评打分': 3}
{'短评内容': '离火车站稍远，干净整结对得起这个价', '短评打分': 3}
{'短评内容': '还好，离火车站很近，相当方便。下次还会住。', '短评打分': 5}
{'短评内容': '距离火车站很近，位置在市中心，去哪里都很方便，早餐也不错哦！', '短评打分': 5}
{'短评内容': '总体感觉不错，服务态度好，唯一不好的就是空调坏了', '短评打分': 3}
{'短评内容': '酒店很干净很好，服务态度也不要错，下次要来一定来这里。', '短评打分': 5}
{'短评内容': '服务不错但暖气不够，房间冷，不给加被子和枕头。', '短评打分': 3}
{'短评内容': '很不错环境好 服务好 前台长的漂亮 干净卫生 隔音不错', '短评打分': 5}
{'短评内容': '第一：酒店的隔音太差~\n第二：酒店的中央空调一点都不暖和，好冷的，一直开2档一个晚上第二天早上还是冷\n第三：酒店洗浴的水很小~~~\n第四：停车场脏，乱，无人管理~~~', '短评打分': 1}
{'短评内容': '大床房B环境不错，就是电视得频道不多，期间电视还出了点小问题，至于便利性也不错。', '短评打分': 3}
{'短评内容': '大厅五星级  房间三星级 呵呵 价格四星级  设施二星级', '短评打分': 5}
{'短评内容': '服务不错，冷冷的冬季让人感到温暖。卫生条件比较满意。', '短评打分': 3}
{'短评内容': '房间很整洁，服务也很好，性价比很高，值得推荐。', '短评打分': 5}
{'短评内容': '很好 很强大  就是下面是商业区 白天比较吵  整体感觉很不错', '短评打分': 5}
{'短评内容': '该酒店离潍坊火车站、长途汽车站不远交通方便， 设施新，', '短评打分': 5}
{'短评内容': '服务员态度很好～房间也很好～反正很对的起这个价。床垫可能是新换的？反正挺好的，也挺干净的。', '短评打分': 3}
{'短评内容': '环境不错，酒店人员服务态度也挺好。简单，整洁，下次有机会还入住', '短评打分': 5}
{'短评内容': '干净卫生，离火车很近。很方便。价格也公道。不错的。', '短评打分': 5}
{'短评内容': '性价比较高，还行，下次有机会还去吧，恩差不多哦', '短评打分': 5}
{'短评内容': '房间很干净，设备也比较齐全，但是门的隔音比较差，电视坏掉了。', '短评打分': 3}
{'短评内容': '房间很干净，设备也比较齐全，但是门的隔音比较差，电视坏掉了。另外周围很多小旅店也很实惠。', '短评打分': 5}
{'短评内容': '还不错，环境挺好，外出方便，周围购物和吃饭都比较方便，价格还可以', '短评打分': 5}
{'短评内容': '离火车站很近，走路十几分钟。酒店周边也较繁华，离中百大厦、潍坊百货也很近，走路十几分钟。酒店商务大床房B床挺舒服，条件也不错，比较整洁。', '短评打分': 3}
{'短评内容': '设施稍微老了点，淋浴水有点小。附近有中百，对面有超市，离火车站也不远，很方便。', '短评打分': 3}
{'短评内容': '+房间条件挺好，离火车站很近', '短评打分': 5}
{'短评内容': '位置很好，旁边就是中百，对面有个超市，楼下有个饺子馆味道不多，都很方便。设施一般，要求不高的话就够了。比旁边的如家要便宜。', '短评打分': 5}
{'短评内容': '房间很干净，临街的房间也不会吵，隔音很好，唯一不方便就是没有餐厅，不过周边有些餐厅，还不错.位置吗，离火车站没那么近，走路要十分钟以上.', '短评打分': 5}
{'短评内容': '总体来说很满意~  在那住了五六天~  干净卫生  服务也比较不错~  下回去旅游还会到格林的！', '短评打分': 5}
{'短评内容': '交通比较便利，设施还可以，没有餐厅，吃饭不是太方便，总体还不错。', '短评打分': 5}
{'短评内容': '已入住不错', '短评打分': 5}
{'短评内容': '+交通还是比较便利，有停车场，可惜茶杯没有茶杯盖，没办法泡茶。', '短评打分': 5}
{'短评内容': '比想象中房间要大，前台服务很好，位置离火车站较近。比较方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，卫生、服务也都不错。值得推荐。', '短评打分': 5}
{'短评内容': '房间隔音有点薄,一个人的旅行者要是去比较合适', '短评打分': 1}
{'短评内容': '还好。房大。如果有早餐就更好撒。周边环境差一些，土多。', '短评打分': 3}
{'短评内容': '酒店服务好于其他。最大的缺点是墙壁不隔音。邻间声音全听得到。尾号是1的房间尚好。', '短评打分': 5}
{'短评内容': '  酒店非常整洁  服务人员很有耐心', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '酒店位置居于城市中心，去哪里都挺方便，服务人员态度也很好，房间给人感觉很舒服，明亮。总之是性价比挺高的酒店。', '短评打分': 5}
{'短评内容': '卫生 舒适 服务挺好 周围交通便利。就餐方便，下次还去入住', '短评打分': 5}
{'短评内容': '实际上距离火车站还有一定路程，且整条路找不到门牌号，但酒店性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '还行吧 交通比较方便 离长途汽车站 火车站都比较方便', '短评打分': 3}
{'短评内容': '一个性价比很好的酒店，很方便，值得推荐。', '短评打分': 5}
{'短评内容': '交通很方便 离火车站和长途汽车站都很近 ', '短评打分': 5}
{'短评内容': 'hai keyi weizhibucuo xingjiabihaixing', '短评打分': 5}
{'短评内容': '地理位置方便，服务好，干净卫生', '短评打分': 5}
{'短评内容': '总的感觉很不错。', '短评打分': 5}
{'短评内容': '很好很贴心，服务周到……', '短评打分': 5}
{'短评内容': '不错，呵呵，下次还来', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '非常不错，值得推荐。', '短评打分': 5}
{'短评内容': '卫生条件是差了点。比如，我入住的是高级套房，进去一看满地的灰尘。牙刷非常差，刷一次，牙刷上的毛就分叉，很难受。', '短评打分': 5}
{'短评内容': '上网速度较慢，没有餐厅。', '短评打分': 5}
{'短评内容': '这个酒店我已经住过两次了，每次都是商务大床房，感觉比较便宜，再这个价格来讲，这个房间已经相当不错了，但是我感觉洗澡的地方比较小', '短评打分': 5}
{'短评内容': '比预想的差些     总的还不错吧', '短评打分': 5}
{'短评内容': '房间大，设施好，周边繁荣', '短评打分': 5}
{'短评内容': '位置优越，价格合理，卫生干净，较舒适；很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错，离火车站很近，而且靠近风筝广场', '短评打分': 5}
{'短评内容': '第一次去潍坊，这个酒店真不错。难忘', '短评打分': 5}
{'短评内容': '不错。。。', '短评打分': 5}
{'短评内容': '总体来说这个价位的酒店算得上卫生,时尚,性价比高,超出入住前的想象.', '短评打分': 5}
{'短评内容': '距离火车站很近   完全可以走着过去   我打车 司机说你走着去可能都比我快   离潍坊的购物中心也挺近的  主要是方便   ', '短评打分': 5}
{'短评内容': '总体的住宿情况很好，卫生情况也很好', '短评打分': 5}
{'短评内容': '还行，就是床咯的睡不舒服', '短评打分': 1}
{'短评内容': '酒店好的地方就是房间蛮干净的, 服务也还算周到,而且价格也比较优惠,不好的地方,就是房间的供暖不太好,感觉有点冷.', '短评打分': 3}
{'短评内容': '住的很舒服，性价比不错。位置非常好，标准的商业区。超市商场很多，白浪河就在旁边，就是现在周围施工，稍稍有点美中不足~~', '短评打分': 5}
{'短评内容': '大床房的床铺的床垫很薄，就像直接躺在钢丝上！！', '短评打分': 5}
{'短评内容': '毕竟是经济型酒店，设施还是稍微简单了一点，不过服务还是不错的，位置比较方便，价格也挺合适，商务出行的话还是不错的。', '短评打分': 3}
{'短评内容': '确实是一家不错的酒店，房间宽大超出我的想象，而且整洁卫生。唯一的遗憾，我住的1133房间，没有空调，冻得厉害。可能是还没开暖气吧，可是老天爷已经把空调先开了，冻得够呛', '短评打分': 5}
{'短评内容': '房间比较大', '短评打分': 3}
{'短评内容': '新酒店，很干净', '短评打分': 5}
{'短评内容': '中央空调,温度很舒服,采光也比较好,卫生间地砖着水有些滑,卫生条件很好,设施也很完善,服务热情周到,性价比不错的酒店,下次还会入住', '短评打分': 3}
{'短评内容': '里面设施不错，最主要的是性价比特别高', '短评打分': 5}
{'短评内容': '酒店装修的还是不错的,卫生设施方面都挺达标的,周边交通蛮方便的,就是吃饭的地方比较少,整体感觉价格还是比较合适的.', '短评打分': 3}
{'短评内容': '酒店服务各方面都算不错,就是床垫比较硬,住起来不算很舒服.因为新酒店所以各方面卫生及设施都算不错.再有就是停车不太方便.其它各方面还可以', '短评打分': 3}
{'短评内容': '这个价位是我住过的最好的酒店.基本符合三星级的标准了.我住的是大房间.小房间便宜些但不舒服.值得推荐.', '短评打分': 5}
{'短评内容': '除了浴室的地面有点滑以外，没啥其他的毛病了……', '短评打分': 5}
{'短评内容': '下次我还要入住该酒店', '短评打分': 5}
{'短评内容': '没有想象中好，地面很滑，隔音一般，不过总体来说还算不错', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '设施很好尤其是床比较舒服，房间也很干净，服务也挺不错的，下次还会去的', '短评打分': 3}
{'短评内容': '这家酒店的地理位置还是不错的,在市中心交通还是蛮方便的,住宿条件也还可以了,服务卫生方面都挺不错的,整体感觉价格方面还是比较合适的.', '短评打分': 5}
{'短评内容': '估计以后不会住了。', '短评打分': 3}
