{'短评内容': '一如既往的 习惯性的 住这', '短评打分': 4}
{'短评内容': '客房环境卫生还不错，服务方面差极了，我住的718客房只有宽带接口没有电脑，只有2瓶收费2元/瓶的矿泉水，没有提供免费的小型桶装矿泉水，沐浴露出口堵死按不出来，物无所值，不如其它100元/间的酒店好{有电脑和免费的矿泉水}，建议改善服务，花小钱办大事，才能留住客源。', '短评打分': 1}
{'短评内容': '总体还是挺满意的，性价比高。', '短评打分': 3}
{'短评内容': '总体还是可以的。就是早餐好象菜样少了点。', '短评打分': 5}
{'短评内容': '总体感觉还不错,不过当天碰到了些团体客户,感觉不怎么友善。还有就是比较的偏僻，不大容易找到。', '短评打分': 5}
{'短评内容': '住的标准二人间，离火车站走路10分钟左右，环境比较好，房间也够大，干净，送早餐很不错。就是不能看体育台,连中央5都收不到，打电话问前台被告知用的是锅盖。好在网速还行，就上网看了。', '短评打分': 5}
{'短评内容': '酒店的环境卫生不错，价格适当，就是地理位置比较偏僻，整体感觉不错！', '短评打分': 5}
{'短评内容': '设施还好，位置较偏，但188的价格较贵。我第二晚在靠近市中心的国安宾馆住，条件差不多，才130。', '短评打分': 3}
{'短评内容': '该酒店还是比较干净，卫生。', '短评打分': 3}
{'短评内容': '价格实惠，环保做的不错，小强到处可见。价格实惠，环保做的不错，小强到处可见。', '短评打分': 5}
{'短评内容': '酒店不错价格便宜，但地理位置不好，早餐不好。', '短评打分': 1}
{'短评内容': '干净，简单，早餐那叫一个好啊，太出乎意料了，居然有新鲜肉汤，赞~~~', '短评打分': 5}
{'短评内容': '新建的酒店  环境不错  就是位置比较偏僻  交通不是很方便', '短评打分': 5}
{'短评内容': '网络太慢，网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。网络太慢。', '短评打分': 1}
{'短评内容': '房间设施不错，打车不方便，网络不是很好，晚上7点到12点，网站都打不开。', '短评打分': 5}
{'短评内容': '说实话，我一个晚上睡不着觉，隔音效果比布帘还烂，无语死了，\n我住进去，窗户不能关，（锁）就是从外面可以随便推开，要换一间，窗户可以锁了，但是门不能锁了。。。。唉。。。', '短评打分': 1}
{'短评内容': '服务态度很好，女孩子很漂亮，干净', '短评打分': 3}
{'短评内容': '地理位置太差   找的我差点晕过去了  悲惨啊', '短评打分': 5}
{'短评内容': '位置很差，没办法打到车，走到打车地方的路很难走。', '短评打分': 1}
{'短评内容': '地方比较偏，房间还算干净。总体来说一般。', '短评打分': 3}
{'短评内容': '房间还算大，设施一般，位置有点偏，真像进村了。不过价格还算公道，而且有早餐', '短评打分': 1}
{'短评内容': '进出这个酒店只能说：进去容易出来难，卫生间使用起来不方便，没有干湿分离，洗澡的地方太小，水也很小，卫生和服务太度还行。', '短评打分': 1}
{'短评内容': '比较难找,其它还可以', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '上网设备不是很好.位置偏不太好找.其它各方成还可以,整体感觉还是挺不错的.', '短评打分': 5}
{'短评内容': '干净，好！干净，好！干净，好！干净，好！干净，好！干净，好！干净，好！干净，好！', '短评打分': 5}
{'短评内容': '这是一家新开的连锁酒店，很不错！就是地点稍差，其它都很好！下次我去龙岩也会再住的。', '短评打分': 5}
{'短评内容': '房间干净，卫生打扫的很彻底。很不错的快捷酒店，可以推荐入住。', '短评打分': 5}
{'短评内容': '其他都好，位置不是很方便！', '短评打分': 5}
{'短评内容': '服务还好，周到热情，环境干净舒适。', '短评打分': 5}
