{'短评内容': '垃圾！预订没有房，现在却显示预订成功！退房！', '短评打分': 1}
{'短评内容': '不错不错...朋友们都觉得不错..不过服务态度还需改进。', '短评打分': 5}
{'短评内容': '干净整洁,洗脸盆,灯的装饰特色。', '短评打分': 3}
{'短评内容': '环境挺好..适合情侣的居住。但是设施不太好，水龙头漏水、花洒也漏.有一点点吵..但总体不错的。', '短评打分': 5}
{'短评内容': '整天环境不错..挺舒适的，就是交通有点不方便..', '短评打分': 5}
{'短评内容': '环境不错~但是隔音效果有点差...旁边是KTV么还是什么的晚上很吵...', '短评打分': 5}
{'短评内容': '房间挺大，卫生不错，电视电脑一体，非常方便。\n但交通不好，在附近座公交车需步行20分钟，座387次。', '短评打分': 5}
{'短评内容': '酒店没有窗,各种设施都一般，毛巾什么的都用得很旧了，价格也不便宜，性价比一般，比大学城外面的其他旅馆差。', '短评打分': 1}
{'短评内容': '整体环境还行，就是没有窗户。。。离华工很近 楼下也有吃的，短住合适，长住不合适了就。本人是双人房。', '短评打分': 5}
{'短评内容': '卫生很好，很干净，环境不错，很舒服，比较适合情侣', '短评打分': 5}
{'短评内容': '酒店不错，就是房间有点闷，没窗户····················', '短评打分': 5}
{'短评内容': '环境还不错，很安静，房间干净卫生，布置也很好，洗手间的玻璃是透明的，卫浴设施非常不错，唯一有点点不满意的就是洗手间的纸巾过于粗糙，再就是无窗的房间有点闷闷的', '短评打分': 5}
{'短评内容': '酒店的位置不错，距华工教学区很近，我是来看孩子的，住这里最合适了，价格适中，房间不算大，但设施齐全，性价比高，可以免费上网，免费市话，全天有热水，周边有很多小饭店，吃饭非常方便，有便利超市，有水果档，晚上还有夜市，很满意，下次来继续住这', '短评打分': 5}
{'短评内容': '其实网上订的话，200出头的房费还是可以的，房间设计得很别致，还有的上网，洗手间的墙是玻璃的，很适合情侣入住。', '短评打分': 1}
{'短评内容': '我们在那里搞了个同学聚会, 感觉很好,酒店的性价比高, 周围吃的喝的都有, 很方便.', '短评打分': 5}
{'短评内容': '我们搞了个同学聚会, 在那里住了一晚. 酒店前台服务态度不错, 酒店设施性价比还可以, 酒店后面是穗石村, 有大排档, 还有市场, 可以买些水果, 经济实惠, 方便快捷, 值得推荐. ', '短评打分': 5}
{'短评内容': '环境相当不错，住得舒服。缺点是电脑有时不好使，很慢。建议升级电脑！！！', '短评打分': 5}
{'短评内容': '入住212房：优点整洁宽敞明亮，缺点交通不太方便，窗帘遮光性不好，窗户没有防盗网，早上八九点楼上打钻好吵。总体上还算可以啦。', '短评打分': 3}
{'短评内容': '环境还不错，离我要去的地方比较近，很方便，就是最近价格也不低', '短评打分': 5}
{'短评内容': '酒店蛮有特色,就是适逢秋交会,有点小贵.', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店环境相当不错喔，很有情趣呢！宽带上网也很爽', '短评打分': 3}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '装饰很有自己的风格，比较温馨。房间设计的也不错，不过床太小了，虽然可以合并', '短评打分': 5}
{'短评内容': '情缘酒店还是比较好的，附近治安，环境还好，房间很漂亮。。。。有浴缸更好，希望增加', '短评打分': 5}
{'短评内容': '环境不错，挺安静的，卫生也还不错，就是酒店比较难找哈。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '环境还可以，但是有些房间没窗户，卫生间是透明的很有情趣，但是对于出差工作的人来说可能隐私不够', '短评打分': 5}
{'短评内容': '很不错的酒店~~推荐豪华房~性价比很高~靠近华南理工 很安静~', '短评打分': 5}
{'短评内容': '酒店的服务不错，靠近大学城华南理工，还是很好的。', '短评打分': 5}
{'短评内容': '前台小姐素质低，服务盖度差，洗澡用水太冷，现在温度那么低，简直比坐牢还难受。你问我还会再去吗， 答案是：你说呢？', '短评打分': 1}
{'短评内容': '房间很宽敞很明亮，浴室都是玻璃形式的，打扫的挺干净，电视空调电脑都有，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店很不错，服务卫生都很达标，设施也不错，液晶的大电视，网速也很快，生活用品都很齐全。值得推荐。', '短评打分': 5}
{'短评内容': '房间设计的很漂亮，打扫也很干净，基本设施都有，服务也很到位，价格也比较合适。', '短评打分': 5}
{'短评内容': '我觉得比较连锁的要强点，房间面积稍微大点，设施方面有点档次，价格比较便宜，值得推荐。', '短评打分': 5}
{'短评内容': '周边环境挺安静的，晚上休息的很好，服务人员态度也很好，设施方面也挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '不错！环境设施比较理想！特别是地理位置方便上学！价格合理也是关键@', '短评打分': 5}
{'短评内容': '酒店环境很好，安静干净，服务也很周到，设施也齐全，就是位置有点偏，交通不太方便。', '短评打分': 3}
{'短评内容': '房间很大，床也很大很舒适，电视和电脑是一体化的，感觉很方便，卫生打扫也不错，下次还愿意来住。', '短评打分': 5}
{'短评内容': '酒店设计的挺时尚的，挺年轻化，环境很好，很安静，设施挺齐全，质量也挺好的，总体感觉很不错。', '短评打分': 5}
{'短评内容': '服务上挺不错，办事挺周到，卫生很好，卧室卫生间打扫的都很干净，设施也挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，颜色搭配的挺协调，还配备了电脑呢，卫生间面积也挺大的，总体感觉不错。', '短评打分': 5}
