{'短评内容': '还好，但是没想象的好，也许是因地制宜吧，合肥要好很多。', '短评打分': 1}
{'短评内容': '环境还不错，就是空间小了点，行李箱没有地方放。如能像如家有个活动行李架就好了', '短评打分': 5}
{'短评内容': '这家随然在苏州的名声不是很好。在安庆还是蛮好的，服务很不错', '短评打分': 5}
{'短评内容': '位置不错，算是城市中心区，床单比较干净，但是窗户朝着墙，跟没有窗户一样，不通风，其他都不错。', '短评打分': 5}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评\n交通方便，房间设施也不错，性价比高，下次还会去住。\n', '短评打分': 5}
{'短评内容': '很不错啊、住的也还可以，就是小了点、设施也还可以、good=', '短评打分': 5}
{'短评内容': '位置比较方便，前台的服务质量很好，但是我住的房间802空调不制热，噪音还很大，吵得一夜没睡好', '短评打分': 5}
{'短评内容': '房间有点小，和以前住过的别的城市的格林豪泰不一样', '短评打分': 1}
{'短评内容': '房间有点小，在安庆对不起这个价格，房间的装潢也很老，窗户就对捉马路很吵', '短评打分': 5}
{'短评内容': '房间有点小~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '房间确实迷你，但卫生，交通方便。因在客运站正对面，房间挨马路边较吵，因是连锁酒店，考虑要比私人办的宾馆更安全，对初来贵地的朋友暂时落脚居住是个不错的选择。', '短评打分': 5}
{'短评内容': '因为定的迷你单人间，果然迷你，特意拍了照片想上传上来，可惜没此功能。所有单人间都是挨着马路的，比较吵，前台告知住楼层高一点会好一些，实际还是吵，去看了标间房，不靠马路边，房间也大一些，价格高点，本想换，但考虑一个人，又定了房，就算了，下次可能会考虑定标间。房间内还免费提供冰露饮用水一瓶，再需要水得花钱。呵呵！', '短评打分': 5}
{'短评内容': '房间比较小，而且靠近汽车站路边，比较吵！', '短评打分': 5}
{'短评内容': '+房间太小,服务态度不错', '短评打分': 3}
{'短评内容': '房间太小', '短评打分': 5}
{'短评内容': '一个人住还是蛮好的，两个人住的话就会有点挤，位置非常好，出门方便，', '短评打分': 5}
{'短评内容': '＋环境很好，挺干净，就是稍显小了一点…', '短评打分': 5}
{'短评内容': '睡个觉、做个车什么的都还可以，安全问题是不用考虑的，毕竟是大型的全国连锁酒店，不过如果说舒适度和其它硬件方面就与其酒店的定位还是有差距的', '短评打分': 3}
{'短评内容': '格林豪泰安庆汽车站店睡个觉还成，地理位置也成，其它的就别考虑了。', '短评打分': 3}
{'短评内容': '位置方便 卫生可以 同时就在汽车站的边上 下次还会考虑入住   就是单间的面积太小了', '短评打分': 3}
{'短评内容': '格林豪泰安庆汽车站店比较其它地方的格林豪泰来说太一般了。', '短评打分': 5}
{'短评内容': '我住的是单人间就是房间小的可怜  其他是不错的 我也是第一次住格林豪泰的房间   感觉单间就是比七天啊 如家等其他连锁的小一点  总台的微笑服务不错', '短评打分': 5}
{'短评内容': '说真的，这家酒店我非常欣赏，但是美中不足的是服务，居然连续两天都只给我房卡注册了一天的有效期，害的我连续两天进不了房门，连续两天从六楼跑下来重新注册房卡！这点下次真的要注意点，我可不想为了一张卡上上下下的跑。。。', '短评打分': 5}
{'短评内容': '还不错的酒店 离汽车站很近', '短评打分': 5}
{'短评内容': '性价比还不错，交通较为便利', '短评打分': 3}
{'短评内容': '价格适中，面积较小，设施一般，位置还可', '短评打分': 5}
{'短评内容': '还可以，下次去安庆还会住这里。', '短评打分': 5}
{'短评内容': '一般 还行吧', '短评打分': 5}
{'短评内容': '可以在去住的酒店', '短评打分': 5}
{'短评内容': '挺不错的&#183;&#183;', '短评打分': 5}
{'短评内容': '写评价之前浏览了之前部分的评价，赞同一点：经济型房间小了，另外，建议在洗手间可以设置浴池，没有浴池这一点让我有点失望。\r\n其他的设施酒店方面考虑的很周到，以后外出有机会就选择格林豪泰。', '短评打分': 5}
{'短评内容': '酒店位置还可以，就是房间小了点', '短评打分': 3}
{'短评内容': '房间小得太过分了，人几乎都没办法走路', '短评打分': 1}
{'短评内容': '反正我不来了', '短评打分': 1}
{'短评内容': '住的特价房，超级超级的小，以后会考虑大点的房间。位置在汽车站对面，比较方便，服务人员态度也比较好', '短评打分': 1}
{'短评内容': '就是房间稍小了点，其他还好', '短评打分': 5}
{'短评内容': '前台服务差，小地方就这样吧！', '短评打分': 1}
{'短评内容': '性价比好。就是房间小了点。建议增加洗浴拖希', '短评打分': 5}
{'短评内容': '房间很干净，就是稍微小了点。交通也很方便！', '短评打分': 5}
{'短评内容': '位置非常好,离汽车站很近,出行还是很方便的,但就是房间的条件太差了,给我感觉很不好,不符合酒店的价位,下次再来不会选择这家酒店了.', '短评打分': 3}
{'短评内容': '除了房间有点小，别的都不错，环境挺好的，服务也比较周到，而且酒店离汽车站也近，值得推荐 ', '短评打分': 3}
{'短评内容': '性价比还可以，就是窗口对着墙，卫生间淋浴房太简陋了', '短评打分': 5}
{'短评内容': '酒店还不错，就是房间太小了，比较拥挤，一个人商务出差倒也适合', '短评打分': 1}
{'短评内容': '酒店的条件还可以，单间的空间有小，有点紧凑，位置很好很方便', '短评打分': 5}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，房间很舒服，酒店的位置很好的，交通很方便的，价格还有下调的空间的。', '短评打分': 5}
{'短评内容': '酒店位置非常好,出行很方便,房间里面环境也不错,就是面积有些小,整体住着还是比较舒适的.', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我住的那个单人间房间比较小，但是还算干净，服务也还可以，最主要是他的位置不错，交通很方便。', '短评打分': 5}
{'短评内容': '感觉酒店还可以，干净整洁，服务也很周到，而且位置也可以，外出方便，值得推荐', '短评打分': 5}
{'短评内容': '酒店虽然地理位置比较好，但是房间太差，我预定的是豪华标准间，入住才发现房间里窗户对面是一面墙，空调外机的噪音吵得无法睡觉，早餐出奇的差，没有热的不说，品种也少。整个酒店的服务员态度生硬。', '短评打分': 1}
{'短评内容': '房间太小，服务态度也不是很好，只是位置上还可以，价钱也不算很便宜！', '短评打分': 1}
