{'descr': '没早餐，一般', 'star': 4}
{'descr': '屋里光线太暗，其它还可以', 'star': 3}
{'descr': '位置蛮好，有停车场，房间干净。下次还会考虑入住。', 'star': 5}
{'descr': '位置蛮好，有停车场，房间干净。下次还会考虑入住。', 'star': 5}
{'descr': '卫生间装修实用、方便，市政热水配套洗澡很方便。\n\n网络速度不错、挺好的。', 'star': 5}
{'descr': '卫生间装修实用、方便，市政热水配套洗澡很方便。\n\n网络速度不错、挺好的。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '还可以吧，住了一晚。就一家普通的经济型酒店，不错。', 'star': 5}
{'descr': '还可以吧，住了一晚。就一家普通的经济型酒店，不错。', 'star': 5}
{'descr': '服务态度很好，就是早晨有点吵!!坏境好，而且房间非常干净！！', 'star': 5}
{'descr': '服务态度很好，就是早晨有点吵!!坏境好，而且房间非常干净！！', 'star': 5}
{'descr': '不错 挺好的 不错 挺好的 不错 挺好的', 'star': 5}
{'descr': '不错 挺好的 不错 挺好的 不错 挺好的', 'star': 5}
{'descr': '服务态度很好！！很干净,,,下次还去 哈哈', 'star': 5}
{'descr': '服务态度很好！！很干净,,,下次还去 哈哈', 'star': 5}
{'descr': '位置好，去故宫和步行街很近，比较安静，对面还有钢管舞可看。', 'star': 5}
{'descr': '位置好，去故宫和步行街很近，比较安静，对面还有钢管舞可看。', 'star': 5}
{'descr': ' 房间干净 服务很好 ', 'star': 3}
{'descr': ' 房间干净 服务很好 ', 'star': 3}
{'descr': '酒店还不错', 'star': 3}
{'descr': '酒店还不错', 'star': 3}
{'descr': '酒店很好  地理位置也好  距离沈阳中街以及其他热点旅游的地方都挺仅', 'star': 5}
{'descr': '酒店很好  地理位置也好  距离沈阳中街以及其他热点旅游的地方都挺仅', 'star': 5}
{'descr': '不错，很安静离刘老根也很近', 'star': 3}
{'descr': '不错，很安静离刘老根也很近', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '不错      很满意      下次还会考虑入住该店', 'star': 5}
{'descr': '不错      很满意      下次还会考虑入住该店', 'star': 5}
{'descr': '房价有点贵 给我安排个一层 潮湿 有蚊子', 'star': 1}
{'descr': '房价有点贵 给我安排个一层 潮湿 有蚊子', 'star': 1}
{'descr': '店铺位置还算不错，承袭了汉庭酒店的一贯风格，值得入住。', 'star': 5}
{'descr': '店铺位置还算不错，承袭了汉庭酒店的一贯风格，值得入住。', 'star': 5}
{'descr': '离中街很近，出行很方便 ，也很安静,附近公交也很多', 'star': 5}
{'descr': '+还不错，主要是地理位置很方便，房间还可以', 'star': 5}
{'descr': '周日百元特价房性价比超高，房间干净整洁、舒适，沈阳站打车过去13块，北站9块。', 'star': 5}
{'descr': '我是五一时候 去的 赶上周日特价 对酒店的地理位置跟环境还有服务都是非常满意 很适合大学生旅游去住', 'star': 3}
{'descr': '170的房间给我安排了个一层 很潮湿 还有蚊子 不好', 'star': 5}
{'descr': '打车很方便，最喜欢！', 'star': 3}
{'descr': '性价比超高 床好大啊', 'star': 5}
{'descr': '周末百元特价性价比比较好', 'star': 5}
{'descr': '房间很干净 不用多说了 住过就知道了', 'star': 5}
{'descr': '1.在晚上到店入住时，员工告诉我原定的2天340元的房没窗户（这可是我在网上该店的信息中没有看到的呀！）。\r\n建议：要将房间的相关信息在网上的详述，以免发生误会。\r\n2.餐厅不如对面的如家有亲切感，使得午餐和晚餐均是步行去哪里解决的。\r\n3.第二天还停电了2个多小时，酒店应逐房间通知，以表示歉意（因供电\r\n公司维护线路原因）顾客是可以理解的。\r\n', 'star': 1}
{'descr': '汉庭酒店的位置不错，可以步行10分钟左右就到中街，位置就在太清宫的后身，对面还有烧烤广场，这个时候去的确享受了一把，我订的是大床房，只能说，床很大很舒服，环境很好！赞一个！', 'star': 5}
{'descr': '酒店的卫生和设施条件还不错，位置很好很方便出行.房间住起来还算舒适.', 'star': 5}
{'descr': '位置很好，打车方便', 'star': 3}
{'descr': '设备质量不错,星期天的特价的话性价比很好,位置也还可以,去市中心很方便', 'star': 5}
{'descr': '酒店设施还是很普通配套很简单只有一个小小茶餐厅还有一个很小的柜台就是买点吃的不像别的酒店都会有咖啡厅之类的，卫生的话还行，态度还可以，位置算是比较好找出行很好很方便隔得不远就是一个沈阳最大的商业街而且出门对面就是很大的一个超市，价格的话也还不错。', 'star': 5}
{'descr': '很好 性价比很高！', 'star': 5}
{'descr': '地理位置很好，打车也容易，酒店条件还可以吧！', 'star': 5}
{'descr': '酒店位置不错，出门左拐就有大超市和KFC，房间挺干净的。', 'star': 5}
{'descr': '价格还合理，以后有机会还会选择汉庭', 'star': 5}
{'descr': '价格还合理，以后有机会还会选择汉庭', 'star': 5}
{'descr': '非常好，便宜并且服务很好，希望再接再厉，很不错，值得一住。', 'star': 5}
{'descr': '非常好，便宜并且服务很好，希望再接再厉，很不错，值得一住。', 'star': 5}
{'descr': '环境不错,设施不错,地理位置比较偏出行不方便打车公交都不方便.卫生服务也都不错.', 'star': 5}
{'descr': '环境不错,设施不错,地理位置比较偏出行不方便打车公交都不方便.卫生服务也都不错.', 'star': 5}
{'descr': '总的来说还可以，挺干净的，服务也不错，就是装修的太简单了，设施有点简陋', 'star': 5}
{'descr': '总的来说还可以，挺干净的，服务也不错，就是装修的太简单了，设施有点简陋', 'star': 5}
{'descr': '房价比周围的较高且位置在破烂街，酒店设施一般。入住时发现新换的床单又黑又脏，问服务员得到的回答是：已经是这样了！！房间的隔音效果太差。酒店的价格与服务及硬件不对称，服务员应加强培训。沈阳的几个连锁店的通病都是如此，毛巾、床单不够白。', 'star': 1}
{'descr': '房价比周围的较高且位置在破烂街，酒店设施一般。入住时发现新换的床单又黑又脏，问服务员得到的回答是：已经是这样了！！房间的隔音效果太差。酒店的价格与服务及硬件不对称，服务员应加强培训。沈阳的几个连锁店的通病都是如此，毛巾、床单不够白。', 'star': 1}
{'descr': '酒店没有什么突出的好。整体来说还可以。价格也挺适合的。', 'star': 5}
{'descr': '酒店没有什么突出的好。整体来说还可以。价格也挺适合的。', 'star': 5}
