{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '除了房间有点小，其他方面都还不错！', '短评打分': 3}
{'短评内容': '挺干净的，而且服务很不错，希望大家多多支持这家店。', '短评打分': 5}
{'短评内容': '这是第我二次入住，环境不错，价格公道，值得推荐！', '短评打分': 5}
{'短评内容': '房子比在网上看到的有出入，没衣柜，窗户也只有一个小的，总之一句话不满意', '短评打分': 3}
{'短评内容': '北京欣燕都旅馆连锁（丽泽桥店）就在丽泽桥往西700米，距离北京西站很近，交通很方便。房间虽然有点小，但很干净整洁，设施也很齐全。早餐也只要10元，经济实惠，尽管品种不是很丰富，但吃饱还是没问题的。 \n', '短评打分': 5}
{'短评内容': '就在丽泽桥往西700米，距离北京西站很近，交通很方便。房间虽然有点小，但很干净整洁，设施也很齐全。早餐也只要10元，经济实惠，尽管品种不是很丰富，但吃饱还是没问题的。', '短评打分': 5}
{'短评内容': '酒店设施很齐全，隔音一般，附近交通挺便利的。希望下次还可以去那里，而且价格很适中。', '短评打分': 5}
{'短评内容': '很不错，而且很近，吃饭很方便。楼下有烤串，而且酒店设施很齐全，可控客人选择很多。下次还会再继续入住！', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 3}
{'短评内容': '酒店住宿条件不错，很干净，服务态度也很好，住的很舒适。', '短评打分': 5}
{'短评内容': '几个月前住的，忘记点评了。\n条件还是不错的，很干净，也带餐厅，十分方便。\n唯一缺点就是太吵，晚上睡觉，外面立交过车的时候会咣咣的响，这个很郁闷。', '短评打分': 1}
{'短评内容': '＋房间很干净，就是小点。', '短评打分': 3}
{'短评内容': '倒是一个适合去的商务酒店！服务态度有待提高，卫生间没有浴帽！太冷！打空调还需要找前台。有些小郁闷ing', '短评打分': 5}
{'短评内容': '我在这个酒店住了好多次了，感觉很温馨舒适，就是房间面积有点小，不过就这个地段这个价位，还能再奢求更多么？。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '真的不错，值得推荐，我是外地去的，第一次住这个连锁，性价比很高啊', '短评打分': 5}
{'短评内容': '非常不错，值得推荐，房型好，装修温馨，10元一位的早餐很划算，给我们省了不少事', '短评打分': 5}
{'短评内容': '性价比还可以，对得起这个价钱！有机会再入住', '短评打分': 5}
{'短评内容': '简单干净，绝对的经济型', '短评打分': 5}
{'短评内容': '位置不错，交通方便，卫生也很好，就是房间比较小，而且隔音不是很好', '短评打分': 5}
{'短评内容': '服务态度不错，什么都不错。我把床单弄脏了，让我赔了120，枕头套40。但是也没有办法啊。谁让是我自己弄得呢。', '短评打分': 5}
{'短评内容': '总体评价不错  离西客站打车的话大概16块   酒店的电梯挺先进的', '短评打分': 5}
{'短评内容': '价格变动的太快了。之前入住的价格和之后的价格差了三十多元。这种房间价格应该定位在158元左右才合理。', '短评打分': 1}
{'短评内容': '挺好的，服务也不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 3}
{'短评内容': '总体来说不错，干净卫生，就是床有点硬~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间挺干净的，而且明亮~~~~~~就是床有点硬，其他的挺好的', '短评打分': 5}
{'短评内容': '已入住,很好', '短评打分': 5}
{'短评内容': '只是房间太小了点，其他都挺好的，干净，交通还算可以。', '短评打分': 5}
{'短评内容': '一般,房间太小.', '短评打分': 5}
{'短评内容': '酒店一般，服务态度很好，离西站很近！', '短评打分': 5}
{'短评内容': '堂很小，房间也很少。要说优点，只能说是新装修的。', '短评打分': 3}
{'短评内容': '好，感觉不错！', '短评打分': 5}
{'短评内容': '还不错的酒店，主要是便宜吗，环境还说得过去。', '短评打分': 5}
{'短评内容': '酒店非常不错，推荐给大家。就是靠近马路的一边多少有些汽车的声音。但是不影响休息。', '短评打分': 3}
{'短评内容': '环境不错，就是靠窗户这边多少有些汽车经过的声音。其它的都值得表扬。', '短评打分': 5}
{'短评内容': '酒店性价比还可以，就是服务欠佳，我订的两个房间，要求延迟到下午1点退房，被拒绝。我退一步跟服务员说：“我把房卡先给你，我行李都理好了，如果12点我一时回不来（我最多晚个十来二十来分钟，就怕堵车什么），请帮我退房，行李寄在你们这。”还是被生硬拒绝（一男服务员，姓兰）。实在另人生气。', '短评打分': 5}
{'短评内容': '服务态度很好。', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 1}
{'短评内容': '交通方便，应该加早餐', '短评打分': 5}
{'短评内容': '总的来说还不错.', '短评打分': 3}
{'短评内容': '整体还可以，墙面上有修补痕迹，早餐种类太少，交通比较方便', '短评打分': 3}
{'短评内容': '一般，还算方便', '短评打分': 5}
{'短评内容': '各方面都不错，可以入住，吃饭的地方差了些，无论是早饭，还是晚饭勉强可以！', '短评打分': 5}
{'短评内容': '环境，服务都不错@本人喜欢！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '服务态度在北京来说算可以的了~~\r\n房间有点小\r\n不过还蛮舒适', '短评打分': 5}
{'短评内容': '是我喜欢出差住的一个地方', '短评打分': 3}
{'短评内容': '还成  只有房间似乎小了点', '短评打分': 3}
{'短评内容': '这个酒店还行  住的方便吧', '短评打分': 5}
{'短评内容': '服务人员态度不错，因在附近办事入住，各方面的设施还可接受，但房间里有味道，让人感觉不大好。', '短评打分': 5}
{'短评内容': '床很硬，不舒服', '短评打分': 1}
{'短评内容': '很好，下次还可住。', '短评打分': 5}
{'短评内容': '酒店的服务挺一般，环境也还行，设施条件还不错，位置挺方便的，价格合适。', '短评打分': 3}
{'短评内容': '位置比较偏僻，离市中心较远，适合在附近办事出差是住宿。', '短评打分': 5}
{'短评内容': '值得一住。', '短评打分': 5}
{'短评内容': '酒店就是房间面积有点小,地理位置也有些偏,内部环境还是可以的,比较干净,价格也比较实惠.', '短评打分': 3}
{'短评内容': '房间的卫生和设施方面都不错的,住着很舒适,服务人员也比较热情,但就是位置有点偏,不太好找.', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '整体来讲时一家很不错的酒店,房间的卫生和设施方面都很不错,住着很舒适,服务也比较热情,是一家性价比很高的酒店.', '短评打分': 3}
{'短评内容': '酒店各总体服务感觉都挺好的,房间的也比较干净,比较大,地理位置也比较方便,就是价格有些偏高,要是能便宜些就更好了', '短评打分': 3}
{'短评内容': '在北京这个价格来说算是比较合适的，硬件条件和服务都还可以，离我办事地方也挺近的，比较方便。', '短评打分': 3}
{'短评内容': '酒店的位置还是不错的，但是交通我觉得北京交通都不是特别方便，不过他们酒店的条件是挺不错的，价格又优惠，我觉得比较实惠。', '短评打分': 3}
{'短评内容': '环境不错，卫生也很好，很干净整洁，位置明显，很好找。服务态度也很好。', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置标注的不是很明显的，酒店的价格还可以的', '短评打分': 5}
{'短评内容': '卫生很整洁，设施也很不错。最重要的是服务非常棒，前台服务员服务态度棒，很热心，很负责', '短评打分': 5}
