{'descr': '早餐没东西可以吃，服务态度很不好！', 'star': 1}
{'descr': '非常不错，性价比很高，就是不能上网', 'star': 3}
{'descr': '  酒店不错  房间略小   满意', 'star': 3}
{'descr': '酒店比较干净。', 'star': 3}
{'descr': '不错！', 'star': 3}
{'descr': '店里很干净,服务也好,早餐很健康', 'star': 3}
{'descr': '有些吵 不是很安静 浴室间水比较小 洗澡不是很舒服', 'star': 1}
{'descr': '设施，服务感觉与如家等酒店差不多，比较喜欢', 'star': 5}
{'descr': '非常不错，出行方便，距离裕华东路和东风路都很近，房间布局紧凑合理，干净卫生，就是二楼和房间的阶梯较多，容易摔倒', 'star': 5}
{'descr': '周围在装修，比较乱。房间不隔音，晚上很吵，卫生间很滑', 'star': 1}
{'descr': ' 环境很好，值得推荐', 'star': 3}
{'descr': '比较干净，卫生条件不错，室内设施也比较齐全，就是网速有点慢', 'star': 5}
{'descr': '酒店还算干净，但前台服务人员的态度和登记速度让人受不了。登记一下住宿，足足等了30分钟，什么效率！', 'star': 1}
{'descr': '挺好', 'star': 3}
{'descr': '  房间隔音效果太差', 'star': 3}
{'descr': '环境不错~服务态度很好，就是隔音稍微差点，能听见隔壁的呼噜声~', 'star': 5}
{'descr': '总体不错。但早饭好些主食不热，汤粥补充不及时。退房结帐排队时间太长，且不按先后，总让取餐券的优先', 'star': 3}
{'descr': '驿家365（保定东风公园店）这家总体看来各个方面都还不错。只是前台人员太少，只有一个实习生。但是服务不错。可能是当天特殊情况吧（下午15:00左右）。', 'star': 5}
{'descr': '非常好', 'star': 3}
{'descr': '卫生洗浴条件都不错，环境也很好，还会推荐朋友们来这里', 'star': 5}
{'descr': '还不错！这个地方比较容易找，床也比较舒适，下边又有餐厅，相对而言还是不错的！', 'star': 5}
{'descr': '房间大小和汉庭差不多，但是服务人员的素质有些差别。酒店设施还是不错的。', 'star': 5}
{'descr': '一如既往地支持，好。', 'star': 3}
{'descr': '1。离市中心近，距直隶总督府、大慈阁、大钟寺很近。\n2。干净卫生（这是我很关注的），尤其卫生间里很干净，无异味。\n3。价格合理，且带免费早餐及大厅1小时免费台式机上网（屋内有免费上网网线），信价比很高。\n4。空间有点小，不过两个人已经足够了。\n5。隔音一般，还是能听到旁边屋里的声音。\n6。一点小建议：从北往南找的时候，没有指示牌，容易走过。\n总体，对这次的入住，非常满意，听说烟台还有一家连锁，所以', 'star': 5}
{'descr': '环境非常优秀     \n服务态度很好                                                         \n希望能在市中心开一家店啊~~呵呵                \n我和爱人都很喜欢。\n有很好的电视 饮用水 叫外卖也很方便。\n回想朋友推荐\n我自己也会很快再次光顾~~~~\n好地方啊      喜欢', 'star': 5}
{'descr': '还可以\n住的那段时间附近在修路，交通不是很方便。卧室比较小，但是干净。有饮水机，但是水不是很好，建议不要喝。', 'star': 5}
{'descr': '干净环境好，服务周到，交通便利。感觉挺温馨，性价比不错 位置得天独厚，深处闹市又不喧嚣，酒店在各项管理和服务流程上也体现了很高的水准，我们对贵点的经营的服务有很高的认知度，希望你们继续努力为客人营造更好的服务环境！\n', 'star': 5}
{'descr': '不错哦，隔音效果微差，其余的很好。。\n酒店的食品还需要服务员才能买到，比较麻烦，还不如是那种投币的比较方便', 'star': 5}
{'descr': '挺好的只是灯光不柔和。别的都特别好。', 'star': 3}
{'descr': '整体来说还可以，房间隔音效果稍差些。电视收的台不多，而且很多台不清楚。房间比较干净，卫生间稍微小了点，关键是没有遮挡不大好,总体来说还可以', 'star': 5}
{'descr': '快捷、干净、早餐要早点去，去火车站方便，离商业中心 总督府、莲花池、大慈阁较近近，可步行十分钟即到。离河北大学步行十五分钟，坐车两站 ', 'star': 5}
{'descr': '没有早餐 123块钱 真的有点不值得啊  那里的放假才  130 并且送会员卡用会员卡 下次去才90  自己体会去吧', 'star': 5}
{'descr': '无窗的大床间太小了一点，住在里面会比较闷，房间的隔音效果很差，隔壁有个情侣吵架，我们这边听的一清二楚。不过价钱确实比较便宜。', 'star': 5}
{'descr': '酒店很不错，性价比很高,很喜欢', 'star': 3}
{'descr': '整体来说还可以，房间隔音效果稍差些。电视收的台不多，而且很多台不清楚。房间比较干净，卫生间稍微小了点，关键是没有遮挡不大好', 'star': 5}
{'descr': '整体还行。卫生条件还可以。房间隔音效果不是很好，晚上睡觉时服务员的对讲机听的很清楚。门前停车位较少。', 'star': 5}
{'descr': '非常不错，出行方便，距离裕华东路和东风路都很近，房间布局紧凑合理，干净卫生，就是二楼和房间的阶梯较多，容易摔倒！', 'star': 5}
{'descr': '环境优雅,服务周到,我很喜欢.', 'star': 3}
{'descr': '不错，卫生不错，网上订的时候说137不含早餐，但到店的时候给了餐券，就是位置有点偏不大好找，房间小点，总体来说不错', 'star': 3}
{'descr': '干净就是没有毛巾', 'star': 3}
{'descr': '我定的有窗的，结果没窗，房间太小了，也就12-13平。没说含早餐，但意外的含早餐。', 'star': 5}
{'descr': '酒店整体不错，只是沐浴露质量有点不高，且没有毛巾，相对其他旅店稍稍有些欠缺', 'star': 5}
{'descr': '差酒店房间太小了，没有办法住的哈哈下次是不会住了啊。', 'star': 1}
{'descr': '房间有点小，服务一般早餐难吃，地方比较偏僻。', 'star': 1}
{'descr': '基本还算干净，清爽，服务态度还可以，适合商务人士入住。', 'star': 5}
{'descr': '很干净，舒适，给我留下了很好的印象。有机会还会住在那里', 'star': 5}
{'descr': '很不错，我很喜欢，就是房间有点点小可是很干净，有一个小小的瑕疵就是希望可以将杯子外包裹塑料包装，像消毒餐具一样', 'star': 5}
{'descr': '挺不错的，环境很不错，服务周到，价格便宜，很不错', 'star': 5}
{'descr': '硬件与如家等早期开设的快捷酒店相似，服务意识及水平稍欠，价格优于如家、锦江之星等酒店，综合评价优于其他快捷酒店。', 'star': 5}
{'descr': '房间有点小，别的还好', 'star': 3}
{'descr': '服务态度一般，我们房间的空调不是很给力，还有那个网速，不过整体上不错~下次有机会还去', 'star': 5}
{'descr': '坚决的不会推荐！卫生很差。我还要为坏掉的电话买单。。想用毛巾还要花钱买。。事情是这样的，我住的房间电话坏了，早上特意的跑到前台去告诉他们，不幸我中午记错时间退房晚了二十几分钟，前台要收我半天房费！还说：打电话提醒了两次，你不接电话！！！最后出来一服务员说那么按钟点房收20好了。。。我的个天，半天房费和20元差好多吧，酒店忒不正规！还连锁。。。无语！！\n更加可悲的是我 两个月前住过一次保定的这家店，', 'star': 1}
{'descr': '新装修的比较干净，房间比较小。\n店内宣传海报上介绍的早餐时间到9点半结束，但是8点半去吃的时候基本上已经没东西吃了。桌上摆满用过的餐具没有及时收拾。\n位置还好，到直隶总督署、古莲花池，逛街的地方都很近，走路10来分钟就到了。\n到火车站打车10块之内。不过附近不太好打车，都要等一阵。', 'star': 5}
{'descr': '已经第二次住了，一如既往的好，值得来，推荐！', 'star': 5}
{'descr': '硬件设施与如家等大型连锁酒店相似。服务态度，管理水平较之如家等稍逊。', 'star': 5}
{'descr': '不错，环境很好，很干净，设施也很齐全', 'star': 3}
{'descr': '还不错，位置不是太偏，房间卫生、干净,如果下次去保定，还会入住。', 'star': 5}
{'descr': '干净，安静，价格公道。极力推荐。以后还来入住。', 'star': 3}
{'descr': '很不错的酒店，环境优雅，交通便利，很实惠的酒店', 'star': 5}
{'descr': '房间不大，但是很温馨，下次还住这里，觉得很不错', 'star': 5}
{'descr': '还可以，自己住已经可以了。就是地理位置有点偏吧', 'star': 5}
{'descr': '不错，推荐。酒店很舒适，就是隔音稍微有点儿差', 'star': 5}
{'descr': '还不错 比较干净卫生安静 可惜我住那间没窗户 入住时没注意', 'star': 5}
{'descr': '  不错，很干净，环境很好，服务到位，很贴心，下次还会光顾。', 'star': 3}
{'descr': '由于是新开业不久的缘故吧，很干净，设施也很现代化，服务周到，还提供免费的早餐自助，美中不足的是窗户太小了。下次去保定一定还去这里。', 'star': 5}
{'descr': '今年前住过，现在依然不错，就是没有早餐，有点失望', 'star': 5}
{'descr': '房间小巧干净整洁，设施齐全，很满意', 'star': 3}
{'descr': '，环境不错，价值格合理，服务周到。', 'star': 3}
{'descr': '环境很好，很安静，就是门口修路，不怎么好走，但房间很干净整洁，住着很舒服，下次还会入住。', 'star': 5}
{'descr': '房间还可以，早餐一般！', 'star': 3}
{'descr': '酒店位置较偏，前台服务缓慢，但内部环境比较干净。', 'star': 3}
{'descr': '还行！隔音不行！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '酒店很卫生，服务员态度也还好。电视画面和声音有延迟。不知是不是特例晚上12点左右还能听见服务员巡视时对讲机的声很大，吵，建议配个耳机。总体来说还是很满意。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '刚开业,环境不错，只是长城大街道路半封闭，开车的得绕行,免费早餐,电视的画面延迟\n\n', 'star': 5}
{'descr': '一如既往的好，干净整洁，建议调整一下窗户，多透透气。', 'star': 5}
{'descr': '酒店服务人员非常热情，由于酒店周边修路，交通有些不便！', 'star': 5}
{'descr': ' 环境不错', 'star': 3}
{'descr': '刚开业,环境不错，只是长城大街道路半封闭，开车的得绕行,免费早餐,电视的画面延迟', 'star': 5}
{'descr': '入住时刚开业没有多长时间，房间挺干净的。早餐免费，种类少些。', 'star': 5}
{'descr': '驿家365连锁酒店（保定东风公园店）硬件环境还是不错的，房间被褥也算干净，就是有两点提醒其他旅游注意：1.该酒店没有院内停车场，只能把车停放在酒店前，酒店声明“车物安全自理”，并不负责看管。2.东风大街是条小街道，目前正在供暖线路改造，道路半封闭，入住者建议提前了解路况信息。对了，他家是提供免费早餐的，虽然品种很少。', 'star': 5}
{'descr': '酒店干净，地点也很方便。', 'star': 3}
{'descr': '整体感觉很好，服务人员热情，室内整洁,早餐很丰富营养。唯一不足的是洗漱间坐便松动且异味较大，希望这只是个别现象，也希望酒店能加以改进。', 'star': 5}
{'descr': '设施已经陈旧了。', 'star': 3}
{'descr': '到了就直接报名字的、付钱就能入住的，但感觉前台的服务态度还要有所提高。', 'star': 5}
{'descr': '环境好，价格便宜，值得推荐', 'star': 3}
{'descr': '不错，房间够大，挺干净的，我们住的房间朝南，早上太阳真大。', 'star': 5}
{'descr': '盐城唯一的锦江之星，干净整洁，设施很好，大金的空调效果很棒，餐厅的饭菜也不错哦，出门就是BRT 一块钱超便宜，如果能在火车站附近再开一个锦江就好了……', 'star': 5}
{'descr': '不错的地方，建议弄些单人床，就是有点吵闹', 'star': 5}
{'descr': ' 服务不错，干净安静，房间宽敞。', 'star': 5}
{'descr': '宾馆不错 服务态度一流 卫生一流', 'star': 5}
{'descr': '酒店的卫生搞得相当好,服务态度也是很好,如果价位再低一点就更好了.', 'star': 3}
{'descr': '酒店还是相当不错的，卫生和服务态度还是比较好的，房间的空间还是很大的。', 'star': 3}
{'descr': '锦江的服务态度是相当的好的，如果价格能再便宜一点就更人性化了。', 'star': 5}
{'descr': '不错的快捷酒店', 'star': 5}
{'descr': '位置有点偏,房间挺干净的', 'star': 5}
{'descr': '看来锦江之星对服务的要求不高，酒店工作人员竟然守着客人的面偷着吃餐厅提供的自助餐，但是却让顾客等着到点才能就餐，相当的过分，我有手机视频为证。问工作人员也是面如僵尸一般。不错的一点是位置不错，爱着东进路美食街。', 'star': 1}
{'descr': '在盐城比较而言，是很不错的。', 'star': 3}
{'descr': '在盐城锦江和其它的酒店比要好得多，让人住了舒服，主要是服务态度相当的好。', 'star': 5}
{'descr': '商务酒店我经常住，感觉锦江是非常好的.硬件.和卫生条件都不错.我比较喜欢住锦江之星连锁.', 'star': 5}
{'descr': '整体感觉很不错，尤其是房间的空间比较大，在快捷酒店中是比较好的。如果今后再去盐城，打算还存在这家。', 'star': 5}
{'descr': '不是从网上找，是不会发现这家店的。一是没有人行主干道的明显标志；二是价位较当地同档店略偏高。', 'star': 5}
{'descr': '还可以。', 'star': 3}
{'descr': '一般化。', 'star': 3}
{'descr': '房间的卫生和设施好，服务也可以，总之锦江都差不多。', 'star': 5}
{'descr': '位置稍偏，晚上到了也找不到吃饭的地方，周边商业不发达。', 'star': 5}
{'descr': '位置有点偏，出行不太方便，房间的卫生和设施还不错，服务也可以，整体感觉这家酒店的性价比还是比较高的', 'star': 3}
{'descr': '位置还是不错的,位于市中心,出行都很方便,房间的卫生和设施也都不错,住着很舒适,下次再来我还会选择这家酒店.', 'star': 3}
{'descr': '酒店各方面条件感觉都还不错,里面也蛮干净的,就是卫生间比小,不过经济型酒店都是这样的,可以理解.', 'star': 3}
{'descr': '房间比较宽敞,舒适度比较高,但是,夏天蚊子较多(6楼),酒店应该适当采取措施进行治理,不然舒适度大打折扣.', 'star': 5}
{'descr': '酒店的硬件条件还算可以，毕竟是经济型的酒店，但是服务环境非常不错，位置也很方便，总得来说还是很满意的。', 'star': 3}
