{'短评内容': '不错不错四星', '短评打分': 5}
{'短评内容': '前台人员服务态度较好，酒店门口有直达机场地铁，交通较方便。', '短评打分': 5}
{'短评内容': '酒店位置很好,就在地铁3号线燕岭站旁边,很方便,酒店房间也不错,早餐也还丰富.缺点就是要12点退房,请在意退房时间的客人注意啊!', '短评打分': 5}
{'短评内容': '总体不错,特别是轨道交通很方便，可以赶上第二天7点半的飞机。', '短评打分': 5}
{'短评内容': '交通方便。吃和住一般', '短评打分': 3}
{'短评内容': '酒店价格还可以,但房间装修偏旧,地理位置不错,交通很方便.', '短评打分': 3}
{'短评内容': 'This was the second time I have stayed in this hotel. It was nice. The check-in and check-out were very impressive. Fast and effective.', '短评打分': 5}
{'短评内容': 'Good hotel. Service impressive.', '短评打分': 5}
{'短评内容': '硬件设施很普通，大概3星的标准，服务还可以，早餐一般', '短评打分': 5}
{'短评内容': '酒店设施一般，但娱乐餐饮项目比较全。123', '短评打分': 5}
{'短评内容': '酒店地点上佳，就在地铁口，早餐也不错，而且餐厅还提供早茶服务，可惜没享受到，', '短评打分': 5}
{'短评内容': '帮朋友预订，只要是位置比较适合他们的要求，还可以', '短评打分': 5}
{'短评内容': '还是比较方便的，边上就是地铁。\n不过房间走廊还是有些味道，没法子，老酒店了。\n房间里面的设施也行，但是如果要求高的还是不要考虑了。', '短评打分': 5}
{'短评内容': '我住这个标间很一般。。。早餐很单调，一般，唯一优点是离地铁口很近！！', '短评打分': 1}
{'短评内容': '酒店位置比较好，打车也挺方便的，早餐很不错，值得再次尝试。', '短评打分': 5}
{'短评内容': '离地铁非常近，出行非常方便，唯一缺点是空调只有制冷，希望冬天如注的药考虑，不过服务非常好', '短评打分': 5}
{'短评内容': '酒店不错。服务也很好，早餐品种叶很多，最主要的是就在地铁口上，唯一缺点是没有暖空调。', '短评打分': 5}
{'短评内容': '交通方便、设施不错、还算早餐，关键是服务好，推荐', '短评打分': 5}
{'短评内容': '总体不错，但是卫生间偏小些，地铁站很近，比较方便 \n', '短评打分': 5}
{'短评内容': '服务很到位，早餐也不错，重要的是交通方便', '短评打分': 5}
{'短评内容': '3号线燕塘站附近，相当的方便，早餐也不错，因此推荐', '短评打分': 5}
{'短评内容': '性价比奇差无比 愧对4星的衔头 不会再住', '短评打分': 1}
{'短评内容': '优点：服务热情及时，早餐丰富，在地铁站旁交通方便。\n不足：淋浴花洒水太小。', '短评打分': 5}
{'短评内容': '给客户订的 他说房间蛮大的 看来比较满意 (*^__^*) 嘻嘻……\n', '短评打分': 5}
{'短评内容': '总体不错，但是房间偏小些，打出租车要道马路对面，但是有地铁站很近，比较方便', '短评打分': 5}
{'短评内容': '酒店性价比还是不错的，位置还行，以后有机会还会住。', '短评打分': 5}
{'短评内容': '己入住', '短评打分': 3}
{'短评内容': '该酒店的早餐不错,还送报纸,房间也显得比较干净.由于地处交通干道叫出租车也比较容易.去火车东站也比较近.', '短评打分': 5}
{'短评内容': '酒店设施与卫生也很不错，感觉很舒适。下次还会住！', '短评打分': 3}
{'短评内容': '燕岭大厦的大堂服务很好，其他服务也不错，很满意 ', '短评打分': 5}
{'短评内容': 'OK啦，就是房间小了点，其他都还满意的。。。', '短评打分': 5}
{'短评内容': '服务好卫生舒适.', '短评打分': 5}
{'短评内容': '燕岭大厦的大堂服务很好，其他服务也不错，很满意', '短评打分': 5}
{'短评内容': '嘿嘿，免费给生了房。服务相当好。', '短评打分': 5}
{'短评内容': '不错哦,达到它的星级,性价比高.就是地点比较偏.是因为公务员考试而选住这里', '短评打分': 3}
{'短评内容': '不错的酒店，下次还来', '短评打分': 5}
{'短评内容': '酒店整体都是很好的，虽然下面是立交，但一点都不觉得吵，值得推荐给朋友。但楼下的中餐厅一般般，羊排上面的肉是不是师傅先吃了，每根10元钱，可真的是羊排，肉没了，菜味道特差，但服务还是不错的。早晨的自助餐环境不错，挺整洁，东西挺好吃的。', '短评打分': 5}
{'短评内容': '因为公务员考试地点而订了燕岭大厦，到达之后才发现是四星级的，进门就很温馨的感觉，也许是大堂布满黄色的香水百合。房间环境不错，设备也是很齐全的，洗澡的“热带雨林”很爽，惊讶的是连体重计都有，哈哈，而且可以延迟到下午2点退房，不过还差15分钟就被催了。总的来说，性价比还是很高的，赞~', '短评打分': 5}
{'短评内容': '预订的标准间没有了，酒店自动帮我升级到豪华标准间，态度非常好。酒店设施与卫生也很不错，感觉很舒适。下次还会住！', '短评打分': 5}
{'短评内容': '酒店的硬件条件是还可以，位置也还不错，价格适中，但是他们的服务不好，我不会再去了。', '短评打分': 3}
{'短评内容': '酒店的位置很一般，不是特别方便，也不是特别不方便，环境还不错，服务挺好的，价格我也能接受。', '短评打分': 5}
{'短评内容': '房间稍微小了点，服务环境还不错，地理位置也挺好的，交通很方便', '短评打分': 5}
{'短评内容': '酒店比较老了，设施有些陈旧了，价位还行，主要是当时它离办事点近，不然不会在这家住的', '短评打分': 1}
{'短评内容': '&amp;lt;P&amp;gt;除非遇上广交会，否则没必要住这里。&amp;lt;/P&amp;gt;', '短评打分': 3}
