{'descr': '无窗稍微有点闷 总体还好', 'star': 5}
{'descr': '酒店很干净，离店时非常满意，服务员也不错，可是一个早餐把所有的好感都消灭，早餐卫生和质量急需提高。拿到的鸡蛋吃到一半发现是坏的，蛋白表面已经发黑，才发现桌边也有一个被其他房客剥开未吃丢在桌上的坏蛋。软软小番茄也是一股腐烂的味道。难道餐厅被个人承包？里面只看到一个服务员忙来忙去，明显招架不住。', 'star': 1}
{'descr': '隔音太差啊，。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很不错的酒店 henganjing  feichang bucuo ', 'star': 5}
{'descr': '还不错，房间挺温馨的，价位也可以，服务总体来说是可以的', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '酒店还是很好的！价格便宜！干净卫生！服务也很好！下次来还住这儿！', 'star': 5}
{'descr': '设施都挺新的，整体也还干净，感觉比较温馨，不过地上有些灰尘，床上发现毛发，希望改进。', 'star': 5}
{'descr': '不错，价格实惠，就是不能刷卡，有点可惜，毕竟现在出行都带不了太多现金', 'star': 5}
{'descr': '＋不错，一直住这。', 'star': 3}
{'descr': '经济实惠、环境不错，前台人员服务态度不错，不足的电视有点小,总体还是不错的。', 'star': 5}
{'descr': '是个新宾馆，很干净，服务态度超好的！大力推荐哈！', 'star': 5}
{'descr': '如家一直感觉是比较温馨的，就是隔音有点差，还不送早餐', 'star': 5}
{'descr': '服务态度很好，房间很干净卫生，这几天住这。', 'star': 5}
{'descr': '服务态度很好，房间也很好。干净，卫生。这几天住这。', 'star': 5}
{'descr': '＋感觉不错！', 'star': 3}
{'descr': '小了点，其他都很ok…下次还会继续入住………………', 'star': 5}
{'descr': '服务很好，环境很干净。电视小了点。总体很好。', 'star': 5}
{'descr': '房间是木地板，刚刚开始是个几乎没窗的标间，后来调了一下，房间有窗户了，但是变小了，总的来说，房间相对比较小，但是服务人员态度非常好，赞一个', 'star': 5}
{'descr': '房间有点小，电视也有点小，坐床上快看不清了呵呵。服务很好，前台工作人员很敬业，很客气。', 'star': 5}
{'descr': '房间不大.但很温馨。比较安静、干净、位置在市中心比较好', 'star': 3}
{'descr': '一如既往的好，房间整洁，服务周到，很不错的值得推荐', 'star': 5}
{'descr': '房间小了点  其他都不错房间小了点  其他都不错房间小了点  其他都不错房间小了点  其他都不错房间小了点  其他都不错', 'star': 5}
{'descr': '如家果然是一如既往的好啊，环境，卫生，服务都很好。', 'star': 5}
{'descr': '服务很好，环境不错！', 'star': 3}
{'descr': '环境新，服务好，出行方便。性价比较高。不错的选择。', 'star': 3}
{'descr': '这家新的如家还是一如既往的好，环境舒适，交通便利，已经住过多次了呢', 'star': 5}
{'descr': '连续住了两晚，换了两个不同的房间，感觉都不错！能满足我的要求，价格又便宜，还能提前开好发票，真是不错，下次还住。', 'star': 5}
{'descr': '新酒店，设施很人性化，唯一不足就是周围吃饭的地方不多。', 'star': 5}
{'descr': '很好，都是新的，设备齐全，风格温馨', 'star': 3}
{'descr': '比较安静，地理位置还可以。环境好，以后还会入住\n比较安静，地理位置还可以。环境好，以后还会入住', 'star': 5}
{'descr': '酒店周边环境好，狠安静，交通便利，服务态度好，干净整洁！', 'star': 3}
{'descr': '酒店很新，干净整洁，服务态度好，网速快！', 'star': 3}
{'descr': '交通方便，干净整洁，值得推荐。不足是不能刷卡。', 'star': 5}
{'descr': '新开的，环境很好，床很舒服，互动电视挺好的，要是能刷卡就更好了\n一', 'star': 5}
{'descr': '房间不大，不过挺温馨：比邻南洋广场，繁华市区。挺好的，哈哈', 'star': 3}
{'descr': '房間干淨舒適溫馨,洗澡舒服，服务态度好，性价比高，只是等發票時間太长\n', 'star': 5}
{'descr': '周围环境较好，闹市中不失幽静，房间还是一如既往的干净，值得推荐。不足是可能刚开业，不能刷卡。', 'star': 5}
{'descr': '除了隔音稍显缺漏 其他都是满分 特别爱那个电视 晚上可以顺带看个电影~', 'star': 5}
{'descr': '不错， 靠近市区。而且交通方便， 环境适合休闲和商业用途。由于这幢酒店是新的， 所以客房都还好， 整洁也整齐。', 'star': 5}
