{'短评内容': '一般。位置不错，但设施较陈旧。要求不高就尚可。', '短评打分': 5}
{'短评内容': '这个酒店总体来说还不错，一百多块钱也就这样了。房间设施干净，但是总体感觉里面有点湿气味道，可能太靠近江边了或者酒店历史太久了，不过如果到大榭码头的话，这个酒店最适合居住，因为出门就可以乘车。\n  总台女孩子应该换一下，服务比较生硬，给人的感觉是爱来不来一样！\n  从性价比来讲（158元/天），推荐居住！', '短评打分': 5}
{'短评内容': ' 卫生.环境比较差，服务也不行，不明白为啥推荐这摸差的酒店，还说三星', '短评打分': 3}
{'短评内容': '比较偏僻不太好找，房间是比较老旧的招待所房间，房间卫生还看得、电脑只是摆设而已不能使用，价格低廉，也能凑合住一宿。', '短评打分': 5}
{'短评内容': '服务态度较差,对客人有不信任感.外面达总机没人接,后来说是话务台不好,没有振铃.', '短评打分': 1}
{'短评内容': '＋环境不怎样，电视也收不了几个台，热水晚上12点之后就没有了。不推荐！', '短评打分': 3}
{'短评内容': '房间太差， 有异味，不通气，洗浴水太小，电脑房电脑不能用，钱也白付了电脑房的费用！', '短评打分': 5}
{'短评内容': '房间设施简陋，顶要脱落了，地板是翘的，应该好好再装修一下。', '短评打分': 5}
{'短评内容': '房间电话不能用，椅子靠背断裂，竟然说没有椅子可换，这么大酒店，愣是连把椅子也换不起，闪了我好几次，幸好不是老年人，真实杯具', '短评打分': 1}
{'短评内容': '刚走到房间就有卫生间的一股味道弥漫，顶上的两块板空着，水量太小，早上热水不足，隔音太差，隔壁说话声音清晰。但从价格上来讲，还是可以接受的，要求不太高的话还是推荐居住。', '短评打分': 5}
{'短评内容': '网上定的还好，在那住了好几次了，就是电脑坏了', '短评打分': 5}
{'短评内容': '离外滩非常近,地理位置好.价格实惠,房间内算是干净.', '短评打分': 5}
{'短评内容': '就是洗澡间的水太小了，厕所和房间很近，房间有点潮湿~！', '短评打分': 1}
{'短评内容': '发现卫生间顶上有个洞，很惊悚的事情。\r\n还有，水很小，洗澡不爽', '短评打分': 5}
{'短评内容': '店名不错,但入住后大失所望.卫生设施太不可思议了', '短评打分': 1}
{'短评内容': '很实惠,价格不高,位置很好,离天一广场比较近,就是设备有点老旧,房间还是比较大的', '短评打分': 5}
{'短评内容': '硬件条件一般，但是距离宁波南站\u3000宁波北站较近！', '短评打分': 5}
{'短评内容': '城市印象交通便利，只是卫生有待改进', '短评打分': 5}
{'短评内容': '总体上还好,服务员态度好，热情.\r\n房间闭门器不好,自助餐厅环境好，但将客人的剩菜剩饭摆放在食物附近及离视线很近的地方,让人恶心.', '短评打分': 1}
{'短评内容': '地点不错，酒吧街及老外滩就在眼前，旁边有个旅游公司和码头，方便出游。设施稍旧点，但性价比很好，前台服务员态度很友好。', '短评打分': 3}
{'短评内容': '+靠你老外滩，打车很方便，周围正在二次开发，以后是个好位置，酒店环境不错，房间宽敞，卫生干净。不错！', '短评打分': 5}
{'短评内容': '我们房间的被子是破的，换了一床还是破，就懒得再让他们换了，勉强住了两晚，其他还行', '短评打分': 1}
{'短评内容': '    这家店位置不错，和宁波老外滩还有客运码头很近，去舟山普陀山会很方便，去那边的售票点就在酒店隔壁。楼道内有股味道，闻着不太舒服，房间内配有电脑电视，还是不错的，但是电脑有缺陷，键盘和鼠标因接口不好都不能使用，地毯比较脏，床单有好几个地方是破的，卫生间里面只有沐浴露，没有洗发水，还有就是喷头有些问题，时不时的会滴些水下来，晚上睡觉被水声吵到了。隔音不太好，边上房间里面稍微大点声就可以听到。\r\n', '短评打分': 5}
{'短评内容': '地点不错，离老外滩和酒吧街很近，码头近在咫尺。服务还说的过去。就是设施旧点，我们房门从屋里想开很难。要是有个紧急情况就麻烦了。有点吵', '短评打分': 5}
{'短评内容': '我订的是高级大床房，服务员给我的是普通大床房，有点不满意，不过环境卫生不错。希望态度方面有所改进！', '短评打分': 5}
{'短评内容': '酒店位置还算可以,房间隔音效果非常差,有点房间还无宽带', '短评打分': 1}
{'短评内容': '设施旧了点点，但是位置不错，靠近汽车站，靠近到普陀山的车船联运出发点，售票点和候车厅就在酒店一侧50米处，非常方便！步行5分钟内即到达老外滩商业中心，很不错！卫生状况不错，特价房也有窗户，房间还有电脑，提供免费宽带。我住这间淋浴房有点问题，会漏水，其它都还好，属于性价比比较高的酒店。如果有打算去普陀山的，可以在此歇脚，非常方便', '短评打分': 5}
{'短评内容': '总体感觉一般，小了点，旧了点，隔音差了点，而且门面也不够亮堂，位置倒是还过得去。如果不是为了逛街方便的话，建议还是不要住。', '短评打分': 1}
{'短评内容': '与女朋友第一次住那里环境不错的，就是隔音还需要加强', '短评打分': 1}
{'短评内容': '觉得很是一般                           ', '短评打分': 5}
{'短评内容': '酒店比较卫生，地理位置还可以。价格还不错。', '短评打分': 5}
{'短评内容': '住了好几次，以后不想再住的感觉。设施越来越陈旧了', '短评打分': 3}
{'短评内容': '从普陀山坐车船联票的车船终点站就在酒店旁边\r\n交通方便\r\n处在老外滩旁\r\n去天一广场只需10~15分\r\n服务态度很好\r\n我们由于在保国寺坐公交车晚点 迟了1个小时退房也没有另外加我们房租\r\n只是有点小\r\n设施有点老旧', '短评打分': 5}
{'短评内容': '第二次入住，不错的选择', '短评打分': 5}
{'短评内容': '设施有点旧了，呵呵', '短评打分': 1}
{'短评内容': '还算错，就是感觉那么一点点压抑', '短评打分': 5}
{'短评内容': '去之前看别人评论说酒店隔音不好，入住后发现确实不是太好，隔壁吵架声音是能听见。不过真正把隔音做到听不到隔壁一点动静的酒店又有几家呢。对出外旅行来说这不是什么问题，大声吵架确实能听到，正常说话是不会传到这边来的，没啥问题', '短评打分': 3}
{'短评内容': '位置还不错，离天一广场和老外滩都很近，房间还算整洁、干净，就是房间和卫生间有点小，不过出外旅行也无所谓了。总体来说性价比还是不错。就是酒店旁边的饭店（大碗菜旁边）不要吃，看着像大排档，菜量死贵还很少', '短评打分': 5}
{'短评内容': '隔音不好，早上楼下太吵（距离居民楼太近）', '短评打分': 1}
{'短评内容': '周边环境不错，房间比较赶紧。', '短评打分': 5}
{'短评内容': '酒店位置不错，只是楼内没有明显的房间位置标示，我和朋友找了半天绕了一大堆冤枉路，建议酒店增加明显标记！', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 1}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '城市印象酒店位置很好，在宁波老外滩附近，交通方便。吃饭也很方便，旁边就有一家快餐店，价格很便宜。酒店的边上有去普陀山的快艇。', '短评打分': 5}
{'短评内容': '作为经济型酒店，宁波城市印象给人的印象尚可。其地理位置不错，去普陀山游玩，出门右转10米检票入站，即可由此乘车去大榭，然后再乘船抵普陀山。另外，该酒店距宁波市中心也不远，而且紧邻酒吧。', '短评打分': 5}
{'短评内容': '这个价钱就这样了', '短评打分': 5}
{'短评内容': '房间有很重霉味，潮湿，隔音效果很差，能够听见隔壁和楼上放洗澡水的声音。电话机是坏的，网络也不一定能上（我们那间不能上，也没有网络管理人员）。总之很差，绝对不会再住。', '短评打分': 1}
{'短评内容': '性价比不错，地理位置不错 \r\n', '短评打分': 3}
{'短评内容': '性价比不错，地理位置不错', '短评打分': 5}
{'短评内容': '138的价钱，我本来就知道设施不怎么好，但最起码卫生要做好吧，床单上还有血迹，地毯脏的要死！', '短评打分': 3}
{'短评内容': '位置比较偏，卫生还不错', '短评打分': 5}
{'短评内容': '总的来说很不错就是很偏.根本不在宁波的市中心.', '短评打分': 5}
{'短评内容': '去过一次就不想再去的酒店', '短评打分': 1}
{'短评内容': '有蟑螂。。。', '短评打分': 1}
{'短评内容': '138的价钱，我本来就知道设施不怎么好，但最起码卫生要做好吧，床单上还有血迹，地毯脏的要死！', '短评打分': 1}
{'短评内容': '挺好的~离天一广场不错', '短评打分': 3}
{'短评内容': '总体性价比是较高的，就是感觉隔音效果不够理想了。其他卫生与服务态度还不错的', '短评打分': 5}
{'短评内容': '房间地板和墙壁的连接处发霉情况严重，地毯的污渍一大块一大块的，让人感觉很脏很不舒服。', '短评打分': 1}
{'短评内容': '环境还可以，房间味道有点浓', '短评打分': 5}
{'短评内容': '房间地板和角落已经发霉了。桌下竟然有蜘蛛在结网。。。上网上到一半有只大蟑螂跑出来。。。', '短评打分': 1}
{'短评内容': '环境还是不错的，地理位置不能算偏，一般跟司机说在三医院附近的中马路上就能找到。去旅游离客运北站很近。房间设施还行，椅子是人体工学设计的，就是房间比较小，隔音不太好，我结账打总台电话要人来检查房间，结果总台电话铃直穿上来，很无语。', '短评打分': 3}
{'短评内容': '在江边，出来打车有点小烦，公交车次不多，不过有直接到火车站的841和1路。房间比想象中可以接受，椅子很有特色是人体工学设计的，但是房间太密集在房间打总台电话都可以清楚听到总台电话铃声响了，房门也快掉下来了反正关门不太好关。', '短评打分': 5}
{'短评内容': '外面是个停车场，早上比较吵，肯定会被吵醒。', '短评打分': 3}
{'短评内容': '还行，性价比还不错~距离天一广场不远', '短评打分': 3}
{'短评内容': '138元的标间房间比较小，洗漱间隔音特别差，位置也不好，周边吃东西很不方便！基本上晚上10点后就没东西吃了。但如果要做车船联运去普陀山，则是最佳的选择。因为售票和乘车点就在酒店门口右侧20米。', '短评打分': 1}
{'短评内容': '性价比不错，就是隔音效果不好', '短评打分': 3}
{'短评内容': '房间味道重，网络较差', '短评打分': 1}
{'短评内容': '卫生和设施一般，但是位置好，服务员态度也好,性价比还是高的。去普陀山方便。', '短评打分': 5}
{'短评内容': '很高的性价比，位置好，去普陀山的班车就在隔壁发车。设施是一般的,但是也在可以接受的范围内，服务员态度很好！晚上逛宁波的老外滩也很近。', '短评打分': 5}
{'短评内容': '隔音不是一般的差，房间和网上说的实际大小不符。居然就只有1-2两层楼，，厕所是我住过最“简单的”了。。。', '短评打分': 1}
{'短评内容': '一般一般。', '短评打分': 1}
{'短评内容': '网络不好。换了两个房间都不能上网。', '短评打分': 1}
{'短评内容': '房间够大，不过装修及设施简单，总体来说，一般一般', '短评打分': 5}
{'短评内容': '酒店不错哈 地理位置有优势 就是隔音效果不是特别好 ', '短评打分': 5}
{'短评内容': '隔音太差了点', '短评打分': 5}
{'短评内容': '性价比还是较高的 我们后来换成家庭房 比较大 但网络信号不好 服务员态度不错', '短评打分': 5}
{'短评内容': '酒店设施一般，但人员的服务态度可以，去普陀方便，适宜两天内的短期旅游居住', '短评打分': 5}
{'短评内容': '还不错，位置挺方便的，性价比也可以，其他就一般了', '短评打分': 5}
{'短评内容': '晚上看电视时看见墙上一只大蜈蚣！！！！！把我吓死，后来给我打死了。想想看很晚了就不叫服务员给我换房间了！总之心情很不爽！要是我没看见并打死，晚上爬到我身上来怎么办？杯具', '短评打分': 1}
{'短评内容': '酒店价廉，适合背包族居住。离市中心较近，交通极为便利，隔音一般。', '短评打分': 3}
{'短评内容': '最主要就是酒店的网络是铁通的 很慢 不爽', '短评打分': 5}
{'短评内容': '我住了两天，第二天要求更换更换床单，可服务员居然说床单要三天才换，这算什么规矩啊，还讲不讲卫生啊', '短评打分': 1}
{'短评内容': '位置有点偏，需打车到银滩大厦，再到大厦后面，离外滩有2个公交车站的距离，房间还行，就是不隔音，旁边房间的人说话听的一清二楚，晚上睡觉有影响，房间有电脑可以上网，这一点很不错', '短评打分': 5}
{'短评内容': '  卫生一般，服务态度不错', '短评打分': 5}
{'短评内容': '住了好几次了  感觉还好吧 这样的价格有这样的服务还是不错的 但是同样的房型会有时候房间的大小不一样的 但是总体的性价比还好', '短评打分': 3}
{'短评内容': '刚进房间有股很浓的味道。不过服务员很快就过来处理了--喷点清香剂。总体还不错，就是晚上有点吵。。我凌晨就醒来听噪音了。。。', '短评打分': 5}
{'短评内容': '酒店外观不是很新，房间还是比较温馨，值得推荐。', '短评打分': 5}
{'短评内容': '住了很多次了。不错的酒店。', '短评打分': 3}
{'短评内容': '住了很多次了。不错的酒店。', '短评打分': 5}
{'短评内容': '酒店位置很偏，周围都是工地，不是很好找。卫生一般，设施偏旧。特别是床，中间都已经“塌陷”下去了，可见使用时间很长了！', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好 位置很棒 吃饭也方便', '短评打分': 5}
{'短评内容': '热水不热 沐浴液和洗发水只有一个 而且没标签 隔音不好 早上七点整栋楼在震动 没法睡了 有台电脑 网速比乌龟慢了很多', '短评打分': 1}
{'短评内容': '推荐大家住这家酒店，位置很好，价格实惠。本来我们订的是标间，服务员看到我们是一家3口，老公又随便问了句有没有大床房，她就给我们换了个1米8的大床房。房间不大但很整洁（反正房间大了也没用），卫生间洁具看着也挺新的。可以上网，电脑是一体式的液晶，网速还挺快的。不错。不好的地方是酒店外观有点旧，如果你要在那里会客，要想想是不是有点拿不出手。建议这家酒店进行外观改造，不过那样的话估计就不是这个价格了。如果', '短评打分': 5}
{'短评内容': '经济实惠！挺好！', '短评打分': 5}
{'短评内容': '酒店地理位置很好，靠近老外滩。但是设施很旧，5.1期间涨价幅度超过40%。卫生条件也一般。', '短评打分': 1}
{'短评内容': '第一次住的时候感觉房间非常大，订的是大床房，第二次住的时候订的是一样的房间类型，但是房间小了很多，但是和其他的宾馆比的话也差不多了，床也没上次的舒服。但是总体来说还是不错的，服务的态度也不错的，性价比也是比较高的。', '短评打分': 5}
{'短评内容': '隔音较差，网速较慢，', '短评打分': 1}
{'短评内容': '干净卫生，位于老外滩，这个价位算不错了。', '短评打分': 5}
{'短评内容': '我认为设施在增加点，如吹风机、吃的东西，这样会更好！', '短评打分': 5}
{'短评内容': '隔音不行，床不舒服', '短评打分': 3}
{'短评内容': '就性价比来说这酒店算不错的了，并且服务挺好', '短评打分': 5}
{'短评内容': '性价比高，设施齐全，配有一体式电脑，非常好\r\n距离天一非常近，但同时又靠近外滩，闹中取静\r\n交通不太方便，很多的士司机不知道怎么去。\r\n另外枕头不是很舒服，其它都还过得去。', '短评打分': 5}
{'短评内容': '床垫不好，但是空间够大', '短评打分': 3}
{'短评内容': '床垫不好，但是空间够大', '短评打分': 1}
{'短评内容': '房间和定好的不一样，没窗户、隔音超级差、号称有宽带结果没有，电视模糊，只能躺床上睡觉！总之，出差N年，没住过这么差的酒店！好在服务员态度还不错，虽然不是专业的。。。', '短评打分': 1}
{'短评内容': '网速慢，服务还好，最令人头痛的是房间里有小的飞虫飞来飞去，我住1楼的', '短评打分': 1}
{'短评内容': '虽然不咋样,但不想再去找宾馆和拖着行李移动了,所以才延住了一天!\r\n\r\n', '短评打分': 3}
{'短评内容': '虽然性价比还算不错,但洗澡没热水,18点问,服务员说19点有热水;20点问,说21点有,结果到晚上10点多才有热水,哈哈!', '短评打分': 1}
{'短评内容': '  性价比很好 特别附近的街区很有特色', '短评打分': 5}
{'短评内容': '性价比还不错，我住的大床房可以免费上网，热水也可以。缺点就是太不隔音', '短评打分': 5}
{'短评内容': '很好，物有所值啊', '短评打分': 5}
{'短评内容': '一般，但价格在宁波还算可以，前台服务较好，缴税能多开票，适合出差', '短评打分': 5}
{'短评内容': '离外滩很近.出门100米开外各有一个公交车站,交通还算便利.\r\n大门右侧就是一中式餐厅&quot;顺旺基&quot;,还算便宜卫生.\r\n住的是所谓的&quot;江景房&quot; 又兼楼梯旁,隔音效果不是一般的差.\r\n', '短评打分': 5}
{'短评内容': '位置可以，房间有点旧', '短评打分': 5}
{'短评内容': '就隔音效果差点。。其他都还过得去。。', '短评打分': 5}
{'短评内容': '如果要去普陀山, 住这里挺方便的..出门右手就是卖票的和车站 \r\n但隔音实在太差, 让我老怀疑没有关门..\r\n晚上走廊开灯后房间里都是亮的, 下面门缝那个大呀...\r\n房间有电脑, 但网速超慢. \r\n', '短评打分': 1}
{'短评内容': '位置很好，设施也不错。', '短评打分': 5}
{'短评内容': '空调不热,隔音差,吵,卫生也不好,以后再也不住了\r\n', '短评打分': 1}
{'短评内容': '各方面都还可以', '短评打分': 5}
{'短评内容': '本人最失败的酒店经历，\r\n客观讲，地段不算差，但装修实在难以让人满意，设施都跟不上，唯一值得称道的倒是工作人员服务态度。', '短评打分': 1}
{'短评内容': '价格便宜，但设施一般。', '短评打分': 1}
{'短评内容': '经济!带电脑.卫生一般.位置太偏.建议服务再热情点.', '短评打分': 5}
{'短评内容': '烂就一个字！', '短评打分': 1}
{'短评内容': '酒店还可以,就是隔音有点差,希望可以改进,如果下次来,还可以选择', '短评打分': 5}
{'短评内容': '还行，位置不错', '短评打分': 5}
{'短评内容': '不足之处有两点：一、使用铁通的网络，慢！二、空调不热', '短评打分': 5}
{'短评内容': '地理位置是好的，就在宁波外滩边。但是房间比较一般，感觉装潢有点老。卫生间要改善。', '短评打分': 3}
{'短评内容': '感觉被子 不够干净。', '短评打分': 1}
{'短评内容': '已经第二次入住了，感觉各方面还行的，不能太苛求了。总体是不错的。', '短评打分': 5}
{'短评内容': '经济实惠还算比较干净', '短评打分': 3}
{'短评内容': '总体来说不错，性价比高，价格也实惠的，交通也方便！下次去的话还选这里住！', '短评打分': 5}
{'短评内容': '不怎么样 比较破旧', '短评打分': 1}
{'短评内容': '房间空调不佳，没有加被，冷s，淋浴器水压水温都不够。但地段还可以', '短评打分': 1}
{'短评内容': '希望能够再干净一些', '短评打分': 5}
{'短评内容': '隔音太差了啊~', '短评打分': 1}
{'短评内容': '出差住还是可以的', '短评打分': 5}
{'短评内容': '房间窗朝天井，有点不爽。房间很干净、设施还行。这个价位，这个地段还是很有性价比的。下次来还住。', '短评打分': 3}
{'短评内容': '1、临江，虽然江景不怎么样。房间挺干净，设施挺好，交通挺方便。离老外滩很近，晚上泡完吧可以走回来。\r\n2、离天一广场稍远一点，有一公里多的路程，酒店附件不太繁华。\r\n3、这个价位，在宁波市区，很划算的。', '短评打分': 3}
{'短评内容': '设施比较简陋,空调制暖不太好,卫生和服务也比较马马虎虎,位置的话还不错.', '短评打分': 3}
{'短评内容': '酒店的服务还是可以的，但是设施条件简陋的可笑，位置也不好，很偏，交通不方便，而且以他的设施条件来说这个价格偏高。', '短评打分': 3}
{'短评内容': '空调声音很大，墙上很多霉斑！隔音效果极差！竟然听到了XXOO的声音！房间空间太小，电视画面刺眼而且很多电视台放不出来！这次住了下次肯定不住了！', '短评打分': 1}
{'短评内容': '比较吵，窗户外面就是停车场，早上很吵。', '短评打分': 1}
{'短评内容': '卫生设施一般，但是交通地理位置还是很不错的。', '短评打分': 3}
{'短评内容': '价钱有些高，设施较旧，地理位置不佳', '短评打分': 5}
{'短评内容': '卫生设施挺一般的，服务态度还可以，就是地理位置不错，性价比还是不错的。', '短评打分': 5}
{'短评内容': '还是挺不错的酒店房间也还是挺不错的,服务态度也还行,位置是挺好找的,性价比还行.', '短评打分': 3}
{'短评内容': '酒店人员服务态度挺好的,环境也还可以,蛮整洁的,而且价格也不贵,挺满意的.', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '网速有点不敢恭维 其他一切OK', '短评打分': 5}
{'短评内容': '酒店的服务态度不错，位置也挺好的，整体的环境设施比较一般。', '短评打分': 3}
{'短评内容': '当天住的房间卫生不是很好，不过服务态度很不错的 ，设施有点老旧', '短评打分': 5}
{'短评内容': '酒店环境很差,卫生服务很一般,设施老旧,位置还可以.', '短评打分': 3}
{'短评内容': '房间里面空调的噪音很大晚上睡觉有点吵,卫生服务很不错,位置在繁华地段出行方便,性价比还可以.', '短评打分': 3}
{'短评内容': '房间有股味道，他们应该经常给房间通通风，其它都还好', '短评打分': 3}
{'短评内容': '酒店地理位置还是比较方便的,离宁波外滩挺近的,整体感觉酒店性价比还是可以的.', '短评打分': 3}
{'短评内容': '当时住的房间卫生条件不是很好,而且感觉也有些潮,采光不太好,价格还可以,主是离外滩比较近.', '短评打分': 3}
{'短评内容': '这对这家酒店不太满意,设施太简单,连最基本的热水都没有,感觉很不好,不符合酒店的价位.', '短评打分': 3}
{'短评内容': '交通便利，房间非常的宽敞，就是免费网络不是特别好，上QQ也会断线的，希望能加强。', '短评打分': 5}
{'短评内容': '酒店在市中心，位置不错，价格也比较适中，我觉得就是酒店本身环境一般，有点旧了', '短评打分': 3}
{'短评内容': '除了洗澡的热水有的时候供应不足以外，别的还可以，位置也比较方便', '短评打分': 3}
{'短评内容': '总体还不错。隔音差了点。\r\n\r\n', '短评打分': 5}
{'短评内容': '房间也比较干净,服务也挺好的,性价比也不错,唯一不好的地方就是隔音效果不好,硬件设施还不错,总体感觉还是挺好的.', '短评打分': 3}
{'短评内容': '交通便利，设施完备，价格实惠，性价比相当高。', '短评打分': 5}
{'短评内容': '第一天住的时候，房间有电脑，电视也是液晶的。还有窗，非常的不错。卫生也不错，可第二天去住的时候，同样的价格，居然房间没窗了，也没电脑了，电视也变纯平的了。我真是挺无语也挺无奈的。总体来说还行吧。', '短评打分': 5}
{'短评内容': '位置非常好,位于市中心,出行都很方便,但房间的的条件很差,卫生和硬件设施上都不是太好,呆着很不舒适,下次不会选择这家酒店了.', '短评打分': 3}
{'短评内容': '这个价位不用太多期望，反正就是值这个价位，不超值。总的来说还是招待所的价格酒店的标准。', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '酒店位置不错，离去普陀山的船码头仅有100米之遥，离老外滩也很近，很方便。酒店规模不大，但是很新，房间很干净，不错。就是隔音不太好。\r\n整体来讲，性价比不错，推荐。', '短评打分': 3}
{'短评内容': '位置还是不错的，房间的设施和卫生都还可以，服务也不错，我觉得这家酒店性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '位置稍微偏了一些,丛火车站打车到酒店十几块钱,酒店的规模不是很大,但是很干净温馨有点像如家快捷酒店.', '短评打分': 3}
{'短评内容': '很干净，离客运站也近。不错。', '短评打分': 5}
{'短评内容': '酒店没有即时提供叫醒服务.其它各方面服务也算一般,没有比较突出的.但酒店位置很好,挺方便出行', '短评打分': 3}
{'短评内容': '房间的设施还比较齐全,但卫生不太好地毯有些脏,网速也很慢,其它的还可以.', '短评打分': 3}
{'短评内容': '酒店设施老化，我刚入住的第一个房间，漏水，后来换了一个。位置还算中心，在宁波老码头，也算是江边了，呵呵。', '短评打分': 1}
{'短评内容': '设施一般，没有餐厅。但外面吃饭还算方便，在宁波能有这样的价格，比较实惠了。', '短评打分': 5}
{'短评内容': '总体感觉还是不错的，电脑差了点，其他多还好', '短评打分': 5}
{'短评内容': '酒店比较小，房间比较小，一个大四合院，就像一个迷宫样的，房号不好找。我住的房间靠江那边，江景是看不到的，但江上的嘈杂却是可以领略的。房间比较潮，卫生状况一般，但就价格而言，性价比还是不错。', '短评打分': 5}
{'短评内容': '酒店的服务环境比较一般，设施还算是可以的，位置也算是比较方便的，就是感觉酒店的规模比较小，其他都还好。', '短评打分': 3}
{'短评内容': '酒店环境还可以，服务管理上也不错，位置也比较方便，而且价格蛮实惠的，可以推荐一下\n', '短评打分': 3}
{'短评内容': '房间的地毯很脏,空间很小,设施比较老旧了,隔音也不好,唯一的优点就是位置好出行方便.', '短评打分': 3}
{'短评内容': '还是很值得推荐的一家酒店。地理坏境很不错，价位也很实惠。就是房间的地毯有点不是很干净呢。其他的真的满意。', '短评打分': 5}
{'短评内容': '酒店环境还可以，位置也比较房间，而且价格蛮实惠的，就是隔音不太好', '短评打分': 3}
{'短评内容': '都挺不错的,很干净舒适；位置也很好,很符合我的要求；性价比还是较高的.如果酒店能提供到机场的班车就更好了', '短评打分': 3}
{'短评内容': '挺干净舒适的；价格也比较合适；交通也很方便；整体感觉还可以；可以推荐一下', '短评打分': 3}
{'短评内容': '酒店的卫生条件不好，地毯有脏，不过床什么的还是挺干净的，服务很好，位置很方便', '短评打分': 3}
{'短评内容': '酒店的各方面的条件都很好，位置离市中心比较近，交通很方便，性价比比较高', '短评打分': 3}
