{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '很安静，房间也很干净，服务员的态度很好。定的豪华大床房，很舒适', '短评打分': 5}
{'短评内容': '房间不错，干净简洁，但房门隔音效果稍。。。。', '短评打分': 5}
{'短评内容': '如果你去欢乐谷选择这家没错的哦!5分钟就可以到达欢乐谷!', '短评打分': 5}
{'短评内容': '没想象中好 服务态度不行 厕所不够干净 ', '短评打分': 3}
{'短评内容': '这家服务态度真的是不错的，因为离欢乐谷近嘛，所以就在网上订的美罗，早上8点到达酒店去办理入住，前台很快就打电话给收拾了一间房，9楼的，标间房里1.5米+1.2米的床，好好哦，替宝宝着想了，双层的隔音玻璃晚上一点也不吵，附近还有户部巷小吃，中百超市，工商银行，很方便！下个月再去欢乐谷还订美罗！', '短评打分': 5}
{'短评内容': '交通便利，卫生还可以。空调不是很好，其他还行吧。一等价钱一等货。', '短评打分': 1}
{'短评内容': '前台服务有点凶', '短评打分': 3}
{'短评内容': '干净！价格公道！就是洗澡水太小！总之不错！', '短评打分': 5}
{'短评内容': '挺方便的，附近有中百超市，餐馆。靠路边，关上双层窗就不怎么吵了。', '短评打分': 5}
{'短评内容': '离高铁很近，广州来的朋友住这里说非常好。', '短评打分': 5}
{'短评内容': '路边的房间太吵不能住\n下次要住里面的，\n推荐不能住路边的。', '短评打分': 1}
{'短评内容': '价格可以，地方也不错。\n冬天空调温度可以。下次朋友来可以推荐。', '短评打分': 5}
{'短评内容': '不错，冬天空调够热。\n下次朋友来继续推荐。', '短评打分': 5}
{'短评内容': '路边的房间太吵了！据说里面的房间好。空调不错，够热。', '短评打分': 5}
{'短评内容': '离武汉火车站较近，方便我们这些坐高铁在武汉中转的商务人士，值得推荐。', '短评打分': 5}
{'短评内容': '，交通很方便，可惜早餐品种太少。希望改进', '短评打分': 3}
{'短评内容': '设施比较差，价格偏高。电视还是那种很旧的。空调制热效果不好。', '短评打分': 1}
{'短评内容': '交通还算方便，早餐太贵了18块，品种太少了', '短评打分': 5}
{'短评内容': '卫生可以，躁声有些大。', '短评打分': 3}
{'短评内容': '便宜，在大路边，交通方便，离市区有点远，离高铁站近，打的也只要十几块，第二天要赶高铁的人或者是夜晚坐高铁到了武汉站的人适合住。', '短评打分': 5}
{'短评内容': '房间还是不错的、就是位置有些不好、吃饭不方便、价格还是有些高、', '短评打分': 5}
{'短评内容': '整体还行。就是离车站有点远，空调有点问题，被子很薄、纸杯不好。。。。。', '短评打分': 5}
{'短评内容': '酒店很一般，住得商务间。感觉就像普通的标准间·~', '短评打分': 5}
{'短评内容': '已入住酒店服务快捷', '短评打分': 3}
{'短评内容': '条件设施一般，没有吹风机，被子也太薄了。最不给力的是空调，大冬天的。超级不给力，无语了。', '短评打分': 1}
{'短评内容': '房间还算干净，就是房间里没有饮水机和面巾纸，以价格不符。', '短评打分': 3}
{'短评内容': '交通方便，环境还不错，性价比挺高的！以后从武汉站走，打算都住这家了。', '短评打分': 5}
{'短评内容': '很不错性价比很高', '短评打分': 3}
{'短评内容': '服务员态度不错   环境还可以   交通方便', '短评打分': 5}
{'短评内容': '房间挺干净，服务快捷，离车站很近。很方便。', '短评打分': 5}
{'短评内容': '卫生间的淋浴略显简陋，房间和床铺都很干净，也没有味道。这么干净整洁的性价比在青山区算很不错了，地理位置也不错。还会来！', '短评打分': 5}
{'短评内容': '朋友去住的 不过听说很好 下次过去肯定还是这家 ', '短评打分': 5}
{'短评内容': '设施一般.外部环境还可以，内部环境豪华大床房面积觉得美语32平那么大，除了有电脑以外其他都一般...', '短评打分': 1}
{'短评内容': '酒店位置不错，楼下就是公交车站，靠近友谊大道一侧的房间有点吵。房间整洁干净，150的性价比一般', '短评打分': 5}
{'短评内容': '酒店在青山区，从武昌火车站东广场坐540到友谊大道大洲村下，下车之后就会看到酒店的招牌，离站牌很近。整个酒店的布置和设施都还可以，对得起这个价位。如果是去武汉火车站坐高铁就比较推荐住这家，离很近，但是去武昌火车站就有点远了。酒店在路边，有加装2层窗户隔离，可是还是稍微会听到些车子的声音，我属于比较容易熟睡的那种，所以也没有什么。', '短评打分': 5}
{'短评内容': '一般住住不错的,卫生条件不错，位置也算可以', '短评打分': 5}
{'短评内容': '距离武汉火车站很近，房间大而干净，还有停车场，同时酒店提供餐饮服务。', '短评打分': 5}
{'短评内容': '房间很干净, 设施一般. 有2个台灯, 床头柜上也有1个台灯, 用起来很方便,有点家的感觉. 总体来说, 还可以, 对得起这个价格.  看得出来, 房间里后加了一层窗,二层窗全关起来, 隔音效果还是有的. 但有点不幸, 我住的2天不冷不热, 想开点窗透透气, ...晚上只能关掉, 外面实在是吵. 以后还是住非临街的比较好. 另外建议以后装修房间时, 能合理安排电源插座. 桌上电源插座恰好在电视机后', '短评打分': 1}
{'短评内容': '朋友去住离新火车站近，比较商务。值得推荐。', '短评打分': 5}
{'短评内容': '地段方便，价格实惠，硬件设施及软件服务一般，周边环境灰尘多。', '短评打分': 3}
{'短评内容': '离高铁站挺近的，出租车很快就到了，很方便，内部装修的也挺温馨。下次还会去。', '短评打分': 5}
{'短评内容': '在地图搜索网站上查了路线 结果显示有误 多走了好长一段，建议在大洲村或者恩施村下。。。 \n订的是标准间 据说所有的此类房间都是临街的 有些闹 不过还好有两层窗 都关了会好不少\n两张床不能拼在一块儿 稍微有些遗憾 两套被盖 为啥有一套偏黄。。。 其实刚进去的时候还是感觉很整洁的啦\n墙壁是实心的 感觉比前几天住的莫泰要隔音好不少 这个最赞 \n而且离武汉高铁火车站特别近 有3路车可以直达那儿 建议去高铁', '短评打分': 5}
{'短评内容': '不错 。楼道有点吵，隔音需要做得好一些。\n要是送早餐就更好了。 ', '短评打分': 5}
{'短评内容': '房间很一般，酒店的位置在十字路口，很吵……', '短评打分': 1}
{'短评内容': '比较干净，隔音不好，有点吵。\n要送个早餐比较，附近没有早餐吃。', '短评打分': 5}
{'短评内容': '为什么没有减３０元呢?不是说能消费券抵３０，怎么还要交３００块，应该是２７０元', '短评打分': 5}
{'短评内容': '刚入住，感觉不错，较干净', '短评打分': 3}
{'短评内容': '很不错，性价比很高，150的价格相对来说很好了，以后有还会住', '短评打分': 5}
{'短评内容': '已入美罗宾馆多谢短信提醒', '短评打分': 3}
{'短评内容': '内部装修很清爽，交通比较方便，到高铁站很近', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '住的位置不错.房间卫生还行.出门打的不方便.', '短评打分': 3}
{'短评内容': '帮我爸爸预订的，他住完很满意，说酒店设施很好，很干净，性价比很高！', '短评打分': 5}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '恩，不错，早餐的烤面包是比较好的。服务员帮烤的好。。。。。。。。。。。。\n恩，不错，早餐的烤面包是比较好的。服务员帮烤的好。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置很好，离高铁车站很近。下次还会入住。', '短评打分': 3}
{'短评内容': '交通较方便,内部设施很不错,美中不足的是因交通太方便带来临街一面房间太吵\n', '短评打分': 3}
{'短评内容': '附近吃东西很不方便 没什么吃东西的地方 而且价格偏高 不过房间挺大的 觉得还可以吧。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '雙床房間設備不是很新,清潔程度一般,服務員態度還行.附近50米就有幾家餐館,價錢便宜菜又多,3人吃了60元還要打包走!如果要等坐高鐵留宿的話可以選擇,因為哪裡比較偏僻,但選擇近武漢高鐵站的話還是可以得!', '短评打分': 5}
{'短评内容': '酒店卫生，住的也不错，只是前台服务素质有待提高', '短评打分': 5}
{'短评内容': '不错的，性价比高，比较干净 ，离高铁近，但武汉在修路，很乱', '短评打分': 5}
{'短评内容': '很干净 舒适 交通方便 服务不错 早餐品种也很多 主要是离火车站近 下次再来', '短评打分': 5}
{'短评内容': '还可以，交通比较方便.其他中等，不算优秀，主要不含早餐，', '短评打分': 5}
{'短评内容': '服务态度非常好，酒店干净整洁。附近有餐饮，超市，离高铁站较近。', '短评打分': 5}
{'短评内容': '入住当天赶上了外面道路施工，本来很好的双层玻璃也挡不住巨大的机器轰鸣声，虽然不关酒店的事，但是如果能有一些亲切的关怀就好了，在这一点上，酒店的管理者显然是没有考虑到的；当我问询此事时，前台的服务员很茫然，用“可能快结束了”回答了一句————当时是晚上10点钟。', '短评打分': 5}
{'短评内容': '酒店很不错！跟锦江之星很相似，干净整洁，房间也宽敞明亮，只是位置有点偏，不过到青山这边办事的倒是很好。', '短评打分': 5}
{'短评内容': '早餐不错，合我胃口。不巧的是，停电了一天，添了点麻烦', '短评打分': 5}
{'短评内容': '离高铁很近，比较方便，附近有家中百超市，很一般，前面在远一点都有如家了', '短评打分': 5}
{'短评内容': '每次来武汉基本上都住这。这附近也没啥其他像样的宾馆了', '短评打分': 5}
{'短评内容': '您的意见对其他客人计划旅程以及酒店未来改进服务都非常重要。', '短评打分': 5}
{'短评内容': '干净、便捷，不错的选择！', '短评打分': 3}
{'短评内容': '设施一般', '短评打分': 3}
{'短评内容': '每次回武汉都是住美罗，方便、干净、价有所值！值得推荐！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '交通便利、停车方便、餐饮购物便捷、环境整洁、安逸', '短评打分': 5}
{'短评内容': '1。酒店很新，很干净。\n2。很靠近高铁站。\n3。服务员还相当有礼貌。\n4。离市区太远了。\n5。吃的地方太少了。\n', '短评打分': 5}
{'短评内容': '不错的商务酒店，房间隔音好，实用，卫生，干净，性价比高', '短评打分': 3}
{'短评内容': '比较新，有一些装修的味道。交通不是太方便，但周围的饭店还可以。', '短评打分': 5}
{'短评内容': '干净整齐,毛巾有点旧,整体感觉不错,网速有待提高,最好设无线网络.', '短评打分': 5}
{'短评内容': '室内条件不错，也比较新，就是要把窗关紧一些，因为在十字路口', '短评打分': 5}
{'短评内容': '靠近友谊大道。夜晚车流量较大。房间设施一般，装修精良。但是被褥和毛巾太旧了哦！', '短评打分': 5}
{'短评内容': '干净舒适,不错的,下次还会再选择这家,值得推荐.', '短评打分': 5}
{'短评内容': '很不错的酒店，离火车站比较近，提前30分钟去坐火车没问题', '短评打分': 5}
{'短评内容': '酒店服务态度好,房间装饰卫生较好,但隔音效果不好。', '短评打分': 3}
{'短评内容': '酒店很干净，性价比较好，离武汉火车站较近，。', '短评打分': 5}
{'短评内容': '蛮好的，就是早餐要早点去吃！其他的都还好！', '短评打分': 5}
{'短评内容': '还不错，性价比很高！', '短评打分': 3}
{'短评内容': '很好的酒店，环境很棒，卫生很干净，建议大家多多去哦。下次还要顶', '短评打分': 5}
{'短评内容': '像是快捷酒店，但是卫生尚未达到相应的水准，被子感觉有点潮', '短评打分': 1}
{'短评内容': '还可以，比较正规。房间一般。', '短评打分': 3}
{'短评内容': '周边设施齐全、服务态度很好、房间很舒适，周围购物方便\n\n经济实惠!\n\n', '短评打分': 5}
{'短评内容': ' 很好 房间很宽敞', '短评打分': 3}
{'短评内容': '还挺好的，干净，交通方便，早餐也还可以。', '短评打分': 3}
{'短评内容': '还不错，蛮干净，态度也还可以，离武广高铁车站很近，方便比较', '短评打分': 5}
{'短评内容': '这个酒店的性价比挺高的，但是这个酒店实在太远了，有点可惜。', '短评打分': 5}
{'短评内容': '地板有烟头烧的洞，服务还可以mmmmmmmmmmmmmmmmmmmmmmmmm', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '卫生不错，就是没热水', '短评打分': 3}
{'短评内容': '还不错，蛮干净，态度也还可以', '短评打分': 3}
{'短评内容': '酒店离高铁站不远,但是早上很不好打车,最后坐公交去的高铁站,差点误了火车,我晕.', '短评打分': 5}
{'短评内容': '总体感觉还不错，建议将房间和洗手间的一次性纸杯换成玻璃杯，这样比较环保！', '短评打分': 5}
{'短评内容': '房间装修的很有特色，很大，很干净，住着很舒适。\n离武汉火车站近，打的花15元很快就到，交通便利。', '短评打分': 5}
{'短评内容': '鄭州百納酒店一馬路店服務態度差，空調暖風幾乎沒有，衛生間沐浴液和洗發液是空的，建議藝龍今后不要推荐這家店！', '短评打分': 3}
{'短评内容': '酒店的位置不错，离高铁站不远，周围还有几家小饭店，吃饭比较方便。酒店装修比较新，服务也好。', '短评打分': 5}
{'短评内容': '酒店服务尚可', '短评打分': 3}
{'短评内容': '基本满意，几个不足点：1.一次性拖鞋塑料味道太大；2.床头没有插座；3.无线网络覆盖率不足。希望能够改进。', '短评打分': 5}
{'短评内容': '美罗还可以 主要是比较干净 \n  就是有点不好 老人住的话 朝马路侧有点吵 外面车子蛮多\n  服务还是蛮周到的 特别表扬哈收拾屋子的阿姨', '短评打分': 5}
{'短评内容': '被子太薄了\n公田睡的很冷，空调系统半天没有反应，唉', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '各方面都好，性价比比较好！', '短评打分': 3}
{'短评内容': '位置还行，出去办事也比较方便。下次继续选择美罗商务', '短评打分': 5}
{'短评内容': '今年住该旅馆发现比去年来时好多了，没有上一次吵了，靠近武汉高铁火车站，周边有很多吃的地方，酒店有宽带上网，很方便。', '短评打分': 5}
{'短评内容': '酒店比较正规，设施齐全，服务不错。\n\n但是没有早餐，房间比较小（标准房没有书桌，所以要上电脑的朋友只能挨着电视上），宾馆刚好在一个三岔路边，比较吵，交通也不是很方便。\n\n但是这个宾馆价格比较合适，只是出差在外不常在宾馆呆的还是可以推荐一下。', '短评打分': 5}
{'短评内容': '还不错,主要是离高铁很近', '短评打分': 3}
{'短评内容': '酒店很干净离武汉火车站近不错下次还会考虑住', '短评打分': 3}
{'短评内容': '还可以 蛮干净 装修的很简洁 服务态度还行  ', '短评打分': 5}
{'短评内容': '环境不错  我入住的是不靠马路的那边  也很安静  旅馆里面很干净  一应俱全   要是有个浴缸就更好了', '短评打分': 5}
{'短评内容': '酒店装修很干净、整洁、卫生。房型有电脑房和不带电脑、都有宽带，较适合出差旅行人员。房价适中。前台有礼貌、素质高。\n周边小吃店少。门前在施工，有点乱、脏。\n', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，离武汉火车站很近，打车15分钟就到了，就是卫生间里面的淋浴稍显简陋了些，整体来说还是不错的，性价比较高，下次还会来选择的。', '短评打分': 5}
{'短评内容': '酒店卫生及设施情况还好，只是大部分房间临近马路，隔音效果较差，建议不怕吵的朋友选择。', '短评打分': 5}
{'短评内容': '环境还算比较干净，有免费网络！', '短评打分': 5}
{'短评内容': '离高铁站很近。这个价格也很划算。但是标间只给了3个枕头。让我很是惆怅。', '短评打分': 5}
{'短评内容': '方便舒适整洁，很好！', '短评打分': 5}
{'短评内容': '环境不错，服务态度也蛮好的，十一准备回去再订', '短评打分': 5}
{'短评内容': '总体来说,还算可以吧,希望下次能提供早餐服务', '短评打分': 5}
{'短评内容': '住的环境还好，就是酒店的早餐7：40去就没有太多了。', '短评打分': 5}
{'短评内容': '来武汉每次都住这里，感觉还行，价格也适中。', '短评打分': 5}
{'短评内容': '环境不错…又离火车站近…性价比很高…不过我入住的房间马桶坏了…但是总体很不错…服务态度也不错…', '短评打分': 5}
{'短评内容': '房间收拾得很干净，看上去很舒服，基本设施都有，标间是一大一小两个床；噪音问题也还好，虽然在路边，但只要把窗户关严还是很安静的。', '短评打分': 5}
{'短评内容': '很干净，位置也方便，价格适中，推荐，就是吃饭比较麻烦，整体还是不错的', '短评打分': 3}
{'短评内容': '位置是最关键的 出门就是地铁 很不错 其他综合起来值得推荐', '短评打分': 5}
{'短评内容': '不错的商务酒店，值得推荐。', '短评打分': 5}
{'短评内容': '很不错，很干净，方便，实惠，以后还会来的\r\n呵呵', '短评打分': 5}
{'短评内容': '距离高铁比较近，周围餐饮不方便，性价比极高', '短评打分': 5}
{'短评内容': '地点偏僻，距离高铁比较近，周围餐饮不方便，房间有蟑螂', '短评打分': 1}
{'短评内容': '像我这样出差办事的人来说周边配套不好，也许我不清楚这里的情况。', '短评打分': 1}
{'短评内容': '我预定的是178元的普通间，入住的是205元的豪华间，早餐较差，性价比极高。', '短评打分': 5}
{'短评内容': '性价比还是可以的，房间很干净！服务比较到位！有机会就会去住！', '短评打分': 5}
{'短评内容': '好酒店', '短评打分': 3}
{'短评内容': '还不错 去乘高铁', '短评打分': 5}
{'短评内容': '点评虽然有点晚，不过还是说说吧，住过一晚，没什么大感觉，就是我们那个门反锁不了，后来叫基础设施管理员弄了半天，整体感觉一般般吧！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错！武广高高铁就在旁边,性价比不错', '短评打分': 5}
{'短评内容': '别的都还行，靠马路的房间太吵。', '短评打分': 5}
{'短评内容': '服务挺好，价格也很划算', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '不错！武广高高铁就在旁边，很方便。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '除了地理位置优势外，没什么值得推荐的了', '短评打分': 1}
{'短评内容': '房间卫生还行，服务也不错～关键是去武汉站挺方便的', '短评打分': 5}
{'短评内容': '凭高铁的票可以减10元，价格很实惠呢~\r\n就是卫生条件真的很一般~\r\n而且wc非常滑，我都差点滑到几摔呢~~\r\n不过第二天去赶早上的高铁真的很方便呢~~\r\n出差赶时间的人可以入住这里哦', '短评打分': 1}
{'短评内容': '就是位置偏了点,其他倒没什么好说的.不过离武汉站满近的.', '短评打分': 5}
{'短评内容': '距离武广高铁很近 酒店餐厅味道还可以 价格也不贵', '短评打分': 5}
{'短评内容': '酒店性价比还好，在武汉青山区来讲这个价格能住到这样的酒店应该说是还不错的，但是实话说，只是想对于其他地区来说的，因为青山区没有其他更合适的酒店，所以比较下来也就还算可以了。实际上，针对酒店的设施，这个价格如果在120元左右应该说是合适的。', '短评打分': 5}
{'短评内容': '离武广快线站较近,在马路边噪音较大,房间设备简单,住起来还过得去拉', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 1}
{'短评内容': '武汉高铁站打的士10块钱,武汉高铁站坐540公交车2块钱15分钟路程在大洲村站下对面马路就是,干净卫生且热水洗澡水压够,武汉高铁站来酒店方向的大洲村站有家农家菜味道很好且价格便宜,相较酒店餐厅就很马虎了.总体来说是很好的酒店.', '短评打分': 5}
{'短评内容': '总体来看，对在武汉坐高铁的人来说，这家酒店还是相对不错的，条件虽然一般，但也不差，最主要是方便！', '短评打分': 5}
{'短评内容': '离武汉站近啊！  不过就是感觉不够干净  性价比不错', '短评打分': 5}
{'短评内容': '很一般很一般', '短评打分': 1}
{'短评内容': '整体不错，就是位置一般，不方便，周围吃饭的，超市啊，早餐啊，都不齐全', '短评打分': 5}
{'短评内容': '很舒适，坐高铁也很方便。酒店旁边过马路直走，有一咖啡厅，在那吃饭也不错。下次有机会的话，还会入住的。', '短评打分': 5}
{'短评内容': '地点方便， 简单舒适\r\n价格不算贵', '短评打分': 5}
{'短评内容': '离武汉高铁近，室内设施很好，可以上网，网速有100kb，热水也很大，就是隔音效果不好，在走廊上说话房间都能听到，晚上被吵醒数次，性价比在武汉来说应该算贵的了，总体来说还是可以！服务态度很好', '短评打分': 5}
{'短评内容': '如果在主干道，一般的酒店隔音都不是很理想。\r\n其他还行。', '短评打分': 5}
{'短评内容': '住的标间。装修比较淡雅，卫生间很大，而且口杯用的是一次性纸杯，赞一个。有武广高铁车票还有优惠。酒店到武汉站打车十块钱，不算远。\n缺点：临街的房间晚上隔音不太好。', '短评打分': 5}
{'短评内容': '希望能注意一下基础设施的定期保养！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '住了一晚，整体感觉还可以，主要是价格相当的便利', '短评打分': 3}
{'短评内容': '位置交通不错，酒店环境还可以，比较适合商务居住', '短评打分': 3}
{'短评内容': '位置不错，比较近高铁火车站，', '短评打分': 5}
{'短评内容': '1. 这家酒店是想模仿锦江之星, 虽然硬件接近了, 但是软件跟不上.\r\n2. 服务态度相当一般. 在前台等了10分钟, 竟然没人接待.(一个服务员在打电话. 另一个在摆弄圣诞树)\r\n3. 订的商务大床房, 墙壁上非常脏, 脚印, 鼻涕状的印记太多了, 说着都恶心. 地上很多象是烟头烫的痕迹.\r\n4. 展开浴巾, 黑乎乎的什么东西, 吓了一跳, 仔细一看是一团头发, 形状象个大蜘蛛.\r\n5. 不远处', '短评打分': 1}
{'短评内容': '青山区武钢办事最合适的快捷酒店，各方面都还不错。', '短评打分': 5}
{'短评内容': '酒店地理位置还不错，周围交通很便利，还是比较好找的，卫生和设施也还行，就是隔音不太好。服务也还算周到热情，是一件性价比较高的酒店，很值得推荐。', '短评打分': 3}
{'短评内容': '比较新的酒店，服务不错。设施相对比较简单。收费不算便宜（相较于武汉的酒店收费水平）。', '短评打分': 5}
{'短评内容': '酒店设较差，服务不好', '短评打分': 5}
{'短评内容': '隔音效果不怎么好，经常有人在公共走到间大声说话，或者不关自己房门打牌，比较吵！其他一般！', '短评打分': 5}
