{'短评内容': '在宁波小港地区算是还可以的酒店。  新装修的房间，总体还不错。服务也是挺好的。  餐厅就餐比较方便，种类也比较丰富。 早餐比较满意，种类齐全。', '短评打分': 4}
{'短评内容': '依山而建，环境幽静；\n服务热情，宾至如归；\n标准间设施稍显老旧，但还卫生；\n早餐品种丰富，经常入住。', '短评打分': 5}
{'短评内容': '小港附近比较好的酒店了，其它没得挑选；餐厅服务人员还需改进，尤其客人没用餐完毕就开始收拾，很不好！', '短评打分': 5}
{'短评内容': '前台部分服务人员已记得客人姓氏；会主动招呼很好！\n中餐厅服务员待改进，客人尚未结束便开始收拾桌椅，有被驱赶的感觉。', '短评打分': 5}
{'短评内容': '之前所提建议已经采纳，咖啡改为咖啡机现榨；果汁较以前浓了！\n晚餐服务员较差！', '短评打分': 5}
{'短评内容': '地点依山，安静，停车方便；\n\n令人欣慰的是：上次所反映早餐咖啡和果汁清淡问题已改进！\n\n虽然有泳池但客人游泳却不便，要办什么卫生证！', '短评打分': 5}
{'短评内容': '小港附近较好的一家酒店，十分安静，环境依山，饮食、活动、停车均方便。', '短评打分': 5}
{'短评内容': '经常入住该酒店，主要是环境安静。服务较好，用餐较方便！', '短评打分': 5}
{'短评内容': '环境依然未变，较安静；新更换了不少主管和服务员，还不如我这个常客熟悉业务！希望增加培训才好！', '短评打分': 3}
{'短评内容': '总体上在那个地区还是可以的，但称不上4星，最多3星，服务员服务还是可以的，卫生一般。出差商住还说得过去。', '短评打分': 5}
{'短评内容': '入住好多次了,性价比一般,但附近没有更好的酒店.卫生和环境都较好,早餐也比较丰富,只是其他的服务设施投入使用的不多,不象四星标准.', '短评打分': 5}
{'短评内容': '环境僻静，临山，空气也不错，餐厅、房间布置均不错，早餐咖啡和果汁稍微淡了一些，希望少加水。', '短评打分': 5}
{'短评内容': '很好的酒店，环境幽静，服务体贴，餐厅菜品可口，早餐咖啡和果汁水分太大！', '短评打分': 3}
{'短评内容': '房间整洁安静，设施齐全，停车方便！服务除前台外较好！早餐品种较丰富！是周围性价比较高的酒店！还会来。', '短评打分': 5}
{'短评内容': '酒店还可以，比较幽静，适合休息。。。。。。。。。。', '短评打分': 5}
{'短评内容': '清净！干净！肃静！\n坐落在山坡上，且交通方便，很好的服务、早餐、晚餐。还有下次！', '短评打分': 5}
{'短评内容': '环境很好的一家星级酒店，距离办事的地方很近，经常入住，在一座小山上，很安静，卫生，空气超好！中西早餐很丰富，值得一试。', '短评打分': 5}
{'短评内容': '还不错! 我朋友说挺好的,他喜欢这种格调的酒店 .\n\n\n', '短评打分': 5}
{'短评内容': '酒店装修风格有些复古化，地理环境比较好，周边的景观还是不错的，服务很好，服务员都是随叫随到的，早餐也不错，住着蛮舒服的', '短评打分': 5}
{'短评内容': '宾馆位置，交通还是蛮方便的，出门就有公交车，附近有大型超市，购物买东西还是很方便的，房间是暖色调的，床很大，床面打扫的很干净，住宿环境很不错', '短评打分': 5}
{'短评内容': '酒店比较干净 舒适 \r\n不过由于时间关系 有点老了\r\n另外觉得与四星的星级有点不符', '短评打分': 5}
{'短评内容': '空调不能调温，没有免费瓶装水', '短评打分': 5}
{'短评内容': '酒店卫生和设施都还行，服务态度也还不错，位置的话也还是挺好找的出行也很方便，还是挺好的一家酒店，挺不错的。', '短评打分': 5}
{'短评内容': '环境较好，早餐不错，', '短评打分': 5}
{'短评内容': '四星老酒店，园林式，早餐一般，房间面积和设施一般', '短评打分': 5}
{'短评内容': '推荐此家酒店,安静,舒适.每次来都住这家酒店,因离办事的工厂较近,酒店的总体感觉良好,位置不在宁波市区内.', '短评打分': 5}
{'短评内容': '环境挺好的，价格有点高，位置离宁波市区有点远，有30公里的路程，如果在市区办事，这家酒店不合适', '短评打分': 5}
{'短评内容': '酒店都挺不错的, 价格很实惠,而且位置也不错', '短评打分': 5}
{'短评内容': '我在开发区出差，我也住过几次这个酒店，整体不错，环境很幽静。根据我朋友介绍这家宾馆有快20年的历史，里面的外宾很多，服务员服务素质等我觉得都还不错，要不也不会有那么多的大企业都在那里住了，所以我觉得可能每个人的感受都不一样吧。不过宁波整体的房价是比较贵一点，可能是宾馆比较少吧。', '短评打分': 3}
{'短评内容': '大家千万不要去这家宾馆，去了这么多地方，这里恐怕是最差的一家宾馆了，居然还敢打着三星的牌子收这么高房价。其实就是区的招待所！', '短评打分': 3}
