{'descr': '还可以吧，', 'star': 5}
{'descr': '房间很赞啊，床很舒服，除了地方小点灯光暗点，其它的都很好～地点很赞', 'star': 3}
{'descr': '该酒店蛮干净的，早饭也还可以，服务员的态度非常好。就是房间灯暗了点。', 'star': 3}
{'descr': '酒店位置还不错，就是房间小点，临街比较吵，总体来说价格不贵，还行。', 'star': 5}
{'descr': '地理位置蛮好的   到各个景点都蛮近的  就是房间小了点...  附近买东西很方便 ', 'star': 5}
{'descr': '酒店位置挺好的，离商业街很近，走一会儿就能到，周边吃饭的地方比较多。', 'star': 5}
{'descr': '酒店位置还好，不错。就是临街有些吵，服务也行，比较满意。', 'star': 5}
{'descr': '房间小些，热水黄的。其它还行', 'star': 3}
{'descr': '酒店位置不错，环境还好。酒店位置就在市中心，周边餐饮也比较多。', 'star': 5}
{'descr': '酒店位置不错，离商业街很近，交通也很方便，出了门吃饭的地方也多。', 'star': 5}
{'descr': '很喜欢圆床，不过就是房间小了点，力离观前街很近交通很方便', 'star': 5}
{'descr': '元旦三天 坐地起价涨了100块钱！事先完全不通知！房间很小！一米八的人睡床不够睡', 'star': 1}
{'descr': '房间小了点 问题不大 但是靠着马路很吵 以后不会考虑这家了', 'star': 3}
{'descr': '厕所有点味道，床不是圆的，设施和环境还是挺好的。', 'star': 5}
{'descr': '这家酒店的镜子很多，免费早餐品种虽少，但是现磨豆浆还不错。\n圆床比较有特色，但是晚上蚊子有点多，没睡好。', 'star': 5}
{'descr': '灯太暗了，房间很小，其余还好', 'star': 3}
{'descr': '住的圆床，之前打电话订的，后来客服来电话说没有了，换成家庭房，到店一问有客人退房了，有住的圆床', 'star': 5}
{'descr': '还行，早餐很不错。', 'star': 3}
{'descr': '   很不错，床很温馨，值得推荐', 'star': 3}
{'descr': '房间是不错。就是位置不明显。找了一大圈才找到。总体还不错。', 'star': 5}
{'descr': '酒店是不错的，就是位置不太明显！找了一大圈才找到的。总体来说还不错。', 'star': 5}
{'descr': '离观前街不远，卫生间是整体的，个人用了不太舒服！别的都还可以，装修也可以！', 'star': 5}
{'descr': '我们是冲着圆床去的，嘿嘿，这旅馆也是新建的，我们预想设施应该比较新，可是入住一天，总体感觉不如同等价位的，地域类似的南京中山门附近的168好。\n缺点：\n房间和浴室照明昏暗。\n房间卫生状况一般，感觉房间有尿味。\n毛巾比较硬，擦脸感觉疼。\n房间非常小，卧室只有床和点时间，没有可以放椅子的空间。\n厕所的马桶盖必须手扶着，不能正常竖立，非常不方便。\n厕所内的抽湿设备很差，抽湿抽了一晚上，浴室地面仍然有不少', 'star': 1}
{'descr': '房间挺小但是其实挺干净的设施也算齐全。态度不太好。', 'star': 1}
{'descr': '房间很温馨，休闲房比较小，推荐家庭房，舒适便宜。\n早餐的粥很可口。', 'star': 5}
{'descr': '还是很不错的商务旅店，干净卫生，环境也不错', 'star': 5}
{'descr': '虽然房间小了一点，但挺温馨的，洗手间有点像船上用的一种，前台服务也不错，就是早餐品种少了点。', 'star': 5}
{'descr': '卧具的小花很温馨，非常喜欢，卫生好，早餐实惠，喜欢这家酒店，如果有机会还会选择住这里的', 'star': 5}
{'descr': '休闲房房间有点小，家庭房还可以，酒店位置不错，去观前街、平江路、十全街都比较近。总体服务还可以。', 'star': 5}
{'descr': '交通便利，位于凤凰街，苏州的小吃一条街，离观前街只有10分钟的不行路程，酒店房间虽然小，但是非常温馨，性价比高，值得推荐！', 'star': 5}
{'descr': '很不错，离观前街也近，房间很不错，很满意，价格也适中', 'star': 5}
{'descr': '空调不是很好', 'star': 3}
{'descr': '房间有点小啊', 'star': 3}
{'descr': '很有个性的房间，很有特色的床铺！浪漫，温馨！很好哦！', 'star': 5}
