{'descr': '不错 很好@@@@@@@@@', 'star': 5}
{'descr': '    以往因为参加公务员考试住酒店 下午2点开考，跟前台说明情况，都允许推迟到1点左右退房。因为国考在海友住店，第一次在前台要求被拒绝了，好在第二天前台的两个女士了解到考生情况，个别处理多延长了一个小时。要不下午考试真的会很麻烦。表扬下~\n    希望店员面对单方面规则，实际中能考虑到顾客的合理请求，能灵活处理。\nP.S.房间的浴室毛巾架坏了 感觉排气扇有点转不动~ ', 'star': 5}
{'descr': '酒店房间好小啊，不过还算勉强干净，服务员态度还可以。', 'star': 3}
{'descr': '性价比很高，房间干净，服务态度好，楼下还有娱乐的地方，值得推荐\n比较适合外出旅行或者看望朋友的年轻人，因为住宿空间还是比较狭小的，不提供洗漱用具，但这个价钱已经很不错了\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '很不错的酒店，娱乐设施很好，wii很爽，还有桌球，免费上网，\nwifi，榻榻米也很舒服', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '房间还算干净，就是比较简单，需自带洗漱用品和拖鞋，不过前台有卖的一次性的，也不贵，酒店位置也不错的，想节约的话可以入住 \n', 'star': 5}
{'descr': '这家酒店总体环境一般,但离三峡广场很近,缺点蹋蹋米房连脱鞋都没.酒店两边都是主干道,很吵.', 'star': 3}
{'descr': '整体还不错，连锁酒店的水平都差不多，去太湖风景区的朋友可以选择，交通，停车都很方便。单人间挺小的，双人间正合适。', 'star': 5}
{'descr': '很温馨的小旅馆，无线上网全覆盖真的很方便，性价比很高。', 'star': 5}
{'descr': '干净， 舒适，  交通便利，  服务态度好！~~~~~~~ ', 'star': 5}
{'descr': '条件不错，床很软，尤其是卫生间，很满意。但可能是我的房间临街的缘故，噪音有点大，不过倒也不是特别影响。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '十一期间只涨了10块钱，还不错，缺点是没有窗户，显得很闷。没有洗漱用品倒无所谓，没有纸拖鞋很不方便。', 'star': 5}
{'descr': '非常好的位置。距离鼋头渚和蠡园很近。买东西也比较方便。', 'star': 5}
{'descr': '房间虽不大但设备挺齐全的，空间利用的很好。还有很多娱乐设施，很不错～', 'star': 3}
{'descr': '感觉不错，床小了一点，其他都好。\n不错，挺好的，便宜，实惠', 'star': 5}
{'descr': '首先房间小，这个就不说了。但是房间里面连个烧水壶都没有，电视机好小一个挂在墙上，角度还不对，睡下来看时很别扭。卫生间里没有拖鞋，没有一次性牙刷，一次性的沐浴露，洗发水等。总之显得很寒碜。窗子很小，但是因为在马路边上，所以很吵。总的说来，就只有床比较软，只是看你习不习惯睡比较软的床。', 'star': 1}
{'descr': '很好 很温馨 推荐大家都去 而且态度也很好', 'star': 5}
{'descr': '很不错，只是拖鞋要自己买，服务态度很好。', 'star': 5}
{'descr': '房间还算干净，就是比较简单，需自带洗漱用品和拖鞋，不过前台有卖的一次性的，也不贵，酒店位置也不错的，想节约的话可以入住', 'star': 5}
{'descr': '位置不错，走几步就是三峡广场，房间也不错，干净。就是房间有点小，没有烧水的的水壶。总体来说还是可以的，价钱合适，值得入住。', 'star': 5}
{'descr': '性价比很高，房间干净，服务态度好，楼下还有娱乐的地方，值得推荐\n比较适合外出旅行或者看望朋友的年轻人，因为住宿空间还是比较狭小的，不提供洗漱用具，但这个价钱已经很不错了', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '住的很舒服', 'star': 3}
{'descr': '今日下午两点半到锦江之星入住,午觉刚起来。第一印象还干净,刷牙喝水都是一次性纸杯,自己最好带杯子。', 'star': 3}
{'descr': '还行，挺干净。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还可以，就是太小，没有杯子。不过这个价位也就可以了。经济实惠。', 'star': 3}
{'descr': '比较干净  新开张不久的   被子比较厚  建议夏天的时候最后还是换成薄点的被子', 'star': 5}
{'descr': '挺好的～服务不错，也挺方便的。很干净。下一次依旧选这个', 'star': 5}
{'descr': '不错，挺合适年轻人居住的，服务员服务态度也不错，酒店蛮新的，推荐', 'star': 5}
{'descr': '性价比很高，环境也很好，非常干净，服务人员的态度也很好。位置很方便', 'star': 5}
{'descr': '服务态度很好，就是销售洗漱用品的机器有点问题。下次还去那个酒店。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '可以，就热水不给力', 'star': 3}
{'descr': '干净  卫生  总体不错 我下次还会选择汉庭海友客栈的  推荐  ', 'star': 5}
{'descr': '房间实在太狭小。并且没有有线网络接口。不过价格比较便宜一点。', 'star': 1}
{'descr': '还是比较干净的，晚上周围也很安静，有许多小吃店，就是位置稍微有点偏，不过离无锡体育中心还挺近的，因为是去体育中心看快男演出的，所以还比较方便。', 'star': 5}
{'descr': '还行 卫生状况不错 就是房间小 服务态度一般 ', 'star': 5}
{'descr': '酒店管理不错，环境也干净，整体不错。就是地点偏一些，周围清净。', 'star': 3}
{'descr': '还行吧', 'star': 3}
{'descr': '位置还可以，都很方便，交通便利，整体上还是很不错的！', 'star': 5}
{'descr': '干净卫生，交通便利，空调不够热，价格适中。', 'star': 5}
{'descr': '酒店设施新，管理规范，前台服务、门卫及楼层服务阿姨亲切热情，笑脸相迎，不厌其烦！不会因为酒店不在市区，就丝毫怠慢顾客和懈怠服务！唯一不足的是酒店空调，热量功力不够，房间有点冷！', 'star': 5}
{'descr': '总的还可以，就是没有电吹风，毛巾稍微有点旧了点！', 'star': 5}
{'descr': '环境一般，房间有点小', 'star': 3}
{'descr': '酒店的性价比蛮高的，住着蛮舒服的，房间硬件设施齐全也很新，卫生条件很好，服务态度周到热情', 'star': 5}
{'descr': '酒店地处新区，交通还是挺方便的，比较安静，房间装修的比较简约。价格也很适中', 'star': 5}
{'descr': '性价比还可以，酒店门口就是菜市场，买吃的很方便，服务员态度很好周到热情，住宿环境还可以', 'star': 5}
{'descr': '酒店装修的还可以，比较现代，前台人员办事效率高，服务态度好，周边环境很安静，卫生条件很好，很干净', 'star': 5}
{'descr': '房间的隔音效果还是很好，服务周到热情，价格比较经济实惠，舒适都还可以', 'star': 5}
{'descr': '因出差目的地在酒店附近，所以对我来说位置很不错，，总的来说性价比还是很好的！', 'star': 5}
{'descr': '酒店很不错；干净舒适,交通也很方便；很符合我的要求；可以推荐的一家酒店', 'star': 5}
{'descr': '酒店性价比还是挺高的,人员服务也蛮热情的,房间也挺干净舒适', 'star': 5}
