{'descr': '房间小，设施不够全面，空调不好用', 'star': 4}
{'descr': '离火车站和河坊街都很近,房间很干净,厕所和洗澡是分开的两间,房间内有吹风机很方便', 'star': 5}
{'descr': '王建华入住杭州元和酒店502房了。', 'star': 3}
{'descr': ' 房间挺干净的，服务态度也不错，就是房间有些陈旧，但设施还不错，还有电脑。离城站近，但是价格适中，性价比较高。', 'star': 3}
{'descr': '这次预订比携程好很快，这家酒店离火车站蛮近的，标间的床超大哦一家床睡两人都行了。。。不过就是太吵了隔音不好', 'star': 5}
{'descr': '房间挺小的 不过离火车站挺近 交通还是挺方便的', 'star': 5}
{'descr': '一酒店离杭州站很近，大约走6一7分钟就到，入住也简单方便，房间合适，网络，电视，大卫生都有，我要了靠居民小区的房间，很优静。', 'star': 3}
{'descr': '地理位置非常好，相当不错~下次去还会选这家酒店...', 'star': 5}
{'descr': ' 标房面积比较小，不过蛮整洁的！', 'star': 3}
{'descr': '总算入住了,虽然楼层住低了但是环境还是一样好,服务态度很好喜欢,下次继续选择元和', 'star': 3}
{'descr': ' 很好，很温馨，虽然有点小。', 'star': 3}
{'descr': '房间不错，对的起这个价格，下次还会选择它。', 'star': 3}
{'descr': '离城战很近  但是我订的大床房 到了之后没了  只有标间  不过也还好', 'star': 5}
{'descr': '地理位置不错，距离河坊街火车站都只有十分钟路程，只是标准间有点小，噪音大', 'star': 5}
{'descr': '离火车站很近 有十多分钟能到河坊街 周边吃饭方便 房间不大 布置很温馨 很干净 很不错 ', 'star': 3}
{'descr': '酒店虽然较小，但比较温馨，设施齐全，与图片相符。到火车站步行8分钟，到河坊街步行约15分钟。', 'star': 3}
{'descr': '总体还不错，价格便宜，位置也不错，还是不错的选择。', 'star': 5}
{'descr': '是很好的住处，出行方便。', 'star': 3}
{'descr': '有点小，别的嘛都还可以，离火车站近。交通方便', 'star': 5}
{'descr': '酒店位置不错,距离火车站很近,去西湖的话只要出租车起步价,周围小吃店很多,很方便.房间硬件条件尚可,基本满意.', 'star': 5}
{'descr': '和图上介绍的差距很大，房间也小。卫生一般。唯一就是离杭州城站近点。', 'star': 1}
{'descr': '这次去杭州是为了给女儿去看病，正好省二保医院就在酒店对面。。。地理位置决定一切！！！', 'star': 5}
{'descr': '地点很好，卫生间干净，服务很好。就是房间有点小', 'star': 5}
{'descr': '地点非常好，酒店卫生间很干净，就是晚上有点冷', 'star': 5}
{'descr': '还不错，就是房间小些，还算舒适', 'star': 3}
{'descr': '前台服务态度好，虽然空间不太大，但喜欢这种感觉，下回去杭州首选元和。', 'star': 5}
{'descr': '酒店还行，就是房间有点霉味，床上用品不是很干净，建议卫生工作多投入', 'star': 5}
{'descr': '房间更加的舒适，不开空调都热，前台服务员态度好，喜欢，下回还回选择元和。', 'star': 5}
{'descr': '总的感觉还不错，蛮好。但发现被套有黑斑、床单有黄斑，希望在卫生方面能更好点。', 'star': 3}
{'descr': '街区有点暗，不过离火车站倒是挺近的，房间有点小吧，卫生还行', 'star': 5}
{'descr': '离火车站很近，位置不错，房间旧了点，不过还算干净', 'star': 5}
{'descr': '隔音不好，一晚上都有人唠嗑，一宿都没睡！', 'star': 1}
{'descr': '如果是赶火车的我会推荐如果是旅游我绝对是不会推荐的，住了一晚上实在是累得要死，小得压抑死人了。', 'star': 5}
{'descr': '再次入住杭州元和酒店，总台的服务员态度很好，进入408房间总体感觉不错，而且空调制热效果好，就喜欢这种感觉，下次到杭州首选酒店第一便是元和，真的不错。408和以前住的406或407感觉还是408好，真的。', 'star': 5}
{'descr': '到是还算干净整洁,但是房间太小,干湿不能分离.', 'star': 1}
{'descr': '感觉很一般，房间很大堂很小，就值这个价格', 'star': 1}
{'descr': '酒店不错，交通方便，就在火车站附近，房间还算宽敞，卫生也不错。', 'star': 5}
{'descr': '很不错 迷你房刚刚好 不大不小 情侣住很方便啊 离城站相当近  5分钟的路程', 'star': 5}
{'descr': '＋离火车站很近，交通很方便！房间挺干净…性价比还是很高的！', 'star': 3}
{'descr': '酒店有点旧，服务态度有待改进，基本上还满意。', 'star': 5}
{'descr': '不错的酒店，离火车站非常近，出行也很方便。', 'star': 5}
{'descr': '还不错，就是我定了一标间一单间，结果卖了我两标间挺郁闷的。', 'star': 3}
{'descr': '房间换成406，总体觉得还是这个房间较好，只是到入住当天晚上大灯跳灭了，电视遥控器不灵，总体不错的，下回还会入住', 'star': 5}
{'descr': '好差的酒店啊，很小很小，酒店服务人员态度很差，一点都不懂礼貌，说话很冲，下次绝对不会去这家酒店了，我后悔啊，本来想换的，可是朋友先住进去了，我只能住了，唉~~', 'star': 1}
{'descr': '酒店很干净，服务也很好，有机会还会再来的…', 'star': 3}
{'descr': '交通便利很方便，房间干净，就是住二楼有点儿吵，住高点估计就不会了。', 'star': 5}
{'descr': '很好，环境不错', 'star': 3}
{'descr': '挺贵', 'star': 5}
{'descr': '就在火车站附近,走到火车站只要7分钟，价格还行，下次还会住。', 'star': 5}
{'descr': '房间很小，就是离火车站比较近，设施还过的去，比较推荐应急为了一早赶火车，不推荐旅游', 'star': 1}
{'descr': '装修比较旧了，但是看起来很干净，价格也合理', 'star': 5}
{'descr': '方便，离火车站近，房间干净整洁。方便，离火车站近，房间干净整洁。', 'star': 5}
{'descr': '交通方便，转个角直走就是河坊街，房间挺温馨', 'star': 5}
{'descr': '找起来很方便，距离火车站很近，很不错的地方', 'star': 5}
{'descr': '地理位置好，就在火车站附近。坐车方便，干净，下次还会住。总之很满意。ok', 'star': 5}
{'descr': '价格还算合理，好处就是离火车站很近，如果第二天一早要赶火车，可以考虑，但是里面的家具、设备有点旧，房间空间也不是很大，另外毛巾和浴巾是棕色的，让人看上去很脏的样子，建议酒店换个其他颜色的。', 'star': 5}
{'descr': '酒店位置不错，就是临近道路，来往车辆噪音较大，影响睡眠。而且卫生间没有排气扇。', 'star': 5}
{'descr': '房间不错，虽然比较小巧，但整体感觉挺好的,唯一有点美中不足的是，我们所住的那间房里面的那个防盗锁是坏的', 'star': 5}
{'descr': '干净，清洁，服务好哦，总之还行。离火车站近', 'star': 5}
{'descr': '环境不错交通便利', 'star': 3}
{'descr': '已经入住好多次了，离城站很近，走路10分钟，网速很慢，1M左右，有待提高。\n', 'star': 5}
{'descr': '挺好的，交通方便，吃饭方便！不错！不错！', 'star': 5}
{'descr': '挺好的，主要是交通方便，吃饭的地儿也多，顶一下。', 'star': 5}
{'descr': '非常不错的酒店，地点好，交通方便！无论从机场坐大巴过来或者是从城站火车站走过来都十分方便！', 'star': 5}
{'descr': '火车站附近能有这样的物美价廉的酒店不容易，打车到西湖20块钱，离火车站500米远，周围还有吃饭的地方', 'star': 5}
{'descr': '位置还不错，离火车站很近，第二天早上要坐火车的话基本都会住这里，房间比较小，网速不太好，红颜色的床单看上去不是很舒服，干不干净都看不出来。', 'star': 5}
{'descr': '位置好，环境一般。卫生一般！\n离城站火车站很近，离河坊街很近，Y2，K7可以直接到西湖湖滨，环湖。\n\n中秋节涨价100元，非常不爽！！！\n\n', 'star': 5}
{'descr': '离火车站很近，环境尚可', 'star': 3}
{'descr': '  满意', 'star': 3}
{'descr': '还不错，就是房间墙皮有脱落，隔音效果不怎么好，希望改进…', 'star': 3}
{'descr': '网上价格比实际价格还贵，房间很小，性价比很低，卫生不好，床上有毛发。', 'star': 3}
{'descr': '房间虽然小但是很干净~周围环境很好，很安静。离城站火车站近，走路很方便~但是门面不够明显，嗯，找了挺久的。', 'star': 5}
{'descr': '房间太小', 'star': 3}
{'descr': '还不错，已经第二次入住了。和朋友的感觉都还行，经济实惠。还不错，已经第二次入住了。和朋友的感觉都还行，经济实惠。还不错，已经第二次入住了。和朋友的感觉都还行，经济实惠。还不错，已经第二次入住了。和朋友的感觉都还行，经济实惠。还不错，已经第二次入住了。和朋友的感觉都还行，经济实惠。还不错，已经第二次入住了。和朋友的感觉都还行，经济实惠。', 'star': 5}
{'descr': '不错，挺好的', 'star': 3}
{'descr': '还行吧，性价比还算比较高。\n还行吧，性价比还算比较高。\n还行吧，性价比还算比较高。\n还行吧，性价比还算比较高。\n还行吧，性价比还算比较高。', 'star': 5}
{'descr': '挺好的酒店啊，交通也便利，服务员的态度也蛮好的。挺好的酒店啊，交通也便利，服务员的态度也蛮好的。挺好的酒店啊，交通也便利，服务员的态度也蛮好的。', 'star': 5}
{'descr': '性价比还是挺高的，标准间要比大床房的空间大！性价比还是挺高的，标准间要比大床房的空间大！性价比还是挺高的，标准间要比大床房的空间大！', 'star': 5}
{'descr': '不错的酒店，出行、就餐都比较方便。离火车站走路十分钟就可以到了，走去步行街也十分方便。不错的酒店，出行、就餐都比较方便。离火车站走路十分钟就可以到了，走去步行街也十分方便。', 'star': 5}
{'descr': '干净，服务好', 'star': 3}
{'descr': '酒店还是性价比挺高的，交通也比较方便，离火车站走几分钟就到了，去机场也方面，这个店已是我来杭州必住的店了，已是我的根据地了！就是最近有点调价了，是个小遗憾。。。', 'star': 5}
{'descr': '离火车站很近，交通方便\n住宿条件一般，价格也便宜。\n\n反正挺划算吧。', 'star': 5}
{'descr': '不是第一次入住该酒店，还是那句话，地理位置好，交通方便，出门右手不知几米可到河坊街，吃饭还算方便，这次住的402房间，空调居然是无法使用的，望以后多加完善。服务态度好，下次还会入住。', 'star': 5}
{'descr': '交通便利，服务一般，离税务局挺近的，还算可以', 'star': 5}
{'descr': '离火车城站很近，交通很方便，但控烟较差。', 'star': 5}
{'descr': '酒店感觉十分破旧，规模也挺小的，跟布丁差不多，但是又在城战附近，觉得除了地理优势其他就没什么了，如果是第二天早上要接人，可以勉强住一晚', 'star': 1}
{'descr': '休闲标准间还好，比开元路那家汉庭的标准间要好，设施也还不错，就是比较紧凑点，空间在视觉上小了点，但是也这价钱还比较合适', 'star': 5}
{'descr': '还可以吧，就是房间很小，价格也算可以，地理位置不错，去火车站非常的方便', 'star': 5}
{'descr': '床大，离火车站近，胡雪岩故居也近，位置不错，但玻璃隔开的洗手间很别扭，特别带小孩不方便。', 'star': 5}
{'descr': '基本上还是满意的，卫生还是可以的，就是感觉房间小了点，这个价位，OK了。', 'star': 5}
{'descr': '住过很多次，离车站很近，虽然价格涨了，但是性价比还好，就是网速要快一点就好了，只有100K不到', 'star': 5}
{'descr': '这里不错，服务热情，交通方便，价格也ok。', 'star': 5}
{'descr': '交通方便，房间还行，就是提供的电脑不怎么好用，看迅雷看看的时候，片子没放多久就死机了', 'star': 5}
{'descr': '房间面积不大，就是离火车站近，其他的都一般.........', 'star': 5}
{'descr': '交通是非常方便的。距离火车站是非常的近。价位也是相对而言比较优惠的。只是感觉住宿条件那是一分钱一分货，推荐对条件要求不高的人居住。', 'star': 5}
{'descr': '环境不错卫出', 'star': 3}
{'descr': '我在酒店落下了项链，打了几次电话询问都说找人问清楚给我打电话回复，结果鸟无音讯……', 'star': 1}
{'descr': '离火车站较近,房间有吹风机,就是隔音效果太差,凌晨听到外面有人大声说话,很吵!', 'star': 5}
{'descr': '马马虎虎 附近算便宜的,马马虎虎 附近算便宜的,', 'star': 5}
{'descr': '价格相对便宜，但环境一般，主要是床单不干净。', 'star': 1}
{'descr': '订的标间，服务比较一般，打扫后竟然忘记换毛巾，虽然我们没有用，还有一个插孔有点漏电。。。这是应该注意的小细节哦。发现靠马路的房间其实不会吵，反而觉得空气什么的还不错，包括可以看看马路风景，挺好的。设施什么还可以，红色的被套让人心情不错~地理位置不错，周围东西较齐全。', 'star': 5}
{'descr': '环境设施非常差，有种上当的感觉，服务态度也差。总之没一处能让我感觉到舒心的地方，绝不是我很挑剔，确实差劲。也希望贵网站注重点真实性，看网评不错才预订的。结果第一次就有这样的感觉，不好！！！', 'star': 1}
{'descr': '很舒适很干净，不错，不过最好提前预定，房间虽然很多还是很紧张', 'star': 3}
{'descr': '不错，离火车站挺近的，交通方便。里面也还不错，基本在这个价位就这个样子吧。', 'star': 5}
{'descr': '不错，推荐，服务和内饰都对得起这个价格。。。江浙经济酒店首选', 'star': 5}
{'descr': '    舒适，清新，值得推荐哈   就是没电脑    可以自带， 反正就休息为主  所以就不太介意咯。', 'star': 5}
{'descr': '房间狭小, 装修不行, 外面路面汽车嘈杂,隔音太差!', 'star': 1}
{'descr': '还算可以，跟99的感觉差不多，就是我住的那间标房淋浴房顶部角落里有很多小虫子。。。不知道其他房间有没有同样的问题。。。这是我唯一不满意的地方。。。感觉很不好~~~希望下次卫生打扫时能更彻底点，多注意细节。。。', 'star': 5}
{'descr': '，本人已经入住预订的酒店。这个价位的这酒店还实惠，就是卫生不怎么样，辈子白的比较好。', 'star': 3}
{'descr': '位置可以，干净舒适！如果下次去还要去住，就是房门外又散发黄色广告的，但是本人自己能控制住就可以了 。', 'star': 5}
{'descr': '第二次住，挺好', 'star': 3}
{'descr': '丽城站火车站近，交通方便，也蛮干净，就是隔音效果差，大床房偏小', 'star': 5}
{'descr': '地点可以，服务也不错，就是空间有点小，有点潮，还有床单和手巾，浴巾都不是白色', 'star': 5}
{'descr': '这个酒店很好啊，交通方便，离步行街也非常近，已经是老主顾了，以后来杭州就住这儿了。', 'star': 5}
{'descr': '出行方便 到火车站很近步行五分钟就到 价格也算同地段便宜的了 ', 'star': 3}
{'descr': '住过好几次了，价格也算适宜，总体来说不错吧。。。', 'star': 5}
{'descr': '房间小，地板没扫干净，水壶里还有之前留的水，隔音差，七楼还听到很大的车声和电梯的升降声，居然还有人塞色情的小广告。', 'star': 3}
{'descr': '感觉不错', 'star': 3}
{'descr': '离城站火车站很近～条件稍微差了点', 'star': 3}
{'descr': '离火车站很近，下车步行就可以，方便。室内可以上网，设施齐全，居住安心。不过我离店后第二天就涨了一次价。', 'star': 5}
{'descr': '已经是第二次入住了，感觉很温馨，而且干净，交通也方便，去步行街及火车站走着去都可到达，支持一下。', 'star': 5}
{'descr': '环境还不错,床满大的,挺干净,洗澡很舒服,就是靠近马路,有点吵.', 'star': 5}
{'descr': '离火车站很近啊，打的一分钟就到了，其实就一个十字路口，性价比还是不错的，会推介给朋友', 'star': 5}
{'descr': '离火车站步行五分钟很方便，标间大小一般设施有些旧不过蛮清爽可以接受，建议来杭州办事的可以选择入住', 'star': 3}
{'descr': '不如其他的连锁经济型酒店. 问前台附近哪儿能吃早点,回答是我是新来的,不知道. 电梯门口堆了大的垃圾袋子,堵在门口,出电梯费劲. ', 'star': 1}
{'descr': '帮朋友定的朋友说不错，经济型酒店，位置还好,适合旅行居住', 'star': 5}
{'descr': 'W位置很方便，去火车站可以选择，条件就是一般的经济型酒店', 'star': 5}
{'descr': '还可以，靠近城站，但又比较安静，适合在城站坐火车的朋友入住', 'star': 5}
{'descr': '环境还不错，也挺好找的，离河坊街很近。房间大小也还行，床比我想象中的要大', 'star': 5}
{'descr': '位置较好，适合出差的朋友入住。离西湖也比较近，坐公交车去西湖也比较方便。', 'star': 5}
{'descr': '还行。。。就是有点吵。。。。。。不过总的来说还不错', 'star': 5}
{'descr': '宾馆环境不错，住的很舒服，周围游玩也很方便，下次还要入住！', 'star': 3}
{'descr': '房间较小，但是位置很好。离火车站步行5分钟，离西湖打车就是起步价，离清河坊小吃街也很近。', 'star': 5}
{'descr': '地理位置很好，赶火车的朋友住在这里非常的方便。', 'star': 5}
{'descr': '离火车站很近，走路大约5分钟，位置明显，离唐宋御街，胡雪岩故居比较近，去西湖打车10元钱，屋内窗户很大挺明亮的', 'star': 5}
{'descr': '元和城市之星酒店招牌不醒目,价格偏高,房间备品应适当更换。', 'star': 3}
{'descr': '房间小了点 但是五脏俱全 干净卫生 服务员态度也不错 经济实惠', 'star': 5}
{'descr': '感觉还不错，离马路近有点吵，总体还满方便的', 'star': 3}
{'descr': '酒店离火车站的距离比想象中还近, 地理位置不错, 去河坊街和西湖边都很方便, 虽然没提供早饭, 但周围吃饭的地方还是蛮多的. 房间不大, 但是总体规划还可以, 卫生间还满整洁, 就是被单和枕套不是白色的, 无法客观知晓整洁度.', 'star': 5}
{'descr': '杭州元和城市之星酒店(城站店),比较普通,设备简单,还算干净,邻马路,有些吵。周围吃饭较方便,好找,离火车站很近', 'star': 3}
{'descr': '房间很不错，干净整洁，卫生间也很舒服，就是如果能空间再大一些就完美了~', 'star': 3}
{'descr': '酒店比较干净，但隔音不是很好！但性价比在省城还是可以接受的！', 'star': 5}
{'descr': '很好环境,很好找', 'star': 3}
{'descr': '还行 第二次入住 交通方便 只是房间小了点', 'star': 5}
{'descr': '和一年前入住的一样，不错。还是老样子，以后还会住。', 'star': 5}
{'descr': '酒店位置很好，靠近火车站。房间真的太小了，设施也不新。这个价位也只能住此类酒店了。', 'star': 5}
{'descr': '离火车站很近，就是房间比较狭小，其他都还好', 'star': 5}
{'descr': '已经不是第一次住这家酒店了，住宿还是一样的好，总体还是不错的，6月份还会继续住的。', 'star': 5}
{'descr': '第二次入住元和了，第一次在西湖店，环境很好，房间很大，很舒服，就是那个店地点也点偏，这次入住城站店，离火车站很近，房间还不错，就是这边的房间都挺小的，总体还是不错！', 'star': 5}
{'descr': '离城站近，方便卫生，很给力。不过相对去年，感觉有些旧了', 'star': 5}
{'descr': '离火车站及清河坊都很近，服务员态度热情，可使用银行卡。', 'star': 5}
{'descr': '地理位置好，离火车站很近，酒店整洁干净。', 'star': 5}
{'descr': '性价比还行，房间稍小，但位置很好', 'star': 3}
{'descr': '地点很好，离火车站很近，价格也很优惠。就是房间偏小了点。', 'star': 5}
{'descr': '优点：离城战火车站很近，房间内该有的设施都有，热水很热冲澡很舒服。接受信用卡。\n缺点：进屋还是一股霉味~ 不过开房透了透就没了。另外床太单薄，被子又太厚，我躺了半天，后背完全是冰凉的，而肚子这边盖的又热不过。后来找前台又要了床被子垫低下才好点。\n\n总之还可以吧，方便，虽然在路边还不算太吵（可能是因为旁边的路车不是很多，隔壁住的人也不多）。讲究性价比图方便的朋友们可以考虑入住。', 'star': 5}
{'descr': '很小巧，房间倒是干净，设计的很紧凑，但是个人感觉那房间太小了，不过相信有些人就喜欢小的房间，那肯定适合这号人，也许会感觉很温馨吧。', 'star': 5}
{'descr': '环境一般 隔音效果差 不能延迟到14点退房，一般酒店都可以延迟至14点退房，据服务员解释是通过网路预定的不可以，昏，简直是歧视网络预定。', 'star': 1}
{'descr': '杭州元和城市之星酒店（城站店）很不错，交通也很方便，我喜欢。', 'star': 5}
{'descr': '房间虽小,但设备齐全。房间有独立空调,距离城站火车站较近。价格合理,但很可惜不供应早餐。', 'star': 3}
{'descr': '可以，很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '入住多次，总体还不错，就是房间有点小，价格有点贵', 'star': 5}
{'descr': '除了房间小和隔音效果差之外其他的都不错。。。叫床要慎重。。。', 'star': 5}
{'descr': '就喜欢一个，数字电视。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间挺好，重要是离火车站近。一下火车打了个电话到前台，问了方向，马上就找到了。下次还会选择它的。', 'star': 5}
{'descr': '枕头味道太浓没洗干净,不过态度好,更换了枕套,卫生间和房间隔离不好.', 'star': 3}
{'descr': '女朋友不喜欢女朋友不喜欢女朋友不喜欢女朋友不喜欢女朋友不喜欢', 'star': 1}
{'descr': '环境还可以，还算干净，就是小了点', 'star': 3}
{'descr': '地方虽小，五脏俱全。感觉比较家居，温馨，挺好的，也比较容易找到。', 'star': 3}
{'descr': '缺点是床稍微有点硬，空调声音有点大。其他都蛮好的。总体来说不错', 'star': 5}
{'descr': '环境舒适，交通也比较方便，总体来说还是比较好。', 'star': 5}
{'descr': '还行吧', 'star': 3}
{'descr': '＋', 'star': 3}
{'descr': '房间虽干净，但隔音差，ML声，谈话声，电梯声，声声入耳。。。很吵。。', 'star': 1}
{'descr': '交通便利，离火车站走路5分钟就到了。房间卫生间很小，空调安装位置不合理。', 'star': 5}
{'descr': '环境挺好的，设备很齐全.离火车站又近，很方便', 'star': 5}
{'descr': '总体来说房间给人的感觉蛮舒服的，也挺温馨，房间内的设施完善，但是床单的质量还需提高。。', 'star': 5}
{'descr': '酒店布置挺简单大方，跟其他酒店比起来有些自己家的感觉，就是空调不是很暖和，晚上有点冷。', 'star': 5}
{'descr': '房间里的色彩很不错，交通方便  还可以.就是空间有点小', 'star': 5}
{'descr': '交通挺便利的，离杭州火车站不远，卫生也还干净，性价比比较高', 'star': 5}
{'descr': '很好很实惠，，在杭州找不到比这更实惠的了', 'star': 5}
{'descr': '这个酒店很不错，我们几个人都觉得性价比很高，床很大，房间隔音效果什么的都很好，热水很大温度也够热，重要的是离城站火车站很近，旁边有个一口田的快餐店也很不错，物美价廉。\n总之十分推荐这个酒店，下次去杭州还会首选这个酒店。', 'star': 5}
{'descr': '蛮好的！还是比较实惠的，以后还会去住那得！', 'star': 5}
{'descr': '酒店位置在火车站附近，交通还是很便利的，但是房间的卫生情况不太好，床单不怎么干净，墙壁上有污垢，给人感觉不是很好。', 'star': 1}
{'descr': '房间有点小!其他的还可以!周围有比较多的吃饭的地方,比较方便!', 'star': 5}
{'descr': '房间有点小，厕所洗澡的地方没门，会把地都弄的有点湿，别的都挺好，交通方便', 'star': 5}
{'descr': '超值的酒店~~房间超大~~地理位置不错~离景点蛮近的~', 'star': 5}
{'descr': '挺满意的,价格实惠,离车站近，休闲房186，大好', 'star': 5}
{'descr': '房间空间有点小', 'star': 3}
{'descr': '空间真的好小，有点喘不过气来', 'star': 3}
{'descr': '房间稍微小了些，其余都还不错。位置离火车站很近，比较方便。', 'star': 5}
{'descr': '酒店特别方便，距火车站步行不到10分钟。乘坐公交车也很方便，去西湖和灵隐寺有车直达。购物附近小超市很多，也有一个大型的超市，不过得走10分钟。很整洁干净，虽然在路边，但是晚上不怎么吵，推荐入住。', 'star': 5}
{'descr': ' 满意', 'star': 3}
{'descr': '交通很方便，住的很舒服，就是房间略小了些', 'star': 5}
{'descr': '酒店离火车站很近很方便，走五分钟即到，床单显得有些旧，卫生还可以。', 'star': 3}
{'descr': '不错的酒店，很温馨\n', 'star': 3}
{'descr': '价格适中，性价比蛮高的，就是标间的床很大，显得房间比较小，设施也是蛮全的。不过红色的床单让人看不出干净与否。', 'star': 5}
{'descr': '酒店比较陈旧 而且价格比较高 下次估计不在会过去了吧', 'star': 1}
{'descr': '这是帮朋友定的，不错~~~~离火车站很近~~~方便', 'star': 5}
{'descr': '设施蛮齐全的,枕头有点脏,其他还行,可是订的房间正好靠近马路那边,有点吵,没睡好.', 'star': 5}
